No,1,1.1,2,2.1,3,3.1,4,5,5.1,6,7,7.1,8,9,10,11,12,13
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
4,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1
5,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1
6,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0
7,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1
9,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
10,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
12,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0
15,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0
16,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0
19,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1
20,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0
24,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
25,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
26,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
28,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
29,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
31,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0
32,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1
33,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
34,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
37,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0
38,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0
39,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
40,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
41,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
42,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
44,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
46,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1
47,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
49,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1
50,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
51,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1
52,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1
53,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1
54,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0
55,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0
56,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
57,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
58,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
59,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
61,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1
62,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
63,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0
64,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
65,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0
66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
69,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1
70,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
