@relation BloVal-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-R1-107

@attribute 1 {1}
@attribute 1.1 {0,1}
@attribute 1.1.1 {0,1}
@attribute 1.1.2 {0,1}
@attribute 1.1.2.1 {0,1}
@attribute 1.2 {0,1}
@attribute 1.2.1 {0,1}
@attribute 1.2.1.1 {0,1}
@attribute 1.2.1.1.1 {0,1}
@attribute 1.2.2 {0,1}
@attribute 1.2.2.1 {0,1}
@attribute 1.2.3 {0,1}
@attribute 1.2.4 {0,1}
@attribute 1.2.4.1 {0,1}
@attribute 1.2.4.2 {0,1}
@attribute 1.3 {0,1}
@attribute 1.3.1 {0,1}
@attribute 1.3.2 {0,1}
@attribute 1.3.3 {0,1}
@attribute 1.3.3.1 {0,1}
@attribute 1.3.3.2 {0,1}
@attribute 1.3.4 {0,1}
@attribute 1.3.5 {0,1}
@attribute 1.3.5.1 {0,1}
@attribute 1.3.5.2 {0,1}
@attribute 1.3.5.3 {0,1}
@attribute 1.3.5.3.1 {0,1}
@attribute 1.3.5.4 {0,1}
@attribute 1.3.5.4.1 {0,1}
@attribute 1.3.5.4.2 {0,1}
@attribute 1.4 {0,1}
@attribute 1.4.1 {0,1}
@attribute 1.4.2 {0,1}
@attribute 1.4.3 {0,1}
@attribute 1.4.3.1 {0,1}
@attribute 1.4.3.2 {0,1}
@attribute 1.4.3.2.1 {0,1}
@attribute 1.4.3.2.2 {0,1}
@attribute 1.4.3.2.3 {0,1}
@attribute 1.4.4 {0,1}
@attribute 1.4.4.1 {0,1}
@attribute 1.4.4.2 {0,1}
@attribute 1.4.5 {0,1}
@attribute 1.4.5.1 {0,1}
@attribute 1.4.6 {0,1}
@attribute 1.4.6.1 {0,1}
@attribute 1.4.6.1.1 {0,1}
@attribute 1.4.6.2 {0,1}
@attribute 1.4.6.3 {0,1}
@attribute 1.4.6.4 {0,1}
@attribute 1.4.6.5 {0,1}
@attribute 1.4.6.6 {0,1}
@attribute 1.4.6.6.1 {0,1}
@attribute 2 {1}
@attribute 2.1 {0,1}
@attribute 2.2 {0,1}
@attribute 2.2.1 {0,1}
@attribute 2.3 {0,1}
@attribute 2.3.1 {0,1}
@attribute 2.3.2 {0,1}
@attribute 2.3.2.1 {0,1}
@attribute 2.3.2.2 {0,1}
@attribute 2.3.2.2.1 {0,1}
@attribute 2.4 {0,1}
@attribute 2.4.1 {0,1}
@attribute 2.4.2 {0,1}
@attribute 2.4.2.1 {0,1}
@attribute 2.4.2.1.1 {0,1}
@attribute 2.4.3 {0,1}
@attribute 2.4.4 {0,1}
@attribute 2.4.4.1 {0,1}
@attribute 2.4.4.2 {0,1}
@attribute 3 {1}
@attribute 3.1 {0,1}
@attribute 3.2 {0,1}
@attribute 3.3 {0,1}
@attribute 3.3.1 {0,1}
@attribute 3.3.2 {0,1}
@attribute 3.3.3 {0,1}
@attribute 3.3.3.1 {0,1}
@attribute 3.3.3.2 {0,1}
@attribute 3.3.3.3 {0,1}
@attribute 3.3.3.3.1 {0,1}
@attribute 3.4 {0,1}
@attribute 3.4.1 {0,1}
@attribute 3.4.2 {0,1}
@attribute 3.4.2.1 {0,1}
@attribute 3.4.2.2 {0,1}
@attribute 3.4.2.2.1 {0,1}
@attribute 3.4.2.2.2 {0,1}
@attribute 3.4.3 {0,1}
@attribute 3.4.4 {0,1}
@attribute 3.4.4.1 {0,1}
@attribute 3.4.4.2 {0,1}
@attribute 3.4.4.3 {0,1}
@attribute 4 {0,1}
@attribute 5 {0,1}
@attribute 5.1 {0,1}
@attribute 5.2 {0,1}
@attribute 5.2.1 {0,1}
@attribute 5.3 {0,1}
@attribute 5.3.1 {0,1}
@attribute 5.3.2 {0,1}
@attribute 5.3.2.1 {0,1}
@attribute 5.3.3 {0,1}
@attribute 5.3.4 {0,1}
@attribute 5.3.4.1 {0,1}
@attribute FamSize numeric

@data
1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,9
1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,10
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,7
1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,4
1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,3
1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,8
1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,3
