@relation BloVal-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-R1-102

@attribute 1 {0,1}
@attribute 1.1 {0,1}
@attribute 1.1.1 {0,1}
@attribute 1.2 {0,1}
@attribute 1.2.1 {0,1}
@attribute 1.2.2 {0,1}
@attribute 1.2.3 {0,1}
@attribute 1.2.3.1 {0,1}
@attribute 1.3 {0,1}
@attribute 1.3.1 {0,1}
@attribute 1.3.2 {0,1}
@attribute 1.3.3 {0,1}
@attribute 1.3.4 {0,1}
@attribute 1.3.4.1 {0,1}
@attribute 1.3.4.2 {0,1}
@attribute 1.3.4.3 {0,1}
@attribute 1.4 {0,1}
@attribute 1.4.1 {0,1}
@attribute 1.4.1.1 {0,1}
@attribute 1.4.2 {0,1}
@attribute 1.4.3 {0,1}
@attribute 1.4.4 {0,1}
@attribute 1.4.4.1 {0,1}
@attribute 1.4.4.2 {0,1}
@attribute 1.4.4.3 {0,1}
@attribute 1.4.4.4 {0,1}
@attribute 1.4.4.5 {0,1}
@attribute 2 {1}
@attribute 2.1 {0,1}
@attribute 2.2 {0,1}
@attribute 2.2.1 {0,1}
@attribute 2.3 {0,1}
@attribute 2.3.1 {0,1}
@attribute 2.3.1.1 {0,1}
@attribute 2.4 {0,1}
@attribute 2.4.1 {0,1}
@attribute 2.4.2 {0,1}
@attribute 3 {0,1}
@attribute 3.1 {0,1}
@attribute 3.2 {0,1}
@attribute 3.3 {0,1}
@attribute 3.3.1 {0,1}
@attribute 3.3.1.1 {0,1}
@attribute 3.3.1.2 {0,1}
@attribute 3.4 {0,1}
@attribute 3.4.1 {0,1}
@attribute 3.4.2 {0,1}
@attribute 3.4.3 {0,1}
@attribute 4 {0,1}
@attribute 4.1 {0,1}
@attribute 5 {0,1}
@attribute 5.1 {0,1}
@attribute 5.2 {0,1}
@attribute 5.2.1 {0,1}
@attribute 5.3 {0,1}
@attribute 5.3.1 {0,1}
@attribute 5.4 {0,1}
@attribute 5.4.1 {0,1}
@attribute 5.4.2 {0,1}
@attribute 5.4.3 {0,1}
@attribute 6 {0,1}
@attribute 7 {0,1}
@attribute 8 {0,1}
@attribute 8.1 {0,1}
@attribute 9 {0,1}
@attribute 9.1 {0,1}
@attribute 10 {0,1}
@attribute 11 {0,1}
@attribute 11.1 {0,1}
@attribute 11.1.1 {0,1}
@attribute 12 {0,1}
@attribute 12.1 {0,1}
@attribute 12.1.1 {0,1}
@attribute 12.1.2 {0,1}
@attribute 12.2 {0,1}
@attribute 12.2.1 {0,1}
@attribute 12.2.2 {0,1}
@attribute 12.2.3 {0,1}
@attribute 12.2.3.1 {0,1}
@attribute 12.3 {0,1}
@attribute 12.3.1 {0,1}
@attribute 12.3.2 {0,1}
@attribute 12.3.2.1 {0,1}
@attribute 12.4 {0,1}
@attribute 13 {0,1}
@attribute 13.1 {0,1}
@attribute 13.2 {0,1}
@attribute 13.2.1 {0,1}
@attribute 13.3 {0,1}
@attribute 13.3.1 {0,1}
@attribute 13.3.2 {0,1}
@attribute 13.3.2.1 {0,1}
@attribute 14 {0,1}
@attribute 14.1 {0,1}
@attribute 14.2 {0,1}
@attribute 14.2.1 {0,1}
@attribute 14.3 {0,1}
@attribute 14.3.1 {0,1}
@attribute 14.3.2 {0,1}
@attribute 14.3.2.1 {0,1}
@attribute 15 {0,1}
@attribute 16 {0,1}
@attribute FamSize numeric

@data
1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
