@relation Otsu30

@attribute No numeric
@attribute 1 numeric
@attribute 1.1 numeric
@attribute 1.1.1 numeric
@attribute 2 numeric
@attribute 2.1 numeric
@attribute 2.1.1 numeric
@attribute 2.2 numeric
@attribute 2.2.1 numeric
@attribute 2.2.1.1 numeric
@attribute 2.2.2 numeric
@attribute 2.2.2.1 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 4.1 numeric
@attribute 4.1.1 numeric
@attribute 4.2 numeric
@attribute 4.2.1 numeric
@attribute 4.2.2 numeric
@attribute 4.3 numeric
@attribute 4.3.1 numeric
@attribute 4.3.1.1 numeric
@attribute 4.3.2 numeric
@attribute 4.3.2.1 numeric
@attribute 4.3.2.2 numeric
@attribute 4.3.3 numeric
@attribute 4.3.3.1 numeric
@attribute 4.3.3.2 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 6.1 numeric
@attribute 6.1.1 numeric
@attribute 6.2 numeric
@attribute 6.2.1 numeric
@attribute 6.2.2 numeric
@attribute 6.2.2.1 numeric
@attribute 6.3 numeric
@attribute 6.3.1 numeric
@attribute 6.3.2 numeric
@attribute 6.3.3 numeric
@attribute 6.3.3.1 numeric
@attribute 6.4 numeric
@attribute 6.4.1 numeric
@attribute 6.4.1.1 numeric
@attribute 6.4.2 numeric
@attribute 6.4.2.1 numeric
@attribute 6.4.2.2 numeric
@attribute 6.4.2.2.1 numeric
@attribute 6.4.3 numeric
@attribute 6.4.3.1 numeric
@attribute 6.4.3.2 numeric
@attribute 6.4.3.3 numeric
@attribute 6.4.4 numeric
@attribute 6.4.4.1 numeric
@attribute 6.4.4.2 numeric
@attribute 6.4.4.3 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 8.1 numeric
@attribute 9 numeric
@attribute 9.1 numeric
@attribute 10 numeric
@attribute 10.1 numeric
@attribute 10.2 numeric
@attribute 10.3 numeric
@attribute 11 numeric
@attribute 11.1 numeric
@attribute 12 numeric
@attribute 12.1 numeric
@attribute 13 numeric
@attribute 13.1 numeric
@attribute 13.2 numeric
@attribute 13.2.1 numeric
@attribute 14 numeric
@attribute 14.1 numeric
@attribute 14.2 numeric
@attribute 14.2.1 numeric
@attribute 14.2.2 numeric
@attribute 14.3 numeric
@attribute 14.3.1 numeric
@attribute 15 numeric
@attribute 15.1 numeric
@attribute 15.2 numeric
@attribute 15.3 numeric
@attribute 15.4 numeric
@attribute 16 numeric
@attribute 16.1 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 19.1 numeric
@attribute 20 numeric
@attribute 20.1 numeric
@attribute 21 numeric
@attribute 21.1 numeric
@attribute 22 numeric
@attribute 22.1 numeric
@attribute 23 numeric
@attribute 23.1 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 26.1 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute Grade {Normal,OA}

@data
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Normal
2,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,Normal
3,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,Normal
4,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Normal
5,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Normal
6,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,Normal
7,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,Normal
8,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,Normal
9,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,Normal
10,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,Normal
