@relation XrayGML10

@attribute No numeric
@attribute 1 numeric
@attribute 1.1 numeric
@attribute 2 numeric
@attribute 2.1 numeric
@attribute 2.2 numeric
@attribute 3 numeric
@attribute 3.1 numeric
@attribute 3.2 numeric
@attribute 3.2.1 numeric
@attribute 3.3 numeric
@attribute 4 numeric
@attribute 4.1 numeric
@attribute 4.1.1 numeric
@attribute 4.2 numeric
@attribute 5 numeric
@attribute 5.1 numeric
@attribute 6 numeric
@attribute 6.1 numeric
@attribute 6.2 numeric
@attribute 6.3 numeric
@attribute 6.4 numeric
@attribute 6.4.1 numeric
@attribute 7 numeric
@attribute 7.1 numeric
@attribute 7.2 numeric
@attribute 7.3 numeric
@attribute 7.4 numeric
@attribute 7.4.1 numeric
@attribute 8 numeric
@attribute 8.1 numeric
@attribute 8.1.1 numeric
@attribute 8.2 numeric
@attribute 8.3 numeric
@attribute 8.3.1 numeric
@attribute 9 numeric
@attribute 9.1 numeric
@attribute 9.1.1 numeric
@attribute 9.2 numeric
@attribute 9.2.1 numeric
@attribute 10 numeric
@attribute 10.1 numeric
@attribute 11 numeric
@attribute 11.1 numeric
@attribute 12 numeric
@attribute 12.1 numeric
@attribute 13 numeric
@attribute 13.1 numeric
@attribute 13.2 numeric
@attribute 13.3 numeric
@attribute 13.4 numeric
@attribute 13.4.1 numeric
@attribute 14 numeric
@attribute 14.1 numeric
@attribute 14.1.1 numeric
@attribute 14.2 numeric
@attribute 14.3 numeric
@attribute 14.4 numeric
@attribute 14.5 numeric
@attribute 14.6 numeric
@attribute 14.7 numeric
@attribute 14.8 numeric
@attribute 15 numeric
@attribute 15.1 numeric
@attribute 16 numeric
@attribute 16.1 numeric
@attribute 16.2 numeric
@attribute 16.3 numeric
@attribute 16.4 numeric
@attribute 16.4.1 numeric
@attribute 17 numeric
@attribute 17.1 numeric
@attribute 17.2 numeric
@attribute 17.2.1 numeric
@attribute 17.3 numeric
@attribute 17.4 numeric
@attribute 17.4.1 numeric
@attribute 18 numeric
@attribute 18.1 numeric
@attribute 18.2 numeric
@attribute 18.3 numeric
@attribute 18.4 numeric
@attribute 18.4.1 numeric
@attribute 18.4.2 numeric
@attribute 18.5 numeric
@attribute 18.6 numeric
@attribute 18.6.1 numeric
@attribute 18.7 numeric
@attribute 18.8 numeric
@attribute 19 numeric
@attribute 19.1 numeric
@attribute 19.1.1 numeric
@attribute 19.2 numeric
@attribute 19.3 numeric
@attribute 19.4 numeric
@attribute 20 numeric
@attribute 20.1 numeric
@attribute 20.2 numeric
@attribute 21 numeric
@attribute 21.1 numeric
@attribute 22 numeric
@attribute 22.1 numeric
@attribute 22.2 numeric
@attribute 22.3 numeric
@attribute 22.4 numeric
@attribute 22.5 numeric
@attribute 23 numeric
@attribute 23.1 numeric
@attribute 23.2 numeric
@attribute 23.3 numeric
@attribute 23.4 numeric
@attribute 23.5 numeric
@attribute 23.6 numeric
@attribute 24 numeric
@attribute 24.1 numeric
@attribute 25 numeric
@attribute 25.1 numeric
@attribute 26 numeric
@attribute 26.1 numeric
@attribute 26.2 numeric
@attribute 26.3 numeric
@attribute 26.4 numeric
@attribute 27 numeric
@attribute 27.1 numeric
@attribute 27.1.1 numeric
@attribute 27.2 numeric
@attribute 27.2.1 numeric
@attribute 27.2.1.1 numeric
@attribute 28 numeric
@attribute 28.1 numeric
@attribute 28.2 numeric
@attribute 28.2.1 numeric
@attribute 28.3 numeric
@attribute 28.4 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 30.1 numeric
@attribute 30.2 numeric
@attribute 30.3 numeric
@attribute 30.4 numeric
@attribute 31 numeric
@attribute 31.1 numeric
@attribute 31.2 numeric
@attribute 31.3 numeric
@attribute 31.4 numeric
@attribute 31.5 numeric
@attribute 32 numeric
@attribute 32.1 numeric
@attribute 32.2 numeric
@attribute 33 numeric
@attribute 33.1 numeric
@attribute 33.2 numeric
@attribute 33.3 numeric
@attribute 33.4 numeric
@attribute 33.5 numeric
@attribute 33.6 numeric
@attribute 33.6.1 numeric
@attribute 33.7 numeric
@attribute 33.8 numeric
@attribute 33.9 numeric
@attribute 34 numeric
@attribute 34.1 numeric
@attribute 34.2 numeric
@attribute 34.3 numeric
@attribute 34.3.1 numeric
@attribute 34.4 numeric
@attribute 34.5 numeric
@attribute 34.6 numeric
@attribute 34.7 numeric
@attribute 35 numeric
@attribute 35.1 numeric
@attribute 35.2 numeric
@attribute 36 numeric
@attribute 36.1 numeric
@attribute 36.2 numeric
@attribute 36.3 numeric
@attribute 36.4 numeric
@attribute 36.5 numeric
@attribute 36.5.1 numeric
@attribute 36.6 numeric
@attribute 36.7 numeric
@attribute 36.7.1 numeric
@attribute 37 numeric
@attribute 37.1 numeric
@attribute 37.2 numeric
@attribute 37.3 numeric
@attribute 37.4 numeric
@attribute 38 numeric
@attribute 38.1 numeric
@attribute 38.2 numeric
@attribute 38.3 numeric
@attribute 38.4 numeric
@attribute 38.5 numeric
@attribute 38.6 numeric
@attribute 38.7 numeric
@attribute 38.7.1 numeric
@attribute 38.8 numeric
@attribute 38.8.1 numeric
@attribute 38.9 numeric
@attribute 38.9.1 numeric
@attribute 38.9.1.1 numeric
@attribute 38.9.2 numeric
@attribute 39 numeric
@attribute 39.1 numeric
@attribute 39.1.1 numeric
@attribute 39.2 numeric
@attribute 40 numeric
@attribute 40.1 numeric
@attribute 41 numeric
@attribute 41.1 numeric
@attribute 42 numeric
@attribute 42.1 numeric
@attribute 42.2 numeric
@attribute 43 numeric
@attribute 43.1 numeric
@attribute 43.2 numeric
@attribute 43.2.1 numeric
@attribute 44 numeric
@attribute 44.1 numeric
@attribute 45 numeric
@attribute 45.1 numeric
@attribute 46 numeric
@attribute 46.1 numeric
@attribute 46.1.1 numeric
@attribute 46.2 numeric
@attribute 46.3 numeric
@attribute 46.4 numeric
@attribute 46.4.1 numeric
@attribute 46.4.1.1 numeric
@attribute 47 numeric
@attribute 47.1 numeric
@attribute 47.2 numeric
@attribute 47.3 numeric
@attribute 47.3.1 numeric
@attribute 47.4 numeric
@attribute 47.4.1 numeric
@attribute 48 numeric
@attribute 48.1 numeric
@attribute 48.1.1 numeric
@attribute 48.2 numeric
@attribute 48.3 numeric
@attribute 48.3.1 numeric
@attribute 48.3.2 numeric
@attribute 49 numeric
@attribute 49.1 numeric
@attribute 49.2 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 51.1 numeric
@attribute 52 numeric
@attribute 52.1 numeric
@attribute 52.2 numeric
@attribute 52.3 numeric
@attribute 53 numeric
@attribute 53.1 numeric
@attribute 53.2 numeric
@attribute 53.3 numeric
@attribute 53.4 numeric
@attribute 53.4.1 numeric
@attribute 53.4.2 numeric
@attribute 54 numeric
@attribute 54.1 numeric
@attribute 55 numeric
@attribute 56 numeric
@attribute 56.1 numeric
@attribute 56.2 numeric
@attribute 56.3 numeric
@attribute 56.4 numeric
@attribute 57 numeric
@attribute 57.1 numeric
@attribute 57.2 numeric
@attribute 57.3 numeric
@attribute 57.4 numeric
@attribute 58 numeric
@attribute 58.1 numeric
@attribute 58.2 numeric
@attribute 58.2.1 numeric
@attribute 58.3 numeric
@attribute 58.3.1 numeric
@attribute 58.4 numeric
@attribute 58.5 numeric
@attribute 58.5.1 numeric
@attribute 58.5.2 numeric
@attribute 58.5.3 numeric
@attribute 59 numeric
@attribute 59.1 numeric
@attribute 59.2 numeric
@attribute 60 numeric
@attribute 61 numeric
@attribute 61.1 numeric
@attribute 62 numeric
@attribute 62.1 numeric
@attribute 62.2 numeric
@attribute 63 numeric
@attribute 63.1 numeric
@attribute 63.2 numeric
@attribute 64 numeric
@attribute 64.1 numeric
@attribute 65 numeric
@attribute 65.1 numeric
@attribute 65.2 numeric
@attribute 65.2.1 numeric
@attribute 66 numeric
@attribute 67 numeric
@attribute 67.1 numeric
@attribute 67.2 numeric
@attribute 67.3 numeric
@attribute 68 numeric
@attribute 68.1 numeric
@attribute 69 numeric
@attribute 69.1 numeric
@attribute 69.2 numeric
@attribute 70 numeric
@attribute 70.1 numeric
@attribute 70.2 numeric
@attribute 71 numeric
@attribute 71.1 numeric
@attribute 72 numeric
@attribute 72.1 numeric
@attribute 72.2 numeric
@attribute 73 numeric
@attribute 74 numeric
@attribute 74.1 numeric
@attribute 74.2 numeric
@attribute 75 numeric
@attribute 76 numeric
@attribute 76.1 numeric
@attribute 76.2 numeric
@attribute 76.3 numeric
@attribute 76.3.1 numeric
@attribute 76.3.2 numeric
@attribute 76.3.3 numeric
@attribute 77 numeric
@attribute 78 numeric
@attribute 78.1 numeric
@attribute 78.2 numeric
@attribute 79 numeric
@attribute 79.1 numeric
@attribute 80 numeric
@attribute 81 numeric
@attribute 82 numeric
@attribute 82.1 numeric
@attribute 83 numeric
@attribute 83.1 numeric
@attribute 84 numeric
@attribute 84.1 numeric
@attribute 85 numeric
@attribute 86 numeric
@attribute 86.1 numeric
@attribute 86.2 numeric
@attribute 87 numeric
@attribute 87.1 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute 89.1 numeric
@attribute 90 numeric
@attribute 91 numeric
@attribute 92 numeric
@attribute 92.1 numeric
@attribute 92.2 numeric
@attribute 92.3 numeric
@attribute 92.4 numeric
@attribute 92.5 numeric
@attribute 93 numeric
@attribute 93.1 numeric
@attribute 94 numeric
@attribute 94.1 numeric
@attribute 94.2 numeric
@attribute 94.3 numeric
@attribute 94.4 numeric
@attribute 94.5 numeric
@attribute 95 numeric
@attribute 96 numeric
@attribute 97 numeric
@attribute Grade {Normal,OA}

@data
1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Normal
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Normal
4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
5,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Normal
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,Normal
8,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Normal
10,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
