File,Mean1,Variance2,Skewness3,Kurtosis4,Energy5,Entropy6,class
Literal Femur of Normal_1.jpg,5.48E+00,1.12E+00,-1.37E-01,3.52E+00,2.78E-01,1.47E+00,Nor
Literal Femur of Normal_10.jpg,6.05E+00,1.31E+00,-8.85E-01,4.39E+00,2.77E-01,1.49E+00,Nor
Literal Femur of Normal_11.jpg,5.89E+00,1.16E+00,-5.74E-01,3.74E+00,2.75E-01,1.47E+00,Nor
Literal Femur of Normal_12.jpg,5.44E+00,2.10E+00,-3.55E-01,2.42E+00,1.95E-01,1.75E+00,Nor
Literal Femur of Normal_13.jpg,5.66E+00,2.19E+00,-5.81E-01,2.67E+00,2.04E-01,1.74E+00,Nor
Literal Femur of Normal_14.jpg,5.59E+00,1.06E+00,-2.06E-01,3.16E+00,2.77E-01,1.44E+00,Nor
Literal Femur of Normal_15.jpg,6.01E+00,8.82E-01,-2.57E-01,3.47E+00,3.12E-01,1.35E+00,Nor
Literal Femur of Normal_16.jpg,5.64E+00,1.19E+00,-2.49E-01,2.99E+00,2.58E-01,1.50E+00,Nor
Literal Femur of Normal_17.jpg,5.09E+00,1.09E+00,-5.22E-02,2.86E+00,2.67E-01,1.46E+00,Nor
Literal Femur of Normal_18.jpg,5.90E+00,1.19E+00,-4.40E-01,3.23E+00,2.66E-01,1.49E+00,Nor
Literal Femur of Normal_19.jpg,5.59E+00,2.12E+00,-3.88E-01,2.56E+00,1.95E-01,1.76E+00,Nor
Literal Femur of Normal_2.jpg,5.34E+00,1.31E+00,-7.25E-02,3.15E+00,2.51E-01,1.55E+00,Nor
Literal Femur of Normal_20.jpg,6.58E+00,9.86E-01,-7.20E-01,4.43E+00,3.06E-01,1.37E+00,Nor
Literal Femur of Normal_21.jpg,5.55E+00,1.33E+00,-2.56E-01,3.23E+00,2.50E-01,1.55E+00,Nor
Literal Femur of Normal_22.jpg,6.90E+00,8.90E-01,-8.30E-01,4.28E+00,3.27E-01,1.31E+00,Nor
Literal Femur of Normal_23.jpg,5.87E+00,1.16E+00,-1.55E-01,3.27E+00,2.70E-01,1.49E+00,Nor
Literal Femur of Normal_24.jpg,6.07E+00,9.97E-01,-6.69E-01,4.27E+00,3.00E-01,1.39E+00,Nor
Literal Femur of Normal_25.jpg,5.69E+00,1.76E+00,-4.09E-01,2.72E+00,2.14E-01,1.67E+00,Nor
Literal Femur of Normal_26.jpg,5.29E+00,1.40E+00,-1.63E-01,2.80E+00,2.35E-01,1.58E+00,Nor
Literal Femur of Normal_27.jpg,5.78E+00,1.25E+00,-3.84E-01,3.12E+00,2.57E-01,1.52E+00,Nor
Literal Femur of Normal_28.jpg,6.31E+00,1.39E+00,-5.78E-01,3.01E+00,2.49E-01,1.54E+00,Nor
Literal Femur of Normal_29.jpg,6.27E+00,1.48E+00,-8.55E-01,3.79E+00,2.58E-01,1.55E+00,Nor
Literal Femur of Normal_3.jpg,5.37E+00,1.35E+00,-3.26E-01,3.05E+00,2.47E-01,1.56E+00,Nor
Literal Femur of Normal_30.jpg,5.70E+00,1.33E+00,-5.37E-01,3.17E+00,2.50E-01,1.53E+00,Nor
Literal Femur of Normal_31.jpg,6.04E+00,1.48E+00,-4.93E-01,2.86E+00,2.37E-01,1.58E+00,Nor
