@relation 'LBP all literal Femur ROI '

@attribute File {'Literal Femur of Normal_1.jpg','Literal Femur of Normal_10.jpg','Literal Femur of Normal_11.jpg','Literal Femur of Normal_12.jpg','Literal Femur of Normal_13.jpg','Literal Femur of Normal_14.jpg','Literal Femur of Normal_15.jpg','Literal Femur of Normal_16.jpg','Literal Femur of Normal_17.jpg','Literal Femur of Normal_18.jpg','Literal Femur of Normal_19.jpg','Literal Femur of Normal_2.jpg','Literal Femur of Normal_20.jpg','Literal Femur of Normal_21.jpg','Literal Femur of Normal_22.jpg','Literal Femur of Normal_23.jpg','Literal Femur of Normal_24.jpg','Literal Femur of Normal_25.jpg','Literal Femur of Normal_26.jpg','Literal Femur of Normal_27.jpg','Literal Femur of Normal_28.jpg','Literal Femur of Normal_29.jpg','Literal Femur of Normal_3.jpg','Literal Femur of Normal_30.jpg','Literal Femur of Normal_31.jpg','Literal Femur of Normal_32.jpg','Literal Femur of Normal_33.jpg','Literal Femur of Normal_34.jpg','Literal Femur of Normal_35.jpg','Literal Femur of Normal_36.jpg','Literal Femur of Normal_37.jpg','Literal Femur of Normal_38.jpg','Literal Femur of Normal_39.jpg','Literal Femur of Normal_4.jpg','Literal Femur of Normal_40.jpg','Literal Femur of Normal_41.jpg','Literal Femur of Normal_42.jpg','Literal Femur of Normal_43.jpg','Literal Femur of Normal_44.jpg','Literal Femur of Normal_45.jpg','Literal Femur of Normal_46.jpg','Literal Femur of Normal_47.jpg','Literal Femur of Normal_48.jpg','Literal Femur of Normal_49.jpg','Literal Femur of Normal_5.jpg','Literal Femur of Normal_50.jpg','Literal Femur of Normal_51.jpg','Literal Femur of Normal_52.jpg','Literal Femur of Normal_53.jpg','Literal Femur of Normal_54.jpg','Literal Femur of Normal_55.jpg','Literal Femur of Normal_56.jpg','Literal Femur of Normal_57.jpg','Literal Femur of Normal_58.jpg','Literal Femur of Normal_59.jpg','Literal Femur of Normal_6.jpg','Literal Femur of Normal_60.jpg','Literal Femur of Normal_61.jpg','Literal Femur of Normal_62.jpg','Literal Femur of Normal_63.jpg','Literal Femur of Normal_7.jpg','Literal Femur of Normal_8.jpg','Literal Femur of Normal_9.jpg','Literal Femur of OA_1.jpg','Literal Femur of OA_10.jpg','Literal Femur of OA_11.jpg','Literal Femur of OA_12.jpg','Literal Femur of OA_13.jpg','Literal Femur of OA_14.jpg','Literal Femur of OA_15.jpg','Literal Femur of OA_16.jpg','Literal Femur of OA_17.jpg','Literal Femur of OA_18.jpg','Literal Femur of OA_19.jpg','Literal Femur of OA_2.jpg','Literal Femur of OA_20.jpg','Literal Femur of OA_21.jpg','Literal Femur of OA_22.jpg','Literal Femur of OA_23.jpg','Literal Femur of OA_24.jpg','Literal Femur of OA_25.jpg','Literal Femur of OA_26.jpg','Literal Femur of OA_27.jpg','Literal Femur of OA_28.jpg','Literal Femur of OA_29.jpg','Literal Femur of OA_3.jpg','Literal Femur of OA_30.jpg','Literal Femur of OA_31.jpg','Literal Femur of OA_32.jpg','Literal Femur of OA_33.jpg','Literal Femur of OA_34.jpg','Literal Femur of OA_35.jpg','Literal Femur of OA_36.jpg','Literal Femur of OA_37.jpg','Literal Femur of OA_38.jpg','Literal Femur of OA_39.jpg','Literal Femur of OA_4.jpg','Literal Femur of OA_40.jpg','Literal Femur of OA_41.jpg','Literal Femur of OA_42.jpg','Literal Femur of OA_43.jpg','Literal Femur of OA_44.jpg','Literal Femur of OA_45.jpg','Literal Femur of OA_46.jpg','Literal Femur of OA_47.jpg','Literal Femur of OA_48.jpg','Literal Femur of OA_49.jpg','Literal Femur of OA_5.jpg','Literal Femur of OA_50.jpg','Literal Femur of OA_51.jpg','Literal Femur of OA_52.jpg','Literal Femur of OA_53.jpg','Literal Femur of OA_54.jpg','Literal Femur of OA_55.jpg','Literal Femur of OA_56.jpg','Literal Femur of OA_57.jpg','Literal Femur of OA_58.jpg','Literal Femur of OA_59.jpg','Literal Femur of OA_6.jpg','Literal Femur of OA_60.jpg','Literal Femur of OA_61.jpg','Literal Femur of OA_62.jpg','Literal Femur of OA_63.jpg','Literal Femur of OA_64.jpg','Literal Femur of OA_65.jpg','Literal Femur of OA_66.jpg','Literal Femur of OA_67.jpg','Literal Femur of OA_68.jpg','Literal Femur of OA_7.jpg','Literal Femur of OA_8.jpg','Literal Femur of OA_9.jpg'}
@attribute LBP_1 numeric
@attribute LBP_2 numeric
@attribute LBP_3 numeric
@attribute LBP_4 numeric
@attribute LBP_5 numeric
@attribute LBP_6 numeric
@attribute LBP_7 numeric
@attribute LBP_8 numeric
@attribute LBP_9 numeric
@attribute LBP_10 numeric
@attribute LBP_11 numeric
@attribute LBP_12 numeric
@attribute LBP_13 numeric
@attribute LBP_14 numeric
@attribute LBP_15 numeric
@attribute LBP_16 numeric
@attribute LBP_17 numeric
@attribute LBP_18 numeric
@attribute LBP_19 numeric
@attribute LBP_20 numeric
@attribute LBP_21 numeric
@attribute LBP_22 numeric
@attribute LBP_23 numeric
@attribute LBP_24 numeric
@attribute LBP_25 numeric
@attribute LBP_26 numeric
@attribute LBP_27 numeric
@attribute LBP_28 numeric
@attribute LBP_29 numeric
@attribute LBP_30 numeric
@attribute LBP_31 numeric
@attribute LBP_32 numeric
@attribute LBP_33 numeric
@attribute LBP_34 numeric
@attribute LBP_35 numeric
@attribute LBP_36 numeric
@attribute LBP_37 numeric
@attribute LBP_38 numeric
@attribute LBP_39 numeric
@attribute LBP_40 numeric
@attribute LBP_41 numeric
@attribute LBP_42 numeric
@attribute LBP_43 numeric
@attribute LBP_44 numeric
@attribute LBP_45 numeric
@attribute LBP_46 numeric
@attribute LBP_47 numeric
@attribute LBP_48 numeric
@attribute LBP_49 numeric
@attribute LBP_50 numeric
@attribute LBP_51 numeric
@attribute LBP_52 numeric
@attribute LBP_53 numeric
@attribute LBP_54 numeric
@attribute LBP_55 numeric
@attribute LBP_56 numeric
@attribute LBP_57 numeric
@attribute LBP_58 numeric
@attribute LBP_59 numeric
@attribute LBP_60 numeric
@attribute LBP_61 numeric
@attribute LBP_62 numeric
@attribute LBP_63 numeric
@attribute LBP_64 numeric
@attribute LBP_65 numeric
@attribute LBP_66 numeric
@attribute LBP_67 numeric
@attribute LBP_68 numeric
@attribute LBP_69 numeric
@attribute LBP_70 numeric
@attribute LBP_71 numeric
@attribute LBP_72 numeric
@attribute LBP_73 numeric
@attribute LBP_74 numeric
@attribute LBP_75 numeric
@attribute LBP_76 numeric
@attribute LBP_77 numeric
@attribute LBP_78 numeric
@attribute LBP_79 numeric
@attribute LBP_80 numeric
@attribute LBP_81 numeric
@attribute LBP_82 numeric
@attribute LBP_83 numeric
@attribute LBP_84 numeric
@attribute LBP_85 numeric
@attribute LBP_86 numeric
@attribute LBP_87 numeric
@attribute LBP_88 numeric
@attribute LBP_89 numeric
@attribute LBP_90 numeric
@attribute LBP_91 numeric
@attribute LBP_92 numeric
@attribute LBP_93 numeric
@attribute LBP_94 numeric
@attribute LBP_95 numeric
@attribute LBP_96 numeric
@attribute LBP_97 numeric
@attribute LBP_98 numeric
@attribute LBP_99 numeric
@attribute LBP_100 numeric
@attribute LBP_101 numeric
@attribute LBP_102 numeric
@attribute LBP_103 numeric
@attribute LBP_104 numeric
@attribute LBP_105 numeric
@attribute LBP_106 numeric
@attribute LBP_107 numeric
@attribute LBP_108 numeric
@attribute LBP_109 numeric
@attribute LBP_110 numeric
@attribute LBP_111 numeric
@attribute LBP_112 numeric
@attribute LBP_113 numeric
@attribute LBP_114 numeric
@attribute LBP_115 numeric
@attribute LBP_116 numeric
@attribute LBP_117 numeric
@attribute LBP_118 numeric
@attribute LBP_119 numeric
@attribute LBP_120 numeric
@attribute LBP_121 numeric
@attribute LBP_122 numeric
@attribute LBP_123 numeric
@attribute LBP_124 numeric
@attribute LBP_125 numeric
@attribute LBP_126 numeric
@attribute LBP_127 numeric
@attribute LBP_128 numeric
@attribute LBP_129 numeric
@attribute LBP_130 numeric
@attribute LBP_131 numeric
@attribute LBP_132 numeric
@attribute LBP_133 numeric
@attribute LBP_134 numeric
@attribute LBP_135 numeric
@attribute LBP_136 numeric
@attribute LBP_137 numeric
@attribute LBP_138 numeric
@attribute LBP_139 numeric
@attribute LBP_140 numeric
@attribute LBP_141 numeric
@attribute LBP_142 numeric
@attribute LBP_143 numeric
@attribute LBP_144 numeric
@attribute LBP_145 numeric
@attribute LBP_146 numeric
@attribute LBP_147 numeric
@attribute LBP_148 numeric
@attribute LBP_149 numeric
@attribute LBP_150 numeric
@attribute LBP_151 numeric
@attribute LBP_152 numeric
@attribute LBP_153 numeric
@attribute LBP_154 numeric
@attribute LBP_155 numeric
@attribute LBP_156 numeric
@attribute LBP_157 numeric
@attribute LBP_158 numeric
@attribute LBP_159 numeric
@attribute LBP_160 numeric
@attribute LBP_161 numeric
@attribute LBP_162 numeric
@attribute LBP_163 numeric
@attribute LBP_164 numeric
@attribute LBP_165 numeric
@attribute LBP_166 numeric
@attribute LBP_167 numeric
@attribute LBP_168 numeric
@attribute LBP_169 numeric
@attribute LBP_170 numeric
@attribute LBP_171 numeric
@attribute LBP_172 numeric
@attribute LBP_173 numeric
@attribute LBP_174 numeric
@attribute LBP_175 numeric
@attribute LBP_176 numeric
@attribute LBP_177 numeric
@attribute LBP_178 numeric
@attribute LBP_179 numeric
@attribute LBP_180 numeric
@attribute LBP_181 numeric
@attribute LBP_182 numeric
@attribute LBP_183 numeric
@attribute LBP_184 numeric
@attribute LBP_185 numeric
@attribute LBP_186 numeric
@attribute LBP_187 numeric
@attribute LBP_188 numeric
@attribute LBP_189 numeric
@attribute LBP_190 numeric
@attribute LBP_191 numeric
@attribute LBP_192 numeric
@attribute LBP_193 numeric
@attribute LBP_194 numeric
@attribute LBP_195 numeric
@attribute LBP_196 numeric
@attribute LBP_197 numeric
@attribute LBP_198 numeric
@attribute LBP_199 numeric
@attribute LBP_200 numeric
@attribute LBP_201 numeric
@attribute LBP_202 numeric
@attribute LBP_203 numeric
@attribute LBP_204 numeric
@attribute LBP_205 numeric
@attribute LBP_206 numeric
@attribute LBP_207 numeric
@attribute LBP_208 numeric
@attribute LBP_209 numeric
@attribute LBP_210 numeric
@attribute LBP_211 numeric
@attribute LBP_212 numeric
@attribute LBP_213 numeric
@attribute LBP_214 numeric
@attribute LBP_215 numeric
@attribute LBP_216 numeric
@attribute LBP_217 numeric
@attribute LBP_218 numeric
@attribute LBP_219 numeric
@attribute LBP_220 numeric
@attribute LBP_221 numeric
@attribute LBP_222 numeric
@attribute LBP_223 numeric
@attribute LBP_224 numeric
@attribute LBP_225 numeric
@attribute LBP_226 numeric
@attribute LBP_227 numeric
@attribute LBP_228 numeric
@attribute LBP_229 numeric
@attribute LBP_230 numeric
@attribute LBP_231 numeric
@attribute LBP_232 numeric
@attribute LBP_233 numeric
@attribute LBP_234 numeric
@attribute LBP_235 numeric
@attribute LBP_236 numeric
@attribute LBP_237 numeric
@attribute LBP_238 numeric
@attribute LBP_239 numeric
@attribute LBP_240 numeric
@attribute LBP_241 numeric
@attribute LBP_242 numeric
@attribute LBP_243 numeric
@attribute LBP_244 numeric
@attribute LBP_245 numeric
@attribute LBP_246 numeric
@attribute LBP_247 numeric
@attribute LBP_248 numeric
@attribute LBP_249 numeric
@attribute LBP_250 numeric
@attribute LBP_251 numeric
@attribute LBP_252 numeric
@attribute LBP_253 numeric
@attribute LBP_254 numeric
@attribute LBP_255 numeric
@attribute LBP_256 numeric
@attribute class {Nor,OA}

@data
'Literal Femur of Normal_1.jpg',259,113,4,46,226,24,70,232,4,4,0,0,62,6,48,129,131,30,7,8,25,0,6,18,56,14,1,4,250,25,189,230,6,3,0,0,6,0,1,5,0,0,0,0,1,0,2,2,74,15,0,7,12,0,6,7,77,9,2,6,320,7,173,113,197,15,3,12,97,1,14,16,3,0,0,0,14,0,11,7,14,3,0,0,2,0,0,0,8,0,0,1,19,0,6,4,65,13,3,14,17,0,3,8,1,1,0,0,5,0,6,7,272,10,3,11,28,3,12,4,226,11,5,2,429,6,114,54,3,44,1,81,3,11,1,259,0,2,0,1,2,8,1,148,2,8,0,11,0,0,0,7,3,1,0,5,6,10,3,115,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,5,0,0,0,8,1,6,0,19,6,6,2,193,69,242,0,257,11,24,7,357,0,4,0,3,3,6,4,110,7,15,0,6,0,0,0,10,8,7,0,8,8,6,3,62,78,186,2,137,10,4,4,107,2,3,0,1,4,2,6,77,164,243,3,133,4,5,3,40,151,136,2,181,139,64,90,736,Nor
'Literal Femur of Normal_10.jpg',350,122,8,63,234,18,108,217,8,4,0,0,98,3,67,118,119,22,0,12,22,0,4,11,73,10,0,4,243,12,121,146,13,0,0,2,5,0,3,2,0,0,0,0,1,0,6,1,70,11,3,8,7,0,7,6,152,13,2,17,337,6,182,150,232,25,11,13,74,0,23,17,7,0,0,0,17,0,8,5,18,2,0,0,2,0,1,0,8,0,0,2,12,1,4,1,82,5,3,12,17,2,7,8,1,0,0,0,9,0,5,1,207,4,2,13,10,0,6,7,344,12,3,9,355,3,133,40,6,79,0,136,3,10,2,274,0,2,0,3,1,4,3,170,5,14,0,14,1,0,0,8,2,7,0,8,2,8,2,150,0,1,0,4,0,0,0,5,0,0,0,0,0,0,1,0,1,11,0,17,0,0,0,5,5,10,0,23,6,8,1,218,89,203,0,357,23,11,15,297,2,4,0,8,7,3,3,126,12,15,0,9,1,0,0,4,3,9,0,5,4,2,5,37,62,104,3,143,17,5,15,112,2,1,1,1,3,5,6,72,99,130,4,153,5,1,3,25,185,132,2,196,93,40,78,615,Nor
'Literal Femur of Normal_11.jpg',320,163,4,73,199,22,66,256,7,3,0,1,74,9,62,180,145,27,3,11,18,2,10,17,91,8,0,6,235,8,143,185,5,3,0,2,4,0,2,5,0,0,0,0,0,1,0,3,55,16,3,4,15,2,6,9,107,12,4,4,242,5,151,126,188,16,2,15,65,1,18,15,3,0,0,0,18,1,10,4,31,0,0,0,2,0,0,0,20,1,0,0,20,0,5,4,70,8,3,8,17,0,9,9,0,0,0,0,7,1,5,3,275,13,5,8,13,0,10,5,294,6,4,9,296,3,132,38,0,71,0,104,3,16,1,303,1,1,0,3,3,7,2,194,2,17,0,9,0,1,0,11,1,4,0,4,4,9,7,121,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,4,2,5,0,11,0,1,0,11,0,3,0,26,5,5,3,173,92,228,0,235,23,17,7,307,1,4,0,5,10,10,8,122,8,16,0,3,0,0,1,3,8,10,0,9,10,6,10,39,70,123,1,121,15,3,2,128,2,5,0,1,6,7,6,114,158,191,2,141,6,2,8,40,175,129,1,163,137,36,116,722,Nor
'Literal Femur of Normal_12.jpg',338,93,10,67,229,11,88,221,7,1,0,0,80,9,69,115,87,18,3,8,16,0,8,12,56,11,1,5,226,11,110,162,4,0,0,0,2,0,3,3,1,1,0,1,3,0,1,0,81,13,0,5,18,1,8,5,195,12,3,11,443,11,190,124,255,15,3,5,72,0,24,18,4,0,0,0,22,0,6,3,16,0,0,0,2,0,1,1,15,0,0,0,10,0,2,2,87,6,0,2,24,2,4,8,0,0,0,0,12,0,3,7,206,10,5,5,23,1,5,7,431,6,6,4,359,2,111,39,6,60,0,154,4,18,3,333,2,2,0,5,2,7,0,165,2,12,0,17,1,1,0,6,1,9,0,12,1,2,0,125,0,2,0,3,1,0,0,1,0,0,0,0,0,0,0,1,1,4,0,8,0,0,0,7,1,13,0,29,5,9,3,203,69,217,1,350,10,18,15,324,1,3,0,5,3,5,5,109,3,12,0,12,0,0,1,4,0,6,0,5,2,5,4,39,55,117,3,176,9,3,4,98,0,0,0,3,5,2,5,80,106,132,3,128,5,2,1,26,189,149,2,185,124,36,72,550,Nor
'Literal Femur of Normal_13.jpg',404,98,5,70,294,18,98,181,5,1,1,2,88,5,56,72,112,18,2,4,16,0,5,6,66,10,0,8,220,9,107,91,12,1,0,4,7,0,0,4,2,0,0,0,2,0,2,0,71,8,2,10,9,0,10,8,159,18,6,15,330,13,170,133,323,14,3,16,100,1,15,12,8,0,0,1,26,0,8,5,25,2,0,0,1,0,0,0,11,0,0,0,18,0,4,1,99,9,2,6,24,0,6,5,2,0,1,0,14,0,8,2,193,10,5,14,15,0,5,1,381,12,8,7,332,3,102,30,8,68,0,147,3,21,0,319,0,1,0,4,3,4,3,146,1,7,1,11,0,0,0,7,0,5,0,12,6,8,1,135,0,1,0,3,0,0,0,5,0,0,0,1,0,0,0,3,1,7,0,18,1,0,0,9,3,15,0,44,5,7,2,278,93,184,2,304,29,20,9,313,5,3,0,3,8,4,8,103,6,7,0,6,0,0,0,5,4,5,0,5,4,3,1,37,56,95,2,177,12,3,3,95,2,1,0,4,10,3,5,66,91,114,3,125,3,1,2,34,173,145,5,282,96,39,72,629,Nor
'Literal Femur of Normal_14.jpg',356,101,4,65,238,25,82,218,6,5,0,1,64,7,59,118,100,28,3,13,23,2,7,7,77,11,0,6,223,8,129,149,8,2,0,2,5,1,1,3,1,0,0,0,2,1,1,0,75,16,1,9,12,1,4,9,127,11,1,15,315,7,178,133,237,19,4,18,92,2,23,8,2,1,0,1,17,0,9,5,23,0,0,0,2,0,0,0,5,0,0,0,21,0,4,4,100,6,6,4,19,0,9,9,1,0,0,0,7,0,3,2,242,9,0,4,17,0,3,5,312,5,3,7,318,2,109,28,4,75,0,117,1,9,1,272,1,2,0,4,0,9,0,162,2,12,0,11,0,0,0,6,2,10,0,10,2,7,4,128,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,3,2,7,0,11,0,0,0,4,5,11,0,29,7,11,7,195,84,247,2,361,12,18,10,330,5,5,0,2,6,7,2,112,2,10,0,4,0,0,0,2,6,11,0,11,10,5,3,37,69,163,3,193,12,5,6,109,0,2,0,8,1,3,6,95,112,172,1,129,6,3,2,33,174,154,8,190,119,36,103,627,Nor
'Literal Femur of Normal_15.jpg',367,126,6,93,213,17,94,216,5,4,0,1,88,5,82,165,137,24,4,7,13,1,11,15,72,15,3,6,273,17,136,175,8,4,0,2,6,0,2,4,1,0,0,0,0,0,2,3,92,7,2,13,10,0,7,11,128,11,1,10,297,9,185,138,194,22,7,16,47,2,25,16,3,2,0,0,16,0,16,4,18,2,1,2,0,0,0,0,5,0,0,1,12,0,4,1,95,13,1,4,20,1,6,7,0,0,0,0,7,1,8,8,215,8,7,9,18,0,3,5,253,6,7,6,291,4,125,37,6,70,2,107,4,7,1,228,0,3,0,5,1,6,2,163,0,16,0,13,0,0,0,6,0,9,0,11,5,14,3,124,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,10,0,6,0,1,0,5,5,8,0,14,5,7,4,179,66,249,1,285,18,11,8,257,5,4,0,6,10,12,6,131,9,11,0,10,0,0,0,0,10,10,0,4,5,5,7,29,89,203,0,181,16,1,9,98,0,4,0,3,6,6,10,118,161,167,4,136,3,5,5,39,162,133,2,171,123,40,94,660,Nor
'Literal Femur of Normal_16.jpg',457,185,11,95,178,18,104,196,11,6,2,1,86,12,93,144,191,33,3,21,38,2,18,18,95,23,2,5,244,14,182,170,8,4,0,3,3,1,2,8,0,0,0,0,5,1,0,6,90,21,3,13,9,1,9,3,113,14,2,8,253,5,207,112,180,21,10,16,44,2,18,17,5,0,0,1,15,1,8,3,16,0,0,1,1,1,3,0,9,0,0,1,8,0,8,2,82,9,2,7,20,0,10,8,1,0,0,0,14,0,11,8,185,15,6,7,14,0,8,2,162,4,5,4,215,2,148,35,6,105,0,104,2,9,2,179,1,3,0,4,5,2,4,138,5,20,0,14,1,1,0,11,1,12,0,8,12,6,8,122,0,4,0,3,0,0,0,6,0,0,0,0,1,0,0,7,0,10,0,4,0,0,0,3,2,8,0,25,8,10,5,197,83,246,3,248,14,12,11,219,5,4,0,3,6,8,11,123,9,14,0,10,0,0,0,2,8,9,0,7,6,6,8,43,90,195,2,202,11,7,9,108,4,9,0,10,4,7,16,153,135,156,8,99,4,0,7,18,140,107,6,152,140,28,147,694,Nor
'Literal Femur of Normal_17.jpg',422,141,7,78,228,27,101,251,10,0,0,1,108,7,69,143,117,27,4,20,17,0,7,9,68,11,0,10,189,6,105,162,6,5,1,0,3,0,1,7,1,0,0,0,2,0,7,3,88,16,1,8,7,0,7,7,142,17,4,15,230,0,180,114,262,19,4,8,63,0,22,16,4,0,0,0,23,0,12,2,19,2,0,0,4,0,0,0,14,0,0,0,6,0,3,2,71,2,8,6,24,0,7,5,2,0,0,0,8,0,4,2,225,10,4,4,13,0,3,3,270,3,2,7,254,2,111,36,9,77,0,149,8,13,2,304,0,4,0,0,2,8,3,204,1,18,1,14,0,0,0,5,0,7,0,10,1,7,3,143,0,1,0,7,0,0,0,7,0,0,0,0,0,0,0,5,0,7,0,16,0,0,0,5,5,15,0,28,5,7,2,190,111,190,4,265,19,16,12,279,0,5,0,4,6,8,6,114,11,9,0,6,0,0,0,1,2,9,0,10,6,6,2,26,79,124,2,157,9,4,8,129,1,6,0,3,12,6,7,106,161,159,4,143,5,2,3,28,202,121,3,203,112,33,98,663,Nor
'Literal Femur of Normal_18.jpg',471,173,6,73,207,32,71,224,13,3,0,3,83,9,73,169,170,41,3,18,22,2,7,22,78,15,0,13,189,11,138,195,8,2,1,4,4,0,6,8,0,0,0,0,0,0,3,2,74,22,2,11,9,0,3,6,91,16,3,8,162,5,131,134,207,18,2,8,55,2,20,16,9,0,0,0,16,0,15,6,33,0,0,0,2,0,0,0,15,1,1,1,14,0,8,4,104,11,6,5,25,0,9,9,1,0,0,0,18,2,13,8,229,15,3,8,16,0,6,3,217,11,3,10,209,0,126,44,13,90,0,112,5,14,3,247,0,2,0,1,7,6,3,183,7,15,0,16,1,0,0,4,2,4,0,10,4,6,1,118,0,3,0,4,1,1,0,4,0,0,0,1,0,0,0,4,1,9,0,9,0,1,0,9,4,11,0,21,11,5,5,204,101,224,2,171,13,19,12,187,3,3,0,4,11,5,8,131,9,11,0,2,2,0,0,2,7,7,0,5,7,4,9,29,78,176,2,157,15,6,10,138,5,6,0,2,6,6,11,138,175,215,5,112,6,0,4,34,191,126,7,173,136,26,127,725,Nor
