@relation 'LBP_hf Femur Literal ROI '

@attribute File {'Literal Femur of Normal_1.jpg','Literal Femur of Normal_10.jpg','Literal Femur of Normal_11.jpg','Literal Femur of Normal_12.jpg','Literal Femur of Normal_13.jpg','Literal Femur of Normal_14.jpg','Literal Femur of Normal_15.jpg','Literal Femur of Normal_16.jpg','Literal Femur of Normal_17.jpg','Literal Femur of Normal_18.jpg','Literal Femur of Normal_19.jpg','Literal Femur of Normal_2.jpg','Literal Femur of Normal_20.jpg','Literal Femur of Normal_21.jpg','Literal Femur of Normal_22.jpg','Literal Femur of Normal_23.jpg','Literal Femur of Normal_24.jpg','Literal Femur of Normal_25.jpg','Literal Femur of Normal_26.jpg','Literal Femur of Normal_27.jpg','Literal Femur of Normal_28.jpg','Literal Femur of Normal_29.jpg','Literal Femur of Normal_3.jpg','Literal Femur of Normal_30.jpg','Literal Femur of Normal_31.jpg','Literal Femur of Normal_32.jpg','Literal Femur of Normal_33.jpg','Literal Femur of Normal_34.jpg','Literal Femur of Normal_35.jpg','Literal Femur of Normal_36.jpg','Literal Femur of Normal_37.jpg','Literal Femur of Normal_38.jpg','Literal Femur of Normal_39.jpg','Literal Femur of Normal_4.jpg','Literal Femur of Normal_40.jpg','Literal Femur of Normal_41.jpg','Literal Femur of Normal_42.jpg','Literal Femur of Normal_43.jpg','Literal Femur of Normal_44.jpg','Literal Femur of Normal_45.jpg','Literal Femur of Normal_46.jpg','Literal Femur of Normal_47.jpg','Literal Femur of Normal_48.jpg','Literal Femur of Normal_49.jpg','Literal Femur of Normal_5.jpg','Literal Femur of Normal_50.jpg','Literal Femur of Normal_51.jpg','Literal Femur of Normal_52.jpg','Literal Femur of Normal_53.jpg','Literal Femur of Normal_54.jpg','Literal Femur of Normal_55.jpg','Literal Femur of Normal_56.jpg','Literal Femur of Normal_57.jpg','Literal Femur of Normal_58.jpg','Literal Femur of Normal_59.jpg','Literal Femur of Normal_6.jpg','Literal Femur of Normal_60.jpg','Literal Femur of Normal_61.jpg','Literal Femur of Normal_62.jpg','Literal Femur of Normal_63.jpg','Literal Femur of Normal_7.jpg','Literal Femur of Normal_8.jpg','Literal Femur of Normal_9.jpg','Literal Femur of OA_1.jpg','Literal Femur of OA_10.jpg','Literal Femur of OA_11.jpg','Literal Femur of OA_12.jpg','Literal Femur of OA_13.jpg','Literal Femur of OA_14.jpg','Literal Femur of OA_15.jpg','Literal Femur of OA_16.jpg','Literal Femur of OA_17.jpg','Literal Femur of OA_18.jpg','Literal Femur of OA_19.jpg','Literal Femur of OA_2.jpg','Literal Femur of OA_20.jpg','Literal Femur of OA_21.jpg','Literal Femur of OA_22.jpg','Literal Femur of OA_23.jpg','Literal Femur of OA_24.jpg','Literal Femur of OA_25.jpg','Literal Femur of OA_26.jpg','Literal Femur of OA_27.jpg','Literal Femur of OA_28.jpg','Literal Femur of OA_29.jpg','Literal Femur of OA_3.jpg','Literal Femur of OA_30.jpg','Literal Femur of OA_31.jpg','Literal Femur of OA_32.jpg','Literal Femur of OA_33.jpg','Literal Femur of OA_34.jpg','Literal Femur of OA_35.jpg','Literal Femur of OA_36.jpg','Literal Femur of OA_37.jpg','Literal Femur of OA_38.jpg','Literal Femur of OA_39.jpg','Literal Femur of OA_4.jpg','Literal Femur of OA_40.jpg','Literal Femur of OA_41.jpg','Literal Femur of OA_42.jpg','Literal Femur of OA_43.jpg','Literal Femur of OA_44.jpg','Literal Femur of OA_45.jpg','Literal Femur of OA_46.jpg','Literal Femur of OA_47.jpg','Literal Femur of OA_48.jpg','Literal Femur of OA_49.jpg','Literal Femur of OA_5.jpg','Literal Femur of OA_50.jpg','Literal Femur of OA_51.jpg','Literal Femur of OA_52.jpg','Literal Femur of OA_53.jpg','Literal Femur of OA_54.jpg','Literal Femur of OA_55.jpg','Literal Femur of OA_56.jpg','Literal Femur of OA_57.jpg','Literal Femur of OA_58.jpg','Literal Femur of OA_59.jpg','Literal Femur of OA_6.jpg','Literal Femur of OA_60.jpg','Literal Femur of OA_61.jpg','Literal Femur of OA_62.jpg','Literal Femur of OA_63.jpg','Literal Femur of OA_64.jpg','Literal Femur of OA_65.jpg','Literal Femur of OA_66.jpg','Literal Femur of OA_67.jpg','Literal Femur of OA_68.jpg','Literal Femur of OA_7.jpg','Literal Femur of OA_8.jpg','Literal Femur of OA_9.jpg'}
@attribute LBP_hf_1 numeric
@attribute LBP_hf_2 numeric
@attribute LBP_hf_3 numeric
@attribute LBP_hf_4 numeric
@attribute LBP_hf_5 numeric
@attribute LBP_hf_6 numeric
@attribute LBP_hf_7 numeric
@attribute LBP_hf_8 numeric
@attribute LBP_hf_9 numeric
@attribute LBP_hf_10 numeric
@attribute LBP_hf_11 numeric
@attribute LBP_hf_12 numeric
@attribute LBP_hf_13 numeric
@attribute LBP_hf_14 numeric
@attribute LBP_hf_15 numeric
@attribute LBP_hf_16 numeric
@attribute LBP_hf_17 numeric
@attribute LBP_hf_18 numeric
@attribute LBP_hf_19 numeric
@attribute LBP_hf_20 numeric
@attribute LBP_hf_21 numeric
@attribute LBP_hf_22 numeric
@attribute LBP_hf_23 numeric
@attribute LBP_hf_24 numeric
@attribute LBP_hf_25 numeric
@attribute LBP_hf_26 numeric
@attribute LBP_hf_27 numeric
@attribute LBP_hf_28 numeric
@attribute LBP_hf_29 numeric
@attribute LBP_hf_30 numeric
@attribute LBP_hf_31 numeric
@attribute LBP_hf_32 numeric
@attribute LBP_hf_33 numeric
@attribute LBP_hf_34 numeric
@attribute LBP_hf_35 numeric
@attribute LBP_hf_36 numeric
@attribute LBP_hf_37 numeric
@attribute LBP_hf_38 numeric
@attribute class {Nor,OA}

@data
'Literal Femur of Normal_1.jpg',0.0698,0.00354,0.0183,0.00344,0.0663,0.0496,0.0034,0.00374,0.00305,0.00163,0.131,0.00618,0.00349,0.00394,0.0726,0.177,0.00437,0.0311,0.0106,0.00102,0.191,0.0102,0.032,0.00586,0.0663,0.0987,0.00584,0.00308,0.00139,0.00235,0.0776,0.00324,0.0214,0.000398,0.0328,0.0264,0.0751,0.105,Nor
'Literal Femur of Normal_10.jpg',0.0757,0.000199,0.023,0.000914,0.0686,0.0675,0.00285,0.00674,0.00307,0.00224,0.131,0.0056,0.0164,0.00314,0.0462,0.179,0.00464,0.0631,0.0101,0.00694,0.164,0.0104,0.0385,0.00202,0.0253,0.107,0.00403,0.00937,0.00475,0.00051,0.072,0.00365,0.027,0.00154,0.0431,0.0357,0.0627,0.105,Nor
'Literal Femur of Normal_11.jpg',0.0725,0.002,0.00806,0.00251,0.0693,0.0604,0.00069,0.0047,0.00466,0.000408,0.136,0.00275,0.0106,0.00157,0.0664,0.171,0.00459,0.0366,0.000172,0.0049,0.165,0.00294,0.0252,0.00457,0.0345,0.106,0.00301,0.00131,0.00141,0.00163,0.0734,0.0011,0.0108,0.0011,0.0421,0.0326,0.0737,0.109,Nor
'Literal Femur of Normal_12.jpg',0.0705,0.00236,0.031,0.00317,0.065,0.06,0.0014,0.00602,0.00223,0.000612,0.137,0.0049,0.023,0.00463,0.0405,0.205,0.0174,0.0801,0.00898,0.00235,0.173,0.00673,0.0397,0.00387,0.0262,0.0988,0.00437,0.00691,0.0012,0.000204,0.0694,0.00299,0.0241,0.00168,0.0408,0.0345,0.0561,0.096,Nor
'Literal Femur of Normal_13.jpg',0.0874,0.00406,0.0415,0.00251,0.0813,0.0666,0.000727,0.00761,0.000341,0.000918,0.122,0.005,0.02,0.00283,0.0367,0.173,0.00973,0.0699,0.00316,0.0107,0.155,0.00587,0.045,0.000507,0.0188,0.0953,0.000789,0.0104,0.0022,0.00204,0.0855,0.000962,0.0431,0.000757,0.0569,0.0412,0.0642,0.11,Nor
'Literal Femur of Normal_14.jpg',0.0712,0.000334,0.028,0.000589,0.0667,0.0635,0.00403,0.00317,0.000982,0.00469,0.133,0.0046,0.0119,0.00265,0.0569,0.182,0.00636,0.0544,0.00785,0.00306,0.171,0.00453,0.0336,0.00108,0.0267,0.101,0.00298,0.00726,0.00256,0.000714,0.0732,0.000443,0.0191,0.00148,0.0458,0.0363,0.064,0.105,Nor
'Literal Femur of Normal_15.jpg',0.0709,0.0021,0.0147,0.0024,0.0658,0.0684,0.00232,0.00574,0.0022,0.000816,0.139,0.00396,0.0114,0.00256,0.0558,0.176,0.00649,0.0299,0.00823,0.00898,0.161,0.00387,0.0214,0.00328,0.0203,0.103,0.00233,0.00402,0.00358,0.0049,0.0721,0.0018,0.0141,0.00356,0.0425,0.0374,0.0673,0.105,Nor
'Literal Femur of Normal_16.jpg',0.0786,0.000843,0.00185,0.000911,0.0712,0.0755,0.00305,0.00217,0.00188,0.00326,0.13,0.000956,0.0116,0.00189,0.0481,0.153,0.00205,0.0229,0.00275,0.00633,0.148,0.00165,0.0173,0.00152,0.00745,0.0978,0.00637,0.00598,0.00264,0.00112,0.0789,0.00692,0.00533,0.0024,0.0536,0.0466,0.0708,0.122,Nor
'Literal Femur of Normal_17.jpg',0.0796,0.00413,0.0237,0.00436,0.0731,0.0716,0.00216,0.00607,0.00424,0.00694,0.132,0.00278,0.0176,0.00308,0.0424,0.163,0.00743,0.0402,0.00293,0.000408,0.163,0.00235,0.0227,0.00433,0.0113,0.101,0.00408,0.004,0.00421,0.00214,0.0735,0.00128,0.0193,0.00236,0.0484,0.0431,0.0676,0.105,Nor
'Literal Femur of Normal_18.jpg',0.0813,0.000217,0.00735,0.000473,0.0732,0.0688,0.00533,0.00384,0.002,0.00122,0.124,0.00548,0.00669,0.00238,0.0522,0.148,0.00594,0.0153,0.00399,0.0103,0.15,0.00459,0.00889,0.00357,0.0147,0.104,0.000832,0.00296,0.00377,0.00051,0.0791,0.00415,0.0117,0.00276,0.0519,0.0481,0.074,0.122,Nor
'Literal Femur of Normal_19.jpg',0.0715,0.000483,0.0247,0.0022,0.064,0.0719,0.00364,0.00184,0.00143,0.00153,0.137,0.0102,0.0141,0.00275,0.0304,0.185,0.0149,0.0514,0.00361,0.00163,0.162,0.00604,0.0308,0.00213,0.0099,0.0968,0.00469,0.00791,0.00171,0.00398,0.072,0.00528,0.0207,0.00245,0.0429,0.0429,0.0593,0.102,Nor
'Literal Femur of Normal_2.jpg',0.096,0.00517,0.041,0.00361,0.0868,0.0644,0.0013,0.00663,0.00223,0.00316,0.118,0.00535,0.0128,0.00141,0.0465,0.136,0.00397,0.0316,0.00285,0.00316,0.131,0.00457,0.0222,0.00639,0.0186,0.0957,0.0059,0.009,0.0024,0.000204,0.0967,0.000723,0.0395,0.00381,0.0675,0.0515,0.0806,0.13,Nor
'Literal Femur of Normal_20.jpg',0.0734,0.00316,0.0232,0.00402,0.0693,0.0657,0.00191,0.00751,0.000649,0.00367,0.13,0.00388,0.0169,0.00418,0.0454,0.19,0.00608,0.0549,0.00135,0.00265,0.163,0.00407,0.0302,0.00338,0.0168,0.0992,0.00479,0.00845,0.00186,0.00122,0.0751,0.00267,0.0204,0.0051,0.0467,0.0393,0.0608,0.104,Nor
