@relation 'LBP_ri Femur Literal ROI '

@attribute File {'Literal Femur of Normal_1.jpg','Literal Femur of Normal_10.jpg','Literal Femur of Normal_11.jpg','Literal Femur of Normal_12.jpg','Literal Femur of Normal_13.jpg','Literal Femur of Normal_14.jpg','Literal Femur of Normal_15.jpg','Literal Femur of Normal_16.jpg','Literal Femur of Normal_17.jpg','Literal Femur of Normal_18.jpg','Literal Femur of Normal_19.jpg','Literal Femur of Normal_2.jpg','Literal Femur of Normal_20.jpg','Literal Femur of Normal_21.jpg','Literal Femur of Normal_22.jpg','Literal Femur of Normal_23.jpg','Literal Femur of Normal_24.jpg','Literal Femur of Normal_25.jpg','Literal Femur of Normal_26.jpg','Literal Femur of Normal_27.jpg','Literal Femur of Normal_28.jpg','Literal Femur of Normal_29.jpg','Literal Femur of Normal_3.jpg','Literal Femur of Normal_30.jpg','Literal Femur of Normal_31.jpg','Literal Femur of Normal_32.jpg','Literal Femur of Normal_33.jpg','Literal Femur of Normal_34.jpg','Literal Femur of Normal_35.jpg','Literal Femur of Normal_36.jpg','Literal Femur of Normal_37.jpg','Literal Femur of Normal_38.jpg','Literal Femur of Normal_39.jpg','Literal Femur of Normal_4.jpg','Literal Femur of Normal_40.jpg','Literal Femur of Normal_41.jpg','Literal Femur of Normal_42.jpg','Literal Femur of Normal_43.jpg','Literal Femur of Normal_44.jpg','Literal Femur of Normal_45.jpg','Literal Femur of Normal_46.jpg','Literal Femur of Normal_47.jpg','Literal Femur of Normal_48.jpg','Literal Femur of Normal_49.jpg','Literal Femur of Normal_5.jpg','Literal Femur of Normal_50.jpg','Literal Femur of Normal_51.jpg','Literal Femur of Normal_52.jpg','Literal Femur of Normal_53.jpg','Literal Femur of Normal_54.jpg','Literal Femur of Normal_55.jpg','Literal Femur of Normal_56.jpg','Literal Femur of Normal_57.jpg','Literal Femur of Normal_58.jpg','Literal Femur of Normal_59.jpg','Literal Femur of Normal_6.jpg','Literal Femur of Normal_60.jpg','Literal Femur of Normal_61.jpg','Literal Femur of Normal_62.jpg','Literal Femur of Normal_63.jpg','Literal Femur of Normal_7.jpg','Literal Femur of Normal_8.jpg','Literal Femur of Normal_9.jpg','Literal Femur of OA_1.jpg','Literal Femur of OA_10.jpg','Literal Femur of OA_11.jpg','Literal Femur of OA_12.jpg','Literal Femur of OA_13.jpg','Literal Femur of OA_14.jpg','Literal Femur of OA_15.jpg','Literal Femur of OA_16.jpg','Literal Femur of OA_17.jpg','Literal Femur of OA_18.jpg','Literal Femur of OA_19.jpg','Literal Femur of OA_2.jpg','Literal Femur of OA_20.jpg','Literal Femur of OA_21.jpg','Literal Femur of OA_22.jpg','Literal Femur of OA_23.jpg','Literal Femur of OA_24.jpg','Literal Femur of OA_25.jpg','Literal Femur of OA_26.jpg','Literal Femur of OA_27.jpg','Literal Femur of OA_28.jpg','Literal Femur of OA_29.jpg','Literal Femur of OA_3.jpg','Literal Femur of OA_30.jpg','Literal Femur of OA_31.jpg','Literal Femur of OA_32.jpg','Literal Femur of OA_33.jpg','Literal Femur of OA_34.jpg','Literal Femur of OA_35.jpg','Literal Femur of OA_36.jpg','Literal Femur of OA_37.jpg','Literal Femur of OA_38.jpg','Literal Femur of OA_39.jpg','Literal Femur of OA_4.jpg','Literal Femur of OA_40.jpg','Literal Femur of OA_41.jpg','Literal Femur of OA_42.jpg','Literal Femur of OA_43.jpg','Literal Femur of OA_44.jpg','Literal Femur of OA_45.jpg','Literal Femur of OA_46.jpg','Literal Femur of OA_47.jpg','Literal Femur of OA_48.jpg','Literal Femur of OA_49.jpg','Literal Femur of OA_5.jpg','Literal Femur of OA_50.jpg','Literal Femur of OA_51.jpg','Literal Femur of OA_52.jpg','Literal Femur of OA_53.jpg','Literal Femur of OA_54.jpg','Literal Femur of OA_55.jpg','Literal Femur of OA_56.jpg','Literal Femur of OA_57.jpg','Literal Femur of OA_58.jpg','Literal Femur of OA_59.jpg','Literal Femur of OA_6.jpg','Literal Femur of OA_60.jpg','Literal Femur of OA_61.jpg','Literal Femur of OA_62.jpg','Literal Femur of OA_63.jpg','Literal Femur of OA_64.jpg','Literal Femur of OA_65.jpg','Literal Femur of OA_66.jpg','Literal Femur of OA_67.jpg','Literal Femur of OA_68.jpg','Literal Femur of OA_7.jpg','Literal Femur of OA_8.jpg','Literal Femur of OA_9.jpg'}
@attribute LBP_ri_1 numeric
@attribute LBP_ri_2 numeric
@attribute LBP_ri_3 numeric
@attribute LBP_ri_4 numeric
@attribute LBP_ri_5 numeric
@attribute LBP_ri_6 numeric
@attribute LBP_ri_7 numeric
@attribute LBP_ri_8 numeric
@attribute LBP_ri_9 numeric
@attribute LBP_ri_10 numeric
@attribute LBP_ri_11 numeric
@attribute LBP_ri_12 numeric
@attribute LBP_ri_13 numeric
@attribute LBP_ri_14 numeric
@attribute LBP_ri_15 numeric
@attribute LBP_ri_16 numeric
@attribute LBP_ri_17 numeric
@attribute LBP_ri_18 numeric
@attribute LBP_ri_19 numeric
@attribute LBP_ri_20 numeric
@attribute LBP_ri_21 numeric
@attribute LBP_ri_22 numeric
@attribute LBP_ri_23 numeric
@attribute LBP_ri_24 numeric
@attribute LBP_ri_25 numeric
@attribute LBP_ri_26 numeric
@attribute LBP_ri_27 numeric
@attribute LBP_ri_28 numeric
@attribute LBP_ri_29 numeric
@attribute LBP_ri_30 numeric
@attribute LBP_ri_31 numeric
@attribute LBP_ri_32 numeric
@attribute LBP_ri_33 numeric
@attribute LBP_ri_34 numeric
@attribute LBP_ri_35 numeric
@attribute LBP_ri_36 numeric
@attribute class {Nor,OA}

@data
'Literal Femur of Normal_1.jpg',259,684,486,79,1280,31,40,42,1730,127,57,6,77,55,55,91,1868,0,59,0,1,42,14,0,53,56,37,967,0,3,1,30,39,35,761,736,Nor
'Literal Femur of Normal_10.jpg',350,742,662,83,1287,35,29,39,1754,96,73,4,55,72,65,65,1608,1,62,3,0,48,29,1,64,71,36,1049,0,3,2,13,41,38,706,615,Nor
'Literal Femur of Normal_11.jpg',320,711,592,87,1337,23,57,48,1678,93,75,5,71,69,54,62,1620,0,64,2,1,40,27,3,51,67,38,1036,0,0,3,21,62,43,719,722,Nor
'Literal Femur of Normal_12.jpg',338,691,588,59,1343,19,52,41,2005,92,59,2,60,74,53,70,1697,3,56,5,0,30,21,1,49,50,38,968,0,2,1,19,39,46,680,550,Nor
'Literal Femur of Normal_13.jpg',404,857,653,76,1196,26,53,39,1699,118,70,4,65,70,62,57,1516,1,67,0,2,37,29,1,68,74,42,934,0,1,0,24,36,53,838,629,Nor
'Literal Femur of Normal_14.jpg',356,698,622,91,1302,24,34,41,1782,121,69,6,68,73,53,45,1676,2,53,0,2,30,34,1,60,59,37,993,0,0,0,37,43,45,717,627,Nor
'Literal Femur of Normal_15.jpg',367,695,670,73,1359,32,39,47,1728,71,54,5,58,86,58,66,1581,3,76,1,0,35,38,2,73,62,41,1008,0,0,3,21,48,34,707,660,Nor
'Literal Femur of Normal_16.jpg',457,770,740,95,1271,38,54,55,1498,78,79,5,61,97,66,72,1447,2,77,5,2,55,41,3,60,58,50,959,1,0,1,34,54,49,773,694,Nor
'Literal Femur of Normal_17.jpg',422,780,702,83,1294,29,43,38,1602,91,91,6,55,78,60,59,1597,1,69,0,0,31,28,0,62,73,31,987,0,0,0,20,42,44,720,663,Nor
'Literal Femur of Normal_18.jpg',471,797,674,105,1220,35,53,42,1455,97,85,6,80,91,73,69,1468,2,80,1,2,51,35,2,70,59,33,1021,0,1,4,24,56,39,775,725,Nor
'Literal Femur of Normal_19.jpg',420,701,705,74,1340,26,30,45,1810,96,88,3,45,74,53,57,1591,4,70,1,0,37,31,0,57,60,40,949,0,0,0,23,32,52,706,581,Nor
'Literal Femur of Normal_2.jpg',505,941,631,73,1154,40,44,50,1333,151,90,10,61,73,69,54,1284,3,88,2,4,51,33,1,87,77,50,938,0,3,4,33,53,73,948,790,Nor
'Literal Femur of Normal_20.jpg',385,719,644,79,1271,35,38,59,1862,83,85,0,49,81,64,59,1599,0,56,2,0,35,18,1,51,69,40,972,0,2,2,25,50,34,736,596,Nor
'Literal Femur of Normal_21.jpg',434,821,696,76,1343,32,41,46,1673,84,78,5,43,65,56,73,1476,0,64,5,0,50,30,1,68,79,44,990,0,1,2,24,43,34,739,585,Nor
'Literal Femur of Normal_22.jpg',390,771,671,75,1288,36,47,48,1849,96,57,5,58,84,52,75,1483,0,62,1,0,38,42,0,40,63,34,955,0,3,3,19,46,44,732,634,Nor
'Literal Femur of Normal_23.jpg',376,792,605,74,1313,40,40,46,1531,120,89,4,58,79,55,78,1500,3,60,1,2,40,40,3,57,68,35,1084,0,0,3,29,35,52,742,747,Nor
'Literal Femur of Normal_24.jpg',416,737,676,59,1390,33,52,40,1909,79,61,4,51,69,67,60,1612,0,61,1,0,49,30,1,66,44,31,909,0,1,2,18,51,43,694,584,Nor
'Literal Femur of Normal_25.jpg',374,723,643,56,1335,36,34,34,1900,87,60,3,55,69,46,63,1681,0,55,1,1,31,41,0,64,60,42,950,0,1,1,17,39,36,692,571,Nor
'Literal Femur of Normal_26.jpg',476,819,688,81,1263,29,46,40,1466,81,81,7,54,80,83,69,1473,1,89,1,3,37,38,2,69,76,30,1001,1,0,4,32,50,52,799,680,Nor
'Literal Femur of Normal_27.jpg',394,808,615,97,1211,37,45,50,1659,103,79,6,65,75,54,55,1493,1,77,2,3,48,36,5,58,63,37,1043,0,1,1,19,52,44,762,703,Nor
'Literal Femur of Normal_28.jpg',437,786,659,90,1241,26,50,47,1697,113,71,5,61,68,52,68,1475,1,59,2,4,37,40,4,67,63,40,1001,0,1,0,34,48,40,781,633,Nor
'Literal Femur of Normal_29.jpg',400,785,624,68,1264,27,46,49,1815,113,70,5,54,75,54,56,1587,1,78,2,0,35,28,1,61,66,34,910,0,4,3,19,47,46,766,608,Nor
'Literal Femur of Normal_3.jpg',586,1036,652,82,1037,60,43,58,1219,182,87,6,76,89,75,71,1069,2,83,3,6,63,29,4,80,75,69,867,0,1,7,54,94,79,1047,909,Nor
'Literal Femur of Normal_30.jpg',373,665,683,67,1427,33,34,49,1936,68,79,2,55,63,64,58,1647,0,58,1,1,44,38,2,59,47,31,971,0,2,3,25,48,29,601,538,Nor
'Literal Femur of Normal_31.jpg',391,681,686,84,1335,27,38,37,1724,92,78,3,74,80,77,63,1556,0,78,1,1,43,26,1,84,75,31,977,0,1,0,24,44,31,721,637,Nor
'Literal Femur of Normal_32.jpg',291,693,585,84,1324,23,44,54,1908,90,62,4,56,52,48,64,1728,1,77,1,0,31,29,1,56,61,35,1003,0,0,1,17,35,35,699,609,Nor
'Literal Femur of Normal_33.jpg',337,765,526,68,1253,30,40,39,1867,103,74,7,94,45,43,66,1649,0,68,0,1,41,31,1,52,79,25,1008,0,0,1,21,46,41,728,652,Nor
'Literal Femur of Normal_34.jpg',387,721,710,71,1349,34,37,38,1834,84,60,2,51,78,64,49,1615,1,72,2,2,40,30,0,61,51,37,953,0,0,1,24,46,39,695,563,Nor
