@relation 'LCP Femur Literal ROI '

@attribute File {'Literal Femur of Normal_1.jpg','Literal Femur of Normal_10.jpg','Literal Femur of Normal_11.jpg','Literal Femur of Normal_12.jpg','Literal Femur of Normal_13.jpg','Literal Femur of Normal_14.jpg','Literal Femur of Normal_15.jpg','Literal Femur of Normal_16.jpg','Literal Femur of Normal_17.jpg','Literal Femur of Normal_18.jpg','Literal Femur of Normal_19.jpg','Literal Femur of Normal_2.jpg','Literal Femur of Normal_20.jpg','Literal Femur of Normal_21.jpg','Literal Femur of Normal_22.jpg','Literal Femur of Normal_23.jpg','Literal Femur of Normal_24.jpg','Literal Femur of Normal_25.jpg','Literal Femur of Normal_26.jpg','Literal Femur of Normal_27.jpg','Literal Femur of Normal_28.jpg','Literal Femur of Normal_29.jpg','Literal Femur of Normal_3.jpg','Literal Femur of Normal_30.jpg','Literal Femur of Normal_31.jpg','Literal Femur of Normal_32.jpg','Literal Femur of Normal_33.jpg','Literal Femur of Normal_34.jpg','Literal Femur of Normal_35.jpg','Literal Femur of Normal_36.jpg','Literal Femur of Normal_37.jpg','Literal Femur of Normal_38.jpg','Literal Femur of Normal_39.jpg','Literal Femur of Normal_4.jpg','Literal Femur of Normal_40.jpg','Literal Femur of Normal_41.jpg','Literal Femur of Normal_42.jpg','Literal Femur of Normal_43.jpg','Literal Femur of Normal_44.jpg','Literal Femur of Normal_45.jpg','Literal Femur of Normal_46.jpg','Literal Femur of Normal_47.jpg','Literal Femur of Normal_48.jpg','Literal Femur of Normal_49.jpg','Literal Femur of Normal_5.jpg','Literal Femur of Normal_50.jpg','Literal Femur of Normal_51.jpg','Literal Femur of Normal_52.jpg','Literal Femur of Normal_53.jpg','Literal Femur of Normal_54.jpg','Literal Femur of Normal_55.jpg','Literal Femur of Normal_56.jpg','Literal Femur of Normal_57.jpg','Literal Femur of Normal_58.jpg','Literal Femur of Normal_59.jpg','Literal Femur of Normal_6.jpg','Literal Femur of Normal_60.jpg','Literal Femur of Normal_61.jpg','Literal Femur of Normal_62.jpg','Literal Femur of Normal_63.jpg','Literal Femur of Normal_7.jpg','Literal Femur of Normal_8.jpg','Literal Femur of Normal_9.jpg','Literal Femur of OA_1.jpg','Literal Femur of OA_10.jpg','Literal Femur of OA_11.jpg','Literal Femur of OA_12.jpg','Literal Femur of OA_13.jpg','Literal Femur of OA_14.jpg','Literal Femur of OA_15.jpg','Literal Femur of OA_16.jpg','Literal Femur of OA_17.jpg','Literal Femur of OA_18.jpg','Literal Femur of OA_19.jpg','Literal Femur of OA_2.jpg','Literal Femur of OA_20.jpg','Literal Femur of OA_21.jpg','Literal Femur of OA_22.jpg','Literal Femur of OA_23.jpg','Literal Femur of OA_24.jpg','Literal Femur of OA_25.jpg','Literal Femur of OA_26.jpg','Literal Femur of OA_27.jpg','Literal Femur of OA_28.jpg','Literal Femur of OA_29.jpg','Literal Femur of OA_3.jpg','Literal Femur of OA_30.jpg','Literal Femur of OA_31.jpg','Literal Femur of OA_32.jpg','Literal Femur of OA_33.jpg','Literal Femur of OA_34.jpg','Literal Femur of OA_35.jpg','Literal Femur of OA_36.jpg','Literal Femur of OA_37.jpg','Literal Femur of OA_38.jpg','Literal Femur of OA_39.jpg','Literal Femur of OA_4.jpg','Literal Femur of OA_40.jpg','Literal Femur of OA_41.jpg','Literal Femur of OA_42.jpg','Literal Femur of OA_43.jpg','Literal Femur of OA_44.jpg','Literal Femur of OA_45.jpg','Literal Femur of OA_46.jpg','Literal Femur of OA_47.jpg','Literal Femur of OA_48.jpg','Literal Femur of OA_49.jpg','Literal Femur of OA_5.jpg','Literal Femur of OA_50.jpg','Literal Femur of OA_51.jpg','Literal Femur of OA_52.jpg','Literal Femur of OA_53.jpg','Literal Femur of OA_54.jpg','Literal Femur of OA_55.jpg','Literal Femur of OA_56.jpg','Literal Femur of OA_57.jpg','Literal Femur of OA_58.jpg','Literal Femur of OA_59.jpg','Literal Femur of OA_6.jpg','Literal Femur of OA_60.jpg','Literal Femur of OA_61.jpg','Literal Femur of OA_62.jpg','Literal Femur of OA_63.jpg','Literal Femur of OA_64.jpg','Literal Femur of OA_65.jpg','Literal Femur of OA_66.jpg','Literal Femur of OA_67.jpg','Literal Femur of OA_68.jpg','Literal Femur of OA_7.jpg','Literal Femur of OA_8.jpg','Literal Femur of OA_9.jpg'}
@attribute LCP_1 numeric
@attribute LCP_2 numeric
@attribute LCP_3 numeric
@attribute LCP_4 numeric
@attribute LCP_5 numeric
@attribute LCP_6 numeric
@attribute LCP_7 numeric
@attribute LCP_8 numeric
@attribute LCP_9 numeric
@attribute LCP_10 numeric
@attribute LCP_11 numeric
@attribute LCP_12 numeric
@attribute LCP_13 numeric
@attribute LCP_14 numeric
@attribute LCP_15 numeric
@attribute LCP_16 numeric
@attribute LCP_17 numeric
@attribute LCP_18 numeric
@attribute LCP_19 numeric
@attribute LCP_20 numeric
@attribute LCP_21 numeric
@attribute LCP_22 numeric
@attribute LCP_23 numeric
@attribute LCP_24 numeric
@attribute LCP_25 numeric
@attribute LCP_26 numeric
@attribute LCP_27 numeric
@attribute LCP_28 numeric
@attribute LCP_29 numeric
@attribute LCP_30 numeric
@attribute LCP_31 numeric
@attribute LCP_32 numeric
@attribute LCP_33 numeric
@attribute LCP_34 numeric
@attribute LCP_35 numeric
@attribute LCP_36 numeric
@attribute LCP_37 numeric
@attribute LCP_38 numeric
@attribute LCP_39 numeric
@attribute LCP_40 numeric
@attribute LCP_41 numeric
@attribute LCP_42 numeric
@attribute LCP_43 numeric
@attribute LCP_44 numeric
@attribute LCP_45 numeric
@attribute LCP_46 numeric
@attribute LCP_47 numeric
@attribute LCP_48 numeric
@attribute LCP_49 numeric
@attribute LCP_50 numeric
@attribute LCP_51 numeric
@attribute LCP_52 numeric
@attribute LCP_53 numeric
@attribute LCP_54 numeric
@attribute LCP_55 numeric
@attribute LCP_56 numeric
@attribute LCP_57 numeric
@attribute LCP_58 numeric
@attribute LCP_59 numeric
@attribute LCP_60 numeric
@attribute LCP_61 numeric
@attribute LCP_62 numeric
@attribute LCP_63 numeric
@attribute LCP_64 numeric
@attribute LCP_65 numeric
@attribute LCP_66 numeric
@attribute LCP_67 numeric
@attribute LCP_68 numeric
@attribute LCP_69 numeric
@attribute LCP_70 numeric
@attribute LCP_71 numeric
@attribute LCP_72 numeric
@attribute LCP_73 numeric
@attribute LCP_74 numeric
@attribute LCP_75 numeric
@attribute LCP_76 numeric
@attribute LCP_77 numeric
@attribute LCP_78 numeric
@attribute LCP_79 numeric
@attribute LCP_80 numeric
@attribute LCP_81 numeric
@attribute class {Nor,OA}

@data
'Literal Femur of Normal_1.jpg',1.03,0.0751,0.298,0.0874,0.189,0.0874,0.298,0.0751,636,1.02,0.0355,0.127,0.0329,0.253,0.0329,0.127,0.0355,841,1.01,0.0168,0.111,0.207,0.189,0.207,0.111,0.0168,700,1.01,0.00623,0.13,0.0839,0.15,0.0839,0.13,0.00623,775,1,0.00933,0.26,0.0397,0.0709,0.0397,0.26,0.00933,811,0.995,0.0191,0.161,0.134,0.162,0.134,0.161,0.0191,927,0.99,0.0361,0.146,0.0591,0.231,0.0591,0.146,0.0361,868,0.985,0.0449,0.244,0.0965,0.285,0.0965,0.244,0.0449,915,0.976,0.0211,0.356,0.12,0.21,0.12,0.356,0.0211,910,Nor
'Literal Femur of Normal_10.jpg',1.05,0.105,0.523,0.0223,0.0599,0.0223,0.523,0.105,837,1.04,0.0856,0.31,0.0351,0.153,0.0351,0.31,0.0856,945,1.02,0.106,0.114,0.0386,0.192,0.0386,0.114,0.106,634,1.01,0.0282,0.147,0.0697,0.00276,0.0697,0.147,0.0282,602,1,0.0574,0.264,0.0396,0.125,0.0396,0.264,0.0574,636,0.989,0.0218,0.14,0.0185,0.138,0.0185,0.14,0.0218,669,0.978,0.0847,0.144,0.106,0.0764,0.106,0.144,0.0847,808,0.969,0.111,0.436,0.112,0.0503,0.112,0.436,0.111,959,0.95,0.0184,0.652,0.123,0.227,0.123,0.652,0.0184,1003,Nor
'Literal Femur of Normal_11.jpg',1.04,0.0734,0.36,0.0654,0.218,0.0654,0.36,0.0734,848,1.03,0.105,0.197,0.154,0.204,0.154,0.197,0.105,895,1.02,0.0581,0.0784,0.117,0.0163,0.117,0.0784,0.0581,664,1.01,0.023,0.0913,0.103,0.0546,0.103,0.0913,0.023,589,1,0.0234,0.223,0.0421,0.0875,0.0421,0.223,0.0234,618,0.993,0.0401,0.107,0.0233,0.142,0.0233,0.107,0.0401,622,0.983,0.0511,0.108,0.0368,0.0181,0.0368,0.108,0.0511,783,0.975,0.0355,0.236,0.0149,0.0777,0.0149,0.236,0.0355,971,0.96,0.0942,0.272,0.0417,0.154,0.0417,0.272,0.0942,1060,Nor
'Literal Femur of Normal_12.jpg',1.05,0.099,0.555,0.0375,0.27,0.0375,0.555,0.099,758,1.03,0.0688,0.375,0.0235,0.0845,0.0235,0.375,0.0688,917,1.03,0.0423,0.171,0.0983,0.0464,0.0983,0.171,0.0423,608,1.02,0.00264,0.216,0.076,0.105,0.076,0.216,0.00264,650,1,0.00938,0.427,0.092,0.196,0.092,0.427,0.00938,898,0.987,0.0305,0.277,0.047,0.192,0.047,0.277,0.0305,831,0.977,0.0714,0.198,0.0796,0.0865,0.0796,0.198,0.0714,831,0.967,0.00664,0.34,0.0207,0.262,0.0207,0.34,0.00664,910,0.953,0.0361,0.675,0.0535,0.243,0.0535,0.675,0.0361,874,Nor
'Literal Femur of Normal_13.jpg',1.06,0.0984,0.646,0.0349,0.459,0.0349,0.646,0.0984,910,1.04,0.0679,0.467,0.0103,0.542,0.0103,0.467,0.0679,999,1.03,0.0707,0.201,0.132,0.112,0.132,0.201,0.0707,605,1.02,0.0487,0.176,0.0134,0.0325,0.0134,0.176,0.0487,488,1,0.0237,0.293,0.0986,0.00528,0.0986,0.293,0.0237,555,0.988,0.0219,0.187,0.0206,0.214,0.0206,0.187,0.0219,582,0.977,0.0939,0.222,0.0194,0.0907,0.0194,0.222,0.0939,647,0.966,0.0227,0.474,0.0603,0.4,0.0603,0.474,0.0227,1114,0.945,0.0696,0.707,0.0994,0.313,0.0994,0.707,0.0696,1032,Nor
'Literal Femur of Normal_14.jpg',1.04,0.0884,0.386,0.0307,0.128,0.0307,0.386,0.0884,863,1.03,0.007,0.284,0.0419,0.0612,0.0419,0.284,0.007,883,1.02,0.0531,0.0943,0.0864,0.0601,0.0864,0.0943,0.0531,669,1.01,0.0197,0.105,0.0216,0.181,0.0216,0.105,0.0197,587,1,0.0194,0.221,0.0368,0.0969,0.0368,0.221,0.0194,623,0.992,0.0298,0.0711,0.0208,0.153,0.0208,0.0711,0.0298,681,0.981,0.0402,0.124,0.0835,0.272,0.0835,0.124,0.0402,826,0.972,0.0332,0.281,0.065,0.000969,0.065,0.281,0.0332,979,0.956,0.0603,0.478,0.108,0.0281,0.108,0.478,0.0603,969,Nor
'Literal Femur of Normal_15.jpg',1.05,0.0722,0.322,0.0738,0.418,0.0738,0.322,0.0722,912,1.03,0.0347,0.163,0.0897,0.0337,0.0897,0.163,0.0347,897,1.02,0.0168,0.0828,0.0263,0.0637,0.0263,0.0828,0.0168,722,1.01,0.00946,0.0543,0.0999,0.0492,0.0999,0.0543,0.00946,569,1,0.0246,0.134,0.0429,0.0768,0.0429,0.134,0.0246,546,0.992,0.0202,0.0811,0.0355,0.0558,0.0355,0.0811,0.0202,630,0.979,0.0265,0.119,0.109,0.232,0.109,0.119,0.0265,796,0.968,0.0423,0.194,0.0559,0.108,0.0559,0.194,0.0423,1000,0.951,0.0658,0.396,0.164,0.369,0.164,0.396,0.0658,1051,Nor
'Literal Femur of Normal_16.jpg',1.06,0.088,0.262,0.0976,0.336,0.0976,0.262,0.088,882,1.04,0.00538,0.115,0.147,0.0185,0.147,0.115,0.00538,888,1.03,0.0672,0.0642,0.0492,0.0723,0.0492,0.0642,0.0672,697,1.02,0.0372,0.106,0.146,0.162,0.146,0.106,0.0372,603,1,0.0234,0.221,0.0281,0.233,0.0281,0.221,0.0234,645,0.988,0.0201,0.124,0.112,0.279,0.112,0.124,0.0201,628,0.974,0.0186,0.0664,0.0561,0.234,0.0561,0.0664,0.0186,796,0.96,0.0171,0.239,0.0733,0.0549,0.0733,0.239,0.0171,928,0.936,0.0911,0.396,0.0191,0.238,0.0191,0.396,0.0911,1001,Nor
'Literal Femur of Normal_17.jpg',1.07,0.0435,0.47,0.0732,0.264,0.0732,0.47,0.0435,913,1.05,0.049,0.319,0.0592,0.229,0.0592,0.319,0.049,944,1.03,0.0586,0.131,0.0662,0.00664,0.0662,0.131,0.0586,606,1.02,0.0292,0.0526,0.0464,0.0286,0.0464,0.0526,0.0292,547,1,0.0132,0.162,0.103,0.04,0.103,0.162,0.0132,537,0.987,0.0452,0.0219,0.0332,0.228,0.0332,0.0219,0.0452,582,0.97,0.0138,0.106,0.109,0.0268,0.109,0.106,0.0138,717,0.955,0.068,0.312,0.0649,0.177,0.0649,0.312,0.068,1011,0.933,0.113,0.599,0.158,0.571,0.158,0.599,0.113,1083,Nor
'Literal Femur of Normal_18.jpg',1.05,0.0761,0.351,0.026,0.402,0.026,0.351,0.0761,968,1.03,0.0857,0.189,0.0335,0.0077,0.0335,0.189,0.0857,976,1.02,0.047,0.0729,0.0728,0.024,0.0728,0.0729,0.047,628,1.01,0.0345,0.0605,0.021,0.052,0.021,0.0605,0.0345,453,1,0.0288,0.139,0.031,0.031,0.031,0.139,0.0288,464,0.993,0.0268,0.0104,0.0394,0.171,0.0394,0.0104,0.0268,509,0.982,0.0364,0.0685,0.123,0.25,0.123,0.0685,0.0364,746,0.971,0.0455,0.13,0.0694,0.155,0.0694,0.13,0.0455,957,0.953,0.0897,0.257,0.0739,0.122,0.0739,0.257,0.0897,1146,Nor
