@relation 'RLBP all Femur literal ROI '

@attribute File {'Literal Femur of Normal_1.jpg','Literal Femur of Normal_10.jpg','Literal Femur of Normal_11.jpg','Literal Femur of Normal_12.jpg','Literal Femur of Normal_13.jpg','Literal Femur of Normal_14.jpg','Literal Femur of Normal_15.jpg','Literal Femur of Normal_16.jpg','Literal Femur of Normal_17.jpg','Literal Femur of Normal_18.jpg','Literal Femur of Normal_19.jpg','Literal Femur of Normal_2.jpg','Literal Femur of Normal_20.jpg','Literal Femur of Normal_21.jpg','Literal Femur of Normal_22.jpg','Literal Femur of Normal_23.jpg','Literal Femur of Normal_24.jpg','Literal Femur of Normal_25.jpg','Literal Femur of Normal_26.jpg','Literal Femur of Normal_27.jpg','Literal Femur of Normal_28.jpg','Literal Femur of Normal_29.jpg','Literal Femur of Normal_3.jpg','Literal Femur of Normal_30.jpg','Literal Femur of Normal_31.jpg','Literal Femur of Normal_32.jpg','Literal Femur of Normal_33.jpg','Literal Femur of Normal_34.jpg','Literal Femur of Normal_35.jpg','Literal Femur of Normal_36.jpg','Literal Femur of Normal_37.jpg','Literal Femur of Normal_38.jpg','Literal Femur of Normal_39.jpg','Literal Femur of Normal_4.jpg','Literal Femur of Normal_40.jpg','Literal Femur of Normal_41.jpg','Literal Femur of Normal_42.jpg','Literal Femur of Normal_43.jpg','Literal Femur of Normal_44.jpg','Literal Femur of Normal_45.jpg','Literal Femur of Normal_46.jpg','Literal Femur of Normal_47.jpg','Literal Femur of Normal_48.jpg','Literal Femur of Normal_49.jpg','Literal Femur of Normal_5.jpg','Literal Femur of Normal_50.jpg','Literal Femur of Normal_51.jpg','Literal Femur of Normal_52.jpg','Literal Femur of Normal_53.jpg','Literal Femur of Normal_54.jpg','Literal Femur of Normal_55.jpg','Literal Femur of Normal_56.jpg','Literal Femur of Normal_57.jpg','Literal Femur of Normal_58.jpg','Literal Femur of Normal_59.jpg','Literal Femur of Normal_6.jpg','Literal Femur of Normal_60.jpg','Literal Femur of Normal_61.jpg','Literal Femur of Normal_62.jpg','Literal Femur of Normal_63.jpg','Literal Femur of Normal_7.jpg','Literal Femur of Normal_8.jpg','Literal Femur of Normal_9.jpg','Literal Femur of OA_1.jpg','Literal Femur of OA_10.jpg','Literal Femur of OA_11.jpg','Literal Femur of OA_12.jpg','Literal Femur of OA_13.jpg','Literal Femur of OA_14.jpg','Literal Femur of OA_15.jpg','Literal Femur of OA_16.jpg','Literal Femur of OA_17.jpg','Literal Femur of OA_18.jpg','Literal Femur of OA_19.jpg','Literal Femur of OA_2.jpg','Literal Femur of OA_20.jpg','Literal Femur of OA_21.jpg','Literal Femur of OA_22.jpg','Literal Femur of OA_23.jpg','Literal Femur of OA_24.jpg','Literal Femur of OA_25.jpg','Literal Femur of OA_26.jpg','Literal Femur of OA_27.jpg','Literal Femur of OA_28.jpg','Literal Femur of OA_29.jpg','Literal Femur of OA_3.jpg','Literal Femur of OA_30.jpg','Literal Femur of OA_31.jpg','Literal Femur of OA_32.jpg','Literal Femur of OA_33.jpg','Literal Femur of OA_34.jpg','Literal Femur of OA_35.jpg','Literal Femur of OA_36.jpg','Literal Femur of OA_37.jpg','Literal Femur of OA_38.jpg','Literal Femur of OA_39.jpg','Literal Femur of OA_4.jpg','Literal Femur of OA_40.jpg','Literal Femur of OA_41.jpg','Literal Femur of OA_42.jpg','Literal Femur of OA_43.jpg','Literal Femur of OA_44.jpg','Literal Femur of OA_45.jpg','Literal Femur of OA_46.jpg','Literal Femur of OA_47.jpg','Literal Femur of OA_48.jpg','Literal Femur of OA_49.jpg','Literal Femur of OA_5.jpg','Literal Femur of OA_50.jpg','Literal Femur of OA_51.jpg','Literal Femur of OA_52.jpg','Literal Femur of OA_53.jpg','Literal Femur of OA_54.jpg','Literal Femur of OA_55.jpg','Literal Femur of OA_56.jpg','Literal Femur of OA_57.jpg','Literal Femur of OA_58.jpg','Literal Femur of OA_59.jpg','Literal Femur of OA_6.jpg','Literal Femur of OA_60.jpg','Literal Femur of OA_61.jpg','Literal Femur of OA_62.jpg','Literal Femur of OA_63.jpg','Literal Femur of OA_64.jpg','Literal Femur of OA_65.jpg','Literal Femur of OA_66.jpg','Literal Femur of OA_67.jpg','Literal Femur of OA_68.jpg','Literal Femur of OA_7.jpg','Literal Femur of OA_8.jpg','Literal Femur of OA_9.jpg'}
@attribute RLBP_1 numeric
@attribute RLBP_2 numeric
@attribute RLBP_3 numeric
@attribute RLBP_4 numeric
@attribute RLBP_5 numeric
@attribute RLBP_6 numeric
@attribute RLBP_7 numeric
@attribute RLBP_8 numeric
@attribute RLBP_9 numeric
@attribute RLBP_10 numeric
@attribute RLBP_11 numeric
@attribute RLBP_12 numeric
@attribute RLBP_13 numeric
@attribute RLBP_14 numeric
@attribute RLBP_15 numeric
@attribute RLBP_16 numeric
@attribute RLBP_17 numeric
@attribute RLBP_18 numeric
@attribute RLBP_19 numeric
@attribute RLBP_20 numeric
@attribute RLBP_21 numeric
@attribute RLBP_22 numeric
@attribute RLBP_23 numeric
@attribute RLBP_24 numeric
@attribute RLBP_25 numeric
@attribute RLBP_26 numeric
@attribute RLBP_27 numeric
@attribute RLBP_28 numeric
@attribute RLBP_29 numeric
@attribute RLBP_30 numeric
@attribute RLBP_31 numeric
@attribute RLBP_32 numeric
@attribute RLBP_33 numeric
@attribute RLBP_34 numeric
@attribute RLBP_35 numeric
@attribute RLBP_36 numeric
@attribute RLBP_37 numeric
@attribute RLBP_38 numeric
@attribute RLBP_39 numeric
@attribute RLBP_40 numeric
@attribute RLBP_41 numeric
@attribute RLBP_42 numeric
@attribute RLBP_43 numeric
@attribute RLBP_44 numeric
@attribute RLBP_45 numeric
@attribute RLBP_46 numeric
@attribute RLBP_47 numeric
@attribute RLBP_48 numeric
@attribute RLBP_49 numeric
@attribute RLBP_50 numeric
@attribute RLBP_51 numeric
@attribute RLBP_52 numeric
@attribute RLBP_53 numeric
@attribute RLBP_54 numeric
@attribute RLBP_55 numeric
@attribute RLBP_56 numeric
@attribute RLBP_57 numeric
@attribute RLBP_58 numeric
@attribute RLBP_59 numeric
@attribute RLBP_60 numeric
@attribute RLBP_61 numeric
@attribute RLBP_62 numeric
@attribute RLBP_63 numeric
@attribute RLBP_64 numeric
@attribute RLBP_65 numeric
@attribute RLBP_66 numeric
@attribute RLBP_67 numeric
@attribute RLBP_68 numeric
@attribute RLBP_69 numeric
@attribute RLBP_70 numeric
@attribute RLBP_71 numeric
@attribute RLBP_72 numeric
@attribute RLBP_73 numeric
@attribute RLBP_74 numeric
@attribute RLBP_75 numeric
@attribute RLBP_76 numeric
@attribute RLBP_77 numeric
@attribute RLBP_78 numeric
@attribute RLBP_79 numeric
@attribute RLBP_80 numeric
@attribute RLBP_81 numeric
@attribute RLBP_82 numeric
@attribute RLBP_83 numeric
@attribute RLBP_84 numeric
@attribute RLBP_85 numeric
@attribute RLBP_86 numeric
@attribute RLBP_87 numeric
@attribute RLBP_88 numeric
@attribute RLBP_89 numeric
@attribute RLBP_90 numeric
@attribute RLBP_91 numeric
@attribute RLBP_92 numeric
@attribute RLBP_93 numeric
@attribute RLBP_94 numeric
@attribute RLBP_95 numeric
@attribute RLBP_96 numeric
@attribute RLBP_97 numeric
@attribute RLBP_98 numeric
@attribute RLBP_99 numeric
@attribute RLBP_100 numeric
@attribute RLBP_101 numeric
@attribute RLBP_102 numeric
@attribute RLBP_103 numeric
@attribute RLBP_104 numeric
@attribute RLBP_105 numeric
@attribute RLBP_106 numeric
@attribute RLBP_107 numeric
@attribute RLBP_108 numeric
@attribute RLBP_109 numeric
@attribute RLBP_110 numeric
@attribute RLBP_111 numeric
@attribute RLBP_112 numeric
@attribute RLBP_113 numeric
@attribute RLBP_114 numeric
@attribute RLBP_115 numeric
@attribute RLBP_116 numeric
@attribute RLBP_117 numeric
@attribute RLBP_118 numeric
@attribute RLBP_119 numeric
@attribute RLBP_120 numeric
@attribute RLBP_121 numeric
@attribute RLBP_122 numeric
@attribute RLBP_123 numeric
@attribute RLBP_124 numeric
@attribute RLBP_125 numeric
@attribute RLBP_126 numeric
@attribute RLBP_127 numeric
@attribute RLBP_128 numeric
@attribute RLBP_129 numeric
@attribute RLBP_130 numeric
@attribute RLBP_131 numeric
@attribute RLBP_132 numeric
@attribute RLBP_133 numeric
@attribute RLBP_134 numeric
@attribute RLBP_135 numeric
@attribute RLBP_136 numeric
@attribute RLBP_137 numeric
@attribute RLBP_138 numeric
@attribute RLBP_139 numeric
@attribute RLBP_140 numeric
@attribute RLBP_141 numeric
@attribute RLBP_142 numeric
@attribute RLBP_143 numeric
@attribute RLBP_144 numeric
@attribute RLBP_145 numeric
@attribute RLBP_146 numeric
@attribute RLBP_147 numeric
@attribute RLBP_148 numeric
@attribute RLBP_149 numeric
@attribute RLBP_150 numeric
@attribute RLBP_151 numeric
@attribute RLBP_152 numeric
@attribute RLBP_153 numeric
@attribute RLBP_154 numeric
@attribute RLBP_155 numeric
@attribute RLBP_156 numeric
@attribute RLBP_157 numeric
@attribute RLBP_158 numeric
@attribute RLBP_159 numeric
@attribute RLBP_160 numeric
@attribute RLBP_161 numeric
@attribute RLBP_162 numeric
@attribute RLBP_163 numeric
@attribute RLBP_164 numeric
@attribute RLBP_165 numeric
@attribute RLBP_166 numeric
@attribute RLBP_167 numeric
@attribute RLBP_168 numeric
@attribute RLBP_169 numeric
@attribute RLBP_170 numeric
@attribute RLBP_171 numeric
@attribute RLBP_172 numeric
@attribute RLBP_173 numeric
@attribute RLBP_174 numeric
@attribute RLBP_175 numeric
@attribute RLBP_176 numeric
@attribute RLBP_177 numeric
@attribute RLBP_178 numeric
@attribute RLBP_179 numeric
@attribute RLBP_180 numeric
@attribute RLBP_181 numeric
@attribute RLBP_182 numeric
@attribute RLBP_183 numeric
@attribute RLBP_184 numeric
@attribute RLBP_185 numeric
@attribute RLBP_186 numeric
@attribute RLBP_187 numeric
@attribute RLBP_188 numeric
@attribute RLBP_189 numeric
@attribute RLBP_190 numeric
@attribute RLBP_191 numeric
@attribute RLBP_192 numeric
@attribute RLBP_193 numeric
@attribute RLBP_194 numeric
@attribute RLBP_195 numeric
@attribute RLBP_196 numeric
@attribute RLBP_197 numeric
@attribute RLBP_198 numeric
@attribute RLBP_199 numeric
@attribute RLBP_200 numeric
@attribute RLBP_201 numeric
@attribute RLBP_202 numeric
@attribute RLBP_203 numeric
@attribute RLBP_204 numeric
@attribute RLBP_205 numeric
@attribute RLBP_206 numeric
@attribute RLBP_207 numeric
@attribute RLBP_208 numeric
@attribute RLBP_209 numeric
@attribute RLBP_210 numeric
@attribute RLBP_211 numeric
@attribute RLBP_212 numeric
@attribute RLBP_213 numeric
@attribute RLBP_214 numeric
@attribute RLBP_215 numeric
@attribute RLBP_216 numeric
@attribute RLBP_217 numeric
@attribute RLBP_218 numeric
@attribute RLBP_219 numeric
@attribute RLBP_220 numeric
@attribute RLBP_221 numeric
@attribute RLBP_222 numeric
@attribute RLBP_223 numeric
@attribute RLBP_224 numeric
@attribute RLBP_225 numeric
@attribute RLBP_226 numeric
@attribute RLBP_227 numeric
@attribute RLBP_228 numeric
@attribute RLBP_229 numeric
@attribute RLBP_230 numeric
@attribute RLBP_231 numeric
@attribute RLBP_232 numeric
@attribute RLBP_233 numeric
@attribute RLBP_234 numeric
@attribute RLBP_235 numeric
@attribute RLBP_236 numeric
@attribute RLBP_237 numeric
@attribute RLBP_238 numeric
@attribute RLBP_239 numeric
@attribute RLBP_240 numeric
@attribute RLBP_241 numeric
@attribute RLBP_242 numeric
@attribute RLBP_243 numeric
@attribute RLBP_244 numeric
@attribute RLBP_245 numeric
@attribute RLBP_246 numeric
@attribute RLBP_247 numeric
@attribute RLBP_248 numeric
@attribute RLBP_249 numeric
@attribute RLBP_250 numeric
@attribute RLBP_251 numeric
@attribute RLBP_252 numeric
@attribute RLBP_253 numeric
@attribute RLBP_254 numeric
@attribute RLBP_255 numeric
@attribute RLBP_256 numeric
@attribute class {Nor,OA}

@data
'Literal Femur of Normal_1.jpg',259,8,168,10,129,3,124,20,80,1,17,3,108,0,289,21,140,6,10,5,31,0,13,4,90,3,14,0,404,4,473,40,141,7,110,9,10,0,38,13,25,0,6,0,19,0,48,9,122,3,26,2,18,0,34,10,303,3,52,18,448,5,656,55,16,0,2,0,11,0,7,0,1,0,0,0,2,0,5,1,1,0,0,0,0,0,0,0,2,0,1,0,5,1,2,2,6,0,4,2,2,0,4,2,3,0,0,1,2,0,7,4,21,0,3,1,7,0,7,1,15,0,0,1,42,1,55,10,2,13,2,22,0,3,2,14,0,4,0,9,0,2,0,12,0,4,0,4,0,0,0,0,0,2,0,0,1,1,0,11,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,3,0,2,0,0,0,5,0,6,13,193,0,370,1,11,5,245,4,29,0,15,6,22,1,195,3,21,0,13,0,1,0,8,3,23,0,13,4,33,2,169,28,379,0,600,1,16,7,232,6,15,1,13,1,10,1,150,10,256,0,199,3,6,1,103,17,210,0,140,10,173,10,736,Nor
'Literal Femur of Normal_10.jpg',350,10,167,4,153,2,163,19,88,0,23,2,138,0,284,21,156,2,16,7,33,0,8,4,143,2,14,6,385,5,484,31,155,0,89,9,13,0,46,11,23,0,3,0,10,0,31,8,155,4,42,6,17,0,46,11,296,4,38,9,450,4,561,59,12,0,3,1,5,0,4,0,2,0,0,0,3,0,2,0,2,1,0,0,0,0,1,0,1,0,0,0,2,0,4,1,12,2,7,1,4,0,8,1,4,0,1,0,1,0,9,4,17,0,1,1,6,0,9,2,16,0,3,4,25,0,48,6,1,17,0,16,1,0,0,11,0,2,0,1,0,4,0,15,0,3,0,0,0,2,0,0,0,7,0,2,0,3,0,18,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,3,1,2,0,2,0,1,0,1,0,2,0,0,0,1,1,4,30,250,5,379,4,16,3,273,8,40,0,20,8,34,3,231,2,14,0,11,0,3,0,3,2,41,0,15,3,36,2,169,20,380,1,413,4,15,2,219,1,13,0,4,3,11,0,160,13,273,1,217,4,1,3,90,17,239,0,130,18,141,6,615,Nor
'Literal Femur of Normal_11.jpg',320,9,151,13,117,1,162,24,116,1,29,3,120,1,300,22,170,5,7,1,43,0,25,5,117,1,25,4,367,0,445,28,133,5,78,5,6,0,51,11,11,0,4,1,20,0,43,8,131,6,48,6,18,1,31,7,329,5,37,10,440,1,587,55,13,1,3,0,9,0,5,0,1,0,0,0,2,0,4,1,1,0,0,0,1,0,0,0,2,0,0,0,2,0,2,0,14,1,3,2,5,0,12,4,2,0,1,0,2,0,8,2,25,1,6,1,3,0,8,3,19,0,5,0,39,2,53,10,2,17,0,16,0,2,0,9,1,7,0,2,0,4,1,13,0,1,0,1,0,0,0,2,0,5,0,1,1,2,0,10,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,3,1,2,0,0,0,4,2,6,18,246,3,360,5,14,3,268,4,33,1,17,4,22,3,221,2,16,0,16,1,0,0,4,7,37,2,23,8,39,3,151,30,373,3,430,3,11,2,209,2,12,0,3,2,25,1,162,10,242,0,230,2,7,2,87,13,239,1,140,19,154,9,722,Nor
'Literal Femur of Normal_12.jpg',338,11,144,11,155,0,123,14,71,1,17,4,128,0,297,17,143,3,14,1,27,0,24,1,114,1,24,2,406,0,507,22,159,1,83,6,2,0,43,5,14,1,2,2,17,0,44,3,154,2,51,7,15,0,32,7,294,2,47,1,530,1,558,39,6,0,1,0,5,0,6,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,10,0,7,0,2,0,7,3,1,0,0,0,4,1,4,0,22,0,4,1,3,1,4,6,14,0,3,0,29,0,35,2,2,22,0,15,0,0,0,8,1,3,0,1,1,6,0,9,0,2,0,2,0,1,0,0,0,4,1,3,1,3,0,10,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,3,0,0,0,1,0,5,26,284,3,474,3,11,2,296,5,37,2,12,3,25,2,207,0,14,0,14,0,1,0,4,5,32,0,16,5,40,4,136,11,442,2,521,2,13,1,235,4,18,0,6,3,18,0,125,13,250,0,236,1,8,0,91,12,193,1,162,13,153,6,550,Nor
'Literal Femur of Normal_13.jpg',404,15,197,14,162,1,151,19,87,1,21,2,129,2,273,14,165,4,12,4,34,0,19,1,133,0,18,2,305,2,439,19,215,2,106,8,8,0,50,3,20,0,2,0,28,1,43,4,172,5,48,9,14,0,41,8,277,4,36,8,437,2,525,51,12,0,1,1,6,1,1,0,0,0,1,0,2,1,6,1,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,2,9,0,3,1,1,0,8,1,1,0,0,0,2,0,7,1,18,0,3,3,3,0,11,2,17,1,2,3,34,0,41,3,4,27,0,17,1,1,0,15,2,4,0,0,1,5,0,14,1,7,0,3,0,0,0,2,0,5,0,2,1,4,0,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0,1,0,3,0,2,1,0,0,6,18,266,3,396,2,17,2,242,4,41,0,18,7,35,4,212,2,15,0,19,0,1,0,7,5,41,0,12,7,49,3,195,21,367,1,414,6,9,3,186,0,16,0,7,1,14,0,164,14,255,1,196,2,6,2,104,13,225,0,150,15,208,8,629,Nor
'Literal Femur of Normal_14.jpg',356,14,151,10,150,1,148,20,93,0,16,2,118,0,324,27,151,6,10,2,52,0,16,2,126,2,17,4,394,3,494,38,128,0,111,4,11,1,45,2,21,0,4,0,14,0,49,5,166,3,49,8,20,0,38,7,285,4,31,6,473,0,607,59,10,0,2,1,4,0,5,0,1,1,0,0,4,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,9,1,5,2,3,0,12,3,2,0,1,0,2,0,5,3,23,0,6,2,2,0,1,1,32,0,0,1,31,0,40,3,1,21,0,15,0,0,0,11,0,6,0,0,0,3,0,10,0,1,0,1,0,0,0,0,0,6,0,2,1,7,0,14,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,2,0,2,1,0,0,7,24,217,0,333,4,17,2,252,9,37,0,9,8,33,1,218,0,7,0,13,0,0,0,12,1,36,0,21,6,41,2,148,24,399,0,469,1,12,3,212,2,18,0,11,3,14,1,166,13,254,1,207,2,8,1,102,15,231,3,137,12,149,5,627,Nor
'Literal Femur of Normal_15.jpg',367,9,129,17,154,1,162,23,85,0,20,1,127,1,319,17,154,4,12,5,31,0,16,1,145,5,17,4,358,1,427,24,151,4,62,7,9,0,36,12,19,3,4,0,17,0,40,2,172,1,53,12,24,0,33,14,303,2,42,7,424,3,532,54,12,0,5,1,4,0,7,1,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,7,0,3,0,3,0,10,2,1,0,1,1,1,0,6,5,17,0,7,2,6,0,6,0,20,0,5,3,33,0,45,4,1,15,0,27,1,2,1,15,1,4,0,0,0,8,0,18,1,2,0,4,0,0,0,2,0,7,0,2,0,3,0,11,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,2,0,3,0,0,0,0,0,2,0,5,0,0,2,2,0,8,25,296,3,402,2,16,4,285,9,48,1,8,9,38,2,210,2,12,0,12,0,0,0,10,5,39,1,12,5,34,4,123,16,410,1,424,1,16,1,210,2,19,0,4,3,20,0,151,13,255,1,212,2,4,0,93,10,253,0,161,13,164,3,660,Nor
'Literal Femur of Normal_16.jpg',457,8,143,13,161,1,184,28,132,4,24,4,151,2,290,24,151,3,11,5,39,1,17,2,169,5,26,5,311,2,377,21,165,4,71,5,16,1,53,10,30,1,3,3,22,0,40,8,158,4,60,14,13,0,43,5,303,5,45,7,367,3,507,56,9,0,1,0,3,0,6,3,2,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,2,0,1,0,3,0,3,0,14,1,9,0,8,0,8,1,6,0,2,0,1,0,10,1,23,0,11,1,1,0,5,1,28,0,5,1,36,0,48,6,1,23,0,23,0,2,0,13,1,7,0,0,2,6,0,20,0,4,0,1,0,2,0,6,0,7,0,4,1,5,0,8,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,4,0,2,0,0,0,2,1,3,0,5,1,4,1,10,28,267,4,339,1,13,2,252,7,42,0,18,12,28,0,216,3,16,1,16,0,0,0,7,5,34,1,22,6,39,2,157,26,334,2,364,3,16,3,196,4,21,0,11,4,21,4,138,16,235,3,197,5,12,1,136,12,213,2,145,25,170,11,694,Nor
'Literal Femur of Normal_17.jpg',422,13,168,12,180,4,186,18,74,1,26,1,153,1,288,24,170,3,10,7,34,0,20,3,123,3,20,1,349,0,395,31,161,2,83,4,14,0,60,5,16,0,6,0,18,0,33,3,160,7,51,7,15,0,49,8,292,3,42,2,429,3,574,44,9,0,1,0,5,0,9,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,10,0,1,1,5,0,8,1,2,0,0,0,0,0,3,0,27,1,10,0,1,0,8,0,17,0,0,1,33,0,44,3,5,25,1,20,0,1,0,14,0,7,0,3,0,1,0,14,0,0,0,5,0,0,0,0,1,9,0,1,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,5,0,0,1,2,1,3,33,276,1,376,7,12,5,252,6,43,0,12,4,39,3,229,0,14,0,9,0,0,0,4,2,53,0,19,6,43,3,126,24,331,1,420,3,11,0,211,2,16,0,9,2,15,1,166,16,265,1,219,3,4,1,95,8,221,0,171,9,150,6,663,Nor
'Literal Femur of Normal_18.jpg',471,8,172,16,156,3,156,19,117,0,27,2,125,0,275,30,161,5,15,9,44,0,28,1,132,1,20,6,335,1,379,28,171,4,85,8,9,0,48,10,27,0,6,0,17,1,52,6,172,4,55,10,16,0,46,6,287,8,39,11,381,0,508,61,10,0,4,0,6,0,11,1,0,0,1,0,4,0,4,0,4,0,0,0,0,0,0,0,1,1,0,0,4,0,2,1,11,1,10,1,1,0,9,1,2,0,2,2,3,0,9,3,25,2,7,0,3,0,5,2,21,1,6,4,24,1,51,11,2,33,0,34,0,4,0,10,1,4,0,2,0,9,2,22,3,3,1,1,0,0,0,0,1,11,0,4,1,4,0,16,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,5,0,1,1,3,0,6,29,217,0,318,5,18,4,261,12,49,0,21,5,40,5,224,1,18,1,8,0,1,0,10,3,28,2,14,6,36,5,164,28,300,0,355,0,17,0,197,5,17,0,7,3,22,0,146,16,252,3,228,1,4,4,114,18,224,1,144,20,179,11,725,Nor
'Literal Femur of Normal_19.jpg',420,13,131,11,157,3,156,21,90,0,19,2,159,3,286,29,160,4,12,6,30,0,10,0,164,1,15,2,375,2,433,31,139,2,85,6,12,2,56,9,18,0,2,0,14,0,26,5,157,3,50,7,23,0,37,5,268,2,33,5,455,2,533,42,8,0,0,0,5,0,2,0,0,0,0,0,3,0,2,2,2,0,2,0,1,0,0,0,2,0,0,0,2,0,2,1,8,0,8,0,2,0,13,2,0,0,0,0,3,0,1,0,14,0,5,0,1,0,4,1,31,0,3,0,26,0,48,5,3,26,1,16,0,1,0,18,2,6,0,0,0,8,0,15,0,3,0,2,0,0,0,4,1,6,0,1,0,4,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,8,0,1,1,1,0,11,24,341,1,429,5,15,0,281,10,47,1,15,5,33,2,211,3,19,0,14,0,0,0,5,1,41,0,13,8,50,0,135,19,403,1,419,3,10,1,212,2,17,0,9,2,17,0,150,12,272,0,187,2,7,1,112,14,224,0,167,12,120,6,581,Nor
