@relation 'Haralick Femur Literal ROI '

@attribute File {'Literal Femur of Normal_1.jpg','Literal Femur of Normal_10.jpg','Literal Femur of Normal_11.jpg','Literal Femur of Normal_12.jpg','Literal Femur of Normal_13.jpg','Literal Femur of Normal_14.jpg','Literal Femur of Normal_15.jpg','Literal Femur of Normal_16.jpg','Literal Femur of Normal_17.jpg','Literal Femur of Normal_18.jpg','Literal Femur of Normal_19.jpg','Literal Femur of Normal_2.jpg','Literal Femur of Normal_20.jpg','Literal Femur of Normal_21.jpg','Literal Femur of Normal_22.jpg','Literal Femur of Normal_23.jpg','Literal Femur of Normal_24.jpg','Literal Femur of Normal_25.jpg','Literal Femur of Normal_26.jpg','Literal Femur of Normal_27.jpg','Literal Femur of Normal_28.jpg','Literal Femur of Normal_29.jpg','Literal Femur of Normal_3.jpg','Literal Femur of Normal_30.jpg','Literal Femur of Normal_31.jpg','Literal Femur of Normal_32.jpg','Literal Femur of Normal_33.jpg','Literal Femur of Normal_34.jpg','Literal Femur of Normal_35.jpg','Literal Femur of Normal_36.jpg','Literal Femur of Normal_37.jpg','Literal Femur of Normal_38.jpg','Literal Femur of Normal_39.jpg','Literal Femur of Normal_4.jpg','Literal Femur of Normal_40.jpg','Literal Femur of Normal_41.jpg','Literal Femur of Normal_42.jpg','Literal Femur of Normal_43.jpg','Literal Femur of Normal_44.jpg','Literal Femur of Normal_45.jpg','Literal Femur of Normal_46.jpg','Literal Femur of Normal_47.jpg','Literal Femur of Normal_48.jpg','Literal Femur of Normal_49.jpg','Literal Femur of Normal_5.jpg','Literal Femur of Normal_50.jpg','Literal Femur of Normal_51.jpg','Literal Femur of Normal_52.jpg','Literal Femur of Normal_53.jpg','Literal Femur of Normal_54.jpg','Literal Femur of Normal_55.jpg','Literal Femur of Normal_56.jpg','Literal Femur of Normal_57.jpg','Literal Femur of Normal_58.jpg','Literal Femur of Normal_59.jpg','Literal Femur of Normal_6.jpg','Literal Femur of Normal_60.jpg','Literal Femur of Normal_61.jpg','Literal Femur of Normal_62.jpg','Literal Femur of Normal_63.jpg','Literal Femur of Normal_7.jpg','Literal Femur of Normal_8.jpg','Literal Femur of Normal_9.jpg','Literal Femur of OA_1.jpg','Literal Femur of OA_10.jpg','Literal Femur of OA_11.jpg','Literal Femur of OA_12.jpg','Literal Femur of OA_13.jpg','Literal Femur of OA_14.jpg','Literal Femur of OA_15.jpg','Literal Femur of OA_16.jpg','Literal Femur of OA_17.jpg','Literal Femur of OA_18.jpg','Literal Femur of OA_19.jpg','Literal Femur of OA_2.jpg','Literal Femur of OA_20.jpg','Literal Femur of OA_21.jpg','Literal Femur of OA_22.jpg','Literal Femur of OA_23.jpg','Literal Femur of OA_24.jpg','Literal Femur of OA_25.jpg','Literal Femur of OA_26.jpg','Literal Femur of OA_27.jpg','Literal Femur of OA_28.jpg','Literal Femur of OA_29.jpg','Literal Femur of OA_3.jpg','Literal Femur of OA_30.jpg','Literal Femur of OA_31.jpg','Literal Femur of OA_32.jpg','Literal Femur of OA_33.jpg','Literal Femur of OA_34.jpg','Literal Femur of OA_35.jpg','Literal Femur of OA_36.jpg','Literal Femur of OA_37.jpg','Literal Femur of OA_38.jpg','Literal Femur of OA_39.jpg','Literal Femur of OA_4.jpg','Literal Femur of OA_40.jpg','Literal Femur of OA_41.jpg','Literal Femur of OA_42.jpg','Literal Femur of OA_43.jpg','Literal Femur of OA_44.jpg','Literal Femur of OA_45.jpg','Literal Femur of OA_46.jpg','Literal Femur of OA_47.jpg','Literal Femur of OA_48.jpg','Literal Femur of OA_49.jpg','Literal Femur of OA_5.jpg','Literal Femur of OA_50.jpg','Literal Femur of OA_51.jpg','Literal Femur of OA_52.jpg','Literal Femur of OA_53.jpg','Literal Femur of OA_54.jpg','Literal Femur of OA_55.jpg','Literal Femur of OA_56.jpg','Literal Femur of OA_57.jpg','Literal Femur of OA_58.jpg','Literal Femur of OA_59.jpg','Literal Femur of OA_6.jpg','Literal Femur of OA_60.jpg','Literal Femur of OA_61.jpg','Literal Femur of OA_62.jpg','Literal Femur of OA_63.jpg','Literal Femur of OA_64.jpg','Literal Femur of OA_65.jpg','Literal Femur of OA_66.jpg','Literal Femur of OA_67.jpg','Literal Femur of OA_68.jpg','Literal Femur of OA_7.jpg','Literal Femur of OA_8.jpg','Literal Femur of OA_9.jpg'}
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute Feature_4 numeric
@attribute Feature_5 numeric
@attribute Feature_6 numeric
@attribute Feature_7 numeric
@attribute Feature_8 numeric
@attribute Feature_9 numeric
@attribute Feature_10 numeric
@attribute Feature_11 numeric
@attribute Feature_12 numeric
@attribute Feature_13 numeric
@attribute Feature_14 numeric
@attribute class {Nor,OA}

@data
'Literal Femur of Normal_1.jpg',0.727,0.0867,0.553,47.4,0.957,13.8,190,0.531,0.852,0.0807,0.295,-0.284,0.495,0.163,Nor
'Literal Femur of Normal_10.jpg',0.314,0.231,0.588,29.7,0.884,10.9,119,1.17,1.92,0.189,0.541,-0.257,0.658,0.361,Nor
'Literal Femur of Normal_11.jpg',0.346,0.192,0.618,30.6,0.904,11,123,1.06,1.72,0.16,0.489,-0.296,0.67,0.389,Nor
'Literal Femur of Normal_12.jpg',0.372,0.153,0.702,30.7,0.924,11.1,123,1.04,1.66,0.13,0.428,-0.389,0.742,0.403,Nor
'Literal Femur of Normal_13.jpg',0.434,0.156,0.695,32.7,0.922,11.4,131,1.07,1.7,0.133,0.433,-0.375,0.737,0.281,Nor
'Literal Femur of Normal_14.jpg',0.792,0.0754,0.458,35.1,0.962,11.9,141,0.441,0.711,0.0722,0.268,-0.217,0.399,0.131,Nor
'Literal Femur of Normal_15.jpg',0.678,0.109,0.523,26.2,0.946,10.2,105,0.627,1.01,0.0972,0.344,-0.25,0.501,0.174,Nor
'Literal Femur of Normal_16.jpg',0.345,0.193,0.621,30.7,0.903,11.1,123,1.07,1.74,0.16,0.491,-0.296,0.674,0.385,Nor
'Literal Femur of Normal_17.jpg',0.577,0.15,0.563,25.2,0.925,10,101,0.892,1.44,0.128,0.423,-0.277,0.609,0.146,Nor
'Literal Femur of Normal_18.jpg',0.419,0.182,0.583,44.7,0.909,13.4,179,0.963,1.57,0.152,0.474,-0.269,0.621,0.295,Nor
'Literal Femur of Normal_19.jpg',0.286,0.209,0.784,31.5,0.896,11.2,126,1.49,2.36,0.172,0.513,-0.429,0.851,0.304,Nor
'Literal Femur of Normal_2.jpg',0.576,0.16,0.449,33.9,0.92,11.7,136,0.74,1.23,0.135,0.439,-0.176,0.459,0.202,Nor
'Literal Femur of Normal_20.jpg',0.685,0.11,0.548,35.1,0.945,11.9,141,0.69,1.11,0.0985,0.348,-0.27,0.541,0.148,Nor
'Literal Femur of Normal_21.jpg',0.337,0.239,0.6,27.8,0.881,10.5,112,1.25,2.04,0.195,0.552,-0.26,0.675,0.28,Nor
'Literal Femur of Normal_22.jpg',0.317,0.224,0.637,40.6,0.888,12.7,163,1.24,2.01,0.183,0.532,-0.295,0.708,0.344,Nor
'Literal Femur of Normal_23.jpg',0.936,0.0283,0.226,35.9,0.986,12,144,0.177,0.284,0.0369,0.129,-0.101,0.172,0.0415,Nor
'Literal Femur of Normal_24.jpg',0.387,0.228,0.548,44.6,0.887,13.4,179,1.09,1.81,0.187,0.539,-0.22,0.601,0.271,Nor
'Literal Femur of Normal_25.jpg',0.359,0.179,0.69,31.1,0.911,11.1,125,1.15,1.83,0.15,0.47,-0.358,0.742,0.355,Nor
'Literal Femur of Normal_26.jpg',0.468,0.161,0.644,27,0.919,10.4,108,1.03,1.64,0.137,0.442,-0.33,0.691,0.24,Nor
'Literal Femur of Normal_27.jpg',0.682,0.106,0.573,36,0.947,12,145,0.708,1.13,0.0952,0.338,-0.304,0.577,0.121,Nor
'Literal Femur of Normal_28.jpg',0.457,0.196,0.599,35.9,0.902,12,144,1.11,1.8,0.162,0.495,-0.279,0.665,0.167,Nor
'Literal Femur of Normal_29.jpg',0.577,0.122,0.661,33.9,0.939,11.6,136,0.839,1.33,0.107,0.371,-0.356,0.662,0.208,Nor
'Literal Femur of Normal_3.jpg',0.324,0.229,0.554,30.6,0.886,11.1,123,1.1,1.82,0.187,0.538,-0.231,0.615,0.363,Nor
'Literal Femur of Normal_30.jpg',0.295,0.212,0.726,29.2,0.895,10.8,117,1.35,2.17,0.175,0.518,-0.375,0.795,0.368,Nor
'Literal Femur of Normal_31.jpg',0.372,0.151,0.715,30.7,0.925,11.1,123,1.06,1.68,0.129,0.424,-0.402,0.755,0.4,Nor
'Literal Femur of Normal_32.jpg',0.573,0.104,0.701,33.6,0.948,11.6,135,0.79,1.24,0.0936,0.334,-0.411,0.689,0.23,Nor
'Literal Femur of Normal_33.jpg',0.88,0.045,0.431,35.8,0.977,12,144,0.311,0.494,0.0494,0.184,-0.229,0.347,0.0762,Nor
'Literal Femur of Normal_34.jpg',0.314,0.213,0.674,30,0.894,10.9,121,1.25,2.02,0.175,0.519,-0.327,0.739,0.37,Nor
'Literal Femur of Normal_35.jpg',0.436,0.149,0.781,31.8,0.925,11.3,128,1.1,1.74,0.128,0.422,-0.448,0.797,0.253,Nor
'Literal Femur of Normal_36.jpg',0.344,0.235,0.688,32,0.884,11.3,128,1.32,2.15,0.192,0.548,-0.318,0.746,0.26,Nor
'Literal Femur of Normal_37.jpg',0.544,0.158,0.583,25.8,0.921,10.2,104,0.941,1.52,0.134,0.437,-0.286,0.63,0.178,Nor
