File,Mean1,Variance2,Skewness3,Kurtosis4,Energy5,Entropy6,class
Literal Tibia of Normal_1.jpg,4.96E+00,1.29E+00,7.24E-02,2.95E+00,2.48E-01,1.54E+00,Nor
Literal Tibia of Normal_10.jpg,4.15E+00,1.34E+00,3.90E-01,3.41E+00,2.49E-01,1.55E+00,Nor
Literal Tibia of Normal_11.jpg,4.88E+00,1.52E+00,-7.08E-02,2.78E+00,2.26E-01,1.62E+00,Nor
Literal Tibia of Normal_12.jpg,4.70E+00,1.09E+00,6.22E-02,3.14E+00,2.73E-01,1.46E+00,Nor
Literal Tibia of Normal_13.jpg,4.63E+00,1.14E+00,1.50E-01,3.45E+00,2.72E-01,1.48E+00,Nor
Literal Tibia of Normal_14.jpg,5.00E+00,1.21E+00,8.85E-02,3.04E+00,2.59E-01,1.51E+00,Nor
Literal Tibia of Normal_15.jpg,4.83E+00,1.27E+00,1.00E-01,2.93E+00,2.48E-01,1.54E+00,Nor
Literal Tibia of Normal_16.jpg,4.71E+00,1.60E+00,4.58E-02,2.74E+00,2.19E-01,1.65E+00,Nor
Literal Tibia of Normal_17.jpg,5.28E+00,1.28E+00,-1.45E-02,2.91E+00,2.48E-01,1.54E+00,Nor
Literal Tibia of Normal_18.jpg,5.12E+00,1.43E+00,-6.50E-02,2.99E+00,2.36E-01,1.60E+00,Nor
Literal Tibia of Normal_19.jpg,4.57E+00,1.10E+00,1.59E-01,3.14E+00,2.73E-01,1.46E+00,Nor
Literal Tibia of Normal_2.jpg,5.01E+00,1.34E+00,-3.37E-02,2.92E+00,2.42E-01,1.56E+00,Nor
Literal Tibia of Normal_20.jpg,4.58E+00,1.23E+00,2.64E-01,3.03E+00,2.56E-01,1.52E+00,Nor
Literal Tibia of Normal_21.jpg,5.42E+00,1.29E+00,-1.02E-01,2.70E+00,2.43E-01,1.54E+00,Nor
Literal Tibia of Normal_22.jpg,4.91E+00,1.54E+00,4.02E-02,2.86E+00,2.25E-01,1.63E+00,Nor
Literal Tibia of Normal_23.jpg,4.95E+00,1.17E+00,-5.25E-02,3.15E+00,2.66E-01,1.50E+00,Nor
Literal Tibia of Normal_24.jpg,5.01E+00,1.52E+00,-4.18E-02,2.89E+00,2.28E-01,1.63E+00,Nor
Literal Tibia of Normal_25.jpg,4.37E+00,1.27E+00,3.24E-01,3.14E+00,2.54E-01,1.53E+00,Nor
Literal Tibia of Normal_26.jpg,4.96E+00,1.21E+00,1.56E-01,3.09E+00,2.58E-01,1.51E+00,Nor
Literal Tibia of Normal_27.jpg,5.27E+00,1.28E+00,8.47E-02,2.84E+00,2.46E-01,1.54E+00,Nor
Literal Tibia of Normal_28.jpg,4.33E+00,1.50E+00,3.37E-01,2.94E+00,2.32E-01,1.61E+00,Nor
Literal Tibia of Normal_29.jpg,4.27E+00,1.15E+00,3.82E-01,3.59E+00,2.74E-01,1.47E+00,Nor
Literal Tibia of Normal_3.jpg,4.42E+00,1.11E+00,9.14E-02,2.87E+00,2.65E-01,1.47E+00,Nor
Literal Tibia of Normal_30.jpg,4.44E+00,1.34E+00,2.74E-01,3.12E+00,2.48E-01,1.56E+00,Nor
Literal Tibia of Normal_31.jpg,5.37E+00,1.10E+00,-1.35E-01,3.15E+00,2.73E-01,1.46E+00,Nor
Literal Tibia of Normal_32.jpg,4.76E+00,1.52E+00,7.68E-02,3.08E+00,2.33E-01,1.63E+00,Nor
Literal Tibia of Normal_33.jpg,4.65E+00,1.25E+00,1.52E-01,2.81E+00,2.49E-01,1.53E+00,Nor
Literal Tibia of Normal_34.jpg,4.92E+00,1.41E+00,-7.96E-02,3.00E+00,2.37E-01,1.59E+00,Nor
Literal Tibia of Normal_35.jpg,4.89E+00,1.12E+00,7.33E-02,2.96E+00,2.65E-01,1.47E+00,Nor
Literal Tibia of Normal_36.jpg,4.70E+00,1.55E+00,1.10E-01,2.96E+00,2.26E-01,1.64E+00,Nor
Literal Tibia of Normal_37.jpg,4.59E+00,1.02E+00,8.83E-02,3.14E+00,2.81E-01,1.43E+00,Nor
Literal Tibia of Normal_38.jpg,4.97E+00,1.46E+00,3.32E-02,2.93E+00,2.34E-01,1.61E+00,Nor
Literal Tibia of Normal_39.jpg,4.80E+00,1.09E+00,8.65E-02,3.06E+00,2.73E-01,1.46E+00,Nor
Literal Tibia of Normal_4.jpg,4.93E+00,1.43E+00,2.85E-01,3.16E+00,2.41E-01,1.59E+00,Nor
Literal Tibia of Normal_40.jpg,4.51E+00,1.36E+00,3.37E-01,3.14E+00,2.46E-01,1.56E+00,Nor
Literal Tibia of Normal_41.jpg,5.19E+00,1.29E+00,3.16E-02,3.01E+00,2.50E-01,1.54E+00,Nor
