@relation 'LBP_hf Tibia Literal ROI '

@attribute File {'Literal Tibia of Normal_1.jpg','Literal Tibia of Normal_10.jpg','Literal Tibia of Normal_11.jpg','Literal Tibia of Normal_12.jpg','Literal Tibia of Normal_13.jpg','Literal Tibia of Normal_14.jpg','Literal Tibia of Normal_15.jpg','Literal Tibia of Normal_16.jpg','Literal Tibia of Normal_17.jpg','Literal Tibia of Normal_18.jpg','Literal Tibia of Normal_19.jpg','Literal Tibia of Normal_2.jpg','Literal Tibia of Normal_20.jpg','Literal Tibia of Normal_21.jpg','Literal Tibia of Normal_22.jpg','Literal Tibia of Normal_23.jpg','Literal Tibia of Normal_24.jpg','Literal Tibia of Normal_25.jpg','Literal Tibia of Normal_26.jpg','Literal Tibia of Normal_27.jpg','Literal Tibia of Normal_28.jpg','Literal Tibia of Normal_29.jpg','Literal Tibia of Normal_3.jpg','Literal Tibia of Normal_30.jpg','Literal Tibia of Normal_31.jpg','Literal Tibia of Normal_32.jpg','Literal Tibia of Normal_33.jpg','Literal Tibia of Normal_34.jpg','Literal Tibia of Normal_35.jpg','Literal Tibia of Normal_36.jpg','Literal Tibia of Normal_37.jpg','Literal Tibia of Normal_38.jpg','Literal Tibia of Normal_39.jpg','Literal Tibia of Normal_4.jpg','Literal Tibia of Normal_40.jpg','Literal Tibia of Normal_41.jpg','Literal Tibia of Normal_42.jpg','Literal Tibia of Normal_43.jpg','Literal Tibia of Normal_44.jpg','Literal Tibia of Normal_45.jpg','Literal Tibia of Normal_46.jpg','Literal Tibia of Normal_47.jpg','Literal Tibia of Normal_48.jpg','Literal Tibia of Normal_49.jpg','Literal Tibia of Normal_5.jpg','Literal Tibia of Normal_50.jpg','Literal Tibia of Normal_51.jpg','Literal Tibia of Normal_52.jpg','Literal Tibia of Normal_53.jpg','Literal Tibia of Normal_54.jpg','Literal Tibia of Normal_55.jpg','Literal Tibia of Normal_56.jpg','Literal Tibia of Normal_57.jpg','Literal Tibia of Normal_58.jpg','Literal Tibia of Normal_59.jpg','Literal Tibia of Normal_6.jpg','Literal Tibia of Normal_60.jpg','Literal Tibia of Normal_61.jpg','Literal Tibia of Normal_62.jpg','Literal Tibia of Normal_63.jpg','Literal Tibia of Normal_7.jpg','Literal Tibia of Normal_8.jpg','Literal Tibia of Normal_9.jpg','Literal Tibia of OA_1.jpg','Literal Tibia of OA_10.jpg','Literal Tibia of OA_11.jpg','Literal Tibia of OA_12.jpg','Literal Tibia of OA_13.jpg','Literal Tibia of OA_14.jpg','Literal Tibia of OA_15.jpg','Literal Tibia of OA_16.jpg','Literal Tibia of OA_17.jpg','Literal Tibia of OA_18.jpg','Literal Tibia of OA_19.jpg','Literal Tibia of OA_2.jpg','Literal Tibia of OA_20.jpg','Literal Tibia of OA_21.jpg','Literal Tibia of OA_22.jpg','Literal Tibia of OA_23.jpg','Literal Tibia of OA_24.jpg','Literal Tibia of OA_25.jpg','Literal Tibia of OA_26.jpg','Literal Tibia of OA_27.jpg','Literal Tibia of OA_28.jpg','Literal Tibia of OA_29.jpg','Literal Tibia of OA_3.jpg','Literal Tibia of OA_30.jpg','Literal Tibia of OA_31.jpg','Literal Tibia of OA_32.jpg','Literal Tibia of OA_33.jpg','Literal Tibia of OA_34.jpg','Literal Tibia of OA_35.jpg','Literal Tibia of OA_36.jpg','Literal Tibia of OA_37.jpg','Literal Tibia of OA_38.jpg','Literal Tibia of OA_39.jpg','Literal Tibia of OA_4.jpg','Literal Tibia of OA_40.jpg','Literal Tibia of OA_41.jpg','Literal Tibia of OA_42.jpg','Literal Tibia of OA_43.jpg','Literal Tibia of OA_44.jpg','Literal Tibia of OA_45.jpg','Literal Tibia of OA_46.jpg','Literal Tibia of OA_47.jpg','Literal Tibia of OA_48.jpg','Literal Tibia of OA_49.jpg','Literal Tibia of OA_5.jpg','Literal Tibia of OA_50.jpg','Literal Tibia of OA_51.jpg','Literal Tibia of OA_52.jpg','Literal Tibia of OA_53.jpg','Literal Tibia of OA_54.jpg','Literal Tibia of OA_55.jpg','Literal Tibia of OA_56.jpg','Literal Tibia of OA_57.jpg','Literal Tibia of OA_58.jpg','Literal Tibia of OA_59.jpg','Literal Tibia of OA_6.jpg','Literal Tibia of OA_60.jpg','Literal Tibia of OA_61.jpg','Literal Tibia of OA_62.jpg','Literal Tibia of OA_63.jpg','Literal Tibia of OA_64.jpg','Literal Tibia of OA_65.jpg','Literal Tibia of OA_66.jpg','Literal Tibia of OA_67.jpg','Literal Tibia of OA_68.jpg','Literal Tibia of OA_7.jpg','Literal Tibia of OA_8.jpg','Literal Tibia of OA_9.jpg'}
@attribute LBP_hf_1 numeric
@attribute LBP_hf_2 numeric
@attribute LBP_hf_3 numeric
@attribute LBP_hf_4 numeric
@attribute LBP_hf_5 numeric
@attribute LBP_hf_6 numeric
@attribute LBP_hf_7 numeric
@attribute LBP_hf_8 numeric
@attribute LBP_hf_9 numeric
@attribute LBP_hf_10 numeric
@attribute LBP_hf_11 numeric
@attribute LBP_hf_12 numeric
@attribute LBP_hf_13 numeric
@attribute LBP_hf_14 numeric
@attribute LBP_hf_15 numeric
@attribute LBP_hf_16 numeric
@attribute LBP_hf_17 numeric
@attribute LBP_hf_18 numeric
@attribute LBP_hf_19 numeric
@attribute LBP_hf_20 numeric
@attribute LBP_hf_21 numeric
@attribute LBP_hf_22 numeric
@attribute LBP_hf_23 numeric
@attribute LBP_hf_24 numeric
@attribute LBP_hf_25 numeric
@attribute LBP_hf_26 numeric
@attribute LBP_hf_27 numeric
@attribute LBP_hf_28 numeric
@attribute LBP_hf_29 numeric
@attribute LBP_hf_30 numeric
@attribute LBP_hf_31 numeric
@attribute LBP_hf_32 numeric
@attribute LBP_hf_33 numeric
@attribute LBP_hf_34 numeric
@attribute LBP_hf_35 numeric
@attribute LBP_hf_36 numeric
@attribute LBP_hf_37 numeric
@attribute LBP_hf_38 numeric
@attribute class {Nor,OA}

@data
'Literal Tibia of Normal_1.jpg',0.0872,0.00178,0.032,0.00261,0.0813,0.0522,0.00284,0.0048,0.00246,0.00265,0.132,0.00398,0.00747,0.000812,0.0589,0.169,0.00618,0.0408,0.00737,0.005,0.156,0.0015,0.0254,0.00344,0.0237,0.105,0.000975,0.0049,0.00212,0.000918,0.0849,0.00133,0.032,0.00222,0.0494,0.0321,0.0751,0.106,Nor
'Literal Tibia of Normal_10.jpg',0.0672,0.00172,0.0193,0.00226,0.0632,0.0673,0.00223,0.00623,0.00366,0.00408,0.145,0.00537,0.0153,0.00595,0.0541,0.195,0.00043,0.0523,0.00466,0.00439,0.17,0.00222,0.028,0.0031,0.0142,0.0946,0.00301,0.00486,0.00433,0.0052,0.0686,0.00291,0.0195,0.00251,0.0406,0.0347,0.0613,0.0961,Nor
'Literal Tibia of Normal_11.jpg',0.0709,0.00392,0.0306,0.00285,0.0646,0.0642,0.00273,0.0106,0.00202,0.00255,0.14,0.00367,0.0242,0.00583,0.0428,0.19,0.00249,0.0741,0.00237,0.00571,0.164,0.00538,0.0401,0.00727,0.0312,0.103,0.00421,0.00455,0.00196,0.00112,0.0714,0.00207,0.0253,0.00219,0.0429,0.0356,0.0612,0.1,Nor
'Literal Tibia of Normal_12.jpg',0.0738,0.00288,0.0233,0.00207,0.0679,0.0572,0.00415,0.00566,0.00391,0.00133,0.142,0.00333,0.011,0.00404,0.0569,0.192,0.0101,0.058,0.0044,0.00694,0.166,0.00714,0.0304,0.00186,0.0185,0.104,0.00376,0.00514,0.00258,0.00561,0.0686,0.00394,0.0253,0.00329,0.0363,0.0313,0.0684,0.0977,Nor
'Literal Tibia of Normal_13.jpg',0.0699,0.00261,0.0196,0.00253,0.0623,0.0688,0.00248,0.00745,0.00316,0.00204,0.145,0.00393,0.0152,0.00246,0.0537,0.185,0.00521,0.0511,0.0115,0.00612,0.159,0.00247,0.0288,0.00287,0.0107,0.103,0.00273,0.0106,0.00311,0,0.0686,0.00214,0.0183,0.000887,0.041,0.0383,0.0635,0.0986,Nor
'Literal Tibia of Normal_14.jpg',0.0706,0.000493,0.0206,0.000845,0.0637,0.065,0.00298,0.00751,0.000989,0.00663,0.147,0.000456,0.0154,0.00125,0.054,0.18,0.0054,0.0588,0.00552,0.0214,0.159,0.00199,0.0314,0.00375,0.00979,0.103,0.0025,0.0121,0.00294,0.00286,0.0739,0.00581,0.0245,0.00584,0.0418,0.0373,0.0634,0.101,Nor
'Literal Tibia of Normal_15.jpg',0.07,0.00186,0.00859,0.000203,0.0639,0.068,0.00172,0.00346,0.000499,0.000612,0.146,0.0063,0.00775,0.00202,0.053,0.17,0.00593,0.0201,0.00376,0.00694,0.169,0.00933,0.0128,0.00284,0.0193,0.103,0.000197,0.00498,0.00164,0.00418,0.0703,0.00559,0.00871,0.00391,0.0425,0.0364,0.0644,0.104,Nor
'Literal Tibia of Normal_16.jpg',0.0669,0.00349,0.000595,0.00399,0.0582,0.0763,0.00104,0.00274,0.00198,0.00612,0.15,0.00556,0.0167,0.00209,0.0472,0.18,0.000363,0.0363,0.00523,0.0153,0.161,0.00252,0.0171,0.0027,0.00173,0.0967,0.00211,0.00248,0.00442,0.00286,0.0648,0.000482,0.00146,0.00203,0.0423,0.0416,0.0623,0.1,Nor
'Literal Tibia of Normal_17.jpg',0.0734,0.00128,0.0205,0.000872,0.0662,0.0704,0.00183,0.008,0.00336,0.00293,0.136,0.00158,0.0143,0.00124,0.0547,0.177,0.000213,0.0528,0.00124,0.0133,0.158,0.00226,0.0224,0.00321,0.00747,0.105,0.00335,0.00809,0.00288,0.00747,0.0728,0.000439,0.023,0.00169,0.0429,0.0398,0.0631,0.105,Nor
'Literal Tibia of Normal_18.jpg',0.0789,0.00353,0.0277,0.00329,0.0683,0.0752,0.0013,0.0011,0.000904,0.00133,0.129,0.00519,0.0174,0.00281,0.029,0.172,0.00214,0.0476,0.00354,0,0.15,0.0039,0.0263,0.0023,0.000816,0.0952,0.00187,0.00443,0.00575,0.00235,0.0809,0.00121,0.03,0.002,0.0523,0.0457,0.0634,0.11,Nor
'Literal Tibia of Normal_19.jpg',0.0731,0.000984,0.0279,0.00229,0.0631,0.0693,0.00242,0.00567,0.00376,0.00378,0.14,0.00243,0.0218,0.00549,0.0364,0.187,0.00796,0.065,0.00545,0.0224,0.163,0.00413,0.0305,0.00488,0.0107,0.0983,0.00228,0.0034,0.000986,0.00153,0.0699,0.000915,0.0236,0.00379,0.0462,0.0408,0.058,0.101,Nor
'Literal Tibia of Normal_2.jpg',0.106,0.00269,0.0544,0.0029,0.0965,0.0658,0.00175,0.0102,0.00127,0.00296,0.108,0.00283,0.0101,0.00137,0.0386,0.123,0.00809,0.038,0.00441,0.00378,0.105,0.00348,0.0183,0.00485,0.00979,0.0893,0.000928,0.0128,0.00256,0.00133,0.11,0.0018,0.0532,0.00244,0.0774,0.0606,0.0885,0.144,Nor
'Literal Tibia of Normal_20.jpg',0.0683,0.00318,0.0214,0.0016,0.0619,0.0674,0.00176,0.0037,0.000865,0.00602,0.143,0.00976,0.0165,0.00349,0.0401,0.19,0.00685,0.0517,0.00245,0.0228,0.166,0.00522,0.0273,0.00539,0.0145,0.0962,0.00518,0.00729,0.00216,0.00398,0.0695,0.00137,0.0189,0.00191,0.0442,0.0409,0.0595,0.0997,Nor
'Literal Tibia of Normal_21.jpg',0.0788,0.000692,0.0256,0.000989,0.0728,0.0701,0.00329,0.00894,0.00309,0.00194,0.13,0.00207,0.0194,0.00232,0.0407,0.181,0.00221,0.0626,0.000442,0.0338,0.162,0.00342,0.0241,0.000996,0.0137,0.0971,0.000681,0.00532,0.00597,0.00163,0.0768,0.00337,0.0246,0.00292,0.0519,0.0411,0.0614,0.101,Nor
