File,LCP_1,LCP_2,LCP_3,LCP_4,LCP_5,LCP_6,LCP_7,LCP_8,LCP_9,LCP_10,LCP_11,LCP_12,LCP_13,LCP_14,LCP_15,LCP_16,LCP_17,LCP_18,LCP_19,LCP_20,LCP_21,LCP_22,LCP_23,LCP_24,LCP_25,LCP_26,LCP_27,LCP_28,LCP_29,LCP_30,LCP_31,LCP_32,LCP_33,LCP_34,LCP_35,LCP_36,LCP_37,LCP_38,LCP_39,LCP_40,LCP_41,LCP_42,LCP_43,LCP_44,LCP_45,LCP_46,LCP_47,LCP_48,LCP_49,LCP_50,LCP_51,LCP_52,LCP_53,LCP_54,LCP_55,LCP_56,LCP_57,LCP_58,LCP_59,LCP_60,LCP_61,LCP_62,LCP_63,LCP_64,LCP_65,LCP_66,LCP_67,LCP_68,LCP_69,LCP_70,LCP_71,LCP_72,LCP_73,LCP_74,LCP_75,LCP_76,LCP_77,LCP_78,LCP_79,LCP_80,LCP_81,class
Literal Tibia of Normal_1.jpg,1.03E+00,7.81E-02,2.37E-01,1.55E-01,3.36E-02,1.55E-01,2.37E-01,7.81E-02,696,1.02E+00,3.74E-02,1.54E-01,5.82E-02,2.95E-01,5.82E-02,1.54E-01,3.74E-02,840,1.02E+00,6.28E-02,7.17E-02,5.74E-02,2.18E-01,5.74E-02,7.17E-02,6.28E-02,704,1.01E+00,3.00E-02,1.77E-01,3.39E-02,3.49E-02,3.39E-02,1.77E-01,3.00E-02,754,1.00E+00,5.23E-03,2.15E-01,4.59E-02,2.76E-01,4.59E-02,2.15E-01,5.23E-03,801,9.94E-01,5.98E-03,1.16E-01,6.57E-02,1.52E-02,6.57E-02,1.16E-01,5.98E-03,761,9.86E-01,1.37E-02,6.25E-02,5.22E-02,5.40E-03,5.22E-02,6.25E-02,1.37E-02,819,9.79E-01,2.78E-02,1.76E-01,6.74E-02,1.14E-01,6.74E-02,1.76E-01,2.78E-02,892,9.68E-01,8.58E-02,2.53E-01,8.43E-02,2.38E-01,8.43E-02,2.53E-01,8.58E-02,961,Nor
Literal Tibia of Normal_10.jpg,1.07E+00,7.88E-02,2.31E-01,1.19E-01,2.03E-02,1.19E-01,2.31E-01,7.88E-02,760,1.05E+00,1.48E-02,1.71E-01,2.75E-02,2.10E-01,2.75E-02,1.71E-01,1.48E-02,891,1.04E+00,1.57E-02,9.73E-02,8.69E-02,1.88E-01,8.69E-02,9.73E-02,1.57E-02,746,1.02E+00,1.39E-02,9.40E-02,3.50E-02,7.62E-02,3.50E-02,9.40E-02,1.39E-02,695,1.00E+00,2.27E-02,2.27E-01,3.82E-02,6.45E-02,3.82E-02,2.27E-01,2.27E-02,734,9.84E-01,1.95E-02,1.00E-01,3.31E-02,8.43E-02,3.31E-02,1.00E-01,1.95E-02,764,9.68E-01,4.43E-02,1.26E-01,4.92E-02,1.87E-01,4.92E-02,1.26E-01,4.43E-02,867,9.52E-01,7.05E-02,1.35E-01,4.17E-02,2.22E-02,4.17E-02,1.35E-01,7.05E-02,854,9.29E-01,4.25E-03,2.94E-01,1.22E-01,6.19E-03,1.22E-01,2.94E-01,4.25E-03,956,Nor
Literal Tibia of Normal_11.jpg,1.07E+00,8.72E-03,4.84E-01,2.11E-01,2.68E-01,2.11E-01,4.84E-01,8.72E-03,777,1.05E+00,2.63E-02,2.91E-01,5.47E-02,1.41E-01,5.47E-02,2.91E-01,2.63E-02,935,1.03E+00,4.06E-02,1.58E-01,3.39E-02,1.79E-01,3.39E-02,1.58E-01,4.06E-02,648,1.02E+00,1.01E-02,1.58E-01,6.81E-02,1.38E-01,6.81E-02,1.58E-01,1.01E-02,620,1.00E+00,1.80E-02,3.34E-01,7.96E-02,4.21E-02,7.96E-02,3.34E-01,1.80E-02,756,9.84E-01,1.34E-02,2.25E-01,8.93E-02,1.38E-01,8.93E-02,2.25E-01,1.34E-02,725,9.69E-01,3.60E-02,9.53E-02,6.69E-02,1.91E-01,6.69E-02,9.53E-02,3.60E-02,754,9.59E-01,3.23E-02,3.30E-01,6.69E-03,7.97E-02,6.69E-03,3.30E-01,3.23E-02,919,9.38E-01,3.16E-02,4.91E-01,4.28E-02,1.84E-01,4.28E-02,4.91E-01,3.16E-02,1020,Nor
Literal Tibia of Normal_12.jpg,1.05E+00,3.87E-02,3.70E-01,9.72E-02,1.91E-01,9.72E-02,3.70E-01,3.87E-02,748,1.04E+00,7.75E-02,2.43E-01,7.76E-03,9.20E-02,7.76E-03,2.43E-01,7.75E-02,913,1.03E+00,3.98E-02,8.91E-02,5.02E-02,6.99E-02,5.02E-02,8.91E-02,3.98E-02,706,1.01E+00,2.05E-02,1.42E-01,4.18E-02,6.01E-02,4.18E-02,1.42E-01,2.05E-02,659,1.00E+00,1.72E-02,3.10E-01,6.64E-02,1.60E-01,6.64E-02,3.10E-01,1.72E-02,761,9.89E-01,3.00E-02,1.62E-01,9.01E-02,1.69E-01,9.01E-02,1.62E-01,3.00E-02,746,9.78E-01,1.52E-02,1.23E-01,2.90E-02,2.25E-01,2.90E-02,1.23E-01,1.52E-02,832,9.67E-01,5.51E-02,2.61E-01,2.29E-02,5.37E-02,2.29E-02,2.61E-01,5.51E-02,906,9.51E-01,1.45E-01,4.66E-01,2.00E-01,9.14E-02,2.00E-01,4.66E-01,1.45E-01,992,Nor
Literal Tibia of Normal_13.jpg,1.07E+00,1.60E-01,3.37E-01,5.86E-02,1.50E-01,5.86E-02,3.37E-01,1.60E-01,837,1.04E+00,3.39E-02,2.40E-01,6.95E-02,9.52E-02,6.95E-02,2.40E-01,3.39E-02,893,1.03E+00,2.84E-02,1.03E-01,8.74E-02,5.83E-03,8.74E-02,1.03E-01,2.84E-02,678,1.02E+00,2.13E-02,1.30E-01,6.55E-02,2.39E-01,6.55E-02,1.30E-01,2.13E-02,638,1.00E+00,1.88E-02,3.15E-01,6.61E-02,1.68E-01,6.61E-02,3.15E-01,1.88E-02,744,9.86E-01,1.72E-02,2.12E-01,9.17E-02,1.54E-01,9.17E-02,2.12E-01,1.72E-02,704,9.73E-01,6.29E-02,1.81E-01,1.33E-01,1.00E-01,1.33E-01,1.81E-01,6.29E-02,790,9.60E-01,4.72E-02,2.10E-01,1.08E-01,1.98E-02,1.08E-01,2.10E-01,4.72E-02,927,9.39E-01,3.21E-02,3.37E-01,6.60E-02,2.86E-01,6.60E-02,3.37E-01,3.21E-02,973,Nor
Literal Tibia of Normal_14.jpg,1.05E+00,5.07E-02,4.15E-01,1.64E-01,2.27E-02,1.64E-01,4.15E-01,5.07E-02,799,1.04E+00,3.87E-02,2.64E-01,3.44E-02,1.98E-01,3.44E-02,2.64E-01,3.87E-02,876,1.03E+00,1.23E-02,1.45E-01,4.07E-02,5.71E-02,4.07E-02,1.45E-01,1.23E-02,719,1.01E+00,1.28E-02,2.00E-01,9.89E-02,9.18E-02,9.89E-02,2.00E-01,1.28E-02,651,1.00E+00,1.12E-02,4.08E-01,4.62E-02,1.83E-01,4.62E-02,4.08E-01,1.12E-02,727,9.89E-01,1.16E-02,1.93E-01,8.29E-02,1.46E-01,8.29E-02,1.93E-01,1.16E-02,679,9.77E-01,1.64E-02,1.67E-01,4.58E-02,4.16E-01,4.58E-02,1.67E-01,1.64E-02,782,9.67E-01,5.23E-02,2.66E-01,6.60E-02,4.60E-02,6.60E-02,2.66E-01,5.23E-02,894,9.49E-01,4.38E-02,3.89E-01,2.67E-02,4.16E-02,2.67E-02,3.89E-01,4.38E-02,1001,Nor
Literal Tibia of Normal_15.jpg,1.06E+00,8.64E-02,1.24E-01,1.04E-01,7.27E-02,1.04E-01,1.24E-01,8.64E-02,818,1.04E+00,1.55E-02,3.66E-02,4.56E-02,9.36E-02,4.56E-02,3.66E-02,1.55E-02,898,1.03E+00,2.13E-02,5.79E-02,2.49E-02,3.18E-01,2.49E-02,5.79E-02,2.13E-02,721,1.01E+00,2.48E-02,4.39E-02,2.33E-02,1.29E-01,2.33E-02,4.39E-02,2.48E-02,644,1.00E+00,3.25E-02,9.06E-02,4.38E-02,1.53E-01,4.38E-02,9.06E-02,3.25E-02,616,9.88E-01,2.90E-02,6.34E-02,1.79E-02,8.52E-02,1.79E-02,6.34E-02,2.90E-02,669,9.74E-01,1.36E-02,1.62E-02,3.79E-02,7.94E-02,3.79E-02,1.62E-02,1.36E-02,799,9.61E-01,8.80E-02,8.40E-02,4.43E-02,1.05E-01,4.43E-02,8.40E-02,8.80E-02,914,9.40E-01,4.16E-02,1.21E-01,4.32E-02,7.95E-02,4.32E-02,1.21E-01,4.16E-02,1038,Nor
Literal Tibia of Normal_16.jpg,1.10E+00,7.96E-02,1.77E-01,1.05E-01,1.68E-01,1.05E-01,1.77E-01,7.96E-02,774,1.06E+00,6.66E-02,8.34E-02,7.67E-03,1.10E-01,7.67E-03,8.34E-02,6.66E-02,836,1.05E+00,5.29E-02,9.37E-02,5.27E-03,1.41E-01,5.27E-03,9.37E-02,5.29E-02,775,1.03E+00,2.98E-02,1.19E-01,1.58E-02,5.93E-02,1.58E-02,1.19E-01,2.98E-02,762,1.00E+00,1.56E-02,2.68E-01,8.84E-03,7.63E-02,8.84E-03,2.68E-01,1.56E-02,805,9.77E-01,6.84E-03,6.27E-02,2.76E-02,1.60E-02,2.76E-02,6.27E-02,6.84E-03,846,9.57E-01,2.80E-02,3.56E-02,4.84E-02,9.07E-02,4.84E-02,3.56E-02,2.80E-02,830,9.36E-01,7.49E-02,1.38E-01,1.44E-01,6.38E-02,1.44E-01,1.38E-01,7.49E-02,839,9.05E-01,5.12E-02,2.01E-01,1.60E-01,2.35E-01,1.60E-01,2.01E-01,5.12E-02,892,Nor
Literal Tibia of Normal_17.jpg,1.08E+00,3.45E-02,3.88E-01,9.16E-02,2.01E-01,9.16E-02,3.88E-01,3.45E-02,888,1.05E+00,2.85E-02,1.92E-01,3.47E-02,4.69E-02,3.47E-02,1.92E-01,2.85E-02,972,1.04E+00,3.17E-02,6.49E-02,5.35E-02,2.26E-01,5.35E-02,6.49E-02,3.17E-02,704,1.02E+00,2.18E-02,1.25E-01,5.19E-02,1.86E-01,5.19E-02,1.25E-01,2.18E-02,566,1.00E+00,2.59E-02,2.18E-01,3.88E-02,2.47E-01,3.88E-02,2.18E-01,2.59E-02,587,9.84E-01,3.49E-02,7.84E-02,3.07E-02,2.34E-02,3.07E-02,7.84E-02,3.49E-02,605,9.66E-01,4.00E-02,9.45E-02,1.27E-01,3.16E-01,1.27E-01,9.45E-02,4.00E-02,771,9.51E-01,7.33E-03,2.17E-01,4.89E-02,1.47E-01,4.89E-02,2.17E-01,7.33E-03,953,9.23E-01,7.77E-02,3.30E-01,8.52E-02,3.11E-01,8.52E-02,3.30E-01,7.77E-02,1097,Nor
Literal Tibia of Normal_18.jpg,1.08E+00,1.19E-01,3.60E-01,1.52E-01,6.50E-02,1.52E-01,3.60E-01,1.19E-01,931,1.05E+00,2.76E-02,1.63E-01,6.01E-02,5.86E-02,6.01E-02,1.63E-01,2.76E-02,956,1.04E+00,5.41E-03,6.56E-02,8.29E-02,1.36E-01,8.29E-02,6.56E-02,5.41E-03,656,1.02E+00,1.53E-02,1.30E-01,1.32E-01,1.19E-01,1.32E-01,1.30E-01,1.53E-02,535,1.00E+00,2.87E-02,2.08E-01,9.36E-02,9.58E-02,9.36E-02,2.08E-01,2.87E-02,571,9.84E-01,6.76E-03,8.70E-02,4.33E-02,1.44E-02,4.33E-02,8.70E-02,6.76E-03,624,9.64E-01,4.84E-02,6.32E-02,8.36E-02,2.02E-02,8.36E-02,6.32E-02,4.84E-02,762,9.47E-01,4.42E-02,2.19E-01,6.91E-02,8.19E-02,6.91E-02,2.19E-01,4.42E-02,977,9.17E-01,8.29E-02,3.28E-01,1.95E-01,1.76E-02,1.95E-01,3.28E-01,8.29E-02,1018,Nor
