@relation 'LCP Tibia Literal ROI '

@attribute File {'Literal Tibia of Normal_1.jpg','Literal Tibia of Normal_10.jpg','Literal Tibia of Normal_11.jpg','Literal Tibia of Normal_12.jpg','Literal Tibia of Normal_13.jpg','Literal Tibia of Normal_14.jpg','Literal Tibia of Normal_15.jpg','Literal Tibia of Normal_16.jpg','Literal Tibia of Normal_17.jpg','Literal Tibia of Normal_18.jpg','Literal Tibia of Normal_19.jpg','Literal Tibia of Normal_2.jpg','Literal Tibia of Normal_20.jpg','Literal Tibia of Normal_21.jpg','Literal Tibia of Normal_22.jpg','Literal Tibia of Normal_23.jpg','Literal Tibia of Normal_24.jpg','Literal Tibia of Normal_25.jpg','Literal Tibia of Normal_26.jpg','Literal Tibia of Normal_27.jpg','Literal Tibia of Normal_28.jpg','Literal Tibia of Normal_29.jpg','Literal Tibia of Normal_3.jpg','Literal Tibia of Normal_30.jpg','Literal Tibia of Normal_31.jpg','Literal Tibia of Normal_32.jpg','Literal Tibia of Normal_33.jpg','Literal Tibia of Normal_34.jpg','Literal Tibia of Normal_35.jpg','Literal Tibia of Normal_36.jpg','Literal Tibia of Normal_37.jpg','Literal Tibia of Normal_38.jpg','Literal Tibia of Normal_39.jpg','Literal Tibia of Normal_4.jpg','Literal Tibia of Normal_40.jpg','Literal Tibia of Normal_41.jpg','Literal Tibia of Normal_42.jpg','Literal Tibia of Normal_43.jpg','Literal Tibia of Normal_44.jpg','Literal Tibia of Normal_45.jpg','Literal Tibia of Normal_46.jpg','Literal Tibia of Normal_47.jpg','Literal Tibia of Normal_48.jpg','Literal Tibia of Normal_49.jpg','Literal Tibia of Normal_5.jpg','Literal Tibia of Normal_50.jpg','Literal Tibia of Normal_51.jpg','Literal Tibia of Normal_52.jpg','Literal Tibia of Normal_53.jpg','Literal Tibia of Normal_54.jpg','Literal Tibia of Normal_55.jpg','Literal Tibia of Normal_56.jpg','Literal Tibia of Normal_57.jpg','Literal Tibia of Normal_58.jpg','Literal Tibia of Normal_59.jpg','Literal Tibia of Normal_6.jpg','Literal Tibia of Normal_60.jpg','Literal Tibia of Normal_61.jpg','Literal Tibia of Normal_62.jpg','Literal Tibia of Normal_63.jpg','Literal Tibia of Normal_7.jpg','Literal Tibia of Normal_8.jpg','Literal Tibia of Normal_9.jpg','Literal Tibia of OA_1.jpg','Literal Tibia of OA_10.jpg','Literal Tibia of OA_11.jpg','Literal Tibia of OA_12.jpg','Literal Tibia of OA_13.jpg','Literal Tibia of OA_14.jpg','Literal Tibia of OA_15.jpg','Literal Tibia of OA_16.jpg','Literal Tibia of OA_17.jpg','Literal Tibia of OA_18.jpg','Literal Tibia of OA_19.jpg','Literal Tibia of OA_2.jpg','Literal Tibia of OA_20.jpg','Literal Tibia of OA_21.jpg','Literal Tibia of OA_22.jpg','Literal Tibia of OA_23.jpg','Literal Tibia of OA_24.jpg','Literal Tibia of OA_25.jpg','Literal Tibia of OA_26.jpg','Literal Tibia of OA_27.jpg','Literal Tibia of OA_28.jpg','Literal Tibia of OA_29.jpg','Literal Tibia of OA_3.jpg','Literal Tibia of OA_30.jpg','Literal Tibia of OA_31.jpg','Literal Tibia of OA_32.jpg','Literal Tibia of OA_33.jpg','Literal Tibia of OA_34.jpg','Literal Tibia of OA_35.jpg','Literal Tibia of OA_36.jpg','Literal Tibia of OA_37.jpg','Literal Tibia of OA_38.jpg','Literal Tibia of OA_39.jpg','Literal Tibia of OA_4.jpg','Literal Tibia of OA_40.jpg','Literal Tibia of OA_41.jpg','Literal Tibia of OA_42.jpg','Literal Tibia of OA_43.jpg','Literal Tibia of OA_44.jpg','Literal Tibia of OA_45.jpg','Literal Tibia of OA_46.jpg','Literal Tibia of OA_47.jpg','Literal Tibia of OA_48.jpg','Literal Tibia of OA_49.jpg','Literal Tibia of OA_5.jpg','Literal Tibia of OA_50.jpg','Literal Tibia of OA_51.jpg','Literal Tibia of OA_52.jpg','Literal Tibia of OA_53.jpg','Literal Tibia of OA_54.jpg','Literal Tibia of OA_55.jpg','Literal Tibia of OA_56.jpg','Literal Tibia of OA_57.jpg','Literal Tibia of OA_58.jpg','Literal Tibia of OA_59.jpg','Literal Tibia of OA_6.jpg','Literal Tibia of OA_60.jpg','Literal Tibia of OA_61.jpg','Literal Tibia of OA_62.jpg','Literal Tibia of OA_63.jpg','Literal Tibia of OA_64.jpg','Literal Tibia of OA_65.jpg','Literal Tibia of OA_66.jpg','Literal Tibia of OA_67.jpg','Literal Tibia of OA_68.jpg','Literal Tibia of OA_7.jpg','Literal Tibia of OA_8.jpg','Literal Tibia of OA_9.jpg'}
@attribute LCP_1 numeric
@attribute LCP_2 numeric
@attribute LCP_3 numeric
@attribute LCP_4 numeric
@attribute LCP_5 numeric
@attribute LCP_6 numeric
@attribute LCP_7 numeric
@attribute LCP_8 numeric
@attribute LCP_9 numeric
@attribute LCP_10 numeric
@attribute LCP_11 numeric
@attribute LCP_12 numeric
@attribute LCP_13 numeric
@attribute LCP_14 numeric
@attribute LCP_15 numeric
@attribute LCP_16 numeric
@attribute LCP_17 numeric
@attribute LCP_18 numeric
@attribute LCP_19 numeric
@attribute LCP_20 numeric
@attribute LCP_21 numeric
@attribute LCP_22 numeric
@attribute LCP_23 numeric
@attribute LCP_24 numeric
@attribute LCP_25 numeric
@attribute LCP_26 numeric
@attribute LCP_27 numeric
@attribute LCP_28 numeric
@attribute LCP_29 numeric
@attribute LCP_30 numeric
@attribute LCP_31 numeric
@attribute LCP_32 numeric
@attribute LCP_33 numeric
@attribute LCP_34 numeric
@attribute LCP_35 numeric
@attribute LCP_36 numeric
@attribute LCP_37 numeric
@attribute LCP_38 numeric
@attribute LCP_39 numeric
@attribute LCP_40 numeric
@attribute LCP_41 numeric
@attribute LCP_42 numeric
@attribute LCP_43 numeric
@attribute LCP_44 numeric
@attribute LCP_45 numeric
@attribute LCP_46 numeric
@attribute LCP_47 numeric
@attribute LCP_48 numeric
@attribute LCP_49 numeric
@attribute LCP_50 numeric
@attribute LCP_51 numeric
@attribute LCP_52 numeric
@attribute LCP_53 numeric
@attribute LCP_54 numeric
@attribute LCP_55 numeric
@attribute LCP_56 numeric
@attribute LCP_57 numeric
@attribute LCP_58 numeric
@attribute LCP_59 numeric
@attribute LCP_60 numeric
@attribute LCP_61 numeric
@attribute LCP_62 numeric
@attribute LCP_63 numeric
@attribute LCP_64 numeric
@attribute LCP_65 numeric
@attribute LCP_66 numeric
@attribute LCP_67 numeric
@attribute LCP_68 numeric
@attribute LCP_69 numeric
@attribute LCP_70 numeric
@attribute LCP_71 numeric
@attribute LCP_72 numeric
@attribute LCP_73 numeric
@attribute LCP_74 numeric
@attribute LCP_75 numeric
@attribute LCP_76 numeric
@attribute LCP_77 numeric
@attribute LCP_78 numeric
@attribute LCP_79 numeric
@attribute LCP_80 numeric
@attribute LCP_81 numeric
@attribute class {Nor,OA}

@data
'Literal Tibia of Normal_1.jpg',1.03,0.0781,0.237,0.155,0.0336,0.155,0.237,0.0781,696,1.02,0.0374,0.154,0.0582,0.295,0.0582,0.154,0.0374,840,1.02,0.0628,0.0717,0.0574,0.218,0.0574,0.0717,0.0628,704,1.01,0.03,0.177,0.0339,0.0349,0.0339,0.177,0.03,754,1,0.00523,0.215,0.0459,0.276,0.0459,0.215,0.00523,801,0.994,0.00598,0.116,0.0657,0.0152,0.0657,0.116,0.00598,761,0.986,0.0137,0.0625,0.0522,0.0054,0.0522,0.0625,0.0137,819,0.979,0.0278,0.176,0.0674,0.114,0.0674,0.176,0.0278,892,0.968,0.0858,0.253,0.0843,0.238,0.0843,0.253,0.0858,961,Nor
'Literal Tibia of Normal_10.jpg',1.07,0.0788,0.231,0.119,0.0203,0.119,0.231,0.0788,760,1.05,0.0148,0.171,0.0275,0.21,0.0275,0.171,0.0148,891,1.04,0.0157,0.0973,0.0869,0.188,0.0869,0.0973,0.0157,746,1.02,0.0139,0.094,0.035,0.0762,0.035,0.094,0.0139,695,1,0.0227,0.227,0.0382,0.0645,0.0382,0.227,0.0227,734,0.984,0.0195,0.1,0.0331,0.0843,0.0331,0.1,0.0195,764,0.968,0.0443,0.126,0.0492,0.187,0.0492,0.126,0.0443,867,0.952,0.0705,0.135,0.0417,0.0222,0.0417,0.135,0.0705,854,0.929,0.00425,0.294,0.122,0.00619,0.122,0.294,0.00425,956,Nor
'Literal Tibia of Normal_11.jpg',1.07,0.00872,0.484,0.211,0.268,0.211,0.484,0.00872,777,1.05,0.0263,0.291,0.0547,0.141,0.0547,0.291,0.0263,935,1.03,0.0406,0.158,0.0339,0.179,0.0339,0.158,0.0406,648,1.02,0.0101,0.158,0.0681,0.138,0.0681,0.158,0.0101,620,1,0.018,0.334,0.0796,0.0421,0.0796,0.334,0.018,756,0.984,0.0134,0.225,0.0893,0.138,0.0893,0.225,0.0134,725,0.969,0.036,0.0953,0.0669,0.191,0.0669,0.0953,0.036,754,0.959,0.0323,0.33,0.00669,0.0797,0.00669,0.33,0.0323,919,0.938,0.0316,0.491,0.0428,0.184,0.0428,0.491,0.0316,1020,Nor
'Literal Tibia of Normal_12.jpg',1.05,0.0387,0.37,0.0972,0.191,0.0972,0.37,0.0387,748,1.04,0.0775,0.243,0.00776,0.092,0.00776,0.243,0.0775,913,1.03,0.0398,0.0891,0.0502,0.0699,0.0502,0.0891,0.0398,706,1.01,0.0205,0.142,0.0418,0.0601,0.0418,0.142,0.0205,659,1,0.0172,0.31,0.0664,0.16,0.0664,0.31,0.0172,761,0.989,0.03,0.162,0.0901,0.169,0.0901,0.162,0.03,746,0.978,0.0152,0.123,0.029,0.225,0.029,0.123,0.0152,832,0.967,0.0551,0.261,0.0229,0.0537,0.0229,0.261,0.0551,906,0.951,0.145,0.466,0.2,0.0914,0.2,0.466,0.145,992,Nor
'Literal Tibia of Normal_13.jpg',1.07,0.16,0.337,0.0586,0.15,0.0586,0.337,0.16,837,1.04,0.0339,0.24,0.0695,0.0952,0.0695,0.24,0.0339,893,1.03,0.0284,0.103,0.0874,0.00583,0.0874,0.103,0.0284,678,1.02,0.0213,0.13,0.0655,0.239,0.0655,0.13,0.0213,638,1,0.0188,0.315,0.0661,0.168,0.0661,0.315,0.0188,744,0.986,0.0172,0.212,0.0917,0.154,0.0917,0.212,0.0172,704,0.973,0.0629,0.181,0.133,0.1,0.133,0.181,0.0629,790,0.96,0.0472,0.21,0.108,0.0198,0.108,0.21,0.0472,927,0.939,0.0321,0.337,0.066,0.286,0.066,0.337,0.0321,973,Nor
'Literal Tibia of Normal_14.jpg',1.05,0.0507,0.415,0.164,0.0227,0.164,0.415,0.0507,799,1.04,0.0387,0.264,0.0344,0.198,0.0344,0.264,0.0387,876,1.03,0.0123,0.145,0.0407,0.0571,0.0407,0.145,0.0123,719,1.01,0.0128,0.2,0.0989,0.0918,0.0989,0.2,0.0128,651,1,0.0112,0.408,0.0462,0.183,0.0462,0.408,0.0112,727,0.989,0.0116,0.193,0.0829,0.146,0.0829,0.193,0.0116,679,0.977,0.0164,0.167,0.0458,0.416,0.0458,0.167,0.0164,782,0.967,0.0523,0.266,0.066,0.046,0.066,0.266,0.0523,894,0.949,0.0438,0.389,0.0267,0.0416,0.0267,0.389,0.0438,1001,Nor
'Literal Tibia of Normal_15.jpg',1.06,0.0864,0.124,0.104,0.0727,0.104,0.124,0.0864,818,1.04,0.0155,0.0366,0.0456,0.0936,0.0456,0.0366,0.0155,898,1.03,0.0213,0.0579,0.0249,0.318,0.0249,0.0579,0.0213,721,1.01,0.0248,0.0439,0.0233,0.129,0.0233,0.0439,0.0248,644,1,0.0325,0.0906,0.0438,0.153,0.0438,0.0906,0.0325,616,0.988,0.029,0.0634,0.0179,0.0852,0.0179,0.0634,0.029,669,0.974,0.0136,0.0162,0.0379,0.0794,0.0379,0.0162,0.0136,799,0.961,0.088,0.084,0.0443,0.105,0.0443,0.084,0.088,914,0.94,0.0416,0.121,0.0432,0.0795,0.0432,0.121,0.0416,1038,Nor
'Literal Tibia of Normal_16.jpg',1.1,0.0796,0.177,0.105,0.168,0.105,0.177,0.0796,774,1.06,0.0666,0.0834,0.00767,0.11,0.00767,0.0834,0.0666,836,1.05,0.0529,0.0937,0.00527,0.141,0.00527,0.0937,0.0529,775,1.03,0.0298,0.119,0.0158,0.0593,0.0158,0.119,0.0298,762,1,0.0156,0.268,0.00884,0.0763,0.00884,0.268,0.0156,805,0.977,0.00684,0.0627,0.0276,0.016,0.0276,0.0627,0.00684,846,0.957,0.028,0.0356,0.0484,0.0907,0.0484,0.0356,0.028,830,0.936,0.0749,0.138,0.144,0.0638,0.144,0.138,0.0749,839,0.905,0.0512,0.201,0.16,0.235,0.16,0.201,0.0512,892,Nor
'Literal Tibia of Normal_17.jpg',1.08,0.0345,0.388,0.0916,0.201,0.0916,0.388,0.0345,888,1.05,0.0285,0.192,0.0347,0.0469,0.0347,0.192,0.0285,972,1.04,0.0317,0.0649,0.0535,0.226,0.0535,0.0649,0.0317,704,1.02,0.0218,0.125,0.0519,0.186,0.0519,0.125,0.0218,566,1,0.0259,0.218,0.0388,0.247,0.0388,0.218,0.0259,587,0.984,0.0349,0.0784,0.0307,0.0234,0.0307,0.0784,0.0349,605,0.966,0.04,0.0945,0.127,0.316,0.127,0.0945,0.04,771,0.951,0.00733,0.217,0.0489,0.147,0.0489,0.217,0.00733,953,0.923,0.0777,0.33,0.0852,0.311,0.0852,0.33,0.0777,1097,Nor
'Literal Tibia of Normal_18.jpg',1.08,0.119,0.36,0.152,0.065,0.152,0.36,0.119,931,1.05,0.0276,0.163,0.0601,0.0586,0.0601,0.163,0.0276,956,1.04,0.00541,0.0656,0.0829,0.136,0.0829,0.0656,0.00541,656,1.02,0.0153,0.13,0.132,0.119,0.132,0.13,0.0153,535,1,0.0287,0.208,0.0936,0.0958,0.0936,0.208,0.0287,571,0.984,0.00676,0.087,0.0433,0.0144,0.0433,0.087,0.00676,624,0.964,0.0484,0.0632,0.0836,0.0202,0.0836,0.0632,0.0484,762,0.947,0.0442,0.219,0.0691,0.0819,0.0691,0.219,0.0442,977,0.917,0.0829,0.328,0.195,0.0176,0.195,0.328,0.0829,1018,Nor
'Literal Tibia of Normal_19.jpg',1.09,0.00488,0.322,0.112,0.0343,0.112,0.322,0.00488,824,1.06,0.051,0.216,0.0325,0.17,0.0325,0.216,0.051,909,1.04,0.044,0.0851,0.0648,0.21,0.0648,0.0851,0.044,628,1.02,0.0481,0.14,0.1,0.0715,0.1,0.14,0.0481,657,1,0.0211,0.245,0.147,0.0348,0.147,0.245,0.0211,766,0.982,0.0166,0.117,0.0682,0.193,0.0682,0.117,0.0166,754,0.962,0.033,0.108,0.0883,0.0238,0.0883,0.108,0.033,818,0.944,0.0442,0.262,0.101,0.0491,0.101,0.262,0.0442,898,0.916,0.0589,0.44,0.0306,0.00995,0.0306,0.44,0.0589,934,Nor
'Literal Tibia of Normal_2.jpg',1.07,0.0419,0.191,0.0335,0.131,0.0335,0.191,0.0419,934,1.05,0.0466,0.115,0.0459,0.157,0.0459,0.115,0.0466,946,1.03,0.0642,0.0596,0.0795,0.213,0.0795,0.0596,0.0642,551,1.02,0.0157,0.0829,0.116,0.0838,0.116,0.0829,0.0157,525,1,0.0116,0.22,0.00759,0.0847,0.00759,0.22,0.0116,525,0.986,0.012,0.0594,0.0377,0.178,0.0377,0.0594,0.012,520,0.971,0.022,0.0364,0.0602,0.118,0.0602,0.0364,0.022,581,0.958,0.031,0.146,0.0562,0.207,0.0562,0.146,0.031,983,0.931,0.00382,0.212,0.0405,0.0298,0.0405,0.212,0.00382,1099,Nor
'Literal Tibia of Normal_20.jpg',1.07,0.0976,0.392,0.194,0.196,0.194,0.392,0.0976,759,1.05,0.0679,0.194,0.0175,0.03,0.0175,0.194,0.0679,950,1.03,0.0335,0.0946,0.0662,0.124,0.0662,0.0946,0.0335,684,1.02,0.0171,0.103,0.0585,0.0768,0.0585,0.103,0.0171,674,1,0.0362,0.304,0.044,0.0106,0.044,0.304,0.0362,751,0.985,0.00568,0.153,0.0647,0.017,0.0647,0.153,0.00568,832,0.971,0.0366,0.114,0.119,0.0772,0.119,0.114,0.0366,813,0.956,0.0696,0.262,0.014,0.0275,0.014,0.262,0.0696,923,0.934,0.0359,0.356,0.129,0.0841,0.129,0.356,0.0359,908,Nor
'Literal Tibia of Normal_21.jpg',1.07,0.069,0.387,0.109,0.212,0.109,0.387,0.069,893,1.05,0.0299,0.236,0.0635,0.0329,0.0635,0.236,0.0299,919,1.03,0.0211,0.122,0.0952,0.106,0.0952,0.122,0.0211,692,1.02,0.0225,0.121,0.107,0.0926,0.107,0.121,0.0225,544,1,0.0351,0.276,0.0548,0.0769,0.0548,0.276,0.0351,676,0.986,0.0136,0.159,0.0316,0.0466,0.0316,0.159,0.0136,641,0.971,0.0335,0.156,0.129,0.147,0.129,0.156,0.0335,749,0.958,0.0559,0.331,0.0402,0.0682,0.0402,0.331,0.0559,963,0.935,0.0753,0.514,0.194,0.0566,0.194,0.514,0.0753,1004,Nor
'Literal Tibia of Normal_22.jpg',1.09,0.0402,0.471,0.131,0.245,0.131,0.471,0.0402,831,1.06,0.0167,0.308,0.0763,0.104,0.0763,0.308,0.0167,1002,1.05,0.0416,0.14,0.0393,0.125,0.0393,0.14,0.0416,682,1.02,0.00215,0.179,0.0732,0.0874,0.0732,0.179,0.00215,578,1,0.0314,0.314,0.0494,0.0955,0.0494,0.314,0.0314,756,0.977,0.045,0.187,0.139,0.22,0.139,0.187,0.045,647,0.957,0.0704,0.176,0.0785,0.105,0.0785,0.176,0.0704,723,0.936,0.0866,0.321,0.159,0.152,0.159,0.321,0.0866,969,0.908,0.0658,0.494,0.0558,0.0975,0.0558,0.494,0.0658,966,Nor
'Literal Tibia of Normal_23.jpg',1.06,0.0176,0.418,0.088,0.00903,0.088,0.418,0.0176,898,1.04,0.0206,0.238,0.0727,0.0126,0.0727,0.238,0.0206,948,1.03,0.0383,0.0853,0.0458,0.0832,0.0458,0.0853,0.0383,702,1.01,0.0279,0.105,0.0265,0.0754,0.0265,0.105,0.0279,552,1,0.00296,0.227,0.0743,0.0694,0.0743,0.227,0.00296,619,0.988,0.0152,0.0723,0.0688,0.0956,0.0688,0.0723,0.0152,608,0.974,0.0323,0.113,0.0256,0.0312,0.0256,0.113,0.0323,745,0.961,0.0233,0.247,0.052,0.135,0.052,0.247,0.0233,1024,0.941,0.00988,0.43,0.122,0.0579,0.122,0.43,0.00988,1034,Nor
'Literal Tibia of Normal_24.jpg',1.08,0.0349,0.337,0.11,0.198,0.11,0.337,0.0349,779,1.06,0.0422,0.195,0.0901,0.00942,0.0901,0.195,0.0422,894,1.04,0.033,0.0678,0.055,0.148,0.055,0.0678,0.033,763,1.02,0.00844,0.11,0.081,0.0915,0.081,0.11,0.00844,728,1,0.00633,0.287,0.0683,0.031,0.0683,0.287,0.00633,849,0.982,0.00876,0.185,0.137,0.0275,0.137,0.185,0.00876,837,0.959,0.0722,0.078,0.0925,0.182,0.0925,0.078,0.0722,851,0.941,0.0533,0.253,0.122,0.0286,0.122,0.253,0.0533,880,0.913,0.0641,0.435,0.1,0.00933,0.1,0.435,0.0641,878,Nor
'Literal Tibia of Normal_25.jpg',1.07,0.154,0.2,0.0146,0.00227,0.0146,0.2,0.154,755,1.05,0.0483,0.135,0.0705,0.12,0.0705,0.135,0.0483,912,1.04,0.0427,0.0856,0.0939,0.169,0.0939,0.0856,0.0427,674,1.02,0.00806,0.178,0.0655,0.0943,0.0655,0.178,0.00806,660,1,0.0126,0.225,0.0218,0.0463,0.0218,0.225,0.0126,862,0.983,0.0463,0.126,0.015,0.145,0.015,0.126,0.0463,752,0.967,0.0432,0.0788,0.152,0.185,0.152,0.0788,0.0432,764,0.951,0.01,0.182,0.11,0.202,0.11,0.182,0.01,925,0.931,0.064,0.325,0.208,0.00124,0.208,0.325,0.064,948,Nor
'Literal Tibia of Normal_26.jpg',1.1,0.038,0.321,0.0475,0.101,0.0475,0.321,0.038,919,1.06,0.064,0.217,0.0976,0.236,0.0976,0.217,0.064,888,1.04,0.0499,0.0822,0.0589,0.109,0.0589,0.0822,0.0499,723,1.02,0.00449,0.0566,0.0896,0.066,0.0896,0.0566,0.00449,505,1,0.0096,0.258,0.103,0.089,0.103,0.258,0.0096,652,0.981,0.00859,0.0417,0.0923,0.0485,0.0923,0.0417,0.00859,644,0.959,0.0193,0.0739,0.0318,0.194,0.0318,0.0739,0.0193,736,0.938,0.0295,0.223,0.0969,0.062,0.0969,0.223,0.0295,1005,0.907,0.0654,0.4,0.0497,0.0159,0.0497,0.4,0.0654,1010,Nor
