@relation 'Haralick Tibia Literal ROI '

@attribute File {'Literal Tibia of Normal_1.jpg','Literal Tibia of Normal_10.jpg','Literal Tibia of Normal_11.jpg','Literal Tibia of Normal_12.jpg','Literal Tibia of Normal_13.jpg','Literal Tibia of Normal_14.jpg','Literal Tibia of Normal_15.jpg','Literal Tibia of Normal_16.jpg','Literal Tibia of Normal_17.jpg','Literal Tibia of Normal_18.jpg','Literal Tibia of Normal_19.jpg','Literal Tibia of Normal_2.jpg','Literal Tibia of Normal_20.jpg','Literal Tibia of Normal_21.jpg','Literal Tibia of Normal_22.jpg','Literal Tibia of Normal_23.jpg','Literal Tibia of Normal_24.jpg','Literal Tibia of Normal_25.jpg','Literal Tibia of Normal_26.jpg','Literal Tibia of Normal_27.jpg','Literal Tibia of Normal_28.jpg','Literal Tibia of Normal_29.jpg','Literal Tibia of Normal_3.jpg','Literal Tibia of Normal_30.jpg','Literal Tibia of Normal_31.jpg','Literal Tibia of Normal_32.jpg','Literal Tibia of Normal_33.jpg','Literal Tibia of Normal_34.jpg','Literal Tibia of Normal_35.jpg','Literal Tibia of Normal_36.jpg','Literal Tibia of Normal_37.jpg','Literal Tibia of Normal_38.jpg','Literal Tibia of Normal_39.jpg','Literal Tibia of Normal_4.jpg','Literal Tibia of Normal_40.jpg','Literal Tibia of Normal_41.jpg','Literal Tibia of Normal_42.jpg','Literal Tibia of Normal_43.jpg','Literal Tibia of Normal_44.jpg','Literal Tibia of Normal_45.jpg','Literal Tibia of Normal_46.jpg','Literal Tibia of Normal_47.jpg','Literal Tibia of Normal_48.jpg','Literal Tibia of Normal_49.jpg','Literal Tibia of Normal_5.jpg','Literal Tibia of Normal_50.jpg','Literal Tibia of Normal_51.jpg','Literal Tibia of Normal_52.jpg','Literal Tibia of Normal_53.jpg','Literal Tibia of Normal_54.jpg','Literal Tibia of Normal_55.jpg','Literal Tibia of Normal_56.jpg','Literal Tibia of Normal_57.jpg','Literal Tibia of Normal_58.jpg','Literal Tibia of Normal_59.jpg','Literal Tibia of Normal_6.jpg','Literal Tibia of Normal_60.jpg','Literal Tibia of Normal_61.jpg','Literal Tibia of Normal_62.jpg','Literal Tibia of Normal_63.jpg','Literal Tibia of Normal_7.jpg','Literal Tibia of Normal_8.jpg','Literal Tibia of Normal_9.jpg','Literal Tibia of OA_1.jpg','Literal Tibia of OA_10.jpg','Literal Tibia of OA_11.jpg','Literal Tibia of OA_12.jpg','Literal Tibia of OA_13.jpg','Literal Tibia of OA_14.jpg','Literal Tibia of OA_15.jpg','Literal Tibia of OA_16.jpg','Literal Tibia of OA_17.jpg','Literal Tibia of OA_18.jpg','Literal Tibia of OA_19.jpg','Literal Tibia of OA_2.jpg','Literal Tibia of OA_20.jpg','Literal Tibia of OA_21.jpg','Literal Tibia of OA_22.jpg','Literal Tibia of OA_23.jpg','Literal Tibia of OA_24.jpg','Literal Tibia of OA_25.jpg','Literal Tibia of OA_26.jpg','Literal Tibia of OA_27.jpg','Literal Tibia of OA_28.jpg','Literal Tibia of OA_29.jpg','Literal Tibia of OA_3.jpg','Literal Tibia of OA_30.jpg','Literal Tibia of OA_31.jpg','Literal Tibia of OA_32.jpg','Literal Tibia of OA_33.jpg','Literal Tibia of OA_34.jpg','Literal Tibia of OA_35.jpg','Literal Tibia of OA_36.jpg','Literal Tibia of OA_37.jpg','Literal Tibia of OA_38.jpg','Literal Tibia of OA_39.jpg','Literal Tibia of OA_4.jpg','Literal Tibia of OA_40.jpg','Literal Tibia of OA_41.jpg','Literal Tibia of OA_42.jpg','Literal Tibia of OA_43.jpg','Literal Tibia of OA_44.jpg','Literal Tibia of OA_45.jpg','Literal Tibia of OA_46.jpg','Literal Tibia of OA_47.jpg','Literal Tibia of OA_48.jpg','Literal Tibia of OA_49.jpg','Literal Tibia of OA_5.jpg','Literal Tibia of OA_50.jpg','Literal Tibia of OA_51.jpg','Literal Tibia of OA_52.jpg','Literal Tibia of OA_53.jpg','Literal Tibia of OA_54.jpg','Literal Tibia of OA_55.jpg','Literal Tibia of OA_56.jpg','Literal Tibia of OA_57.jpg','Literal Tibia of OA_58.jpg','Literal Tibia of OA_59.jpg','Literal Tibia of OA_6.jpg','Literal Tibia of OA_60.jpg','Literal Tibia of OA_61.jpg','Literal Tibia of OA_62.jpg','Literal Tibia of OA_63.jpg','Literal Tibia of OA_64.jpg','Literal Tibia of OA_65.jpg','Literal Tibia of OA_66.jpg','Literal Tibia of OA_67.jpg','Literal Tibia of OA_68.jpg','Literal Tibia of OA_7.jpg','Literal Tibia of OA_8.jpg','Literal Tibia of OA_9.jpg'}
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute Feature_4 numeric
@attribute Feature_5 numeric
@attribute Feature_6 numeric
@attribute Feature_7 numeric
@attribute Feature_8 numeric
@attribute Feature_9 numeric
@attribute Feature_10 numeric
@attribute Feature_11 numeric
@attribute Feature_12 numeric
@attribute Feature_13 numeric
@attribute Feature_14 numeric
@attribute class {Nor,OA}

@data
'Literal Tibia of Normal_1.jpg',0.881,0.04,0.506,36.3,0.98,12.1,146,0.29,0.458,0.0456,0.168,-0.28,0.372,0.097,Nor
'Literal Tibia of Normal_10.jpg',0.416,0.181,0.588,18.8,0.909,8.64,75.4,0.967,1.58,0.151,0.473,-0.273,0.627,0.298,Nor
'Literal Tibia of Normal_11.jpg',0.369,0.208,0.555,19.2,0.896,8.74,77.1,1.02,1.68,0.171,0.511,-0.239,0.605,0.323,Nor
'Literal Tibia of Normal_12.jpg',0.768,0.0803,0.496,24.1,0.96,9.84,97.1,0.482,0.776,0.0758,0.279,-0.242,0.439,0.142,Nor
'Literal Tibia of Normal_13.jpg',0.71,0.108,0.463,25.8,0.946,10.2,104,0.603,0.977,0.0965,0.342,-0.207,0.449,0.151,Nor
'Literal Tibia of Normal_14.jpg',0.602,0.126,0.567,26.7,0.937,10.3,107,0.734,1.18,0.11,0.379,-0.276,0.561,0.206,Nor
'Literal Tibia of Normal_15.jpg',0.745,0.0903,0.486,24.1,0.955,9.83,96.8,0.525,0.848,0.0833,0.303,-0.234,0.448,0.147,Nor
'Literal Tibia of Normal_16.jpg',0.336,0.197,0.642,20.2,0.902,8.96,81.1,1.15,1.85,0.164,0.497,-0.311,0.704,0.385,Nor
'Literal Tibia of Normal_17.jpg',0.654,0.12,0.519,17,0.94,8.24,68.3,0.686,1.11,0.105,0.367,-0.243,0.514,0.176,Nor
'Literal Tibia of Normal_18.jpg',0.308,0.26,0.5,30.9,0.87,11.1,124,1.14,1.9,0.211,0.573,-0.185,0.567,0.34,Nor
'Literal Tibia of Normal_19.jpg',0.48,0.197,0.515,23.5,0.902,9.68,94.3,0.993,1.63,0.163,0.496,-0.219,0.574,0.211,Nor
'Literal Tibia of Normal_2.jpg',0.441,0.235,0.382,22.6,0.883,9.49,90.7,0.911,1.55,0.192,0.545,-0.118,0.42,0.232,Nor
'Literal Tibia of Normal_20.jpg',0.498,0.151,0.61,27.4,0.925,10.5,110,0.904,1.45,0.129,0.424,-0.302,0.635,0.25,Nor
'Literal Tibia of Normal_21.jpg',0.382,0.221,0.51,28.5,0.89,10.7,114,1.01,1.68,0.181,0.528,-0.202,0.561,0.294,Nor
'Literal Tibia of Normal_22.jpg',0.353,0.24,0.547,22.3,0.88,9.42,89.5,1.17,1.93,0.196,0.552,-0.222,0.618,0.283,Nor
'Literal Tibia of Normal_23.jpg',0.872,0.0546,0.3,25,0.973,10,100,0.32,0.516,0.0566,0.212,-0.13,0.263,0.0683,Nor
'Literal Tibia of Normal_24.jpg',0.347,0.233,0.606,33.3,0.883,11.5,134,1.24,2.02,0.191,0.543,-0.267,0.682,0.269,Nor
'Literal Tibia of Normal_25.jpg',0.389,0.198,0.596,22.2,0.901,9.41,89.3,1.08,1.76,0.164,0.498,-0.28,0.66,0.291,Nor
'Literal Tibia of Normal_26.jpg',0.305,0.259,0.505,20.5,0.871,9.03,82.4,1.14,1.9,0.21,0.571,-0.189,0.572,0.348,Nor
'Literal Tibia of Normal_27.jpg',0.375,0.196,0.582,28.9,0.902,10.7,116,1.02,1.66,0.163,0.495,-0.264,0.63,0.329,Nor
'Literal Tibia of Normal_28.jpg',0.312,0.206,0.686,21.1,0.897,9.15,84.8,1.26,2.02,0.17,0.509,-0.344,0.754,0.374,Nor
'Literal Tibia of Normal_29.jpg',0.445,0.2,0.553,23.2,0.9,9.62,93.3,1.05,1.71,0.166,0.501,-0.246,0.618,0.23,Nor
'Literal Tibia of Normal_3.jpg',0.811,0.0824,0.3,15.8,0.959,7.97,63.7,0.44,0.717,0.0775,0.285,-0.116,0.291,0.084,Nor
'Literal Tibia of Normal_30.jpg',0.569,0.159,0.53,25.8,0.92,10.1,104,0.891,1.45,0.135,0.439,-0.239,0.57,0.169,Nor
'Literal Tibia of Normal_31.jpg',0.671,0.127,0.441,24,0.936,9.81,96.5,0.667,1.09,0.111,0.381,-0.184,0.444,0.159,Nor
'Literal Tibia of Normal_32.jpg',0.371,0.222,0.514,28.7,0.889,10.7,115,1.01,1.68,0.182,0.53,-0.204,0.564,0.305,Nor
'Literal Tibia of Normal_33.jpg',0.739,0.0993,0.459,24.6,0.95,9.94,99.1,0.588,0.948,0.0901,0.324,-0.215,0.452,0.119,Nor
'Literal Tibia of Normal_34.jpg',0.585,0.145,0.523,23.5,0.928,9.69,94.5,0.791,1.29,0.124,0.413,-0.236,0.539,0.199,Nor
'Literal Tibia of Normal_35.jpg',0.349,0.237,0.52,21.7,0.882,9.29,87.1,1.1,1.83,0.194,0.548,-0.204,0.583,0.307,Nor
'Literal Tibia of Normal_36.jpg',0.515,0.175,0.563,25.8,0.912,10.2,104,0.99,1.6,0.147,0.464,-0.258,0.615,0.18,Nor
'Literal Tibia of Normal_37.jpg',0.356,0.248,0.469,21.8,0.876,9.31,87.4,1.06,1.77,0.202,0.56,-0.17,0.53,0.29,Nor
