@relation 'LBP_hf Femur Medial ROI '

@attribute File {'Medial Femur of Normal_1.jpg','Medial Femur of Normal_10.jpg','Medial Femur of Normal_11.jpg','Medial Femur of Normal_12.jpg','Medial Femur of Normal_13.jpg','Medial Femur of Normal_14.jpg','Medial Femur of Normal_15.jpg','Medial Femur of Normal_16.jpg','Medial Femur of Normal_17.jpg','Medial Femur of Normal_18.jpg','Medial Femur of Normal_19.jpg','Medial Femur of Normal_2.jpg','Medial Femur of Normal_20.jpg','Medial Femur of Normal_21.jpg','Medial Femur of Normal_22.jpg','Medial Femur of Normal_23.jpg','Medial Femur of Normal_24.jpg','Medial Femur of Normal_25.jpg','Medial Femur of Normal_26.jpg','Medial Femur of Normal_27.jpg','Medial Femur of Normal_28.jpg','Medial Femur of Normal_29.jpg','Medial Femur of Normal_3.jpg','Medial Femur of Normal_30.jpg','Medial Femur of Normal_31.jpg','Medial Femur of Normal_32.jpg','Medial Femur of Normal_33.jpg','Medial Femur of Normal_34.jpg','Medial Femur of Normal_35.jpg','Medial Femur of Normal_36.jpg','Medial Femur of Normal_37.jpg','Medial Femur of Normal_38.jpg','Medial Femur of Normal_39.jpg','Medial Femur of Normal_4.jpg','Medial Femur of Normal_40.jpg','Medial Femur of Normal_41.jpg','Medial Femur of Normal_42.jpg','Medial Femur of Normal_43.jpg','Medial Femur of Normal_44.jpg','Medial Femur of Normal_45.jpg','Medial Femur of Normal_46.jpg','Medial Femur of Normal_47.jpg','Medial Femur of Normal_48.jpg','Medial Femur of Normal_49.jpg','Medial Femur of Normal_5.jpg','Medial Femur of Normal_50.jpg','Medial Femur of Normal_51.jpg','Medial Femur of Normal_52.jpg','Medial Femur of Normal_53.jpg','Medial Femur of Normal_54.jpg','Medial Femur of Normal_55.jpg','Medial Femur of Normal_56.jpg','Medial Femur of Normal_57.jpg','Medial Femur of Normal_58.jpg','Medial Femur of Normal_59.jpg','Medial Femur of Normal_6.jpg','Medial Femur of Normal_60.jpg','Medial Femur of Normal_61.jpg','Medial Femur of Normal_62.jpg','Medial Femur of Normal_63.jpg','Medial Femur of Normal_7.jpg','Medial Femur of Normal_8.jpg','Medial Femur of Normal_9.jpg','Medial Femur of OA_1.jpg','Medial Femur of OA_10.jpg','Medial Femur of OA_11.jpg','Medial Femur of OA_12.jpg','Medial Femur of OA_13.jpg','Medial Femur of OA_14.jpg','Medial Femur of OA_15.jpg','Medial Femur of OA_16.jpg','Medial Femur of OA_17.jpg','Medial Femur of OA_18.jpg','Medial Femur of OA_19.jpg','Medial Femur of OA_2.jpg','Medial Femur of OA_20.jpg','Medial Femur of OA_21.jpg','Medial Femur of OA_22.jpg','Medial Femur of OA_23.jpg','Medial Femur of OA_24.jpg','Medial Femur of OA_25.jpg','Medial Femur of OA_26.jpg','Medial Femur of OA_27.jpg','Medial Femur of OA_28.jpg','Medial Femur of OA_29.jpg','Medial Femur of OA_3.jpg','Medial Femur of OA_30.jpg','Medial Femur of OA_31.jpg','Medial Femur of OA_32.jpg','Medial Femur of OA_33.jpg','Medial Femur of OA_34.jpg','Medial Femur of OA_35.jpg','Medial Femur of OA_36.jpg','Medial Femur of OA_37.jpg','Medial Femur of OA_38.jpg','Medial Femur of OA_39.jpg','Medial Femur of OA_4.jpg','Medial Femur of OA_40.jpg','Medial Femur of OA_41.jpg','Medial Femur of OA_42.jpg','Medial Femur of OA_43.jpg','Medial Femur of OA_44.jpg','Medial Femur of OA_45.jpg','Medial Femur of OA_46.jpg','Medial Femur of OA_47.jpg','Medial Femur of OA_48.jpg','Medial Femur of OA_49.jpg','Medial Femur of OA_5.jpg','Medial Femur of OA_50.jpg','Medial Femur of OA_51.jpg','Medial Femur of OA_52.jpg','Medial Femur of OA_53.jpg','Medial Femur of OA_54.jpg','Medial Femur of OA_55.jpg','Medial Femur of OA_56.jpg','Medial Femur of OA_57.jpg','Medial Femur of OA_58.jpg','Medial Femur of OA_59.jpg','Medial Femur of OA_6.jpg','Medial Femur of OA_60.jpg','Medial Femur of OA_61.jpg','Medial Femur of OA_62.jpg','Medial Femur of OA_63.jpg','Medial Femur of OA_64.jpg','Medial Femur of OA_65.jpg','Medial Femur of OA_66.jpg','Medial Femur of OA_67.jpg','Medial Femur of OA_68.jpg','Medial Femur of OA_7.jpg','Medial Femur of OA_8.jpg','Medial Femur of OA_9.jpg'}
@attribute LBP_hf_1 numeric
@attribute LBP_hf_2 numeric
@attribute LBP_hf_3 numeric
@attribute LBP_hf_4 numeric
@attribute LBP_hf_5 numeric
@attribute LBP_hf_6 numeric
@attribute LBP_hf_7 numeric
@attribute LBP_hf_8 numeric
@attribute LBP_hf_9 numeric
@attribute LBP_hf_10 numeric
@attribute LBP_hf_11 numeric
@attribute LBP_hf_12 numeric
@attribute LBP_hf_13 numeric
@attribute LBP_hf_14 numeric
@attribute LBP_hf_15 numeric
@attribute LBP_hf_16 numeric
@attribute LBP_hf_17 numeric
@attribute LBP_hf_18 numeric
@attribute LBP_hf_19 numeric
@attribute LBP_hf_20 numeric
@attribute LBP_hf_21 numeric
@attribute LBP_hf_22 numeric
@attribute LBP_hf_23 numeric
@attribute LBP_hf_24 numeric
@attribute LBP_hf_25 numeric
@attribute LBP_hf_26 numeric
@attribute LBP_hf_27 numeric
@attribute LBP_hf_28 numeric
@attribute LBP_hf_29 numeric
@attribute LBP_hf_30 numeric
@attribute LBP_hf_31 numeric
@attribute LBP_hf_32 numeric
@attribute LBP_hf_33 numeric
@attribute LBP_hf_34 numeric
@attribute LBP_hf_35 numeric
@attribute LBP_hf_36 numeric
@attribute LBP_hf_37 numeric
@attribute LBP_hf_38 numeric
@attribute class {Nor,OA}

@data
'Medial Femur of Normal_1.jpg',0.0732,0.00352,0.0337,0.00307,0.0701,0.056,0.00346,0.00705,0.00151,0.00051,0.128,0.0106,0.0136,0.00622,0.0658,0.179,0.0231,0.0586,0.00765,0.0162,0.17,0.0107,0.0383,0.0011,0.0417,0.1,0.00492,0.00589,0.00198,0.00133,0.0824,0.00295,0.0323,0.00386,0.0429,0.0328,0.0721,0.106,Nor
'Medial Femur of Normal_10.jpg',0.0733,0.000465,0.0241,0.00137,0.0671,0.066,0.00238,0.00555,0.00541,0.000714,0.138,0.00663,0.0238,0.00251,0.0415,0.193,0.0139,0.0648,0.007,0.00908,0.167,0.00949,0.0377,0.000818,0.0283,0.0994,0.00375,0.00624,0.00238,0.00102,0.0689,0.00243,0.0234,0.00265,0.0468,0.0347,0.0606,0.099,Nor
'Medial Femur of Normal_11.jpg',0.0714,0.00116,0.00453,0.000977,0.0667,0.0618,0.00475,0.00409,0.00162,0.000204,0.135,0.00562,0.00866,0.00276,0.0559,0.175,0.00864,0.034,0.00608,0.00633,0.174,0.00461,0.0215,0.00389,0.0294,0.108,0.0055,0.0043,0.00189,0.000306,0.0697,0.00164,0.00729,0.0034,0.0379,0.0326,0.069,0.103,Nor
'Medial Femur of Normal_12.jpg',0.0666,0.00288,0.0269,0.00242,0.0619,0.0622,0.00392,0.00983,0.00276,0.000408,0.143,0.00364,0.0178,0.00143,0.0481,0.216,0.0118,0.0829,0.00943,0.029,0.175,0.00459,0.0426,0.00374,0.0304,0.0962,0.00228,0.013,0.00238,0.00153,0.0656,0.00144,0.0247,0.000811,0.0432,0.029,0.0594,0.0872,Nor
'Medial Femur of Normal_13.jpg',0.0774,0.0029,0.038,0.00343,0.0711,0.0643,0.00465,0.00553,0.00243,0.00204,0.13,0.00389,0.0289,0.00255,0.0253,0.199,0.00135,0.0915,0.00256,0.0222,0.162,0.00853,0.05,0.00302,0.0192,0.097,0.00259,0.00891,0.00239,0.00296,0.0731,0.00483,0.033,0.00469,0.0533,0.0408,0.058,0.0983,Nor
'Medial Femur of Normal_14.jpg',0.0797,0.00371,0.0333,0.00326,0.0725,0.0664,0.00219,0.00778,0.00185,0.00112,0.138,0.0124,0.0187,0.00321,0.0402,0.184,0.0119,0.0666,0.0017,0.0225,0.148,0.0108,0.0328,0.00158,0.0165,0.0985,0.00229,0.0105,0.00233,0.000102,0.0748,0.00407,0.0341,0.00441,0.0554,0.0413,0.0664,0.103,Nor
'Medial Femur of Normal_15.jpg',0.0742,0.00458,0.0247,0.00443,0.065,0.0669,0.00211,0.00643,0.000813,0.00306,0.143,0.00629,0.0175,0.00369,0.0435,0.183,0.00519,0.0524,0.00225,0.00133,0.167,0.0044,0.0319,0.00201,0.0124,0.0975,0.00117,0.00909,0.00383,0.00102,0.0715,0.00184,0.023,0.00316,0.0417,0.0396,0.0616,0.0951,Nor
'Medial Femur of Normal_16.jpg',0.0621,0.00298,0.0159,0.00254,0.053,0.0714,0.0032,0.00231,0.00163,0.00408,0.149,0.00549,0.0355,0.00346,0.0198,0.202,0.00444,0.0805,0.00508,0.00153,0.167,0.00316,0.049,0.00217,0.0111,0.0945,0.00302,0.0064,0.00295,0.00224,0.0634,0.00198,0.0103,0.00489,0.0385,0.0436,0.0547,0.0922,Nor
'Medial Femur of Normal_17.jpg',0.0731,0.000644,0.0299,0.0011,0.0643,0.0684,0.00149,0.00714,0.00359,0.000612,0.134,0.00409,0.0257,0.000597,0.0398,0.194,0.0133,0.0761,0.00437,0.0167,0.157,0.00758,0.0327,0.00672,0.0215,0.0974,0.00584,0.00463,0.004,0.00051,0.0723,0.00329,0.0247,0.00228,0.0458,0.0402,0.0614,0.103,Nor
'Medial Femur of Normal_18.jpg',0.0754,0.000894,0.0208,0.000622,0.0674,0.0717,0.0036,0.00139,0.00268,0.00255,0.128,0.00443,0.0274,0.00255,0.0364,0.177,0.00398,0.0545,0.013,0.0199,0.16,0.00308,0.0354,0.00102,0.0115,0.0973,0.00362,0.00881,0.00217,0.00469,0.0734,0.00198,0.0139,0.00381,0.0495,0.0461,0.0631,0.108,Nor
'Medial Femur of Normal_19.jpg',0.0773,0.00249,0.0326,0.00251,0.0665,0.0689,0.00336,0.00617,0.00227,0.000918,0.137,0.00357,0.024,0.00211,0.0316,0.187,0.0146,0.0684,0.0081,0.0212,0.162,0.0069,0.0342,0.0042,0.0144,0.0952,0.00265,0.00896,0.00119,0.00255,0.0708,0.00265,0.0233,0.00267,0.0471,0.0429,0.0605,0.0991,Nor
'Medial Femur of Normal_2.jpg',0.0999,0.00455,0.0403,0.00521,0.0913,0.0687,0.00219,0.0041,0.00219,0.00173,0.108,0.00319,0.00888,0.0012,0.0376,0.137,0.0143,0.0295,0.00481,0.00051,0.119,0.00338,0.018,0.00341,0.0099,0.0935,0.0053,0.00707,0.0033,0,0.103,0.00315,0.0428,0.00171,0.0736,0.0555,0.0833,0.131,Nor
'Medial Femur of Normal_20.jpg',0.0737,0.00233,0.0288,0.00182,0.0671,0.0695,0.00146,0.00562,0.000429,0.00133,0.131,0.00786,0.0241,0.00299,0.0355,0.199,0.0152,0.0763,0.012,0.00612,0.173,0.00817,0.0399,0.00384,0.0227,0.0988,0.00147,0.00549,0.00061,0.00143,0.0679,0.00178,0.0222,0.00292,0.044,0.0378,0.0544,0.0945,Nor
