File,LBP_ri_1,LBP_ri_2,LBP_ri_3,LBP_ri_4,LBP_ri_5,LBP_ri_6,LBP_ri_7,LBP_ri_8,LBP_ri_9,LBP_ri_10,LBP_ri_11,LBP_ri_12,LBP_ri_13,LBP_ri_14,LBP_ri_15,LBP_ri_16,LBP_ri_17,LBP_ri_18,LBP_ri_19,LBP_ri_20,LBP_ri_21,LBP_ri_22,LBP_ri_23,LBP_ri_24,LBP_ri_25,LBP_ri_26,LBP_ri_27,LBP_ri_28,LBP_ri_29,LBP_ri_30,LBP_ri_31,LBP_ri_32,LBP_ri_33,LBP_ri_34,LBP_ri_35,LBP_ri_36,class
Medial Femur of Normal_1.jpg,321,717,549,85,1257,25,48,40,1753,131,63,5,68,69,34,72,1669,3,55,3,1,34,17,3,58,49,42,985,0,1,4,30,52,43,808,707,Nor
Medial Femur of Normal_10.jpg,340,718,647,72,1349,26,28,38,1895,104,68,2,59,68,56,54,1639,0,66,1,1,46,38,1,61,58,41,974,0,1,0,18,39,24,675,594,Nor
Medial Femur of Normal_11.jpg,320,700,606,80,1328,29,48,47,1716,81,58,3,52,79,44,70,1704,3,60,4,1,33,23,4,56,62,47,1061,0,0,1,21,56,45,683,676,Nor
Medial Femur of Normal_12.jpg,284,653,610,66,1399,19,34,36,2118,82,67,5,52,50,40,57,1714,0,52,0,3,33,32,0,45,66,29,943,0,0,0,12,43,32,643,582,Nor
Medial Femur of Normal_13.jpg,400,759,630,60,1270,25,34,31,1952,105,82,2,50,68,64,46,1592,0,65,3,2,35,30,0,62,60,38,951,1,0,1,16,44,39,716,568,Nor
Medial Femur of Normal_14.jpg,405,781,651,67,1352,29,52,36,1799,92,62,1,67,57,52,56,1454,2,60,3,2,35,38,2,57,68,52,965,0,1,3,24,44,48,733,651,Nor
Medial Femur of Normal_15.jpg,388,727,656,69,1404,26,35,46,1797,70,72,3,47,57,50,57,1636,1,57,2,3,29,24,2,72,67,45,956,0,0,1,27,37,33,701,604,Nor
Medial Femur of Normal_16.jpg,427,609,700,50,1460,28,42,46,1979,75,63,2,57,72,47,40,1639,0,56,0,1,38,39,1,63,50,34,926,0,0,0,28,33,39,621,536,Nor
Medial Femur of Normal_17.jpg,394,716,670,61,1312,33,44,37,1900,107,90,1,51,75,55,56,1537,1,80,1,1,33,31,0,45,60,37,955,0,0,0,23,48,36,709,602,Nor
Medial Femur of Normal_18.jpg,452,739,703,74,1251,33,42,45,1733,84,78,3,47,91,60,60,1573,1,57,1,0,47,41,1,81,64,33,954,0,2,5,29,38,42,719,618,Nor
Medial Femur of Normal_19.jpg,420,758,675,67,1344,34,38,54,1828,96,62,3,45,75,38,64,1585,0,44,1,1,33,32,0,73,58,31,933,0,0,1,28,50,43,694,593,Nor
Medial Femur of Normal_2.jpg,544,979,673,83,1063,39,47,43,1347,145,92,5,58,79,59,72,1163,8,76,1,5,55,32,4,67,78,52,916,0,4,8,33,79,63,1013,816,Nor
Medial Femur of Normal_20.jpg,370,722,681,61,1288,30,35,33,1948,83,54,5,48,75,43,58,1700,0,63,3,2,44,24,4,66,56,44,968,0,1,2,20,43,29,665,533,Nor
Medial Femur of Normal_21.jpg,394,764,707,64,1355,22,32,36,1698,66,61,1,76,71,72,63,1632,0,77,1,2,48,37,0,52,63,45,990,0,2,0,20,37,40,688,585,Nor
Medial Femur of Normal_22.jpg,405,743,680,64,1287,33,41,54,1849,86,75,3,59,73,56,66,1626,1,48,2,1,32,42,4,64,64,33,893,0,0,2,32,36,40,703,604,Nor
Medial Femur of Normal_23.jpg,416,776,665,84,1234,29,33,47,1745,106,83,3,64,96,47,60,1557,2,66,1,3,38,22,1,80,53,41,963,0,2,2,20,51,54,735,622,Nor
Medial Femur of Normal_24.jpg,420,711,698,63,1292,32,40,47,1953,88,61,5,52,84,60,47,1625,0,67,2,2,43,33,1,50,56,47,889,0,1,2,27,38,36,713,516,Nor
Medial Femur of Normal_25.jpg,325,706,613,63,1348,21,49,37,2011,89,71,2,50,68,43,65,1650,0,72,2,2,38,30,2,48,56,41,975,0,0,1,27,38,38,632,588,Nor
Medial Femur of Normal_26.jpg,436,753,695,85,1269,33,33,42,1641,71,75,3,54,93,76,50,1536,2,93,0,0,47,31,3,69,60,38,1064,0,1,2,29,41,38,687,651,Nor
Medial Femur of Normal_27.jpg,394,795,669,77,1231,35,65,41,1649,84,72,8,57,75,63,67,1547,2,71,3,0,53,33,1,66,64,38,1020,0,2,2,24,43,30,744,676,Nor
Medial Femur of Normal_28.jpg,400,724,686,77,1340,39,38,41,1869,79,72,1,56,76,55,55,1599,2,57,2,0,30,31,0,56,58,36,938,0,1,1,21,42,35,724,560,Nor
Medial Femur of Normal_29.jpg,403,775,625,51,1282,29,47,32,2007,109,75,4,51,60,55,49,1565,2,56,1,0,36,23,2,53,56,51,906,0,0,1,26,47,51,717,554,Nor
Medial Femur of Normal_3.jpg,523,989,674,88,1151,45,39,49,1268,121,89,5,72,78,68,52,1281,2,87,3,3,59,31,3,69,69,46,927,0,2,4,38,70,66,957,773,Nor
Medial Femur of Normal_30.jpg,342,689,616,72,1424,23,34,37,1968,85,76,7,62,81,58,47,1682,0,62,3,1,40,28,1,54,51,29,982,0,1,0,13,44,35,630,524,Nor
Medial Femur of Normal_31.jpg,354,683,652,99,1394,26,31,56,1856,80,57,7,57,69,56,47,1628,0,73,3,1,31,33,2,61,70,42,995,0,0,1,20,40,40,662,575,Nor
Medial Femur of Normal_32.jpg,319,600,635,64,1420,21,36,23,2047,83,66,1,73,73,54,66,1689,1,65,3,1,37,21,0,53,67,38,966,0,1,0,13,34,34,639,558,Nor
Medial Femur of Normal_33.jpg,322,699,608,60,1429,24,46,30,2041,89,71,1,52,55,44,49,1709,0,60,1,2,24,27,0,51,62,29,923,0,1,3,22,40,29,662,536,Nor
Medial Femur of Normal_34.jpg,345,699,678,61,1401,26,37,36,1943,90,65,3,45,80,59,50,1739,1,67,1,2,36,19,0,59,65,20,919,0,2,4,18,28,29,648,526,Nor
Medial Femur of Normal_35.jpg,441,771,696,56,1349,30,30,53,1799,74,75,4,41,94,66,55,1471,0,74,1,1,55,33,1,65,67,47,873,0,0,2,37,43,48,718,631,Nor
Medial Femur of Normal_36.jpg,422,711,658,64,1309,31,39,44,2058,98,72,4,44,72,46,61,1556,0,60,0,1,36,35,1,51,54,40,864,0,0,1,22,40,39,717,551,Nor
Medial Femur of Normal_37.jpg,430,809,662,72,1221,33,49,36,1840,107,68,7,54,77,61,57,1510,0,57,2,4,30,35,2,87,71,44,855,0,2,0,20,56,34,773,636,Nor
Medial Femur of Normal_38.jpg,348,706,649,54,1376,26,28,36,2189,64,55,2,53,67,51,48,1655,0,41,2,2,29,31,1,62,57,30,932,0,2,0,21,35,34,635,480,Nor
Medial Femur of Normal_39.jpg,307,650,604,82,1395,17,50,42,1941,82,58,7,58,64,53,66,1748,2,52,2,2,31,20,2,64,56,37,987,0,1,1,21,43,33,646,577,Nor
Medial Femur of Normal_4.jpg,297,742,520,67,1245,26,42,37,1871,112,54,5,63,71,52,79,1680,0,73,1,0,44,23,0,58,43,45,993,0,2,1,24,42,38,730,721,Nor
Medial Femur of Normal_40.jpg,325,706,655,50,1337,23,34,35,2188,62,66,2,53,62,47,40,1660,0,57,1,1,31,28,4,65,76,29,919,0,1,2,19,30,35,620,538,Nor
Medial Femur of Normal_41.jpg,400,650,680,59,1447,29,33,44,1833,59,63,2,54,81,53,58,1676,2,77,2,1,41,37,2,65,54,28,992,0,2,0,14,35,34,644,550,Nor
Medial Femur of Normal_42.jpg,389,694,756,74,1384,35,37,41,1804,85,54,3,62,69,59,58,1546,4,70,2,4,49,46,1,57,78,30,954,0,1,0,25,45,39,664,582,Nor
Medial Femur of Normal_43.jpg,374,716,647,64,1380,35,46,32,2033,70,78,0,60,71,53,55,1665,1,57,0,0,32,25,0,57,55,38,887,0,2,1,22,34,33,642,536,Nor
Medial Femur of Normal_44.jpg,328,630,689,68,1383,37,42,39,2201,81,55,1,46,69,38,51,1704,1,58,0,0,25,23,1,51,51,30,904,0,2,0,17,43,39,599,495,Nor
Medial Femur of Normal_45.jpg,333,664,571,66,1344,23,50,43,1950,79,81,4,52,74,54,60,1832,1,66,1,0,35,28,1,59,58,32,933,0,2,0,18,29,31,664,563,Nor
Medial Femur of Normal_46.jpg,432,806,634,50,1207,22,55,37,2004,123,78,5,41,68,58,52,1532,0,67,3,2,34,28,0,64,44,39,892,0,0,1,13,32,46,773,559,Nor
Medial Femur of Normal_47.jpg,371,717,635,49,1334,24,41,29,2081,86,70,5,46,70,42,42,1631,1,64,0,0,40,40,0,55,62,30,903,0,1,0,23,37,38,656,578,Nor
Medial Femur of Normal_48.jpg,361,634,696,48,1403,18,33,28,2178,83,79,3,41,76,45,39,1663,1,66,1,1,32,28,2,55,47,32,909,0,0,2,17,22,29,629,500,Nor
Medial Femur of Normal_49.jpg,379,762,650,56,1279,17,43,27,2070,105,73,4,44,59,49,49,1648,3,67,2,1,21,22,1,41,63,35,924,0,0,3,19,32,47,681,525,Nor
Medial Femur of Normal_5.jpg,489,917,658,67,1134,31,47,56,1630,123,91,4,60,83,58,58,1332,5,64,3,3,53,24,0,68,61,59,919,0,2,5,42,62,61,908,723,Nor
Medial Femur of Normal_50.jpg,385,713,659,86,1325,33,37,55,1770,101,58,0,41,81,54,69,1636,0,64,1,1,23,33,4,69,53,39,953,0,0,1,21,50,40,722,624,Nor
Medial Femur of Normal_51.jpg,449,849,610,80,1190,43,49,51,1528,129,64,8,71,74,58,68,1395,0,74,1,1,34,23,0,72,65,51,938,0,0,4,27,56,58,918,763,Nor
Medial Femur of Normal_52.jpg,364,630,651,82,1351,16,49,31,1955,72,68,3,50,66,50,61,1765,2,66,2,1,30,32,1,54,68,33,1014,0,1,0,20,35,46,601,531,Nor
Medial Femur of Normal_53.jpg,675,1055,639,100,941,76,63,68,1051,154,114,9,72,87,66,64,1038,5,89,9,5,76,28,1,85,87,62,896,0,1,5,46,79,69,1094,892,Nor
Medial Femur of Normal_54.jpg,330,649,669,59,1369,19,38,51,2009,72,63,3,54,72,50,47,1726,0,60,1,1,31,25,1,49,60,30,968,0,2,2,31,41,26,626,567,Nor
Medial Femur of Normal_55.jpg,481,864,730,73,1294,48,48,57,1332,111,71,4,54,79,68,60,1363,0,70,2,2,50,41,3,78,70,52,919,0,1,2,32,59,53,856,774,Nor
Medial Femur of Normal_56.jpg,468,990,587,80,1070,46,51,51,1518,139,68,8,62,79,62,58,1275,2,86,3,3,40,34,4,60,63,56,953,0,4,5,31,65,73,929,778,Nor
Medial Femur of Normal_57.jpg,728,1116,662,94,865,63,67,68,990,144,114,8,68,113,76,56,972,5,107,7,6,57,48,6,94,84,71,849,0,5,7,67,78,93,1087,926,Nor
Medial Femur of Normal_58.jpg,404,780,607,57,1265,26,42,29,2122,115,67,2,57,66,41,46,1608,2,65,1,2,29,25,2,49,53,37,886,0,1,0,23,40,42,683,527,Nor
