@relation 'LCP Femur Medial ROI '

@attribute File {'Medial Femur of Normal_1.jpg','Medial Femur of Normal_10.jpg','Medial Femur of Normal_11.jpg','Medial Femur of Normal_12.jpg','Medial Femur of Normal_13.jpg','Medial Femur of Normal_14.jpg','Medial Femur of Normal_15.jpg','Medial Femur of Normal_16.jpg','Medial Femur of Normal_17.jpg','Medial Femur of Normal_18.jpg','Medial Femur of Normal_19.jpg','Medial Femur of Normal_2.jpg','Medial Femur of Normal_20.jpg','Medial Femur of Normal_21.jpg','Medial Femur of Normal_22.jpg','Medial Femur of Normal_23.jpg','Medial Femur of Normal_24.jpg','Medial Femur of Normal_25.jpg','Medial Femur of Normal_26.jpg','Medial Femur of Normal_27.jpg','Medial Femur of Normal_28.jpg','Medial Femur of Normal_29.jpg','Medial Femur of Normal_3.jpg','Medial Femur of Normal_30.jpg','Medial Femur of Normal_31.jpg','Medial Femur of Normal_32.jpg','Medial Femur of Normal_33.jpg','Medial Femur of Normal_34.jpg','Medial Femur of Normal_35.jpg','Medial Femur of Normal_36.jpg','Medial Femur of Normal_37.jpg','Medial Femur of Normal_38.jpg','Medial Femur of Normal_39.jpg','Medial Femur of Normal_4.jpg','Medial Femur of Normal_40.jpg','Medial Femur of Normal_41.jpg','Medial Femur of Normal_42.jpg','Medial Femur of Normal_43.jpg','Medial Femur of Normal_44.jpg','Medial Femur of Normal_45.jpg','Medial Femur of Normal_46.jpg','Medial Femur of Normal_47.jpg','Medial Femur of Normal_48.jpg','Medial Femur of Normal_49.jpg','Medial Femur of Normal_5.jpg','Medial Femur of Normal_50.jpg','Medial Femur of Normal_51.jpg','Medial Femur of Normal_52.jpg','Medial Femur of Normal_53.jpg','Medial Femur of Normal_54.jpg','Medial Femur of Normal_55.jpg','Medial Femur of Normal_56.jpg','Medial Femur of Normal_57.jpg','Medial Femur of Normal_58.jpg','Medial Femur of Normal_59.jpg','Medial Femur of Normal_6.jpg','Medial Femur of Normal_60.jpg','Medial Femur of Normal_61.jpg','Medial Femur of Normal_62.jpg','Medial Femur of Normal_63.jpg','Medial Femur of Normal_7.jpg','Medial Femur of Normal_8.jpg','Medial Femur of Normal_9.jpg','Medial Femur of OA_1.jpg','Medial Femur of OA_10.jpg','Medial Femur of OA_11.jpg','Medial Femur of OA_12.jpg','Medial Femur of OA_13.jpg','Medial Femur of OA_14.jpg','Medial Femur of OA_15.jpg','Medial Femur of OA_16.jpg','Medial Femur of OA_17.jpg','Medial Femur of OA_18.jpg','Medial Femur of OA_19.jpg','Medial Femur of OA_2.jpg','Medial Femur of OA_20.jpg','Medial Femur of OA_21.jpg','Medial Femur of OA_22.jpg','Medial Femur of OA_23.jpg','Medial Femur of OA_24.jpg','Medial Femur of OA_25.jpg','Medial Femur of OA_26.jpg','Medial Femur of OA_27.jpg','Medial Femur of OA_28.jpg','Medial Femur of OA_29.jpg','Medial Femur of OA_3.jpg','Medial Femur of OA_30.jpg','Medial Femur of OA_31.jpg','Medial Femur of OA_32.jpg','Medial Femur of OA_33.jpg','Medial Femur of OA_34.jpg','Medial Femur of OA_35.jpg','Medial Femur of OA_36.jpg','Medial Femur of OA_37.jpg','Medial Femur of OA_38.jpg','Medial Femur of OA_39.jpg','Medial Femur of OA_4.jpg','Medial Femur of OA_40.jpg','Medial Femur of OA_41.jpg','Medial Femur of OA_42.jpg','Medial Femur of OA_43.jpg','Medial Femur of OA_44.jpg','Medial Femur of OA_45.jpg','Medial Femur of OA_46.jpg','Medial Femur of OA_47.jpg','Medial Femur of OA_48.jpg','Medial Femur of OA_49.jpg','Medial Femur of OA_5.jpg','Medial Femur of OA_50.jpg','Medial Femur of OA_51.jpg','Medial Femur of OA_52.jpg','Medial Femur of OA_53.jpg','Medial Femur of OA_54.jpg','Medial Femur of OA_55.jpg','Medial Femur of OA_56.jpg','Medial Femur of OA_57.jpg','Medial Femur of OA_58.jpg','Medial Femur of OA_59.jpg','Medial Femur of OA_6.jpg','Medial Femur of OA_60.jpg','Medial Femur of OA_61.jpg','Medial Femur of OA_62.jpg','Medial Femur of OA_63.jpg','Medial Femur of OA_64.jpg','Medial Femur of OA_65.jpg','Medial Femur of OA_66.jpg','Medial Femur of OA_67.jpg','Medial Femur of OA_68.jpg','Medial Femur of OA_7.jpg','Medial Femur of OA_8.jpg','Medial Femur of OA_9.jpg'}
@attribute LCP_1 numeric
@attribute LCP_2 numeric
@attribute LCP_3 numeric
@attribute LCP_4 numeric
@attribute LCP_5 numeric
@attribute LCP_6 numeric
@attribute LCP_7 numeric
@attribute LCP_8 numeric
@attribute LCP_9 numeric
@attribute LCP_10 numeric
@attribute LCP_11 numeric
@attribute LCP_12 numeric
@attribute LCP_13 numeric
@attribute LCP_14 numeric
@attribute LCP_15 numeric
@attribute LCP_16 numeric
@attribute LCP_17 numeric
@attribute LCP_18 numeric
@attribute LCP_19 numeric
@attribute LCP_20 numeric
@attribute LCP_21 numeric
@attribute LCP_22 numeric
@attribute LCP_23 numeric
@attribute LCP_24 numeric
@attribute LCP_25 numeric
@attribute LCP_26 numeric
@attribute LCP_27 numeric
@attribute LCP_28 numeric
@attribute LCP_29 numeric
@attribute LCP_30 numeric
@attribute LCP_31 numeric
@attribute LCP_32 numeric
@attribute LCP_33 numeric
@attribute LCP_34 numeric
@attribute LCP_35 numeric
@attribute LCP_36 numeric
@attribute LCP_37 numeric
@attribute LCP_38 numeric
@attribute LCP_39 numeric
@attribute LCP_40 numeric
@attribute LCP_41 numeric
@attribute LCP_42 numeric
@attribute LCP_43 numeric
@attribute LCP_44 numeric
@attribute LCP_45 numeric
@attribute LCP_46 numeric
@attribute LCP_47 numeric
@attribute LCP_48 numeric
@attribute LCP_49 numeric
@attribute LCP_50 numeric
@attribute LCP_51 numeric
@attribute LCP_52 numeric
@attribute LCP_53 numeric
@attribute LCP_54 numeric
@attribute LCP_55 numeric
@attribute LCP_56 numeric
@attribute LCP_57 numeric
@attribute LCP_58 numeric
@attribute LCP_59 numeric
@attribute LCP_60 numeric
@attribute LCP_61 numeric
@attribute LCP_62 numeric
@attribute LCP_63 numeric
@attribute LCP_64 numeric
@attribute LCP_65 numeric
@attribute LCP_66 numeric
@attribute LCP_67 numeric
@attribute LCP_68 numeric
@attribute LCP_69 numeric
@attribute LCP_70 numeric
@attribute LCP_71 numeric
@attribute LCP_72 numeric
@attribute LCP_73 numeric
@attribute LCP_74 numeric
@attribute LCP_75 numeric
@attribute LCP_76 numeric
@attribute LCP_77 numeric
@attribute LCP_78 numeric
@attribute LCP_79 numeric
@attribute LCP_80 numeric
@attribute LCP_81 numeric
@attribute class {Nor,OA}

@data
'Medial Femur of Normal_1.jpg',1.03,0.061,0.345,0.261,0.126,0.261,0.345,0.061,690,1.02,0.0557,0.242,0.0173,0.214,0.0173,0.242,0.0557,841,1.01,0.00993,0.0835,0.0684,0.0131,0.0684,0.0835,0.00993,688,1.01,0.0163,0.136,0.0806,0.19,0.0806,0.136,0.0163,764,1,0.018,0.372,0.033,0.0426,0.033,0.372,0.018,891,0.994,0.0203,0.187,0.0572,0.00515,0.0572,0.187,0.0203,837,0.987,0.0325,0.102,0.132,0.121,0.132,0.102,0.0325,824,0.981,0.078,0.211,0.0673,0.241,0.0673,0.211,0.078,943,0.97,0.046,0.331,0.0863,0.156,0.0863,0.331,0.046,862,Nor
'Medial Femur of Normal_10.jpg',1.07,0.142,0.637,0.157,0.0987,0.157,0.637,0.142,756,1.05,0.0834,0.375,0.0698,0.237,0.0698,0.375,0.0834,858,1.03,0.111,0.2,0.11,0.0106,0.11,0.2,0.111,691,1.02,0.0203,0.176,0.0164,0.0656,0.0164,0.176,0.0203,677,1,0.011,0.412,0.0404,0.129,0.0404,0.412,0.011,819,0.984,0.0364,0.205,0.11,0.202,0.11,0.205,0.0364,815,0.967,0.0507,0.114,0.0938,0.016,0.0938,0.114,0.0507,848,0.956,0.0783,0.422,0.0661,0.21,0.0661,0.422,0.0783,869,0.934,0.136,0.713,0.021,0.0646,0.021,0.713,0.136,942,Nor
'Medial Femur of Normal_11.jpg',1.04,0.122,0.397,0.183,0.134,0.183,0.397,0.122,783,1.03,0.067,0.216,0.0874,0.0964,0.0874,0.216,0.067,876,1.02,0.052,0.0902,0.0466,0.254,0.0466,0.0902,0.052,745,1.01,0.0321,0.0864,0.0539,0.0109,0.0539,0.0864,0.0321,619,1,0.0143,0.193,0.0735,0.0717,0.0735,0.193,0.0143,701,0.992,0.0403,0.125,0.061,0.105,0.061,0.125,0.0403,702,0.982,0.0799,0.052,0.0596,0.193,0.0596,0.052,0.0799,834,0.973,0.0989,0.206,0.0579,0.0415,0.0579,0.206,0.0989,894,0.958,0.0659,0.345,0.11,0.0998,0.11,0.345,0.0659,1030,Nor
'Medial Femur of Normal_12.jpg',1.06,0.0517,0.574,0.0165,0.0051,0.0165,0.574,0.0517,674,1.04,0.0541,0.385,0.0657,0.144,0.0657,0.385,0.0541,824,1.03,0.0642,0.104,0.0252,0.0994,0.0252,0.104,0.0642,710,1.02,0.0459,0.211,0.0715,0.145,0.0715,0.211,0.0459,792,1,0.0196,0.397,0.0722,0.152,0.0722,0.397,0.0196,1003,0.986,0.0217,0.253,0.0154,0.194,0.0154,0.253,0.0217,820,0.975,0.026,0.185,0.0831,0.3,0.0831,0.185,0.026,801,0.965,0.0216,0.405,0.0637,0.29,0.0637,0.405,0.0216,825,0.947,0.103,0.582,0.111,0.179,0.111,0.582,0.103,922,Nor
'Medial Femur of Normal_13.jpg',1.06,0.092,0.544,0.0201,0.0603,0.0201,0.544,0.092,835,1.04,0.0262,0.402,0.0936,0.0675,0.0936,0.402,0.0262,964,1.03,0.0326,0.0765,0.0393,0.198,0.0393,0.0765,0.0326,581,1.02,0.0105,0.223,0.0505,0.0445,0.0505,0.223,0.0105,623,1,0.0277,0.368,0.00818,0.125,0.00818,0.368,0.0277,750,0.984,0.0168,0.183,0.0481,0.218,0.0481,0.183,0.0168,722,0.969,0.0409,0.147,0.0315,0.0268,0.0315,0.147,0.0409,768,0.957,0.0495,0.376,0.0851,0.139,0.0851,0.376,0.0495,913,0.936,0.0453,0.528,0.0419,0.16,0.0419,0.528,0.0453,999,Nor
'Medial Femur of Normal_14.jpg',1.06,0.00776,0.671,0.152,0.453,0.152,0.671,0.00776,885,1.04,0.0601,0.469,0.0234,0.28,0.0234,0.469,0.0601,959,1.03,0.0782,0.142,0.117,0.121,0.117,0.142,0.0782,643,1.02,0.0299,0.144,0.0202,0.245,0.0202,0.144,0.0299,549,1,0.0718,0.277,0.112,0.134,0.112,0.277,0.0718,623,0.986,0.0277,0.171,0.0607,0.0833,0.0607,0.171,0.0277,585,0.972,0.0522,0.188,0.1,0.116,0.1,0.188,0.0522,701,0.959,0.0146,0.487,0.129,0.181,0.129,0.487,0.0146,1046,0.939,0.0485,0.762,0.0834,0.21,0.0834,0.762,0.0485,1024,Nor
'Medial Femur of Normal_15.jpg',1.09,0.0499,0.425,0.113,0.0208,0.113,0.425,0.0499,817,1.06,0.0214,0.308,0.0435,0.0262,0.0435,0.308,0.0214,932,1.04,0.00581,0.0955,0.0127,0.0939,0.0127,0.0955,0.00581,743,1.02,0.00885,0.1,0.1,0.141,0.1,0.1,0.00885,659,1,0.013,0.291,0.0167,0.23,0.0167,0.291,0.013,648,0.981,0.0353,0.143,0.0966,0.0394,0.0966,0.143,0.0353,695,0.961,0.0148,0.148,0.1,0.282,0.1,0.148,0.0148,803,0.943,0.0187,0.337,0.0944,0.106,0.0944,0.337,0.0187,914,0.917,0.0659,0.481,0.0928,0.315,0.0928,0.481,0.0659,1011,Nor
'Medial Femur of Normal_16.jpg',1.1,0.107,0.431,0.0872,0.132,0.0872,0.431,0.107,774,1.07,0.0286,0.259,0.0375,0.17,0.0375,0.259,0.0286,853,1.05,0.0111,0.0669,0.00408,0.0068,0.00408,0.0669,0.0111,618,1.03,0.0103,0.214,0.0807,0.0263,0.0807,0.214,0.0103,733,1,0.00949,0.538,0.0764,0.261,0.0764,0.538,0.00949,978,0.973,0.0239,0.297,0.166,0.167,0.166,0.297,0.0239,887,0.951,0.0128,0.162,0.0645,0.085,0.0645,0.162,0.0128,833,0.933,0.0462,0.261,0.152,0.068,0.152,0.261,0.0462,838,0.901,0.0858,0.517,0.145,0.344,0.145,0.517,0.0858,846,Nor
'Medial Femur of Normal_17.jpg',1.07,0.137,0.6,0.331,0.14,0.331,0.6,0.137,809,1.05,0.045,0.403,0.0262,0.0496,0.0262,0.403,0.045,974,1.03,0.0393,0.178,0.0867,0.118,0.0867,0.178,0.0393,647,1.02,0.0103,0.191,0.098,0.00707,0.098,0.191,0.0103,611,1,0.0118,0.405,0.0374,0.175,0.0374,0.405,0.0118,742,0.984,0.0183,0.201,0.152,0.014,0.152,0.201,0.0183,693,0.969,0.0721,0.208,0.116,0.158,0.116,0.208,0.0721,743,0.955,0.00194,0.378,0.0477,0.0982,0.0477,0.378,0.00194,944,0.932,0.0616,0.561,0.128,0.227,0.128,0.561,0.0616,997,Nor
'Medial Femur of Normal_18.jpg',1.05,0.0878,0.56,0.142,0.385,0.142,0.56,0.0878,893,1.04,0.0837,0.386,0.0487,0.0299,0.0487,0.386,0.0837,908,1.03,0.0574,0.0892,0.0905,0.172,0.0905,0.0892,0.0574,606,1.02,0.042,0.171,0.076,0.164,0.076,0.171,0.042,571,1,0.0458,0.463,0.0833,0.12,0.0833,0.463,0.0458,713,0.986,0.0292,0.221,0.0691,0.0218,0.0691,0.221,0.0292,695,0.974,0.0908,0.207,0.0311,0.0328,0.0311,0.207,0.0908,736,0.964,0.0403,0.39,0.089,0.132,0.089,0.39,0.0403,909,0.944,0.103,0.662,0.144,0.49,0.144,0.662,0.103,1005,Nor
