@relation 'Haralick Femur Medial ROI '

@attribute File {'Medial Femur of Normal_1.jpg','Medial Femur of Normal_10.jpg','Medial Femur of Normal_11.jpg','Medial Femur of Normal_12.jpg','Medial Femur of Normal_13.jpg','Medial Femur of Normal_14.jpg','Medial Femur of Normal_15.jpg','Medial Femur of Normal_16.jpg','Medial Femur of Normal_17.jpg','Medial Femur of Normal_18.jpg','Medial Femur of Normal_19.jpg','Medial Femur of Normal_2.jpg','Medial Femur of Normal_20.jpg','Medial Femur of Normal_21.jpg','Medial Femur of Normal_22.jpg','Medial Femur of Normal_23.jpg','Medial Femur of Normal_24.jpg','Medial Femur of Normal_25.jpg','Medial Femur of Normal_26.jpg','Medial Femur of Normal_27.jpg','Medial Femur of Normal_28.jpg','Medial Femur of Normal_29.jpg','Medial Femur of Normal_3.jpg','Medial Femur of Normal_30.jpg','Medial Femur of Normal_31.jpg','Medial Femur of Normal_32.jpg','Medial Femur of Normal_33.jpg','Medial Femur of Normal_34.jpg','Medial Femur of Normal_35.jpg','Medial Femur of Normal_36.jpg','Medial Femur of Normal_37.jpg','Medial Femur of Normal_38.jpg','Medial Femur of Normal_39.jpg','Medial Femur of Normal_4.jpg','Medial Femur of Normal_40.jpg','Medial Femur of Normal_41.jpg','Medial Femur of Normal_42.jpg','Medial Femur of Normal_43.jpg','Medial Femur of Normal_44.jpg','Medial Femur of Normal_45.jpg','Medial Femur of Normal_46.jpg','Medial Femur of Normal_47.jpg','Medial Femur of Normal_48.jpg','Medial Femur of Normal_49.jpg','Medial Femur of Normal_5.jpg','Medial Femur of Normal_50.jpg','Medial Femur of Normal_51.jpg','Medial Femur of Normal_52.jpg','Medial Femur of Normal_53.jpg','Medial Femur of Normal_54.jpg','Medial Femur of Normal_55.jpg','Medial Femur of Normal_56.jpg','Medial Femur of Normal_57.jpg','Medial Femur of Normal_58.jpg','Medial Femur of Normal_59.jpg','Medial Femur of Normal_6.jpg','Medial Femur of Normal_60.jpg','Medial Femur of Normal_61.jpg','Medial Femur of Normal_62.jpg','Medial Femur of Normal_63.jpg','Medial Femur of Normal_7.jpg','Medial Femur of Normal_8.jpg','Medial Femur of Normal_9.jpg','Medial Femur of OA_1.jpg','Medial Femur of OA_10.jpg','Medial Femur of OA_11.jpg','Medial Femur of OA_12.jpg','Medial Femur of OA_13.jpg','Medial Femur of OA_14.jpg','Medial Femur of OA_15.jpg','Medial Femur of OA_16.jpg','Medial Femur of OA_17.jpg','Medial Femur of OA_18.jpg','Medial Femur of OA_19.jpg','Medial Femur of OA_2.jpg','Medial Femur of OA_20.jpg','Medial Femur of OA_21.jpg','Medial Femur of OA_22.jpg','Medial Femur of OA_23.jpg','Medial Femur of OA_24.jpg','Medial Femur of OA_25.jpg','Medial Femur of OA_26.jpg','Medial Femur of OA_27.jpg','Medial Femur of OA_28.jpg','Medial Femur of OA_29.jpg','Medial Femur of OA_3.jpg','Medial Femur of OA_30.jpg','Medial Femur of OA_31.jpg','Medial Femur of OA_32.jpg','Medial Femur of OA_33.jpg','Medial Femur of OA_34.jpg','Medial Femur of OA_35.jpg','Medial Femur of OA_36.jpg','Medial Femur of OA_37.jpg','Medial Femur of OA_38.jpg','Medial Femur of OA_39.jpg','Medial Femur of OA_4.jpg','Medial Femur of OA_40.jpg','Medial Femur of OA_41.jpg','Medial Femur of OA_42.jpg','Medial Femur of OA_43.jpg','Medial Femur of OA_44.jpg','Medial Femur of OA_45.jpg','Medial Femur of OA_46.jpg','Medial Femur of OA_47.jpg','Medial Femur of OA_48.jpg','Medial Femur of OA_49.jpg','Medial Femur of OA_5.jpg','Medial Femur of OA_50.jpg','Medial Femur of OA_51.jpg','Medial Femur of OA_52.jpg','Medial Femur of OA_53.jpg','Medial Femur of OA_54.jpg','Medial Femur of OA_55.jpg','Medial Femur of OA_56.jpg','Medial Femur of OA_57.jpg','Medial Femur of OA_58.jpg','Medial Femur of OA_59.jpg','Medial Femur of OA_6.jpg','Medial Femur of OA_60.jpg','Medial Femur of OA_61.jpg','Medial Femur of OA_62.jpg','Medial Femur of OA_63.jpg','Medial Femur of OA_64.jpg','Medial Femur of OA_65.jpg','Medial Femur of OA_66.jpg','Medial Femur of OA_67.jpg','Medial Femur of OA_68.jpg','Medial Femur of OA_7.jpg','Medial Femur of OA_8.jpg','Medial Femur of OA_9.jpg'}
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute Feature_4 numeric
@attribute Feature_5 numeric
@attribute Feature_6 numeric
@attribute Feature_7 numeric
@attribute Feature_8 numeric
@attribute Feature_9 numeric
@attribute Feature_10 numeric
@attribute Feature_11 numeric
@attribute Feature_12 numeric
@attribute Feature_13 numeric
@attribute Feature_14 numeric
@attribute class {Nor,OA}

@data
'Medial Femur of Normal_1.jpg',0.527,0.0981,0.747,39.1,0.951,12.5,157,0.824,1.29,0.0892,0.321,-0.466,0.736,0.268,Nor
'Medial Femur of Normal_10.jpg',0.33,0.164,0.805,20.4,0.918,8.97,81.9,1.3,2.03,0.139,0.446,-0.473,0.846,0.321,Nor
'Medial Femur of Normal_11.jpg',0.712,0.0841,0.62,25.8,0.958,10.2,104,0.614,0.97,0.0787,0.289,-0.354,0.584,0.157,Nor
'Medial Femur of Normal_12.jpg',0.564,0.133,0.651,24.8,0.934,9.95,99.5,0.925,1.47,0.115,0.392,-0.357,0.686,0.154,Nor
'Medial Femur of Normal_13.jpg',0.332,0.224,0.626,28.1,0.888,10.6,113,1.23,1.99,0.184,0.532,-0.295,0.706,0.299,Nor
'Medial Femur of Normal_14.jpg',0.479,0.187,0.579,25.9,0.906,10.2,104,1.05,1.71,0.156,0.482,-0.265,0.638,0.19,Nor
'Medial Femur of Normal_15.jpg',0.398,0.204,0.619,17.7,0.898,8.37,71,1.16,1.88,0.168,0.505,-0.292,0.688,0.245,Nor
'Medial Femur of Normal_16.jpg',0.295,0.241,0.694,22.6,0.881,9.45,90.6,1.41,2.28,0.196,0.554,-0.335,0.775,0.291,Nor
'Medial Femur of Normal_17.jpg',0.398,0.156,0.753,23.2,0.922,9.59,93.1,1.21,1.9,0.133,0.433,-0.436,0.808,0.259,Nor
'Medial Femur of Normal_18.jpg',0.285,0.225,0.714,39.6,0.888,12.5,159,1.37,2.21,0.184,0.534,-0.363,0.79,0.318,Nor
'Medial Femur of Normal_19.jpg',0.266,0.234,0.731,26.2,0.883,10.2,105,1.45,2.32,0.191,0.545,-0.373,0.809,0.246,Nor
'Medial Femur of Normal_2.jpg',0.359,0.162,0.7,30.3,0.919,11,122,1.1,1.75,0.137,0.443,-0.38,0.748,0.41,Nor
'Medial Femur of Normal_20.jpg',0.469,0.16,0.708,33.2,0.92,11.5,133,1.07,1.71,0.136,0.44,-0.37,0.735,0.231,Nor
'Medial Femur of Normal_21.jpg',0.445,0.137,0.763,32.6,0.932,11.4,131,1.09,1.72,0.118,0.399,-0.451,0.795,0.27,Nor
'Medial Femur of Normal_22.jpg',0.277,0.203,0.821,33.2,0.899,11.5,133,1.56,2.45,0.168,0.505,-0.473,0.884,0.242,Nor
'Medial Femur of Normal_23.jpg',0.382,0.191,0.699,25.5,0.904,10.1,102,1.25,1.99,0.159,0.488,-0.369,0.771,0.193,Nor
'Medial Femur of Normal_24.jpg',0.252,0.32,0.65,41.6,0.847,12.9,167,1.46,2.45,0.258,0.64,-0.257,0.717,0.301,Nor
'Medial Femur of Normal_25.jpg',0.328,0.156,0.8,29.2,0.922,10.8,117,1.29,2.02,0.132,0.433,-0.488,0.853,0.399,Nor
'Medial Femur of Normal_26.jpg',0.458,0.167,0.701,25.5,0.916,10.1,103,1.14,1.81,0.141,0.451,-0.382,0.758,0.184,Nor
'Medial Femur of Normal_27.jpg',0.547,0.114,0.717,33.5,0.943,11.6,135,0.883,1.39,0.101,0.355,-0.417,0.72,0.228,Nor
'Medial Femur of Normal_28.jpg',0.299,0.236,0.695,26.2,0.882,10.2,105,1.4,2.26,0.193,0.546,-0.337,0.775,0.238,Nor
'Medial Femur of Normal_29.jpg',0.321,0.256,0.704,25.2,0.873,9.99,101,1.42,2.32,0.208,0.572,-0.334,0.778,0.19,Nor
'Medial Femur of Normal_3.jpg',0.339,0.237,0.511,19.5,0.882,8.8,78.3,1.06,1.76,0.193,0.547,-0.198,0.567,0.328,Nor
'Medial Femur of Normal_30.jpg',0.462,0.143,0.811,33.8,0.929,11.6,136,1.19,1.86,0.123,0.411,-0.491,0.837,0.18,Nor
'Medial Femur of Normal_31.jpg',0.482,0.117,0.774,23.1,0.941,9.6,93,1.04,1.62,0.104,0.361,-0.49,0.806,0.241,Nor
'Medial Femur of Normal_32.jpg',0.267,0.177,0.819,27.2,0.912,10.4,109,1.42,2.23,0.148,0.467,-0.487,0.873,0.32,Nor
'Medial Femur of Normal_33.jpg',0.428,0.19,0.564,22.3,0.905,9.44,89.7,0.998,1.63,0.158,0.487,-0.253,0.613,0.273,Nor
'Medial Femur of Normal_34.jpg',0.297,0.19,0.805,29.5,0.905,10.8,118,1.4,2.22,0.159,0.488,-0.456,0.854,0.318,Nor
'Medial Femur of Normal_35.jpg',0.287,0.256,0.686,22.1,0.873,9.34,88.7,1.44,2.34,0.208,0.571,-0.317,0.765,0.284,Nor
'Medial Femur of Normal_36.jpg',0.223,0.262,0.78,29.1,0.87,10.7,117,1.62,2.61,0.212,0.577,-0.393,0.849,0.296,Nor
