@relation '1stGLCM Tibia Medial ROI '

@attribute File {'Medial Tibia of Normal_1.jpg','Medial Tibia of Normal_10.jpg','Medial Tibia of Normal_11.jpg','Medial Tibia of Normal_12.jpg','Medial Tibia of Normal_13.jpg','Medial Tibia of Normal_14.jpg','Medial Tibia of Normal_15.jpg','Medial Tibia of Normal_16.jpg','Medial Tibia of Normal_17.jpg','Medial Tibia of Normal_18.jpg','Medial Tibia of Normal_19.jpg','Medial Tibia of Normal_2.jpg','Medial Tibia of Normal_20.jpg','Medial Tibia of Normal_21.jpg','Medial Tibia of Normal_22.jpg','Medial Tibia of Normal_23.jpg','Medial Tibia of Normal_24.jpg','Medial Tibia of Normal_25.jpg','Medial Tibia of Normal_26.jpg','Medial Tibia of Normal_27.jpg','Medial Tibia of Normal_28.jpg','Medial Tibia of Normal_29.jpg','Medial Tibia of Normal_3.jpg','Medial Tibia of Normal_30.jpg','Medial Tibia of Normal_31.jpg','Medial Tibia of Normal_32.jpg','Medial Tibia of Normal_33.jpg','Medial Tibia of Normal_34.jpg','Medial Tibia of Normal_35.jpg','Medial Tibia of Normal_36.jpg','Medial Tibia of Normal_37.jpg','Medial Tibia of Normal_38.jpg','Medial Tibia of Normal_39.jpg','Medial Tibia of Normal_4.jpg','Medial Tibia of Normal_40.jpg','Medial Tibia of Normal_41.jpg','Medial Tibia of Normal_42.jpg','Medial Tibia of Normal_43.jpg','Medial Tibia of Normal_44.jpg','Medial Tibia of Normal_45.jpg','Medial Tibia of Normal_46.jpg','Medial Tibia of Normal_47.jpg','Medial Tibia of Normal_48.jpg','Medial Tibia of Normal_49.jpg','Medial Tibia of Normal_5.jpg','Medial Tibia of Normal_50.jpg','Medial Tibia of Normal_51.jpg','Medial Tibia of Normal_52.jpg','Medial Tibia of Normal_53.jpg','Medial Tibia of Normal_54.jpg','Medial Tibia of Normal_55.jpg','Medial Tibia of Normal_56.jpg','Medial Tibia of Normal_57.jpg','Medial Tibia of Normal_58.jpg','Medial Tibia of Normal_59.jpg','Medial Tibia of Normal_6.jpg','Medial Tibia of Normal_60.jpg','Medial Tibia of Normal_61.jpg','Medial Tibia of Normal_62.jpg','Medial Tibia of Normal_63.jpg','Medial Tibia of Normal_7.jpg','Medial Tibia of Normal_8.jpg','Medial Tibia of Normal_9.jpg','Medial Tibia of OA_1.jpg','Medial Tibia of OA_10.jpg','Medial Tibia of OA_11.jpg','Medial Tibia of OA_12.jpg','Medial Tibia of OA_13.jpg','Medial Tibia of OA_14.jpg','Medial Tibia of OA_15.jpg','Medial Tibia of OA_16.jpg','Medial Tibia of OA_17.jpg','Medial Tibia of OA_18.jpg','Medial Tibia of OA_19.jpg','Medial Tibia of OA_2.jpg','Medial Tibia of OA_20.jpg','Medial Tibia of OA_21.jpg','Medial Tibia of OA_22.jpg','Medial Tibia of OA_23.jpg','Medial Tibia of OA_24.jpg','Medial Tibia of OA_25.jpg','Medial Tibia of OA_26.jpg','Medial Tibia of OA_27.jpg','Medial Tibia of OA_28.jpg','Medial Tibia of OA_29.jpg','Medial Tibia of OA_3.jpg','Medial Tibia of OA_30.jpg','Medial Tibia of OA_31.jpg','Medial Tibia of OA_32.jpg','Medial Tibia of OA_33.jpg','Medial Tibia of OA_34.jpg','Medial Tibia of OA_35.jpg','Medial Tibia of OA_36.jpg','Medial Tibia of OA_37.jpg','Medial Tibia of OA_38.jpg','Medial Tibia of OA_39.jpg','Medial Tibia of OA_4.jpg','Medial Tibia of OA_40.jpg','Medial Tibia of OA_41.jpg','Medial Tibia of OA_42.jpg','Medial Tibia of OA_43.jpg','Medial Tibia of OA_44.jpg','Medial Tibia of OA_45.jpg','Medial Tibia of OA_46.jpg','Medial Tibia of OA_47.jpg','Medial Tibia of OA_48.jpg','Medial Tibia of OA_49.jpg','Medial Tibia of OA_5.jpg','Medial Tibia of OA_50.jpg','Medial Tibia of OA_51.jpg','Medial Tibia of OA_52.jpg','Medial Tibia of OA_53.jpg','Medial Tibia of OA_54.jpg','Medial Tibia of OA_55.jpg','Medial Tibia of OA_56.jpg','Medial Tibia of OA_57.jpg','Medial Tibia of OA_58.jpg','Medial Tibia of OA_59.jpg','Medial Tibia of OA_6.jpg','Medial Tibia of OA_60.jpg','Medial Tibia of OA_61.jpg','Medial Tibia of OA_62.jpg','Medial Tibia of OA_63.jpg','Medial Tibia of OA_64.jpg','Medial Tibia of OA_65.jpg','Medial Tibia of OA_66.jpg','Medial Tibia of OA_67.jpg','Medial Tibia of OA_68.jpg','Medial Tibia of OA_7.jpg','Medial Tibia of OA_8.jpg','Medial Tibia of OA_9.jpg'}
@attribute Mean1 numeric
@attribute Variance2 numeric
@attribute Skewness3 numeric
@attribute Kurtosis4 numeric
@attribute Energy5 numeric
@attribute Entropy6 numeric
@attribute class {Nor,OA}

@data
'Medial Tibia of Normal_1.jpg',5.12,1.69,-0.067,2.53,0.21,1.67,Nor
'Medial Tibia of Normal_10.jpg',4.93,1.19,0.0011,3.02,0.261,1.5,Nor
'Medial Tibia of Normal_11.jpg',4.6,1.6,0.537,3.15,0.233,1.62,Nor
'Medial Tibia of Normal_12.jpg',5.17,1.1,0.0781,3.22,0.278,1.46,Nor
'Medial Tibia of Normal_13.jpg',5.1,1.51,-0.0284,2.75,0.226,1.62,Nor
'Medial Tibia of Normal_14.jpg',5.39,1.2,0.0351,2.88,0.256,1.51,Nor
'Medial Tibia of Normal_15.jpg',5.24,1.42,-0.124,2.88,0.237,1.59,Nor
'Medial Tibia of Normal_16.jpg',4.93,1.48,0.0216,2.88,0.229,1.61,Nor
'Medial Tibia of Normal_17.jpg',4.95,1.48,0.0476,2.84,0.229,1.62,Nor
'Medial Tibia of Normal_18.jpg',5.07,1.31,-0.0409,2.92,0.245,1.55,Nor
'Medial Tibia of Normal_19.jpg',4.84,1.41,0.124,2.95,0.236,1.59,Nor
'Medial Tibia of Normal_2.jpg',5.54,1,-0.124,2.91,0.281,1.42,Nor
'Medial Tibia of Normal_20.jpg',4.46,1.28,0.344,3.23,0.253,1.53,Nor
'Medial Tibia of Normal_21.jpg',4.93,1.3,0.0231,3.05,0.248,1.55,Nor
'Medial Tibia of Normal_22.jpg',4.84,1.66,0.198,2.8,0.216,1.67,Nor
'Medial Tibia of Normal_23.jpg',5.07,1.42,0.0235,2.93,0.236,1.59,Nor
'Medial Tibia of Normal_24.jpg',5.22,1.32,-0.13,2.88,0.244,1.55,Nor
'Medial Tibia of Normal_25.jpg',4.81,1.02,-0.0211,3.21,0.287,1.43,Nor
'Medial Tibia of Normal_26.jpg',4.82,1.34,0.127,3.02,0.245,1.56,Nor
'Medial Tibia of Normal_27.jpg',5.27,1.2,-0.0267,3,0.26,1.51,Nor
'Medial Tibia of Normal_28.jpg',4.38,1.23,0.408,3.47,0.263,1.51,Nor
'Medial Tibia of Normal_29.jpg',4.86,1.18,0.117,3.07,0.263,1.5,Nor
'Medial Tibia of Normal_3.jpg',4.41,0.975,0.126,3.16,0.287,1.4,Nor
'Medial Tibia of Normal_30.jpg',4.88,1.08,0.124,3.62,0.285,1.45,Nor
'Medial Tibia of Normal_31.jpg',5.1,1.5,-0.0827,2.71,0.226,1.62,Nor
'Medial Tibia of Normal_32.jpg',4.98,1.25,0.102,2.94,0.252,1.53,Nor
'Medial Tibia of Normal_33.jpg',4.56,1.31,0.206,2.98,0.246,1.55,Nor
'Medial Tibia of Normal_34.jpg',4.96,1.53,0.159,2.72,0.224,1.62,Nor
'Medial Tibia of Normal_35.jpg',4.92,1.5,0.062,2.81,0.228,1.62,Nor
'Medial Tibia of Normal_36.jpg',4.58,1.64,0.549,3.38,0.234,1.64,Nor
'Medial Tibia of Normal_37.jpg',5.48,1.16,-0.178,3.29,0.267,1.49,Nor
'Medial Tibia of Normal_38.jpg',5.22,1.29,-0.11,3.16,0.253,1.54,Nor
'Medial Tibia of Normal_39.jpg',5.15,1.52,-0.0944,3.1,0.235,1.62,Nor
'Medial Tibia of Normal_4.jpg',5.3,1.45,0.0258,2.88,0.233,1.6,Nor
'Medial Tibia of Normal_40.jpg',4.87,1.34,0.0344,2.92,0.243,1.57,Nor
'Medial Tibia of Normal_41.jpg',5.09,1.12,-0.191,2.96,0.267,1.47,Nor
'Medial Tibia of Normal_42.jpg',4.59,1.34,0.281,3.24,0.25,1.56,Nor
'Medial Tibia of Normal_43.jpg',5.07,1.31,0.0459,2.76,0.243,1.55,Nor
'Medial Tibia of Normal_44.jpg',4.75,1.59,0.365,3.09,0.231,1.63,Nor
'Medial Tibia of Normal_45.jpg',5.61,1.21,-0.0373,2.96,0.256,1.51,Nor
'Medial Tibia of Normal_46.jpg',4.72,1.12,0.0252,3.01,0.265,1.48,Nor
'Medial Tibia of Normal_47.jpg',4.99,1.35,0.167,3.23,0.251,1.56,Nor
'Medial Tibia of Normal_48.jpg',4.94,1.41,0.119,2.75,0.234,1.58,Nor
'Medial Tibia of Normal_49.jpg',4.55,2.03,0.283,2.54,0.194,1.75,Nor
'Medial Tibia of Normal_5.jpg',4.71,1.46,0.0253,2.59,0.227,1.6,Nor
'Medial Tibia of Normal_50.jpg',4.8,1.01,0.321,3.5,0.29,1.41,Nor
'Medial Tibia of Normal_51.jpg',3.07,0.418,0.1,3.68,0.44,?,Nor
'Medial Tibia of Normal_52.jpg',5.01,1.36,0.00588,2.81,0.239,1.57,Nor
'Medial Tibia of Normal_53.jpg',4.64,1.29,0.0939,2.86,0.247,1.54,Nor
'Medial Tibia of Normal_54.jpg',3.9,0.85,0.335,3.14,0.311,1.33,Nor
