File,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,LBP_10,LBP_11,LBP_12,LBP_13,LBP_14,LBP_15,LBP_16,LBP_17,LBP_18,LBP_19,LBP_20,LBP_21,LBP_22,LBP_23,LBP_24,LBP_25,LBP_26,LBP_27,LBP_28,LBP_29,LBP_30,LBP_31,LBP_32,LBP_33,LBP_34,LBP_35,LBP_36,LBP_37,LBP_38,LBP_39,LBP_40,LBP_41,LBP_42,LBP_43,LBP_44,LBP_45,LBP_46,LBP_47,LBP_48,LBP_49,LBP_50,LBP_51,LBP_52,LBP_53,LBP_54,LBP_55,LBP_56,LBP_57,LBP_58,LBP_59,LBP_60,LBP_61,LBP_62,LBP_63,LBP_64,LBP_65,LBP_66,LBP_67,LBP_68,LBP_69,LBP_70,LBP_71,LBP_72,LBP_73,LBP_74,LBP_75,LBP_76,LBP_77,LBP_78,LBP_79,LBP_80,LBP_81,LBP_82,LBP_83,LBP_84,LBP_85,LBP_86,LBP_87,LBP_88,LBP_89,LBP_90,LBP_91,LBP_92,LBP_93,LBP_94,LBP_95,LBP_96,LBP_97,LBP_98,LBP_99,LBP_100,LBP_101,LBP_102,LBP_103,LBP_104,LBP_105,LBP_106,LBP_107,LBP_108,LBP_109,LBP_110,LBP_111,LBP_112,LBP_113,LBP_114,LBP_115,LBP_116,LBP_117,LBP_118,LBP_119,LBP_120,LBP_121,LBP_122,LBP_123,LBP_124,LBP_125,LBP_126,LBP_127,LBP_128,LBP_129,LBP_130,LBP_131,LBP_132,LBP_133,LBP_134,LBP_135,LBP_136,LBP_137,LBP_138,LBP_139,LBP_140,LBP_141,LBP_142,LBP_143,LBP_144,LBP_145,LBP_146,LBP_147,LBP_148,LBP_149,LBP_150,LBP_151,LBP_152,LBP_153,LBP_154,LBP_155,LBP_156,LBP_157,LBP_158,LBP_159,LBP_160,LBP_161,LBP_162,LBP_163,LBP_164,LBP_165,LBP_166,LBP_167,LBP_168,LBP_169,LBP_170,LBP_171,LBP_172,LBP_173,LBP_174,LBP_175,LBP_176,LBP_177,LBP_178,LBP_179,LBP_180,LBP_181,LBP_182,LBP_183,LBP_184,LBP_185,LBP_186,LBP_187,LBP_188,LBP_189,LBP_190,LBP_191,LBP_192,LBP_193,LBP_194,LBP_195,LBP_196,LBP_197,LBP_198,LBP_199,LBP_200,LBP_201,LBP_202,LBP_203,LBP_204,LBP_205,LBP_206,LBP_207,LBP_208,LBP_209,LBP_210,LBP_211,LBP_212,LBP_213,LBP_214,LBP_215,LBP_216,LBP_217,LBP_218,LBP_219,LBP_220,LBP_221,LBP_222,LBP_223,LBP_224,LBP_225,LBP_226,LBP_227,LBP_228,LBP_229,LBP_230,LBP_231,LBP_232,LBP_233,LBP_234,LBP_235,LBP_236,LBP_237,LBP_238,LBP_239,LBP_240,LBP_241,LBP_242,LBP_243,LBP_244,LBP_245,LBP_246,LBP_247,LBP_248,LBP_249,LBP_250,LBP_251,LBP_252,LBP_253,LBP_254,LBP_255,LBP_256,class
Medial Tibia of Normal_1.jpg,323,111,6,47,280,35,89,251,4,2,0,1,83,10,47,113,124,27,6,14,19,1,4,6,50,8,0,5,206,10,110,158,5,2,0,2,7,1,2,2,0,0,0,0,0,0,1,0,46,15,2,3,12,0,9,6,102,14,2,13,275,7,132,125,263,14,8,17,84,0,18,21,7,0,0,1,17,0,17,5,25,0,0,1,5,0,0,0,12,2,1,0,22,1,6,2,75,10,0,9,12,2,6,13,1,0,0,0,4,1,3,4,233,12,6,6,19,0,6,8,349,6,5,12,263,4,124,46,3,42,0,142,1,25,2,403,0,1,0,3,2,9,0,183,2,7,2,16,0,0,0,17,0,5,0,9,7,14,1,149,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,3,2,5,0,6,0,0,0,10,1,5,0,23,5,9,2,254,82,200,2,301,18,20,10,379,1,7,0,6,9,11,2,125,13,10,0,7,0,0,1,2,7,5,0,11,9,11,7,39,53,114,0,152,5,2,5,109,2,3,0,0,4,6,6,80,123,135,4,123,5,2,5,61,138,112,4,218,97,28,94,714,Nor
Medial Tibia of Normal_10.jpg,362,94,3,56,242,20,101,229,7,3,0,0,102,2,61,109,90,9,0,15,23,1,9,9,61,4,2,3,218,2,104,101,2,2,0,4,3,0,3,4,0,0,0,0,2,0,1,2,65,11,2,6,8,0,7,6,166,11,2,14,326,7,158,170,276,10,5,8,81,1,10,14,8,0,1,0,35,1,5,4,21,0,0,0,1,0,1,0,16,0,0,0,31,0,4,1,77,5,4,5,24,0,4,7,2,0,0,0,13,0,6,1,219,14,4,5,11,0,8,3,433,7,10,12,317,4,108,44,4,55,0,148,5,21,0,461,0,2,0,2,3,6,4,184,2,8,0,18,0,0,0,8,1,12,0,7,6,13,6,133,0,0,0,3,0,1,0,6,0,0,0,0,0,0,0,2,1,2,0,14,0,1,0,11,4,8,0,25,2,8,1,255,87,205,3,291,28,14,2,342,2,2,0,2,18,3,7,88,6,2,0,2,0,0,0,3,8,8,0,8,4,1,3,42,65,99,0,148,11,4,2,114,0,2,0,0,3,0,5,67,129,133,5,131,0,3,4,26,173,123,3,208,108,29,67,600,Nor
Medial Tibia of Normal_11.jpg,333,106,10,56,222,20,94,207,2,3,0,0,78,10,77,117,97,12,3,6,26,0,8,6,65,14,1,7,285,13,161,151,4,3,0,1,7,0,2,4,0,0,0,0,1,0,1,2,70,7,2,6,17,0,4,9,134,8,2,7,517,11,216,144,212,22,9,19,63,5,25,25,4,1,0,0,8,0,8,3,7,2,0,1,1,0,1,1,3,0,0,0,13,0,4,2,83,8,5,5,20,1,6,8,0,1,0,1,9,0,7,2,205,10,4,3,17,1,8,7,251,5,1,3,315,5,103,36,5,70,1,124,7,8,1,307,1,2,0,2,2,4,1,144,2,8,0,16,0,1,0,5,2,8,0,8,5,7,3,145,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,7,0,10,0,0,0,10,1,13,0,23,4,9,5,227,66,254,1,407,14,16,3,306,0,8,0,5,7,7,12,125,4,10,0,4,1,0,0,1,6,4,0,20,11,8,2,41,80,148,1,185,7,3,3,92,1,2,0,3,7,3,5,81,132,149,4,115,4,4,3,38,139,123,3,148,104,43,84,599,Nor
Medial Tibia of Normal_12.jpg,300,92,3,56,264,22,88,256,7,4,0,0,77,7,47,120,80,18,1,15,8,0,4,14,62,5,0,4,228,9,77,108,6,3,0,3,3,0,1,3,0,0,1,0,2,0,2,1,48,15,1,5,7,0,6,9,133,17,2,9,255,6,125,160,266,9,1,3,70,0,16,17,7,0,0,1,17,2,9,1,28,0,0,0,0,0,0,0,19,0,0,1,28,0,3,0,77,3,3,3,13,0,4,9,1,0,0,0,3,0,4,4,273,14,6,4,15,0,6,8,537,10,5,18,349,4,115,49,4,66,0,118,7,18,2,520,0,3,0,2,4,8,1,188,1,6,0,11,1,0,1,13,3,2,0,10,6,7,1,130,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,2,0,2,0,10,1,0,0,10,1,4,0,19,2,8,2,222,82,211,2,234,23,20,11,320,3,7,0,3,6,10,4,107,3,5,0,5,0,1,1,3,7,11,0,4,10,1,2,27,65,86,0,144,5,4,3,116,0,1,0,1,2,2,4,67,137,154,4,176,2,1,8,42,207,139,4,192,102,33,71,651,Nor
Medial Tibia of Normal_13.jpg,355,92,6,51,234,25,87,264,18,1,0,0,90,6,63,123,104,10,2,16,8,0,6,18,55,6,1,6,197,11,90,119,7,4,1,3,3,1,3,5,0,0,0,0,3,0,2,3,60,12,1,9,8,0,6,10,168,20,3,14,262,5,126,155,234,14,3,9,60,1,7,14,6,1,0,0,24,0,8,2,26,2,0,0,5,0,0,0,19,1,0,0,19,1,3,3,83,7,2,5,10,0,4,6,0,0,0,0,8,0,2,3,261,10,6,15,9,0,7,5,533,7,7,15,344,2,114,43,13,69,0,153,13,21,0,529,0,3,0,3,5,7,1,206,2,8,0,13,0,0,0,12,1,3,0,5,5,7,3,118,0,1,0,4,0,0,0,9,0,1,0,0,0,0,0,7,0,0,0,14,0,1,0,9,1,5,1,22,6,5,4,182,78,180,1,236,19,23,6,311,1,2,0,3,9,6,9,108,8,6,0,5,1,0,0,4,6,6,0,6,11,8,3,34,69,93,1,133,3,3,4,116,2,1,0,2,4,3,6,77,128,111,0,151,4,1,1,46,214,139,4,184,89,25,81,616,Nor
Medial Tibia of Normal_14.jpg,366,87,6,43,278,34,70,276,12,1,0,1,89,4,54,133,81,17,2,5,6,0,3,9,66,5,0,2,174,5,79,142,3,1,0,6,7,1,3,4,0,0,0,0,0,1,0,2,47,12,3,8,5,0,6,9,129,8,6,12,224,4,144,155,273,11,4,12,82,1,12,13,11,0,0,1,26,0,2,1,19,0,0,0,4,0,1,0,20,1,0,1,25,0,3,2,73,4,1,6,13,0,3,8,1,0,0,0,4,0,1,4,259,12,5,8,12,0,5,6,620,8,18,12,293,0,124,53,12,67,0,123,12,34,1,606,0,5,0,2,1,12,4,236,1,1,0,7,0,1,0,9,2,6,0,8,5,3,2,134,1,1,0,4,0,0,0,5,0,0,0,0,0,0,0,6,0,4,0,12,0,2,0,16,1,5,0,17,3,10,1,218,88,153,1,214,24,19,10,309,3,4,0,0,11,6,6,88,9,9,0,4,0,0,0,2,10,6,0,7,10,2,4,28,39,88,2,110,4,6,2,109,1,1,1,2,7,2,5,62,107,131,0,119,1,3,1,47,203,115,4,228,100,23,68,655,Nor
Medial Tibia of Normal_15.jpg,382,102,7,63,244,14,90,214,6,0,1,1,80,5,61,110,96,12,1,7,11,0,8,15,80,7,3,5,240,4,98,143,3,1,2,1,3,0,1,2,0,0,0,0,1,0,0,0,60,10,1,4,13,0,1,3,147,16,3,16,269,7,150,127,232,13,6,13,84,1,18,20,0,0,0,0,24,0,13,3,26,1,0,0,0,0,0,0,13,0,0,1,17,0,8,4,92,9,2,3,21,0,3,8,0,0,1,0,8,0,3,5,245,8,1,9,12,0,8,4,420,14,8,14,324,4,128,34,6,65,0,152,5,17,3,413,1,4,0,0,0,6,2,167,3,14,0,14,0,1,0,10,3,4,0,13,4,4,0,128,1,2,0,4,0,0,0,5,0,0,0,0,0,0,0,1,0,4,0,19,0,1,0,8,2,10,0,35,7,8,4,224,103,208,2,261,30,19,9,330,3,5,0,2,10,8,8,103,5,6,0,6,0,0,0,0,5,4,1,9,8,1,4,30,64,135,0,155,7,4,3,118,4,2,0,0,3,3,4,79,119,145,5,154,3,4,2,38,166,135,10,214,96,31,78,630,Nor
Medial Tibia of Normal_16.jpg,412,96,7,80,222,18,74,241,10,3,0,3,98,4,66,116,108,17,1,14,10,0,8,8,78,9,4,3,180,1,91,120,10,2,0,3,6,1,4,4,0,0,0,0,7,0,2,1,68,12,3,10,3,0,2,4,196,17,9,12,311,3,151,143,220,12,5,2,64,1,19,18,5,1,0,0,36,0,9,4,17,0,0,0,2,0,1,0,16,0,1,0,13,1,4,1,67,6,1,3,21,0,7,4,1,0,0,0,13,0,11,3,242,5,1,2,6,0,4,3,479,8,9,7,285,3,109,27,5,83,1,208,3,6,4,496,1,2,0,5,2,2,2,217,3,7,0,15,0,1,0,8,2,8,0,11,2,7,1,124,0,0,0,4,1,0,0,5,0,0,0,0,0,0,0,10,2,12,0,12,0,0,0,15,1,11,1,24,5,5,5,210,96,183,1,281,30,16,10,307,2,4,0,3,9,3,6,83,6,7,0,6,0,0,0,3,4,5,0,6,1,3,2,31,88,105,3,166,14,5,8,107,0,5,0,6,4,2,9,76,105,103,2,129,2,3,3,21,190,121,5,204,101,26,98,568,Nor
Medial Tibia of Normal_17.jpg,378,83,14,74,301,13,106,195,11,0,0,2,82,4,57,80,79,15,2,5,21,2,7,5,65,10,0,6,229,4,100,95,10,1,1,1,7,0,3,4,0,0,0,0,5,0,2,7,72,6,2,2,20,0,11,8,157,12,5,8,578,14,181,128,300,20,8,21,105,2,22,15,2,1,0,0,20,1,12,5,16,2,1,0,1,0,0,1,4,0,0,0,8,0,3,1,95,1,6,7,29,1,8,7,2,0,0,0,5,1,6,5,164,6,4,5,23,0,10,3,262,4,4,2,309,4,89,21,5,54,0,142,4,7,3,257,0,1,0,3,4,4,0,121,2,18,0,13,0,0,0,6,2,11,0,21,4,3,4,154,0,1,0,1,0,0,0,5,0,0,0,0,0,0,1,3,3,0,0,11,0,0,0,3,6,15,0,35,6,16,11,295,81,233,1,533,15,14,7,304,0,7,0,15,1,5,1,122,7,3,0,9,0,0,0,1,2,8,0,15,6,3,4,39,76,92,2,153,6,1,5,72,3,0,0,4,4,1,6,56,78,100,2,122,4,2,3,24,110,124,5,268,94,29,58,662,Nor
Medial Tibia of Normal_18.jpg,465,120,24,92,236,14,88,159,13,6,0,0,81,5,71,89,118,20,2,6,22,1,12,6,86,12,0,9,264,15,139,117,14,4,0,3,8,0,5,5,0,0,0,0,2,1,2,0,88,5,5,9,21,2,15,8,144,16,2,7,432,9,254,115,239,29,15,23,57,2,33,19,2,0,1,0,18,1,14,2,11,0,0,1,1,0,0,0,7,0,0,1,7,0,1,2,104,9,2,8,22,1,14,5,1,0,0,0,5,0,9,2,159,4,3,7,20,0,4,4,182,4,4,5,250,1,99,27,8,74,4,137,9,7,1,160,0,2,0,8,5,6,4,144,3,12,1,17,0,1,0,3,2,13,0,21,11,4,4,136,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,5,2,10,0,9,0,0,0,3,10,17,0,20,9,17,10,209,87,241,5,440,11,7,15,220,2,7,0,14,6,5,2,131,9,4,0,9,0,0,0,2,6,8,0,15,4,6,3,35,73,149,1,223,14,5,4,115,3,3,0,11,5,4,11,81,116,124,0,115,4,2,4,26,146,135,3,212,111,36,83,655,Nor
