@relation 'LBP_hf Tibia Medial ROI '

@attribute File {'Medial Tibia of Normal_1.jpg','Medial Tibia of Normal_10.jpg','Medial Tibia of Normal_11.jpg','Medial Tibia of Normal_12.jpg','Medial Tibia of Normal_13.jpg','Medial Tibia of Normal_14.jpg','Medial Tibia of Normal_15.jpg','Medial Tibia of Normal_16.jpg','Medial Tibia of Normal_17.jpg','Medial Tibia of Normal_18.jpg','Medial Tibia of Normal_19.jpg','Medial Tibia of Normal_2.jpg','Medial Tibia of Normal_20.jpg','Medial Tibia of Normal_21.jpg','Medial Tibia of Normal_22.jpg','Medial Tibia of Normal_23.jpg','Medial Tibia of Normal_24.jpg','Medial Tibia of Normal_25.jpg','Medial Tibia of Normal_26.jpg','Medial Tibia of Normal_27.jpg','Medial Tibia of Normal_28.jpg','Medial Tibia of Normal_29.jpg','Medial Tibia of Normal_3.jpg','Medial Tibia of Normal_30.jpg','Medial Tibia of Normal_31.jpg','Medial Tibia of Normal_32.jpg','Medial Tibia of Normal_33.jpg','Medial Tibia of Normal_34.jpg','Medial Tibia of Normal_35.jpg','Medial Tibia of Normal_36.jpg','Medial Tibia of Normal_37.jpg','Medial Tibia of Normal_38.jpg','Medial Tibia of Normal_39.jpg','Medial Tibia of Normal_4.jpg','Medial Tibia of Normal_40.jpg','Medial Tibia of Normal_41.jpg','Medial Tibia of Normal_42.jpg','Medial Tibia of Normal_43.jpg','Medial Tibia of Normal_44.jpg','Medial Tibia of Normal_45.jpg','Medial Tibia of Normal_46.jpg','Medial Tibia of Normal_47.jpg','Medial Tibia of Normal_48.jpg','Medial Tibia of Normal_49.jpg','Medial Tibia of Normal_5.jpg','Medial Tibia of Normal_50.jpg','Medial Tibia of Normal_51.jpg','Medial Tibia of Normal_52.jpg','Medial Tibia of Normal_53.jpg','Medial Tibia of Normal_54.jpg','Medial Tibia of Normal_55.jpg','Medial Tibia of Normal_56.jpg','Medial Tibia of Normal_57.jpg','Medial Tibia of Normal_58.jpg','Medial Tibia of Normal_59.jpg','Medial Tibia of Normal_6.jpg','Medial Tibia of Normal_60.jpg','Medial Tibia of Normal_61.jpg','Medial Tibia of Normal_62.jpg','Medial Tibia of Normal_63.jpg','Medial Tibia of Normal_7.jpg','Medial Tibia of Normal_8.jpg','Medial Tibia of Normal_9.jpg','Medial Tibia of OA_1.jpg','Medial Tibia of OA_10.jpg','Medial Tibia of OA_11.jpg','Medial Tibia of OA_12.jpg','Medial Tibia of OA_13.jpg','Medial Tibia of OA_14.jpg','Medial Tibia of OA_15.jpg','Medial Tibia of OA_16.jpg','Medial Tibia of OA_17.jpg','Medial Tibia of OA_18.jpg','Medial Tibia of OA_19.jpg','Medial Tibia of OA_2.jpg','Medial Tibia of OA_20.jpg','Medial Tibia of OA_21.jpg','Medial Tibia of OA_22.jpg','Medial Tibia of OA_23.jpg','Medial Tibia of OA_24.jpg','Medial Tibia of OA_25.jpg','Medial Tibia of OA_26.jpg','Medial Tibia of OA_27.jpg','Medial Tibia of OA_28.jpg','Medial Tibia of OA_29.jpg','Medial Tibia of OA_3.jpg','Medial Tibia of OA_30.jpg','Medial Tibia of OA_31.jpg','Medial Tibia of OA_32.jpg','Medial Tibia of OA_33.jpg','Medial Tibia of OA_34.jpg','Medial Tibia of OA_35.jpg','Medial Tibia of OA_36.jpg','Medial Tibia of OA_37.jpg','Medial Tibia of OA_38.jpg','Medial Tibia of OA_39.jpg','Medial Tibia of OA_4.jpg','Medial Tibia of OA_40.jpg','Medial Tibia of OA_41.jpg','Medial Tibia of OA_42.jpg','Medial Tibia of OA_43.jpg','Medial Tibia of OA_44.jpg','Medial Tibia of OA_45.jpg','Medial Tibia of OA_46.jpg','Medial Tibia of OA_47.jpg','Medial Tibia of OA_48.jpg','Medial Tibia of OA_49.jpg','Medial Tibia of OA_5.jpg','Medial Tibia of OA_50.jpg','Medial Tibia of OA_51.jpg','Medial Tibia of OA_52.jpg','Medial Tibia of OA_53.jpg','Medial Tibia of OA_54.jpg','Medial Tibia of OA_55.jpg','Medial Tibia of OA_56.jpg','Medial Tibia of OA_57.jpg','Medial Tibia of OA_58.jpg','Medial Tibia of OA_59.jpg','Medial Tibia of OA_6.jpg','Medial Tibia of OA_60.jpg','Medial Tibia of OA_61.jpg','Medial Tibia of OA_62.jpg','Medial Tibia of OA_63.jpg','Medial Tibia of OA_64.jpg','Medial Tibia of OA_65.jpg','Medial Tibia of OA_66.jpg','Medial Tibia of OA_67.jpg','Medial Tibia of OA_68.jpg','Medial Tibia of OA_7.jpg','Medial Tibia of OA_8.jpg','Medial Tibia of OA_9.jpg'}
@attribute LBP_hf_1 numeric
@attribute LBP_hf_2 numeric
@attribute LBP_hf_3 numeric
@attribute LBP_hf_4 numeric
@attribute LBP_hf_5 numeric
@attribute LBP_hf_6 numeric
@attribute LBP_hf_7 numeric
@attribute LBP_hf_8 numeric
@attribute LBP_hf_9 numeric
@attribute LBP_hf_10 numeric
@attribute LBP_hf_11 numeric
@attribute LBP_hf_12 numeric
@attribute LBP_hf_13 numeric
@attribute LBP_hf_14 numeric
@attribute LBP_hf_15 numeric
@attribute LBP_hf_16 numeric
@attribute LBP_hf_17 numeric
@attribute LBP_hf_18 numeric
@attribute LBP_hf_19 numeric
@attribute LBP_hf_20 numeric
@attribute LBP_hf_21 numeric
@attribute LBP_hf_22 numeric
@attribute LBP_hf_23 numeric
@attribute LBP_hf_24 numeric
@attribute LBP_hf_25 numeric
@attribute LBP_hf_26 numeric
@attribute LBP_hf_27 numeric
@attribute LBP_hf_28 numeric
@attribute LBP_hf_29 numeric
@attribute LBP_hf_30 numeric
@attribute LBP_hf_31 numeric
@attribute LBP_hf_32 numeric
@attribute LBP_hf_33 numeric
@attribute LBP_hf_34 numeric
@attribute LBP_hf_35 numeric
@attribute LBP_hf_36 numeric
@attribute LBP_hf_37 numeric
@attribute LBP_hf_38 numeric
@attribute class {Nor,OA}

@data
'Medial Tibia of Normal_1.jpg',0.0812,0.0023,0.0314,0.00207,0.0775,0.0524,0.00177,0.0104,0.00152,0.000204,0.126,0.00507,0.0167,0.00398,0.0557,0.182,0.00731,0.0641,0.00487,0.0167,0.157,0.017,0.0358,0.00717,0.0337,0.0984,0.00595,0.0039,0.00377,0.00245,0.0837,0.00341,0.0307,0.00516,0.0482,0.033,0.0728,0.113,Nor
'Medial Tibia of Normal_10.jpg',0.0733,0.00319,0.0341,0.0038,0.07,0.0616,0.00371,0.00939,0.00231,0.00163,0.134,0.0024,0.0194,0.00263,0.044,0.199,0.00194,0.0804,0.00685,0.0247,0.159,0.00315,0.0437,0.00538,0.0235,0.0995,0.00436,0.0113,0.00488,0.00194,0.0753,0.00704,0.0336,0.00258,0.0465,0.0369,0.0612,0.1,Nor
'Medial Tibia of Normal_11.jpg',0.0671,0.002,0.0236,0.000848,0.0629,0.0594,0.00168,0.00466,0.0027,0.00429,0.139,0.00374,0.0166,0.00289,0.0547,0.208,0.00882,0.0734,0.0157,0.0312,0.164,0.00396,0.0349,0.00258,0.0242,0.097,0.00609,0.00805,0.00147,0.00255,0.0712,0.00778,0.0215,0.00835,0.039,0.034,0.0611,0.0989,Nor
'Medial Tibia of Normal_12.jpg',0.0737,0.000817,0.0365,0.00167,0.0696,0.0567,0.0019,0.00676,0.00105,0.00306,0.136,0.00439,0.0169,0.00206,0.0617,0.201,0.00452,0.0942,0.00157,0.0484,0.163,0.008,0.0435,0.00354,0.0272,0.107,0.00235,0.0135,0.00142,0.00459,0.0717,0.00341,0.0283,0.00304,0.0409,0.0306,0.0664,0.0951,Nor
'Medial Tibia of Normal_13.jpg',0.0722,0.00168,0.0278,0.000842,0.0633,0.0585,0.000631,0.00747,0.00295,0.00153,0.138,0.00267,0.0245,0.00212,0.0458,0.203,0.00291,0.0932,0.00258,0.0506,0.16,0.00345,0.0464,0.0038,0.021,0.101,0.00137,0.0115,0.0039,0.00163,0.0686,0.000512,0.0214,0.00142,0.0384,0.0362,0.0629,0.0994,Nor
'Medial Tibia of Normal_14.jpg',0.0767,0.0011,0.0391,0.000493,0.07,0.0554,0.000583,0.00894,0.000471,0.000918,0.123,0.00437,0.0267,0.00125,0.0527,0.211,0.0017,0.11,0.00436,0.073,0.16,0.00616,0.0385,0.00408,0.0186,0.0963,0.0062,0.00893,0.00194,0.00204,0.0742,0.000721,0.0326,0.00189,0.0434,0.0373,0.0668,0.0988,Nor
'Medial Tibia of Normal_15.jpg',0.071,0.00176,0.0284,0.00099,0.0665,0.0646,0.00168,0.00719,0.00362,0.00214,0.136,0.00404,0.0178,0.00507,0.0493,0.186,0.00431,0.0685,0.00374,0.0313,0.161,0.00116,0.0375,0.000198,0.031,0.101,0.00259,0.00854,0.00355,0.00296,0.0743,0.000732,0.0287,0.00139,0.0471,0.039,0.0643,0.103,Nor
'Medial Tibia of Normal_16.jpg',0.0692,0.00183,0.0243,0.00065,0.0626,0.0657,0.00212,0.00512,0.000364,0.00408,0.143,0.00288,0.0283,0.00223,0.0294,0.202,0.00157,0.088,0.00537,0.0365,0.157,0.00588,0.0388,0.00117,0.00928,0.0936,0.00251,0.00945,0.00219,0.00051,0.0707,0.00271,0.0245,0.00218,0.0493,0.042,0.058,0.0982,Nor
'Medial Tibia of Normal_17.jpg',0.0819,0.000865,0.0448,0.00083,0.0738,0.0642,0.0017,0.00854,0.0015,0.00112,0.128,0.000995,0.0199,0.00562,0.0397,0.202,0.00555,0.103,0.00365,0.0569,0.14,0.00288,0.0439,0.0034,0.0248,0.0923,0.00552,0.0124,0.00338,0.00275,0.0806,0.00334,0.0459,0.00252,0.0575,0.0386,0.0675,0.105,Nor
'Medial Tibia of Normal_18.jpg',0.0788,0.00096,0.0242,0.0014,0.0667,0.0714,0.00185,0.00349,0.00245,0.000408,0.127,0.00278,0.0237,0.00209,0.0406,0.174,0.00506,0.0683,0.00174,0.0456,0.151,0.00561,0.0302,0.00289,0.00571,0.0976,0.00344,0.00594,0.00135,0.00133,0.0723,0.000464,0.0263,0.000312,0.047,0.0474,0.0668,0.113,Nor
'Medial Tibia of Normal_19.jpg',0.0741,0.003,0.0279,0.00305,0.0665,0.0666,0.00479,0.00813,0.00428,0.00133,0.133,0.00127,0.0227,0.00314,0.0348,0.201,0.00425,0.0822,0.005,0.0189,0.161,0.00351,0.0418,0.00202,0.0252,0.0968,0.0039,0.0108,0.000506,0.00173,0.072,0.00133,0.0344,0.00101,0.0498,0.0379,0.0574,0.0996,Nor
'Medial Tibia of Normal_2.jpg',0.111,0.00454,0.0571,0.00428,0.102,0.0647,0.00156,0.00348,0.00588,0.00313,0.108,0.00434,0.0122,0.00399,0.0428,0.125,0.00107,0.0328,0.00714,0.00141,0.115,0.00383,0.0163,0.00367,0.0128,0.0962,0.00459,0.0121,0.00384,0.000808,0.104,0.00384,0.0436,0.00427,0.0755,0.0547,0.0854,0.136,Nor
'Medial Tibia of Normal_20.jpg',0.074,0.00276,0.0328,0.00317,0.0662,0.0695,0.00207,0.0112,0.00228,0.00541,0.142,0.00446,0.0232,0.00707,0.0379,0.198,0.00504,0.0785,0.00542,0.0418,0.156,0.00414,0.0371,0.00272,0.0246,0.0958,0.00259,0.00859,0.00465,0.00418,0.0737,0.00222,0.0344,0.000974,0.0526,0.0376,0.0594,0.0946,Nor
'Medial Tibia of Normal_21.jpg',0.0774,0.000393,0.0319,0.00214,0.0693,0.0623,0.00356,0.0066,0.00324,0.00398,0.137,0.00393,0.0188,0.00367,0.0364,0.188,0.00517,0.0697,0.00636,0.0403,0.158,0.00552,0.0356,0.0019,0.0119,0.099,0.00311,0.0145,0.00173,0.00326,0.0714,0.00254,0.0286,0.00303,0.0473,0.043,0.0599,0.104,Nor
