@relation 'LBP_ri Tibia Medial ROI '

@attribute File {'Medial Tibia of Normal_1.jpg','Medial Tibia of Normal_10.jpg','Medial Tibia of Normal_11.jpg','Medial Tibia of Normal_12.jpg','Medial Tibia of Normal_13.jpg','Medial Tibia of Normal_14.jpg','Medial Tibia of Normal_15.jpg','Medial Tibia of Normal_16.jpg','Medial Tibia of Normal_17.jpg','Medial Tibia of Normal_18.jpg','Medial Tibia of Normal_19.jpg','Medial Tibia of Normal_2.jpg','Medial Tibia of Normal_20.jpg','Medial Tibia of Normal_21.jpg','Medial Tibia of Normal_22.jpg','Medial Tibia of Normal_23.jpg','Medial Tibia of Normal_24.jpg','Medial Tibia of Normal_25.jpg','Medial Tibia of Normal_26.jpg','Medial Tibia of Normal_27.jpg','Medial Tibia of Normal_28.jpg','Medial Tibia of Normal_29.jpg','Medial Tibia of Normal_3.jpg','Medial Tibia of Normal_30.jpg','Medial Tibia of Normal_31.jpg','Medial Tibia of Normal_32.jpg','Medial Tibia of Normal_33.jpg','Medial Tibia of Normal_34.jpg','Medial Tibia of Normal_35.jpg','Medial Tibia of Normal_36.jpg','Medial Tibia of Normal_37.jpg','Medial Tibia of Normal_38.jpg','Medial Tibia of Normal_39.jpg','Medial Tibia of Normal_4.jpg','Medial Tibia of Normal_40.jpg','Medial Tibia of Normal_41.jpg','Medial Tibia of Normal_42.jpg','Medial Tibia of Normal_43.jpg','Medial Tibia of Normal_44.jpg','Medial Tibia of Normal_45.jpg','Medial Tibia of Normal_46.jpg','Medial Tibia of Normal_47.jpg','Medial Tibia of Normal_48.jpg','Medial Tibia of Normal_49.jpg','Medial Tibia of Normal_5.jpg','Medial Tibia of Normal_50.jpg','Medial Tibia of Normal_51.jpg','Medial Tibia of Normal_52.jpg','Medial Tibia of Normal_53.jpg','Medial Tibia of Normal_54.jpg','Medial Tibia of Normal_55.jpg','Medial Tibia of Normal_56.jpg','Medial Tibia of Normal_57.jpg','Medial Tibia of Normal_58.jpg','Medial Tibia of Normal_59.jpg','Medial Tibia of Normal_6.jpg','Medial Tibia of Normal_60.jpg','Medial Tibia of Normal_61.jpg','Medial Tibia of Normal_62.jpg','Medial Tibia of Normal_63.jpg','Medial Tibia of Normal_7.jpg','Medial Tibia of Normal_8.jpg','Medial Tibia of Normal_9.jpg','Medial Tibia of OA_1.jpg','Medial Tibia of OA_10.jpg','Medial Tibia of OA_11.jpg','Medial Tibia of OA_12.jpg','Medial Tibia of OA_13.jpg','Medial Tibia of OA_14.jpg','Medial Tibia of OA_15.jpg','Medial Tibia of OA_16.jpg','Medial Tibia of OA_17.jpg','Medial Tibia of OA_18.jpg','Medial Tibia of OA_19.jpg','Medial Tibia of OA_2.jpg','Medial Tibia of OA_20.jpg','Medial Tibia of OA_21.jpg','Medial Tibia of OA_22.jpg','Medial Tibia of OA_23.jpg','Medial Tibia of OA_24.jpg','Medial Tibia of OA_25.jpg','Medial Tibia of OA_26.jpg','Medial Tibia of OA_27.jpg','Medial Tibia of OA_28.jpg','Medial Tibia of OA_29.jpg','Medial Tibia of OA_3.jpg','Medial Tibia of OA_30.jpg','Medial Tibia of OA_31.jpg','Medial Tibia of OA_32.jpg','Medial Tibia of OA_33.jpg','Medial Tibia of OA_34.jpg','Medial Tibia of OA_35.jpg','Medial Tibia of OA_36.jpg','Medial Tibia of OA_37.jpg','Medial Tibia of OA_38.jpg','Medial Tibia of OA_39.jpg','Medial Tibia of OA_4.jpg','Medial Tibia of OA_40.jpg','Medial Tibia of OA_41.jpg','Medial Tibia of OA_42.jpg','Medial Tibia of OA_43.jpg','Medial Tibia of OA_44.jpg','Medial Tibia of OA_45.jpg','Medial Tibia of OA_46.jpg','Medial Tibia of OA_47.jpg','Medial Tibia of OA_48.jpg','Medial Tibia of OA_49.jpg','Medial Tibia of OA_5.jpg','Medial Tibia of OA_50.jpg','Medial Tibia of OA_51.jpg','Medial Tibia of OA_52.jpg','Medial Tibia of OA_53.jpg','Medial Tibia of OA_54.jpg','Medial Tibia of OA_55.jpg','Medial Tibia of OA_56.jpg','Medial Tibia of OA_57.jpg','Medial Tibia of OA_58.jpg','Medial Tibia of OA_59.jpg','Medial Tibia of OA_6.jpg','Medial Tibia of OA_60.jpg','Medial Tibia of OA_61.jpg','Medial Tibia of OA_62.jpg','Medial Tibia of OA_63.jpg','Medial Tibia of OA_64.jpg','Medial Tibia of OA_65.jpg','Medial Tibia of OA_66.jpg','Medial Tibia of OA_67.jpg','Medial Tibia of OA_68.jpg','Medial Tibia of OA_7.jpg','Medial Tibia of OA_8.jpg','Medial Tibia of OA_9.jpg'}
@attribute LBP_ri_1 numeric
@attribute LBP_ri_2 numeric
@attribute LBP_ri_3 numeric
@attribute LBP_ri_4 numeric
@attribute LBP_ri_5 numeric
@attribute LBP_ri_6 numeric
@attribute LBP_ri_7 numeric
@attribute LBP_ri_8 numeric
@attribute LBP_ri_9 numeric
@attribute LBP_ri_10 numeric
@attribute LBP_ri_11 numeric
@attribute LBP_ri_12 numeric
@attribute LBP_ri_13 numeric
@attribute LBP_ri_14 numeric
@attribute LBP_ri_15 numeric
@attribute LBP_ri_16 numeric
@attribute LBP_ri_17 numeric
@attribute LBP_ri_18 numeric
@attribute LBP_ri_19 numeric
@attribute LBP_ri_20 numeric
@attribute LBP_ri_21 numeric
@attribute LBP_ri_22 numeric
@attribute LBP_ri_23 numeric
@attribute LBP_ri_24 numeric
@attribute LBP_ri_25 numeric
@attribute LBP_ri_26 numeric
@attribute LBP_ri_27 numeric
@attribute LBP_ri_28 numeric
@attribute LBP_ri_29 numeric
@attribute LBP_ri_30 numeric
@attribute LBP_ri_31 numeric
@attribute LBP_ri_32 numeric
@attribute LBP_ri_33 numeric
@attribute LBP_ri_34 numeric
@attribute LBP_ri_35 numeric
@attribute LBP_ri_36 numeric
@attribute class {Nor,OA}

@data
'Medial Tibia of Normal_1.jpg',323,796,514,94,1234,35,56,57,1788,111,67,6,65,52,58,65,1540,3,74,4,2,46,23,1,54,63,38,964,0,1,2,19,64,48,820,714,Nor
'Medial Tibia of Normal_10.jpg',362,718,604,74,1311,28,57,28,1952,90,99,3,75,57,46,38,1556,1,61,1,1,34,40,1,41,74,37,975,0,0,1,17,47,34,738,600,Nor
'Medial Tibia of Normal_11.jpg',333,658,582,76,1366,38,29,54,2040,76,46,8,50,72,45,71,1605,1,60,3,1,32,27,2,61,63,30,951,0,2,1,26,52,43,698,599,Nor
'Medial Tibia of Normal_12.jpg',300,722,556,67,1331,27,48,23,1966,88,80,1,81,51,44,49,1595,2,64,0,3,40,17,2,54,58,24,1045,0,2,2,17,56,32,703,651,Nor
'Medial Tibia of Normal_13.jpg',355,708,573,73,1355,34,57,33,1994,71,80,8,77,41,44,50,1564,2,62,1,0,37,25,2,58,67,36,990,0,2,1,27,45,41,672,616,Nor
'Medial Tibia of Normal_14.jpg',366,752,543,71,1207,39,63,33,2071,99,78,5,70,44,54,54,1568,1,39,3,2,31,28,0,49,59,36,944,0,1,3,20,56,30,727,655,Nor
'Medial Tibia of Normal_15.jpg',382,696,633,66,1331,19,51,44,1825,99,81,2,61,65,41,55,1580,0,62,1,0,50,21,1,57,70,34,989,0,0,3,27,53,44,728,630,Nor
'Medial Tibia of Normal_16.jpg',412,678,644,58,1404,28,49,24,1984,82,101,3,53,66,49,47,1539,3,66,2,1,36,34,0,51,54,35,917,0,2,0,36,43,39,693,568,Nor
'Medial Tibia of Normal_17.jpg',378,803,629,70,1253,26,30,58,1980,121,58,7,46,86,42,54,1373,2,62,1,0,44,22,1,71,52,45,905,0,2,1,31,49,47,790,662,Nor
'Medial Tibia of Normal_18.jpg',465,772,700,80,1248,49,44,60,1707,77,51,4,45,94,74,69,1478,3,87,2,1,36,42,4,75,44,38,957,0,0,1,36,53,41,709,655,Nor
'Medial Tibia of Normal_19.jpg',371,726,653,84,1305,33,45,44,1973,84,69,2,61,69,46,65,1579,0,69,3,0,33,33,1,52,56,26,949,0,2,3,21,35,40,706,563,Nor
'Medial Tibia of Normal_2.jpg',542,1100,641,74,1070,58,54,58,1238,154,87,3,61,81,64,72,1141,1,89,2,3,48,36,3,76,73,59,952,0,1,8,32,69,76,1029,845,Nor
'Medial Tibia of Normal_20.jpg',369,725,681,74,1387,23,43,46,1940,73,61,5,51,80,45,37,1529,0,64,1,2,30,37,1,65,57,27,939,0,1,2,26,35,41,722,582,Nor
'Medial Tibia of Normal_21.jpg',421,759,611,88,1345,23,47,36,1839,95,96,2,61,61,62,30,1551,1,59,0,0,32,25,1,61,86,37,970,0,1,2,27,44,41,700,587,Nor
'Medial Tibia of Normal_22.jpg',412,779,708,51,1266,34,51,31,1854,67,71,3,55,69,44,48,1549,2,67,2,1,30,25,1,52,61,45,979,0,0,3,26,45,38,756,576,Nor
'Medial Tibia of Normal_23.jpg',352,785,602,54,1301,35,32,47,1947,91,69,5,48,82,43,55,1530,3,71,1,1,40,23,0,64,51,45,950,0,1,2,32,53,26,723,637,Nor
'Medial Tibia of Normal_24.jpg',399,702,689,67,1297,45,47,69,2198,57,45,1,36,75,58,50,1500,2,45,2,1,51,31,2,47,52,31,849,0,0,0,34,44,21,727,527,Nor
'Medial Tibia of Normal_25.jpg',382,805,617,60,1254,27,61,35,1888,111,83,2,63,52,47,55,1535,0,53,1,0,34,15,1,52,55,37,945,0,0,3,19,43,50,818,598,Nor
'Medial Tibia of Normal_26.jpg',414,731,700,68,1302,33,41,52,1834,82,67,3,53,73,53,71,1511,0,67,1,0,42,34,2,61,69,29,968,0,1,3,26,39,44,705,622,Nor
'Medial Tibia of Normal_27.jpg',376,784,650,92,1240,36,43,75,1808,89,57,4,62,67,44,79,1539,1,73,4,3,40,32,0,46,71,25,985,0,0,0,32,56,38,780,669,Nor
'Medial Tibia of Normal_28.jpg',396,792,630,68,1343,42,39,50,1751,86,61,5,52,89,54,64,1597,3,72,0,0,31,25,4,72,49,28,982,0,3,3,17,43,41,692,617,Nor
'Medial Tibia of Normal_29.jpg',369,721,622,72,1352,29,69,20,2092,61,73,1,55,62,42,47,1534,2,55,1,1,31,31,2,53,56,40,967,0,0,1,29,44,39,667,561,Nor
'Medial Tibia of Normal_3.jpg',557,1033,642,77,1078,52,54,58,1214,138,91,4,81,93,79,83,1109,4,66,4,3,60,31,2,77,89,58,926,0,3,2,32,63,75,998,865,Nor
'Medial Tibia of Normal_30.jpg',377,776,686,50,1284,23,35,40,1986,66,43,2,55,84,42,59,1635,0,64,0,1,47,29,0,65,38,39,911,0,2,2,31,45,41,681,562,Nor
'Medial Tibia of Normal_31.jpg',369,687,628,80,1337,24,53,51,1882,86,68,6,44,64,55,77,1600,0,61,4,2,45,27,1,60,55,36,950,0,1,1,20,48,29,742,608,Nor
'Medial Tibia of Normal_32.jpg',310,679,578,89,1295,23,54,37,1928,79,68,4,69,47,39,62,1662,0,64,0,0,36,22,4,59,77,39,1058,0,0,1,25,41,37,681,634,Nor
'Medial Tibia of Normal_33.jpg',300,674,601,71,1405,19,33,41,2047,99,49,2,51,69,52,67,1611,1,53,1,0,34,25,0,61,52,42,980,0,3,0,17,44,36,691,570,Nor
'Medial Tibia of Normal_34.jpg',358,756,637,69,1304,29,44,35,1895,113,82,4,66,69,52,61,1433,0,66,2,0,40,31,2,55,71,41,950,0,0,3,19,42,37,808,627,Nor
'Medial Tibia of Normal_35.jpg',429,772,696,75,1309,28,53,50,1690,81,57,7,40,99,64,76,1483,1,78,3,2,53,38,0,67,65,37,913,0,3,2,31,51,39,747,662,Nor
'Medial Tibia of Normal_36.jpg',398,690,693,66,1309,28,41,59,2015,67,54,2,39,71,54,52,1579,1,70,0,1,33,34,1,70,54,38,958,0,0,2,28,46,37,665,546,Nor
