File,LCP_1,LCP_2,LCP_3,LCP_4,LCP_5,LCP_6,LCP_7,LCP_8,LCP_9,LCP_10,LCP_11,LCP_12,LCP_13,LCP_14,LCP_15,LCP_16,LCP_17,LCP_18,LCP_19,LCP_20,LCP_21,LCP_22,LCP_23,LCP_24,LCP_25,LCP_26,LCP_27,LCP_28,LCP_29,LCP_30,LCP_31,LCP_32,LCP_33,LCP_34,LCP_35,LCP_36,LCP_37,LCP_38,LCP_39,LCP_40,LCP_41,LCP_42,LCP_43,LCP_44,LCP_45,LCP_46,LCP_47,LCP_48,LCP_49,LCP_50,LCP_51,LCP_52,LCP_53,LCP_54,LCP_55,LCP_56,LCP_57,LCP_58,LCP_59,LCP_60,LCP_61,LCP_62,LCP_63,LCP_64,LCP_65,LCP_66,LCP_67,LCP_68,LCP_69,LCP_70,LCP_71,LCP_72,LCP_73,LCP_74,LCP_75,LCP_76,LCP_77,LCP_78,LCP_79,LCP_80,LCP_81,class
Medial Tibia of Normal_1.jpg,1.03E+00,4.06E-02,3.13E-01,1.54E-01,8.88E-02,1.54E-01,3.13E-01,4.06E-02,725,1.02E+00,2.34E-02,1.89E-01,2.57E-02,2.68E-01,2.57E-02,1.89E-01,2.34E-02,885,1.02E+00,9.23E-03,1.03E-01,3.57E-02,5.63E-02,3.57E-02,1.03E-01,9.23E-03,620,1.01E+00,4.43E-02,1.56E-01,4.05E-02,1.97E-02,4.05E-02,1.56E-01,4.43E-02,709,1.00E+00,6.87E-03,3.33E-01,2.80E-02,9.19E-02,2.80E-02,3.33E-01,6.87E-03,876,9.93E-01,1.15E-02,1.88E-01,1.26E-02,2.80E-02,1.26E-02,1.88E-01,1.15E-02,810,9.86E-01,2.21E-02,1.07E-01,5.58E-02,1.18E-01,5.58E-02,1.07E-01,2.21E-02,742,9.79E-01,8.62E-03,2.32E-01,1.68E-02,3.49E-04,1.68E-02,2.32E-01,8.62E-03,953,9.66E-01,5.39E-02,2.68E-01,1.60E-01,7.80E-02,1.60E-01,2.68E-01,5.39E-02,901,Nor
Medial Tibia of Normal_10.jpg,1.07E+00,5.40E-02,5.02E-01,6.39E-02,2.27E-01,6.39E-02,5.02E-01,5.40E-02,819,1.05E+00,1.31E-02,2.64E-01,6.06E-02,2.91E-01,6.06E-02,2.64E-01,1.31E-02,858,1.03E+00,7.37E-03,2.11E-01,7.12E-02,1.99E-02,7.12E-02,2.11E-01,7.37E-03,641,1.02E+00,2.80E-02,1.43E-01,6.51E-02,9.10E-02,6.51E-02,1.43E-01,2.80E-02,686,1.00E+00,2.21E-03,4.06E-01,6.75E-02,7.05E-02,6.75E-02,4.06E-01,2.21E-03,801,9.86E-01,2.97E-02,1.91E-01,6.99E-02,1.28E-01,6.99E-02,1.91E-01,2.97E-02,705,9.70E-01,4.19E-02,2.13E-01,6.52E-02,4.94E-02,6.52E-02,2.13E-01,4.19E-02,764,9.59E-01,4.75E-03,3.49E-01,5.49E-02,1.00E-01,5.49E-02,3.49E-01,4.75E-03,965,9.39E-01,3.16E-02,5.35E-01,4.93E-02,2.43E-01,4.93E-02,5.35E-01,3.16E-02,951,Nor
Medial Tibia of Normal_11.jpg,1.06E+00,7.95E-02,4.84E-01,2.61E-02,9.86E-02,2.61E-02,4.84E-01,7.95E-02,759,1.04E+00,3.80E-02,3.32E-01,1.16E-01,1.00E-01,1.16E-01,3.32E-01,3.80E-02,820,1.03E+00,3.39E-02,1.25E-01,1.01E-01,1.10E-01,1.01E-01,1.25E-01,3.39E-02,678,1.02E+00,6.02E-02,1.52E-01,4.10E-02,5.67E-06,4.10E-02,1.52E-01,6.02E-02,675,1.00E+00,2.65E-02,3.17E-01,1.00E-01,1.10E-01,1.00E-01,3.17E-01,2.65E-02,945,9.86E-01,2.17E-02,1.82E-01,1.01E-01,7.77E-03,1.01E-01,1.82E-01,2.17E-02,795,9.71E-01,2.40E-02,8.57E-02,1.10E-01,4.33E-02,1.10E-01,8.57E-02,2.40E-02,837,9.60E-01,5.70E-02,3.68E-01,1.59E-01,7.75E-02,1.59E-01,3.68E-01,5.70E-02,886,9.42E-01,6.76E-02,5.09E-01,1.22E-01,1.29E-01,1.22E-01,5.09E-01,6.76E-02,924,Nor
Medial Tibia of Normal_12.jpg,1.05E+00,8.15E-02,5.69E-01,1.18E-01,2.11E-01,1.18E-01,5.69E-01,8.15E-02,790,1.03E+00,3.65E-02,3.99E-01,3.78E-02,5.38E-04,3.78E-02,3.99E-01,3.65E-02,957,1.02E+00,3.01E-02,1.92E-01,1.17E-01,1.02E-01,1.17E-01,1.92E-01,3.01E-02,618,1.01E+00,8.37E-03,2.14E-01,8.41E-03,2.76E-02,8.41E-03,2.14E-01,8.37E-03,554,1.00E+00,3.53E-02,4.12E-01,9.34E-02,1.32E-02,9.34E-02,4.12E-01,3.53E-02,739,9.90E-01,1.13E-02,1.65E-01,3.00E-02,6.58E-02,3.00E-02,1.65E-01,1.13E-02,685,9.80E-01,2.03E-02,2.36E-01,1.33E-01,2.36E-02,1.33E-01,2.36E-01,2.03E-02,739,9.72E-01,4.25E-02,4.87E-01,4.35E-02,5.74E-03,4.35E-02,4.87E-01,4.25E-02,986,9.57E-01,5.91E-02,7.02E-01,2.94E-02,8.31E-03,2.94E-02,7.02E-01,5.91E-02,1035,Nor
Medial Tibia of Normal_13.jpg,1.06E+00,8.40E-03,4.83E-01,8.60E-02,9.73E-02,8.60E-02,4.83E-01,8.40E-03,785,1.04E+00,2.82E-02,3.30E-01,5.68E-02,1.30E-01,5.68E-02,3.30E-01,2.82E-02,909,1.03E+00,7.74E-03,8.10E-02,3.47E-02,1.10E-01,3.47E-02,8.10E-02,7.74E-03,646,1.01E+00,2.71E-02,1.77E-01,8.47E-02,1.69E-01,8.47E-02,1.77E-01,2.71E-02,620,1.00E+00,5.12E-02,4.50E-01,8.05E-02,2.94E-02,8.05E-02,4.50E-01,5.12E-02,884,9.87E-01,2.04E-02,1.81E-01,9.56E-02,6.87E-02,9.56E-02,1.81E-01,2.04E-02,756,9.75E-01,3.70E-02,1.78E-01,3.17E-02,1.98E-01,3.17E-02,1.78E-01,3.70E-02,765,9.65E-01,4.29E-02,3.65E-01,5.51E-02,1.94E-01,5.51E-02,3.65E-01,4.29E-02,935,9.48E-01,1.50E-02,5.21E-01,1.57E-01,3.58E-02,1.57E-01,5.21E-01,1.50E-02,959,Nor
Medial Tibia of Normal_14.jpg,1.05E+00,2.33E-02,6.10E-01,1.43E-01,4.05E-01,1.43E-01,6.10E-01,2.33E-02,817,1.03E+00,2.01E-02,4.19E-01,6.89E-03,1.81E-01,6.89E-03,4.19E-01,2.01E-02,957,1.02E+00,4.15E-02,1.92E-01,6.16E-02,1.49E-01,6.16E-02,1.92E-01,4.15E-02,602,1.01E+00,1.31E-02,1.90E-01,1.16E-01,1.48E-01,1.16E-01,1.90E-01,1.31E-02,525,1.00E+00,1.13E-02,4.39E-01,2.02E-02,1.81E-01,2.02E-02,4.39E-01,1.13E-02,865,9.90E-01,7.82E-03,1.86E-01,3.06E-02,7.34E-02,3.06E-02,1.86E-01,7.82E-03,613,9.78E-01,4.00E-03,1.50E-01,3.63E-02,3.25E-01,3.63E-02,1.50E-01,4.00E-03,703,9.68E-01,6.39E-03,4.06E-01,3.35E-02,1.97E-02,3.35E-02,4.06E-01,6.39E-03,1024,9.52E-01,5.37E-02,6.08E-01,1.30E-01,1.59E-01,1.30E-01,6.08E-01,5.37E-02,986,Nor
Medial Tibia of Normal_15.jpg,1.06E+00,2.46E-02,5.39E-01,1.31E-01,7.17E-02,1.31E-01,5.39E-01,2.46E-02,850,1.04E+00,3.93E-02,3.52E-01,7.56E-03,3.04E-01,7.56E-03,3.52E-01,3.93E-02,959,1.03E+00,2.12E-02,1.34E-01,4.42E-02,3.17E-02,4.42E-02,1.34E-01,2.12E-02,692,1.02E+00,3.41E-02,1.54E-01,1.33E-01,2.65E-02,1.33E-01,1.54E-01,3.41E-02,520,1.00E+00,2.15E-02,3.06E-01,7.06E-02,6.91E-02,7.06E-02,3.06E-01,2.15E-02,593,9.88E-01,2.40E-02,1.26E-01,4.24E-02,2.00E-01,4.24E-02,1.26E-01,2.40E-02,616,9.77E-01,5.46E-02,1.25E-01,4.43E-02,1.09E-02,4.43E-02,1.25E-01,5.46E-02,732,9.63E-01,2.56E-02,3.24E-01,3.45E-02,3.24E-02,3.45E-02,3.24E-01,2.56E-02,1023,9.45E-01,8.65E-03,5.96E-01,1.11E-01,4.36E-01,1.11E-01,5.96E-01,8.65E-03,1030,Nor
Medial Tibia of Normal_16.jpg,1.11E+00,3.72E-02,4.91E-01,1.67E-02,2.23E-01,1.67E-02,4.91E-01,3.72E-02,772,1.08E+00,3.44E-02,3.05E-01,5.42E-02,3.14E-01,5.42E-02,3.05E-01,3.44E-02,891,1.06E+00,2.13E-02,7.36E-02,1.15E-01,8.39E-03,1.15E-01,7.36E-02,2.13E-02,682,1.03E+00,5.41E-03,1.56E-01,2.27E-02,8.21E-02,2.27E-02,1.56E-01,5.41E-03,693,1.00E+00,2.76E-02,4.03E-01,5.86E-02,2.17E-01,5.86E-02,4.03E-01,2.76E-02,902,9.71E-01,3.04E-02,2.23E-01,3.23E-02,9.57E-03,3.23E-02,2.23E-01,3.04E-02,769,9.45E-01,1.49E-02,1.81E-01,1.14E-01,5.82E-02,1.14E-01,1.81E-01,1.49E-02,753,9.30E-01,1.47E-02,3.83E-01,2.28E-02,1.41E-01,2.28E-02,3.83E-01,1.47E-02,946,8.95E-01,7.13E-02,5.72E-01,1.37E-01,1.99E-02,1.37E-01,5.72E-01,7.13E-02,881,Nor
Medial Tibia of Normal_17.jpg,1.08E+00,3.98E-02,5.99E-01,5.93E-02,5.86E-01,5.93E-02,5.99E-01,3.98E-02,835,1.05E+00,4.35E-02,4.72E-01,1.32E-01,2.14E-02,1.32E-01,4.72E-01,4.35E-02,1070,1.04E+00,1.78E-02,1.75E-01,4.02E-02,3.70E-02,4.02E-02,1.75E-01,1.78E-02,596,1.02E+00,3.48E-02,1.48E-01,2.29E-03,1.44E-02,2.29E-03,1.48E-01,3.48E-02,529,1.00E+00,1.36E-02,3.60E-01,7.30E-02,4.19E-02,7.30E-02,3.60E-01,1.36E-02,696,9.83E-01,4.56E-02,2.01E-01,4.40E-02,8.10E-03,4.40E-02,2.01E-01,4.56E-02,564,9.66E-01,4.44E-02,2.17E-01,5.72E-02,4.55E-02,5.72E-02,2.17E-01,4.44E-02,624,9.52E-01,1.78E-02,4.23E-01,3.28E-02,8.83E-02,3.28E-02,4.23E-01,1.78E-02,1106,9.27E-01,1.00E-01,6.16E-01,2.87E-02,3.59E-01,2.87E-02,6.16E-01,1.00E-01,980,Nor
Medial Tibia of Normal_18.jpg,1.08E+00,1.72E-02,4.42E-01,6.11E-02,3.10E-01,6.11E-02,4.42E-01,1.72E-02,908,1.05E+00,4.58E-02,3.43E-01,1.81E-02,5.87E-02,1.81E-02,3.43E-01,4.58E-02,942,1.04E+00,3.21E-02,1.05E-01,3.79E-02,3.82E-01,3.79E-02,1.05E-01,3.21E-02,676,1.02E+00,3.25E-02,6.08E-02,9.11E-02,1.21E-01,9.11E-02,6.08E-02,3.25E-02,543,1.00E+00,1.60E-02,3.23E-01,7.61E-03,3.03E-01,7.61E-03,3.23E-01,1.60E-02,666,9.83E-01,1.18E-02,8.36E-02,8.34E-02,1.03E-01,8.34E-02,8.36E-02,1.18E-02,571,9.64E-01,2.82E-02,1.19E-01,8.65E-02,2.65E-01,8.65E-02,1.19E-01,2.82E-02,694,9.49E-01,4.66E-02,3.21E-01,1.84E-02,8.17E-03,1.84E-02,3.21E-01,4.66E-02,1035,9.24E-01,3.47E-02,5.87E-01,4.33E-02,2.57E-01,4.33E-02,5.87E-01,3.47E-02,1026,Nor
