@relation 'LCP Tibia Medial ROI '

@attribute File {'Medial Tibia of Normal_1.jpg','Medial Tibia of Normal_10.jpg','Medial Tibia of Normal_11.jpg','Medial Tibia of Normal_12.jpg','Medial Tibia of Normal_13.jpg','Medial Tibia of Normal_14.jpg','Medial Tibia of Normal_15.jpg','Medial Tibia of Normal_16.jpg','Medial Tibia of Normal_17.jpg','Medial Tibia of Normal_18.jpg','Medial Tibia of Normal_19.jpg','Medial Tibia of Normal_2.jpg','Medial Tibia of Normal_20.jpg','Medial Tibia of Normal_21.jpg','Medial Tibia of Normal_22.jpg','Medial Tibia of Normal_23.jpg','Medial Tibia of Normal_24.jpg','Medial Tibia of Normal_25.jpg','Medial Tibia of Normal_26.jpg','Medial Tibia of Normal_27.jpg','Medial Tibia of Normal_28.jpg','Medial Tibia of Normal_29.jpg','Medial Tibia of Normal_3.jpg','Medial Tibia of Normal_30.jpg','Medial Tibia of Normal_31.jpg','Medial Tibia of Normal_32.jpg','Medial Tibia of Normal_33.jpg','Medial Tibia of Normal_34.jpg','Medial Tibia of Normal_35.jpg','Medial Tibia of Normal_36.jpg','Medial Tibia of Normal_37.jpg','Medial Tibia of Normal_38.jpg','Medial Tibia of Normal_39.jpg','Medial Tibia of Normal_4.jpg','Medial Tibia of Normal_40.jpg','Medial Tibia of Normal_41.jpg','Medial Tibia of Normal_42.jpg','Medial Tibia of Normal_43.jpg','Medial Tibia of Normal_44.jpg','Medial Tibia of Normal_45.jpg','Medial Tibia of Normal_46.jpg','Medial Tibia of Normal_47.jpg','Medial Tibia of Normal_48.jpg','Medial Tibia of Normal_49.jpg','Medial Tibia of Normal_5.jpg','Medial Tibia of Normal_50.jpg','Medial Tibia of Normal_51.jpg','Medial Tibia of Normal_52.jpg','Medial Tibia of Normal_53.jpg','Medial Tibia of Normal_54.jpg','Medial Tibia of Normal_55.jpg','Medial Tibia of Normal_56.jpg','Medial Tibia of Normal_57.jpg','Medial Tibia of Normal_58.jpg','Medial Tibia of Normal_59.jpg','Medial Tibia of Normal_6.jpg','Medial Tibia of Normal_60.jpg','Medial Tibia of Normal_61.jpg','Medial Tibia of Normal_62.jpg','Medial Tibia of Normal_63.jpg','Medial Tibia of Normal_7.jpg','Medial Tibia of Normal_8.jpg','Medial Tibia of Normal_9.jpg','Medial Tibia of OA_1.jpg','Medial Tibia of OA_10.jpg','Medial Tibia of OA_11.jpg','Medial Tibia of OA_12.jpg','Medial Tibia of OA_13.jpg','Medial Tibia of OA_14.jpg','Medial Tibia of OA_15.jpg','Medial Tibia of OA_16.jpg','Medial Tibia of OA_17.jpg','Medial Tibia of OA_18.jpg','Medial Tibia of OA_19.jpg','Medial Tibia of OA_2.jpg','Medial Tibia of OA_20.jpg','Medial Tibia of OA_21.jpg','Medial Tibia of OA_22.jpg','Medial Tibia of OA_23.jpg','Medial Tibia of OA_24.jpg','Medial Tibia of OA_25.jpg','Medial Tibia of OA_26.jpg','Medial Tibia of OA_27.jpg','Medial Tibia of OA_28.jpg','Medial Tibia of OA_29.jpg','Medial Tibia of OA_3.jpg','Medial Tibia of OA_30.jpg','Medial Tibia of OA_31.jpg','Medial Tibia of OA_32.jpg','Medial Tibia of OA_33.jpg','Medial Tibia of OA_34.jpg','Medial Tibia of OA_35.jpg','Medial Tibia of OA_36.jpg','Medial Tibia of OA_37.jpg','Medial Tibia of OA_38.jpg','Medial Tibia of OA_39.jpg','Medial Tibia of OA_4.jpg','Medial Tibia of OA_40.jpg','Medial Tibia of OA_41.jpg','Medial Tibia of OA_42.jpg','Medial Tibia of OA_43.jpg','Medial Tibia of OA_44.jpg','Medial Tibia of OA_45.jpg','Medial Tibia of OA_46.jpg','Medial Tibia of OA_47.jpg','Medial Tibia of OA_48.jpg','Medial Tibia of OA_49.jpg','Medial Tibia of OA_5.jpg','Medial Tibia of OA_50.jpg','Medial Tibia of OA_51.jpg','Medial Tibia of OA_52.jpg','Medial Tibia of OA_53.jpg','Medial Tibia of OA_54.jpg','Medial Tibia of OA_55.jpg','Medial Tibia of OA_56.jpg','Medial Tibia of OA_57.jpg','Medial Tibia of OA_58.jpg','Medial Tibia of OA_59.jpg','Medial Tibia of OA_6.jpg','Medial Tibia of OA_60.jpg','Medial Tibia of OA_61.jpg','Medial Tibia of OA_62.jpg','Medial Tibia of OA_63.jpg','Medial Tibia of OA_64.jpg','Medial Tibia of OA_65.jpg','Medial Tibia of OA_66.jpg','Medial Tibia of OA_67.jpg','Medial Tibia of OA_68.jpg','Medial Tibia of OA_7.jpg','Medial Tibia of OA_8.jpg','Medial Tibia of OA_9.jpg'}
@attribute LCP_1 numeric
@attribute LCP_2 numeric
@attribute LCP_3 numeric
@attribute LCP_4 numeric
@attribute LCP_5 numeric
@attribute LCP_6 numeric
@attribute LCP_7 numeric
@attribute LCP_8 numeric
@attribute LCP_9 numeric
@attribute LCP_10 numeric
@attribute LCP_11 numeric
@attribute LCP_12 numeric
@attribute LCP_13 numeric
@attribute LCP_14 numeric
@attribute LCP_15 numeric
@attribute LCP_16 numeric
@attribute LCP_17 numeric
@attribute LCP_18 numeric
@attribute LCP_19 numeric
@attribute LCP_20 numeric
@attribute LCP_21 numeric
@attribute LCP_22 numeric
@attribute LCP_23 numeric
@attribute LCP_24 numeric
@attribute LCP_25 numeric
@attribute LCP_26 numeric
@attribute LCP_27 numeric
@attribute LCP_28 numeric
@attribute LCP_29 numeric
@attribute LCP_30 numeric
@attribute LCP_31 numeric
@attribute LCP_32 numeric
@attribute LCP_33 numeric
@attribute LCP_34 numeric
@attribute LCP_35 numeric
@attribute LCP_36 numeric
@attribute LCP_37 numeric
@attribute LCP_38 numeric
@attribute LCP_39 numeric
@attribute LCP_40 numeric
@attribute LCP_41 numeric
@attribute LCP_42 numeric
@attribute LCP_43 numeric
@attribute LCP_44 numeric
@attribute LCP_45 numeric
@attribute LCP_46 numeric
@attribute LCP_47 numeric
@attribute LCP_48 numeric
@attribute LCP_49 numeric
@attribute LCP_50 numeric
@attribute LCP_51 numeric
@attribute LCP_52 numeric
@attribute LCP_53 numeric
@attribute LCP_54 numeric
@attribute LCP_55 numeric
@attribute LCP_56 numeric
@attribute LCP_57 numeric
@attribute LCP_58 numeric
@attribute LCP_59 numeric
@attribute LCP_60 numeric
@attribute LCP_61 numeric
@attribute LCP_62 numeric
@attribute LCP_63 numeric
@attribute LCP_64 numeric
@attribute LCP_65 numeric
@attribute LCP_66 numeric
@attribute LCP_67 numeric
@attribute LCP_68 numeric
@attribute LCP_69 numeric
@attribute LCP_70 numeric
@attribute LCP_71 numeric
@attribute LCP_72 numeric
@attribute LCP_73 numeric
@attribute LCP_74 numeric
@attribute LCP_75 numeric
@attribute LCP_76 numeric
@attribute LCP_77 numeric
@attribute LCP_78 numeric
@attribute LCP_79 numeric
@attribute LCP_80 numeric
@attribute LCP_81 numeric
@attribute class {Nor,OA}

@data
'Medial Tibia of Normal_1.jpg',1.03,0.0406,0.313,0.154,0.0888,0.154,0.313,0.0406,725,1.02,0.0234,0.189,0.0257,0.268,0.0257,0.189,0.0234,885,1.02,0.00923,0.103,0.0357,0.0563,0.0357,0.103,0.00923,620,1.01,0.0443,0.156,0.0405,0.0197,0.0405,0.156,0.0443,709,1,0.00687,0.333,0.028,0.0919,0.028,0.333,0.00687,876,0.993,0.0115,0.188,0.0126,0.028,0.0126,0.188,0.0115,810,0.986,0.0221,0.107,0.0558,0.118,0.0558,0.107,0.0221,742,0.979,0.00862,0.232,0.0168,0.000349,0.0168,0.232,0.00862,953,0.966,0.0539,0.268,0.16,0.078,0.16,0.268,0.0539,901,Nor
'Medial Tibia of Normal_10.jpg',1.07,0.054,0.502,0.0639,0.227,0.0639,0.502,0.054,819,1.05,0.0131,0.264,0.0606,0.291,0.0606,0.264,0.0131,858,1.03,0.00737,0.211,0.0712,0.0199,0.0712,0.211,0.00737,641,1.02,0.028,0.143,0.0651,0.091,0.0651,0.143,0.028,686,1,0.00221,0.406,0.0675,0.0705,0.0675,0.406,0.00221,801,0.986,0.0297,0.191,0.0699,0.128,0.0699,0.191,0.0297,705,0.97,0.0419,0.213,0.0652,0.0494,0.0652,0.213,0.0419,764,0.959,0.00475,0.349,0.0549,0.1,0.0549,0.349,0.00475,965,0.939,0.0316,0.535,0.0493,0.243,0.0493,0.535,0.0316,951,Nor
'Medial Tibia of Normal_11.jpg',1.06,0.0795,0.484,0.0261,0.0986,0.0261,0.484,0.0795,759,1.04,0.038,0.332,0.116,0.1,0.116,0.332,0.038,820,1.03,0.0339,0.125,0.101,0.11,0.101,0.125,0.0339,678,1.02,0.0602,0.152,0.041,0.000006,0.041,0.152,0.0602,675,1,0.0265,0.317,0.1,0.11,0.1,0.317,0.0265,945,0.986,0.0217,0.182,0.101,0.00777,0.101,0.182,0.0217,795,0.971,0.024,0.0857,0.11,0.0433,0.11,0.0857,0.024,837,0.96,0.057,0.368,0.159,0.0775,0.159,0.368,0.057,886,0.942,0.0676,0.509,0.122,0.129,0.122,0.509,0.0676,924,Nor
'Medial Tibia of Normal_12.jpg',1.05,0.0815,0.569,0.118,0.211,0.118,0.569,0.0815,790,1.03,0.0365,0.399,0.0378,0.000538,0.0378,0.399,0.0365,957,1.02,0.0301,0.192,0.117,0.102,0.117,0.192,0.0301,618,1.01,0.00837,0.214,0.00841,0.0276,0.00841,0.214,0.00837,554,1,0.0353,0.412,0.0934,0.0132,0.0934,0.412,0.0353,739,0.99,0.0113,0.165,0.03,0.0658,0.03,0.165,0.0113,685,0.98,0.0203,0.236,0.133,0.0236,0.133,0.236,0.0203,739,0.972,0.0425,0.487,0.0435,0.00574,0.0435,0.487,0.0425,986,0.957,0.0591,0.702,0.0294,0.00831,0.0294,0.702,0.0591,1035,Nor
'Medial Tibia of Normal_13.jpg',1.06,0.0084,0.483,0.086,0.0973,0.086,0.483,0.0084,785,1.04,0.0282,0.33,0.0568,0.13,0.0568,0.33,0.0282,909,1.03,0.00774,0.081,0.0347,0.11,0.0347,0.081,0.00774,646,1.01,0.0271,0.177,0.0847,0.169,0.0847,0.177,0.0271,620,1,0.0512,0.45,0.0805,0.0294,0.0805,0.45,0.0512,884,0.987,0.0204,0.181,0.0956,0.0687,0.0956,0.181,0.0204,756,0.975,0.037,0.178,0.0317,0.198,0.0317,0.178,0.037,765,0.965,0.0429,0.365,0.0551,0.194,0.0551,0.365,0.0429,935,0.948,0.015,0.521,0.157,0.0358,0.157,0.521,0.015,959,Nor
'Medial Tibia of Normal_14.jpg',1.05,0.0233,0.61,0.143,0.405,0.143,0.61,0.0233,817,1.03,0.0201,0.419,0.00689,0.181,0.00689,0.419,0.0201,957,1.02,0.0415,0.192,0.0616,0.149,0.0616,0.192,0.0415,602,1.01,0.0131,0.19,0.116,0.148,0.116,0.19,0.0131,525,1,0.0113,0.439,0.0202,0.181,0.0202,0.439,0.0113,865,0.99,0.00782,0.186,0.0306,0.0734,0.0306,0.186,0.00782,613,0.978,0.004,0.15,0.0363,0.325,0.0363,0.15,0.004,703,0.968,0.00639,0.406,0.0335,0.0197,0.0335,0.406,0.00639,1024,0.952,0.0537,0.608,0.13,0.159,0.13,0.608,0.0537,986,Nor
'Medial Tibia of Normal_15.jpg',1.06,0.0246,0.539,0.131,0.0717,0.131,0.539,0.0246,850,1.04,0.0393,0.352,0.00756,0.304,0.00756,0.352,0.0393,959,1.03,0.0212,0.134,0.0442,0.0317,0.0442,0.134,0.0212,692,1.02,0.0341,0.154,0.133,0.0265,0.133,0.154,0.0341,520,1,0.0215,0.306,0.0706,0.0691,0.0706,0.306,0.0215,593,0.988,0.024,0.126,0.0424,0.2,0.0424,0.126,0.024,616,0.977,0.0546,0.125,0.0443,0.0109,0.0443,0.125,0.0546,732,0.963,0.0256,0.324,0.0345,0.0324,0.0345,0.324,0.0256,1023,0.945,0.00865,0.596,0.111,0.436,0.111,0.596,0.00865,1030,Nor
'Medial Tibia of Normal_16.jpg',1.11,0.0372,0.491,0.0167,0.223,0.0167,0.491,0.0372,772,1.08,0.0344,0.305,0.0542,0.314,0.0542,0.305,0.0344,891,1.06,0.0213,0.0736,0.115,0.00839,0.115,0.0736,0.0213,682,1.03,0.00541,0.156,0.0227,0.0821,0.0227,0.156,0.00541,693,1,0.0276,0.403,0.0586,0.217,0.0586,0.403,0.0276,902,0.971,0.0304,0.223,0.0323,0.00957,0.0323,0.223,0.0304,769,0.945,0.0149,0.181,0.114,0.0582,0.114,0.181,0.0149,753,0.93,0.0147,0.383,0.0228,0.141,0.0228,0.383,0.0147,946,0.895,0.0713,0.572,0.137,0.0199,0.137,0.572,0.0713,881,Nor
'Medial Tibia of Normal_17.jpg',1.08,0.0398,0.599,0.0593,0.586,0.0593,0.599,0.0398,835,1.05,0.0435,0.472,0.132,0.0214,0.132,0.472,0.0435,1070,1.04,0.0178,0.175,0.0402,0.037,0.0402,0.175,0.0178,596,1.02,0.0348,0.148,0.00229,0.0144,0.00229,0.148,0.0348,529,1,0.0136,0.36,0.073,0.0419,0.073,0.36,0.0136,696,0.983,0.0456,0.201,0.044,0.0081,0.044,0.201,0.0456,564,0.966,0.0444,0.217,0.0572,0.0455,0.0572,0.217,0.0444,624,0.952,0.0178,0.423,0.0328,0.0883,0.0328,0.423,0.0178,1106,0.927,0.1,0.616,0.0287,0.359,0.0287,0.616,0.1,980,Nor
'Medial Tibia of Normal_18.jpg',1.08,0.0172,0.442,0.0611,0.31,0.0611,0.442,0.0172,908,1.05,0.0458,0.343,0.0181,0.0587,0.0181,0.343,0.0458,942,1.04,0.0321,0.105,0.0379,0.382,0.0379,0.105,0.0321,676,1.02,0.0325,0.0608,0.0911,0.121,0.0911,0.0608,0.0325,543,1,0.016,0.323,0.00761,0.303,0.00761,0.323,0.016,666,0.983,0.0118,0.0836,0.0834,0.103,0.0834,0.0836,0.0118,571,0.964,0.0282,0.119,0.0865,0.265,0.0865,0.119,0.0282,694,0.949,0.0466,0.321,0.0184,0.00817,0.0184,0.321,0.0466,1035,0.924,0.0347,0.587,0.0433,0.257,0.0433,0.587,0.0347,1026,Nor
