@relation 'LTP Medial Tibia ROI '

@attribute File {'Medial Tibia of Normal_1.jpg','Medial Tibia of Normal_10.jpg','Medial Tibia of Normal_11.jpg','Medial Tibia of Normal_12.jpg','Medial Tibia of Normal_13.jpg','Medial Tibia of Normal_14.jpg','Medial Tibia of Normal_15.jpg','Medial Tibia of Normal_16.jpg','Medial Tibia of Normal_17.jpg','Medial Tibia of Normal_18.jpg','Medial Tibia of Normal_19.jpg','Medial Tibia of Normal_2.jpg','Medial Tibia of Normal_20.jpg','Medial Tibia of Normal_21.jpg','Medial Tibia of Normal_22.jpg','Medial Tibia of Normal_23.jpg','Medial Tibia of Normal_24.jpg','Medial Tibia of Normal_25.jpg','Medial Tibia of Normal_26.jpg','Medial Tibia of Normal_27.jpg','Medial Tibia of Normal_28.jpg','Medial Tibia of Normal_29.jpg','Medial Tibia of Normal_3.jpg','Medial Tibia of Normal_30.jpg','Medial Tibia of Normal_31.jpg','Medial Tibia of Normal_32.jpg','Medial Tibia of Normal_33.jpg','Medial Tibia of Normal_34.jpg','Medial Tibia of Normal_35.jpg','Medial Tibia of Normal_36.jpg','Medial Tibia of Normal_37.jpg','Medial Tibia of Normal_38.jpg','Medial Tibia of Normal_39.jpg','Medial Tibia of Normal_4.jpg','Medial Tibia of Normal_40.jpg','Medial Tibia of Normal_41.jpg','Medial Tibia of Normal_42.jpg','Medial Tibia of Normal_43.jpg','Medial Tibia of Normal_44.jpg','Medial Tibia of Normal_45.jpg','Medial Tibia of Normal_46.jpg','Medial Tibia of Normal_47.jpg','Medial Tibia of Normal_48.jpg','Medial Tibia of Normal_49.jpg','Medial Tibia of Normal_5.jpg','Medial Tibia of Normal_50.jpg','Medial Tibia of Normal_51.jpg','Medial Tibia of Normal_52.jpg','Medial Tibia of Normal_53.jpg','Medial Tibia of Normal_54.jpg','Medial Tibia of Normal_55.jpg','Medial Tibia of Normal_56.jpg','Medial Tibia of Normal_57.jpg','Medial Tibia of Normal_58.jpg','Medial Tibia of Normal_59.jpg','Medial Tibia of Normal_6.jpg','Medial Tibia of Normal_60.jpg','Medial Tibia of Normal_61.jpg','Medial Tibia of Normal_62.jpg','Medial Tibia of Normal_63.jpg','Medial Tibia of Normal_7.jpg','Medial Tibia of Normal_8.jpg','Medial Tibia of Normal_9.jpg','Medial Tibia of OA_1.jpg','Medial Tibia of OA_10.jpg','Medial Tibia of OA_11.jpg','Medial Tibia of OA_12.jpg','Medial Tibia of OA_13.jpg','Medial Tibia of OA_14.jpg','Medial Tibia of OA_15.jpg','Medial Tibia of OA_16.jpg','Medial Tibia of OA_17.jpg','Medial Tibia of OA_18.jpg','Medial Tibia of OA_19.jpg','Medial Tibia of OA_2.jpg','Medial Tibia of OA_20.jpg','Medial Tibia of OA_21.jpg','Medial Tibia of OA_22.jpg','Medial Tibia of OA_23.jpg','Medial Tibia of OA_24.jpg','Medial Tibia of OA_25.jpg','Medial Tibia of OA_26.jpg','Medial Tibia of OA_27.jpg','Medial Tibia of OA_28.jpg','Medial Tibia of OA_29.jpg','Medial Tibia of OA_3.jpg','Medial Tibia of OA_30.jpg','Medial Tibia of OA_31.jpg','Medial Tibia of OA_32.jpg','Medial Tibia of OA_33.jpg','Medial Tibia of OA_34.jpg','Medial Tibia of OA_35.jpg','Medial Tibia of OA_36.jpg','Medial Tibia of OA_37.jpg','Medial Tibia of OA_38.jpg','Medial Tibia of OA_39.jpg','Medial Tibia of OA_4.jpg','Medial Tibia of OA_40.jpg','Medial Tibia of OA_41.jpg','Medial Tibia of OA_42.jpg','Medial Tibia of OA_43.jpg','Medial Tibia of OA_44.jpg','Medial Tibia of OA_45.jpg','Medial Tibia of OA_46.jpg','Medial Tibia of OA_47.jpg','Medial Tibia of OA_48.jpg','Medial Tibia of OA_49.jpg','Medial Tibia of OA_5.jpg','Medial Tibia of OA_50.jpg','Medial Tibia of OA_51.jpg','Medial Tibia of OA_52.jpg','Medial Tibia of OA_53.jpg','Medial Tibia of OA_54.jpg','Medial Tibia of OA_55.jpg','Medial Tibia of OA_56.jpg','Medial Tibia of OA_57.jpg','Medial Tibia of OA_58.jpg','Medial Tibia of OA_59.jpg','Medial Tibia of OA_6.jpg','Medial Tibia of OA_60.jpg','Medial Tibia of OA_61.jpg','Medial Tibia of OA_62.jpg','Medial Tibia of OA_63.jpg','Medial Tibia of OA_64.jpg','Medial Tibia of OA_65.jpg','Medial Tibia of OA_66.jpg','Medial Tibia of OA_67.jpg','Medial Tibia of OA_68.jpg','Medial Tibia of OA_7.jpg','Medial Tibia of OA_8.jpg','Medial Tibia of OA_9.jpg'}
@attribute LTP_1 numeric
@attribute LTP_2 numeric
@attribute LTP_3 numeric
@attribute LTP_4 numeric
@attribute LTP_5 numeric
@attribute LTP_6 numeric
@attribute LTP_7 numeric
@attribute LTP_8 numeric
@attribute LTP_9 numeric
@attribute LTP_10 numeric
@attribute LTP_11 numeric
@attribute LTP_12 numeric
@attribute LTP_13 numeric
@attribute LTP_14 numeric
@attribute LTP_15 numeric
@attribute LTP_16 numeric
@attribute LTP_17 numeric
@attribute LTP_18 numeric
@attribute LTP_19 numeric
@attribute LTP_20 numeric
@attribute LTP_21 numeric
@attribute LTP_22 numeric
@attribute LTP_23 numeric
@attribute LTP_24 numeric
@attribute LTP_25 numeric
@attribute LTP_26 numeric
@attribute LTP_27 numeric
@attribute LTP_28 numeric
@attribute LTP_29 numeric
@attribute LTP_30 numeric
@attribute LTP_31 numeric
@attribute LTP_32 numeric
@attribute LTP_33 numeric
@attribute LTP_34 numeric
@attribute LTP_35 numeric
@attribute LTP_36 numeric
@attribute LTP_37 numeric
@attribute LTP_38 numeric
@attribute LTP_39 numeric
@attribute LTP_40 numeric
@attribute LTP_41 numeric
@attribute LTP_42 numeric
@attribute LTP_43 numeric
@attribute LTP_44 numeric
@attribute LTP_45 numeric
@attribute LTP_46 numeric
@attribute LTP_47 numeric
@attribute LTP_48 numeric
@attribute LTP_49 numeric
@attribute LTP_50 numeric
@attribute LTP_51 numeric
@attribute LTP_52 numeric
@attribute LTP_53 numeric
@attribute LTP_54 numeric
@attribute LTP_55 numeric
@attribute LTP_56 numeric
@attribute LTP_57 numeric
@attribute LTP_58 numeric
@attribute LTP_59 numeric
@attribute LTP_60 numeric
@attribute LTP_61 numeric
@attribute LTP_62 numeric
@attribute LTP_63 numeric
@attribute LTP_64 numeric
@attribute LTP_65 numeric
@attribute LTP_66 numeric
@attribute LTP_67 numeric
@attribute LTP_68 numeric
@attribute LTP_69 numeric
@attribute LTP_70 numeric
@attribute LTP_71 numeric
@attribute LTP_72 numeric
@attribute LTP_73 numeric
@attribute LTP_74 numeric
@attribute LTP_75 numeric
@attribute LTP_76 numeric
@attribute LTP_77 numeric
@attribute LTP_78 numeric
@attribute LTP_79 numeric
@attribute LTP_80 numeric
@attribute LTP_81 numeric
@attribute LTP_82 numeric
@attribute LTP_83 numeric
@attribute LTP_84 numeric
@attribute LTP_85 numeric
@attribute LTP_86 numeric
@attribute LTP_87 numeric
@attribute LTP_88 numeric
@attribute LTP_89 numeric
@attribute LTP_90 numeric
@attribute LTP_91 numeric
@attribute LTP_92 numeric
@attribute LTP_93 numeric
@attribute LTP_94 numeric
@attribute LTP_95 numeric
@attribute LTP_96 numeric
@attribute LTP_97 numeric
@attribute LTP_98 numeric
@attribute LTP_99 numeric
@attribute LTP_100 numeric
@attribute LTP_101 numeric
@attribute LTP_102 numeric
@attribute LTP_103 numeric
@attribute LTP_104 numeric
@attribute LTP_105 numeric
@attribute LTP_106 numeric
@attribute LTP_107 numeric
@attribute LTP_108 numeric
@attribute LTP_109 numeric
@attribute LTP_110 numeric
@attribute LTP_111 numeric
@attribute LTP_112 numeric
@attribute LTP_113 numeric
@attribute LTP_114 numeric
@attribute LTP_115 numeric
@attribute LTP_116 numeric
@attribute LTP_117 numeric
@attribute LTP_118 numeric
@attribute class {Nor,OA}

@data
'Medial Tibia of Normal_1.jpg',4797,393,74,228,313,117,113,65,102,19,14,428,209,88,12,20,61,337,252,45,11,14,331,111,120,58,14,5,1,55,225,171,45,18,11,27,108,81,32,15,4,1,28,16,8,1,3,28,14,13,1,15,12,21,5,0,6,30,455,4869,438,78,326,343,95,118,72,79,35,20,370,203,71,19,18,49,223,179,38,13,10,337,104,106,47,15,5,0,55,196,231,50,18,16,31,75,81,47,12,8,1,30,16,10,4,6,18,19,13,1,17,18,26,5,1,6,21,489,Nor
'Medial Tibia of Normal_10.jpg',3196,352,61,302,361,138,218,49,128,57,41,355,237,140,44,28,44,308,365,101,32,25,362,127,235,171,26,5,3,54,269,382,156,37,19,32,148,168,89,37,3,3,41,51,38,4,5,39,25,26,2,29,23,28,10,1,8,33,530,3108,359,60,305,379,127,228,65,133,53,37,391,250,170,42,36,58,272,421,107,48,24,383,130,205,156,15,9,2,50,249,352,163,42,16,36,114,146,98,22,4,1,50,37,51,5,6,65,26,24,2,34,17,39,5,3,4,19,548,Nor
'Medial Tibia of Normal_11.jpg',3704,374,54,201,333,155,92,76,159,67,41,376,283,205,38,18,54,251,316,104,18,12,381,131,133,52,17,4,2,57,360,293,64,26,11,20,163,250,139,21,1,1,56,48,16,7,8,35,35,9,2,21,24,22,13,3,5,25,415,3652,371,68,251,401,110,119,73,166,70,34,422,341,263,43,28,54,197,282,126,28,11,327,132,103,82,22,5,1,66,276,335,71,32,25,17,153,205,112,23,6,1,61,42,23,6,7,37,19,11,0,26,12,19,5,1,4,20,404,Nor
'Medial Tibia of Normal_12.jpg',4132,403,67,358,345,145,210,61,94,38,29,381,212,56,17,13,61,330,352,42,25,13,328,114,193,125,15,1,0,65,245,295,117,18,15,17,92,82,58,6,2,1,29,12,17,5,4,34,27,16,0,24,11,23,2,0,2,24,398,4174,423,58,298,335,106,194,66,81,30,33,424,230,83,26,25,73,322,309,48,31,12,326,125,210,116,10,5,0,59,192,318,132,17,13,18,93,62,48,9,4,0,41,18,25,5,6,24,27,11,2,24,10,15,4,1,7,19,424,Nor
'Medial Tibia of Normal_13.jpg',3031,357,62,306,381,167,286,57,120,46,51,358,224,119,30,29,51,304,354,86,33,24,360,152,293,208,23,9,0,62,252,374,229,37,12,31,107,121,89,28,7,0,41,40,40,9,5,45,33,21,5,36,26,26,6,1,7,30,560,3094,353,52,298,348,122,294,62,104,42,58,373,240,142,41,28,52,317,362,79,35,26,360,157,304,209,32,9,4,41,216,361,215,33,15,31,100,115,91,36,11,0,49,50,29,7,10,59,25,30,3,41,22,25,9,1,6,24,549,Nor
'Medial Tibia of Normal_14.jpg',3320,355,59,317,360,139,301,44,96,31,38,340,219,78,27,35,63,342,331,63,21,20,381,149,317,192,20,9,4,59,207,358,195,25,17,30,130,100,63,15,5,1,49,32,37,7,1,34,35,32,2,27,11,33,5,1,4,28,587,3327,348,63,340,352,137,321,65,105,47,50,382,212,111,31,28,77,323,358,75,34,32,352,110,298,211,20,9,0,57,175,351,204,25,19,39,86,93,56,16,4,1,47,28,28,12,6,32,21,21,4,20,20,31,6,0,5,26,550,Nor
'Medial Tibia of Normal_15.jpg',3466,373,60,304,371,136,202,69,142,55,44,384,249,119,38,27,54,303,386,84,30,21,372,137,205,143,26,11,1,52,236,325,121,29,11,22,122,130,90,27,8,1,41,30,19,3,8,30,24,18,2,27,26,15,5,1,11,25,530,3566,380,46,266,351,130,199,48,132,36,56,397,244,125,42,19,58,277,289,90,31,16,356,129,193,121,23,4,3,59,236,363,140,28,15,44,142,117,89,23,8,2,57,34,39,5,3,40,36,23,2,36,18,28,6,2,8,24,547,Nor
'Medial Tibia of Normal_16.jpg',1965,268,48,247,338,149,279,38,137,78,68,248,232,215,69,44,48,227,411,169,75,37,359,175,286,306,80,25,3,42,192,451,306,70,37,54,152,170,185,71,18,4,71,55,72,18,19,61,43,36,3,60,35,70,16,6,21,81,758,1911,287,59,239,361,156,258,44,144,68,79,287,204,159,73,51,35,247,449,199,79,42,354,142,265,290,67,16,7,45,209,417,329,90,31,58,151,207,179,86,21,1,74,68,71,23,7,74,52,49,5,82,37,52,16,4,17,76,698,Nor
'Medial Tibia of Normal_17.jpg',2750,282,58,209,383,106,111,40,109,80,36,290,255,229,51,32,44,213,475,261,39,35,413,111,135,110,29,5,2,40,269,481,97,50,30,55,102,282,241,40,9,2,68,46,54,12,8,45,36,24,0,52,45,52,16,5,10,46,691,2677,273,43,233,407,150,119,46,138,64,36,292,275,299,34,53,55,216,473,238,39,31,404,120,109,100,29,3,3,51,257,479,107,36,47,59,129,217,238,29,7,2,58,40,41,7,6,34,36,30,1,40,46,62,8,3,7,38,727,Nor
'Medial Tibia of Normal_18.jpg',1916,268,57,198,378,167,149,43,167,92,71,260,212,332,100,62,44,178,275,307,89,34,400,135,143,116,61,21,10,48,248,259,117,68,53,74,161,346,301,67,32,13,91,80,83,24,30,63,39,36,3,70,50,80,33,10,28,93,916,2005,264,52,167,355,148,133,43,172,98,71,274,214,338,91,63,48,209,241,310,86,49,369,157,137,126,58,25,2,39,217,272,114,80,50,79,164,336,303,77,40,13,84,91,97,16,27,79,48,50,3,92,57,71,31,8,26,121,811,Nor
'Medial Tibia of Normal_19.jpg',2354,288,49,244,358,155,234,58,124,46,49,302,255,206,48,41,59,256,485,163,61,30,420,146,247,245,39,12,1,54,245,473,231,50,22,43,122,165,143,43,14,3,64,53,53,11,12,60,45,39,3,55,22,36,12,3,8,58,684,2504,328,63,248,385,150,256,40,145,49,63,318,215,167,56,62,49,220,427,162,53,36,373,144,220,237,43,16,7,48,227,417,233,50,33,61,113,187,176,45,7,1,40,57,61,11,10,56,44,41,2,51,29,62,6,1,7,56,633,Nor
'Medial Tibia of Normal_2.jpg',3242,295,60,194,518,162,119,56,125,82,51,336,172,119,22,41,53,228,202,89,39,43,451,156,125,94,30,13,4,56,205,229,84,53,41,111,149,85,86,22,4,9,55,35,37,13,16,56,41,39,3,45,36,98,18,3,14,101,1035,3356,328,56,194,472,145,136,48,112,46,59,316,196,86,30,37,62,200,220,84,47,31,482,135,142,113,30,11,2,41,155,233,94,41,37,98,134,111,78,35,20,1,68,39,34,7,22,42,38,45,4,39,34,107,16,6,20,90,1035,Nor
'Medial Tibia of Normal_20.jpg',2402,306,51,222,377,151,145,45,152,82,67,317,271,270,67,58,52,224,422,240,50,24,388,169,183,133,45,11,2,51,236,410,103,53,41,64,149,245,250,36,15,2,88,65,61,7,13,74,38,31,0,60,42,52,11,5,6,50,617,2480,339,60,179,398,166,187,51,140,89,60,259,251,256,52,55,46,239,390,252,47,31,370,118,135,113,36,17,4,47,264,414,135,60,40,54,128,268,246,45,10,1,84,73,43,16,12,79,51,28,1,61,53,45,13,2,11,32,665,Nor
'Medial Tibia of Normal_21.jpg',2060,264,58,232,408,192,291,59,150,87,105,284,235,185,79,58,57,229,347,124,57,41,412,167,277,246,54,21,6,54,223,382,262,70,30,70,155,188,134,42,13,2,57,72,48,14,16,64,64,44,3,57,31,59,17,4,15,69,757,2197,282,38,223,405,151,289,57,134,61,73,265,209,178,77,51,58,254,358,158,62,48,396,168,308,256,43,14,5,46,196,363,248,63,53,62,147,172,131,57,14,4,98,70,79,24,16,90,69,45,2,78,46,68,16,1,24,51,650,Nor
'Medial Tibia of Normal_22.jpg',1957,246,39,223,375,157,304,50,143,101,79,271,185,206,61,59,45,221,313,148,54,55,409,178,331,258,56,19,7,51,238,398,263,68,42,68,152,166,145,50,16,4,107,75,69,23,21,102,62,57,5,72,33,83,19,2,19,66,775,1970,252,33,221,407,159,330,61,148,99,105,254,201,170,71,83,48,242,375,164,104,49,380,141,274,295,51,16,7,46,205,302,283,97,37,71,144,178,157,56,19,2,80,82,71,12,10,91,72,47,6,76,52,72,12,3,15,80,713,Nor
