File,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,class
Medial Tibia of Normal_1.jpg,7.75E-01,7.41E-02,5.49E-01,3.65E+01,9.63E-01,1.21E+01,1.47E+02,5.16E-01,8.19E-01,7.12E-02,2.64E-01,-2.98E-01,4.99E-01,1.25E-01,Nor
Medial Tibia of Normal_10.jpg,4.38E-01,1.84E-01,5.56E-01,1.84E+01,9.08E-01,8.57E+00,7.41E+01,9.43E-01,1.55E+00,1.54E-01,4.78E-01,-2.47E-01,5.94E-01,2.76E-01,Nor
Medial Tibia of Normal_11.jpg,7.05E-01,6.52E-02,7.24E-01,1.70E+01,9.67E-01,8.26E+00,6.86E+01,5.83E-01,9.07E-01,6.46E-02,2.41E-01,-4.63E-01,6.49E-01,1.74E-01,Nor
Medial Tibia of Normal_12.jpg,8.51E-01,6.07E-02,3.40E-01,2.44E+01,9.70E-01,9.91E+00,9.83E+01,3.26E-01,5.30E-01,6.11E-02,2.29E-01,-1.40E-01,2.77E-01,1.01E-01,Nor
Medial Tibia of Normal_13.jpg,5.33E-01,1.62E-01,5.23E-01,2.70E+01,9.19E-01,1.04E+01,1.09E+02,8.39E-01,1.37E+00,1.37E-01,4.42E-01,-2.28E-01,5.45E-01,2.23E-01,Nor
Medial Tibia of Normal_14.jpg,6.48E-01,1.22E-01,5.06E-01,2.64E+01,9.39E-01,1.03E+01,1.06E+02,6.59E-01,1.07E+00,1.07E-01,3.70E-01,-2.28E-01,4.91E-01,1.84E-01,Nor
Medial Tibia of Normal_15.jpg,3.58E-01,1.99E-01,5.88E-01,2.12E+01,9.01E-01,9.19E+00,8.52E+01,1.03E+00,1.69E+00,1.65E-01,4.99E-01,-2.68E-01,6.38E-01,3.50E-01,Nor
Medial Tibia of Normal_16.jpg,4.68E-01,2.12E-01,5.05E-01,1.53E+01,8.94E-01,7.79E+00,6.14E+01,1.05E+00,1.73E+00,1.75E-01,5.17E-01,-2.03E-01,5.68E-01,1.90E-01,Nor
Medial Tibia of Normal_17.jpg,6.72E-01,1.36E-01,3.85E-01,1.67E+01,9.32E-01,8.17E+00,6.71E+01,6.65E-01,1.10E+00,1.18E-01,3.98E-01,-1.44E-01,3.96E-01,1.50E-01,Nor
Medial Tibia of Normal_18.jpg,3.08E-01,2.42E-01,5.71E-01,3.03E+01,8.79E-01,1.10E+01,1.22E+02,1.20E+00,1.97E+00,1.97E-01,5.53E-01,-2.39E-01,6.43E-01,3.60E-01,Nor
Medial Tibia of Normal_19.jpg,3.43E-01,2.23E-01,5.61E-01,2.15E+01,8.88E-01,9.24E+00,8.62E+01,1.11E+00,1.82E+00,1.83E-01,5.31E-01,-2.40E-01,6.26E-01,3.30E-01,Nor
