File,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,LBP_10,LBP_11,LBP_12,LBP_13,LBP_14,LBP_15,LBP_16,LBP_17,LBP_18,LBP_19,LBP_20,LBP_21,LBP_22,LBP_23,LBP_24,LBP_25,LBP_26,LBP_27,LBP_28,LBP_29,LBP_30,LBP_31,LBP_32,LBP_33,LBP_34,LBP_35,LBP_36,LBP_37,LBP_38,LBP_39,LBP_40,LBP_41,LBP_42,LBP_43,LBP_44,LBP_45,LBP_46,LBP_47,LBP_48,LBP_49,LBP_50,LBP_51,LBP_52,LBP_53,LBP_54,LBP_55,LBP_56,LBP_57,LBP_58,LBP_59,LBP_60,LBP_61,LBP_62,LBP_63,LBP_64,LBP_65,LBP_66,LBP_67,LBP_68,LBP_69,LBP_70,LBP_71,LBP_72,LBP_73,LBP_74,LBP_75,LBP_76,LBP_77,LBP_78,LBP_79,LBP_80,LBP_81,LBP_82,LBP_83,LBP_84,LBP_85,LBP_86,LBP_87,LBP_88,LBP_89,LBP_90,LBP_91,LBP_92,LBP_93,LBP_94,LBP_95,LBP_96,LBP_97,LBP_98,LBP_99,LBP_100,LBP_101,LBP_102,LBP_103,LBP_104,LBP_105,LBP_106,LBP_107,LBP_108,LBP_109,LBP_110,LBP_111,LBP_112,LBP_113,LBP_114,LBP_115,LBP_116,LBP_117,LBP_118,LBP_119,LBP_120,LBP_121,LBP_122,LBP_123,LBP_124,LBP_125,LBP_126,LBP_127,LBP_128,LBP_129,LBP_130,LBP_131,LBP_132,LBP_133,LBP_134,LBP_135,LBP_136,LBP_137,LBP_138,LBP_139,LBP_140,LBP_141,LBP_142,LBP_143,LBP_144,LBP_145,LBP_146,LBP_147,LBP_148,LBP_149,LBP_150,LBP_151,LBP_152,LBP_153,LBP_154,LBP_155,LBP_156,LBP_157,LBP_158,LBP_159,LBP_160,LBP_161,LBP_162,LBP_163,LBP_164,LBP_165,LBP_166,LBP_167,LBP_168,LBP_169,LBP_170,LBP_171,LBP_172,LBP_173,LBP_174,LBP_175,LBP_176,LBP_177,LBP_178,LBP_179,LBP_180,LBP_181,LBP_182,LBP_183,LBP_184,LBP_185,LBP_186,LBP_187,LBP_188,LBP_189,LBP_190,LBP_191,LBP_192,LBP_193,LBP_194,LBP_195,LBP_196,LBP_197,LBP_198,LBP_199,LBP_200,LBP_201,LBP_202,LBP_203,LBP_204,LBP_205,LBP_206,LBP_207,LBP_208,LBP_209,LBP_210,LBP_211,LBP_212,LBP_213,LBP_214,LBP_215,LBP_216,LBP_217,LBP_218,LBP_219,LBP_220,LBP_221,LBP_222,LBP_223,LBP_224,LBP_225,LBP_226,LBP_227,LBP_228,LBP_229,LBP_230,LBP_231,LBP_232,LBP_233,LBP_234,LBP_235,LBP_236,LBP_237,LBP_238,LBP_239,LBP_240,LBP_241,LBP_242,LBP_243,LBP_244,LBP_245,LBP_246,LBP_247,LBP_248,LBP_249,LBP_250,LBP_251,LBP_252,LBP_253,LBP_254,LBP_255,LBP_256,class
Lateral Femur of G1_1.jpg,533,100,13,59,366,14,97,162,15,3,2,1,96,7,53,98,104,20,1,11,17,0,5,8,87,11,3,14,218,8,100,114,12,1,0,3,8,3,4,7,1,0,0,0,4,0,5,5,59,11,4,6,22,4,4,12,135,19,0,16,265,7,169,143,366,14,9,21,105,4,33,17,16,0,0,0,26,1,14,7,18,1,0,1,0,0,0,0,16,0,0,0,19,0,7,3,79,5,2,11,24,1,9,4,4,0,0,0,6,0,3,3,203,9,6,4,13,0,8,2,262,6,8,20,245,6,115,42,16,54,0,124,5,15,1,214,0,3,0,1,3,3,2,130,0,5,0,17,1,1,1,5,3,6,0,12,4,7,8,136,0,1,0,6,1,0,0,14,0,0,0,0,1,0,1,5,2,18,1,13,0,4,0,10,6,12,0,66,17,13,5,314,72,172,1,228,25,17,7,231,4,5,1,7,8,4,9,102,7,9,0,7,0,0,0,4,12,12,0,13,7,2,2,32,52,77,4,117,6,8,6,99,3,1,0,8,7,1,8,81,109,101,0,111,8,2,3,30,132,131,5,317,106,28,102,784,Grade 1
Lateral Femur of G1_10.jpg,487,140,11,63,325,21,87,235,9,3,2,0,91,11,59,92,120,21,1,16,20,2,6,11,71,13,4,11,216,6,114,124,4,3,0,3,13,0,0,8,0,0,0,0,0,0,3,3,65,9,1,9,18,1,11,6,93,18,3,11,205,7,150,142,273,20,12,21,124,5,23,15,9,0,0,2,21,0,13,10,22,5,0,0,4,0,0,0,15,2,0,3,18,0,10,2,82,8,1,6,23,1,8,10,2,0,0,1,6,0,10,4,200,15,7,11,20,2,11,6,244,5,11,14,251,1,117,44,4,61,0,87,4,16,1,217,0,1,1,4,3,6,1,156,7,13,0,8,0,2,1,8,2,7,0,8,9,9,1,152,1,2,0,1,1,0,0,10,0,1,0,1,1,0,1,0,3,10,0,9,1,1,0,13,1,14,0,36,5,10,4,308,90,188,3,192,24,17,12,237,3,5,0,11,8,14,5,117,13,10,0,3,0,0,1,3,8,12,0,10,8,6,5,44,57,73,0,124,18,7,9,86,1,1,0,3,7,4,5,86,127,131,3,153,3,2,7,41,153,139,6,242,95,39,128,851,Grade 1
Lateral Femur of G1_11.jpg,378,110,5,69,201,28,88,288,9,1,0,1,81,10,65,169,122,17,2,10,9,1,5,12,82,6,0,4,192,13,100,154,3,2,1,4,4,0,1,4,1,0,0,0,0,0,1,5,57,12,4,15,9,0,10,12,123,13,2,15,173,4,138,158,236,15,5,6,66,0,14,18,5,0,0,0,22,0,15,9,20,1,0,0,1,1,0,0,19,1,0,0,21,0,4,2,69,6,4,6,15,0,6,4,2,0,0,0,7,0,4,2,272,20,5,9,8,0,5,2,377,3,14,8,262,2,113,44,15,76,0,136,8,28,1,407,0,3,0,4,5,6,1,246,1,17,0,15,2,0,1,6,1,7,0,4,5,3,4,139,0,1,0,2,0,0,0,9,0,0,0,0,0,0,0,9,1,5,0,9,0,0,0,13,4,11,0,19,6,4,2,198,120,192,4,242,20,18,8,263,3,5,0,6,15,5,9,112,5,9,0,6,0,1,0,3,13,8,0,7,4,3,0,25,71,128,4,166,10,4,9,112,1,2,0,3,2,1,8,99,193,148,0,143,7,2,7,46,203,129,4,179,92,23,102,610,Grade 1
Lateral Femur of G1_12.jpg,456,134,8,72,223,35,86,250,11,2,1,1,87,11,77,175,132,19,3,15,13,3,2,14,89,16,0,5,166,6,112,128,6,3,0,1,3,0,3,2,0,0,0,0,0,0,1,4,74,13,4,5,6,0,9,7,110,15,4,11,189,4,136,114,218,11,3,11,37,0,17,12,8,1,0,0,21,1,2,9,33,2,0,0,0,0,0,0,12,1,0,0,15,0,5,2,83,4,4,7,15,2,9,7,0,0,0,0,12,0,5,2,247,17,8,16,18,0,5,8,288,7,12,9,216,0,111,46,12,97,0,133,7,21,2,352,1,1,0,1,3,5,1,207,2,10,0,11,0,1,0,10,4,11,0,15,3,3,4,129,0,4,0,4,0,1,0,13,0,0,0,0,0,0,0,5,0,6,0,6,0,2,0,7,4,13,0,21,10,9,3,208,105,230,2,213,30,18,6,248,3,9,0,3,8,7,10,119,17,14,0,4,1,1,0,1,8,9,1,6,8,2,3,27,69,132,0,155,14,5,7,142,2,5,0,7,13,3,13,107,177,149,9,141,5,0,6,48,214,144,12,178,104,24,99,687,Grade 1
Lateral Femur of G1_13.jpg,385,195,6,74,218,15,89,240,8,3,0,0,78,12,88,170,183,55,5,17,18,0,13,7,81,16,0,6,221,15,162,198,6,3,0,1,3,0,1,7,0,0,0,0,1,0,1,8,84,18,2,5,16,1,12,9,92,15,2,14,192,9,149,124,185,30,3,8,52,1,17,10,6,0,0,0,15,1,15,2,20,1,0,0,2,0,0,0,19,0,0,0,21,0,1,2,91,13,4,8,17,0,5,14,3,0,0,0,6,0,7,7,262,22,6,10,19,0,8,8,211,8,7,8,208,1,138,58,5,74,0,102,5,10,1,220,0,2,0,2,3,11,0,164,4,15,0,17,0,2,0,6,3,10,0,9,5,9,3,133,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,4,1,6,0,10,0,1,0,6,2,10,0,19,4,7,6,177,83,227,2,176,16,14,11,207,4,6,0,3,6,8,11,158,13,16,0,12,0,0,0,4,11,6,0,5,7,4,7,48,61,167,0,149,11,6,10,127,1,7,1,4,9,8,14,132,151,163,4,122,8,2,6,39,173,122,5,155,135,35,163,757,Grade 1
Lateral Femur of G1_14.jpg,360,129,5,76,221,18,97,286,9,2,0,1,74,10,72,132,133,23,6,10,20,2,10,15,69,13,2,2,204,11,138,182,5,1,1,3,2,0,4,5,0,0,0,0,2,0,2,3,59,9,0,10,10,0,9,5,89,16,1,13,223,4,146,127,208,10,4,8,73,2,18,22,6,0,0,0,23,0,6,2,23,1,0,0,1,0,0,0,10,0,1,0,17,0,2,3,78,7,2,7,30,1,11,5,1,0,0,0,5,0,3,3,247,14,6,10,19,0,7,5,304,9,3,7,271,1,110,40,5,65,0,118,4,10,1,340,1,3,0,1,3,7,3,204,7,15,0,13,0,3,0,9,1,5,0,9,3,12,4,142,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,8,0,12,0,0,0,7,3,12,1,18,4,2,3,189,92,226,0,302,22,18,10,315,1,3,0,2,7,9,4,117,7,16,1,14,1,0,0,3,9,8,0,5,6,2,4,35,55,129,2,177,15,4,3,114,2,2,0,4,3,6,8,94,143,162,1,139,4,2,6,49,169,152,1,205,107,39,105,676,Grade 1
Lateral Femur of G1_15.jpg,480,157,11,81,253,24,99,205,9,4,0,3,86,5,81,111,150,39,3,12,25,1,9,19,66,12,0,9,193,12,136,144,12,3,0,7,8,1,1,7,1,0,0,0,1,0,3,9,88,12,2,11,11,1,7,3,125,12,5,7,225,6,159,146,227,18,7,19,63,2,15,19,3,0,0,0,15,0,11,4,17,1,1,1,3,0,0,0,12,0,1,0,11,0,3,1,81,12,3,7,26,1,11,6,2,1,0,0,8,0,12,4,219,14,7,5,15,0,8,1,208,10,6,8,200,4,125,35,13,70,1,126,5,17,2,249,1,2,0,3,1,11,0,181,2,7,0,17,0,0,1,11,3,15,0,10,11,10,7,147,2,3,0,4,0,0,0,6,0,0,0,1,0,0,1,7,2,5,0,20,1,0,0,10,5,7,0,28,13,5,7,191,93,194,5,241,19,25,7,223,8,5,0,4,12,8,15,138,10,4,0,8,2,0,0,1,6,14,1,8,6,4,3,39,73,143,1,180,5,5,13,101,1,8,0,4,5,5,10,137,119,158,3,147,9,0,5,49,181,139,10,182,123,42,112,682,Grade 1
Lateral Femur of G1_16.jpg,453,95,8,76,241,18,77,190,10,3,0,1,92,5,84,111,127,9,3,13,19,0,6,7,69,8,2,12,217,5,152,145,9,6,0,4,9,0,4,7,1,0,0,0,2,0,1,2,85,10,4,11,16,0,7,3,154,14,7,9,306,5,174,172,266,18,6,9,59,0,15,11,9,1,0,0,23,0,11,1,24,0,0,1,2,0,0,0,11,1,0,0,11,0,5,0,90,7,0,4,22,0,6,6,3,0,0,0,7,0,4,4,220,5,9,4,20,0,8,3,314,8,10,9,278,2,107,31,9,80,2,138,7,18,2,289,1,1,0,3,4,3,1,194,1,8,0,10,0,0,0,6,2,7,0,8,3,3,4,112,0,1,0,3,0,0,1,7,0,0,0,1,0,0,0,2,2,5,0,15,1,0,0,13,3,15,0,32,5,9,9,199,94,240,1,294,23,9,10,231,4,6,0,7,13,7,7,88,6,3,0,5,0,0,0,2,3,6,0,7,4,6,3,27,87,133,1,190,9,4,5,87,3,6,0,2,7,7,10,84,135,171,3,139,6,1,1,31,188,138,5,207,123,31,96,601,Grade 1
Lateral Femur of G1_17.jpg,379,91,18,70,273,14,98,194,6,3,0,3,80,8,71,98,98,18,2,7,19,1,4,5,70,11,2,1,209,5,109,126,10,4,0,5,6,0,4,3,0,0,0,0,3,2,0,3,55,8,4,10,11,0,8,9,176,15,3,16,354,5,188,155,252,20,6,9,66,3,24,9,8,0,0,1,29,0,7,2,20,0,0,0,1,0,2,1,19,1,0,0,20,0,3,1,79,3,2,7,17,0,12,5,1,0,0,0,9,0,6,5,227,8,10,7,22,1,6,1,378,6,4,9,312,2,107,40,9,59,1,150,4,10,2,339,0,3,0,2,4,2,2,181,0,10,0,9,0,0,0,9,1,4,0,13,1,6,2,135,1,2,1,1,0,0,0,4,0,1,0,0,0,0,0,5,2,7,0,18,0,1,0,6,7,9,0,29,6,2,4,198,93,196,1,357,20,24,7,323,2,5,0,5,5,4,6,94,5,6,0,13,0,0,0,3,6,7,0,6,9,4,2,25,70,130,1,180,6,5,4,94,2,5,0,5,6,3,4,61,115,117,4,149,4,2,3,19,209,138,4,236,104,36,77,578,Grade 1
Lateral Femur of G1_18.jpg,359,118,12,74,207,14,109,207,10,3,0,1,86,5,92,221,120,25,2,13,13,0,2,8,73,12,1,8,230,11,142,188,11,0,0,1,3,1,4,6,0,0,0,0,2,0,4,6,86,7,3,10,7,0,5,7,145,12,3,12,291,8,216,101,218,16,5,17,52,2,16,9,2,0,0,0,20,0,10,6,15,0,0,0,0,0,0,0,9,0,0,0,7,0,2,2,109,4,5,4,11,0,11,7,0,0,0,0,10,0,7,9,212,8,2,2,15,0,8,0,253,3,4,4,232,0,110,25,8,85,0,152,2,4,2,268,2,3,0,6,2,8,0,181,7,22,0,18,0,0,0,2,3,10,0,13,2,5,6,115,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,10,1,3,0,9,0,0,0,3,1,24,0,24,3,5,9,155,98,247,0,393,9,9,8,246,0,1,0,6,10,3,9,113,8,9,0,11,0,0,0,4,3,5,0,9,5,2,1,25,124,184,2,219,14,2,5,113,1,6,0,6,4,3,6,105,173,191,4,141,5,1,3,34,198,151,2,166,97,25,106,516,Grade 1
