@relation 'LBP_hf Lateral Femur ROI '

@attribute File {'Lateral Femur of G1_1.jpg','Lateral Femur of G1_10.jpg','Lateral Femur of G1_11.jpg','Lateral Femur of G1_12.jpg','Lateral Femur of G1_13.jpg','Lateral Femur of G1_14.jpg','Lateral Femur of G1_15.jpg','Lateral Femur of G1_16.jpg','Lateral Femur of G1_17.jpg','Lateral Femur of G1_18.jpg','Lateral Femur of G1_2.jpg','Lateral Femur of G1_3.jpg','Lateral Femur of G1_4.jpg','Lateral Femur of G1_5.jpg','Lateral Femur of G1_6.jpg','Lateral Femur of G1_7.jpg','Lateral Femur of G1_8.jpg','Lateral Femur of G1_9.jpg','Lateral Femur of G2_1.jpg','Lateral Femur of G2_10.jpg','Lateral Femur of G2_11.jpg','Lateral Femur of G2_12.jpg','Lateral Femur of G2_13.jpg','Lateral Femur of G2_14.jpg','Lateral Femur of G2_15.jpg','Lateral Femur of G2_16.jpg','Lateral Femur of G2_17.jpg','Lateral Femur of G2_18.jpg','Lateral Femur of G2_19.jpg','Lateral Femur of G2_2.jpg','Lateral Femur of G2_20.jpg','Lateral Femur of G2_21.jpg','Lateral Femur of G2_3.jpg','Lateral Femur of G2_4.jpg','Lateral Femur of G2_5.jpg','Lateral Femur of G2_6.jpg','Lateral Femur of G2_7.jpg','Lateral Femur of G2_8.jpg','Lateral Femur of G2_9.jpg','Lateral Femur of G3_1.jpg','Lateral Femur of G3_10.jpg','Lateral Femur of G3_11.jpg','Lateral Femur of G3_12.jpg','Lateral Femur of G3_13.jpg','Lateral Femur of G3_14.jpg','Lateral Femur of G3_15.jpg','Lateral Femur of G3_16.jpg','Lateral Femur of G3_17.jpg','Lateral Femur of G3_18.jpg','Lateral Femur of G3_19.jpg','Lateral Femur of G3_2.jpg','Lateral Femur of G3_20.jpg','Lateral Femur of G3_21.jpg','Lateral Femur of G3_22.jpg','Lateral Femur of G3_23.jpg','Lateral Femur of G3_24.jpg','Lateral Femur of G3_25.jpg','Lateral Femur of G3_26.jpg','Lateral Femur of G3_27.jpg','Lateral Femur of G3_28.jpg','Lateral Femur of G3_29.jpg','Lateral Femur of G3_3.jpg','Lateral Femur of G3_30.jpg','Lateral Femur of G3_31.jpg','Lateral Femur of G3_32.jpg','Lateral Femur of G3_33.jpg','Lateral Femur of G3_34.jpg','Lateral Femur of G3_35.jpg','Lateral Femur of G3_36.jpg','Lateral Femur of G3_37.jpg','Lateral Femur of G3_38.jpg','Lateral Femur of G3_39.jpg','Lateral Femur of G3_4.jpg','Lateral Femur of G3_40.jpg','Lateral Femur of G3_41.jpg','Lateral Femur of G3_42.jpg','Lateral Femur of G3_43.jpg','Lateral Femur of G3_44.jpg','Lateral Femur of G3_5.jpg','Lateral Femur of G3_6.jpg','Lateral Femur of G3_7.jpg','Lateral Femur of G3_8.jpg','Lateral Femur of G3_9.jpg','Lateral Femur of G4_1.jpg','Lateral Femur of G4_2.jpg','Lateral Femur of G4_3.jpg','Lateral Femur of G4_4.jpg','Lateral Femur of G4_5.jpg','Lateral Femur of G4_6.jpg','Lateral Femur of G4_7.jpg','Lateral Femur of G4_8.jpg','Lateral Femur of Nor_1.jpg','Lateral Femur of Nor_10.jpg','Lateral Femur of Nor_11.jpg','Lateral Femur of Nor_12.jpg','Lateral Femur of Nor_13.jpg','Lateral Femur of Nor_14.jpg','Lateral Femur of Nor_15.jpg','Lateral Femur of Nor_16.jpg','Lateral Femur of Nor_17.jpg','Lateral Femur of Nor_18.jpg','Lateral Femur of Nor_19.jpg','Lateral Femur of Nor_2.jpg','Lateral Femur of Nor_20.jpg','Lateral Femur of Nor_21.jpg','Lateral Femur of Nor_22.jpg','Lateral Femur of Nor_23.jpg','Lateral Femur of Nor_24.jpg','Lateral Femur of Nor_25.jpg','Lateral Femur of Nor_26.jpg','Lateral Femur of Nor_27.jpg','Lateral Femur of Nor_28.jpg','Lateral Femur of Nor_29.jpg','Lateral Femur of Nor_3.jpg','Lateral Femur of Nor_30.jpg','Lateral Femur of Nor_31.jpg','Lateral Femur of Nor_32.jpg','Lateral Femur of Nor_33.jpg','Lateral Femur of Nor_34.jpg','Lateral Femur of Nor_35.jpg','Lateral Femur of Nor_36.jpg','Lateral Femur of Nor_37.jpg','Lateral Femur of Nor_38.jpg','Lateral Femur of Nor_39.jpg','Lateral Femur of Nor_4.jpg','Lateral Femur of Nor_5.jpg','Lateral Femur of Nor_6.jpg','Lateral Femur of Nor_7.jpg','Lateral Femur of Nor_8.jpg','Lateral Femur of Nor_9.jpg'}
@attribute LBP_hf_1 numeric
@attribute LBP_hf_2 numeric
@attribute LBP_hf_3 numeric
@attribute LBP_hf_4 numeric
@attribute LBP_hf_5 numeric
@attribute LBP_hf_6 numeric
@attribute LBP_hf_7 numeric
@attribute LBP_hf_8 numeric
@attribute LBP_hf_9 numeric
@attribute LBP_hf_10 numeric
@attribute LBP_hf_11 numeric
@attribute LBP_hf_12 numeric
@attribute LBP_hf_13 numeric
@attribute LBP_hf_14 numeric
@attribute LBP_hf_15 numeric
@attribute LBP_hf_16 numeric
@attribute LBP_hf_17 numeric
@attribute LBP_hf_18 numeric
@attribute LBP_hf_19 numeric
@attribute LBP_hf_20 numeric
@attribute LBP_hf_21 numeric
@attribute LBP_hf_22 numeric
@attribute LBP_hf_23 numeric
@attribute LBP_hf_24 numeric
@attribute LBP_hf_25 numeric
@attribute LBP_hf_26 numeric
@attribute LBP_hf_27 numeric
@attribute LBP_hf_28 numeric
@attribute LBP_hf_29 numeric
@attribute LBP_hf_30 numeric
@attribute LBP_hf_31 numeric
@attribute LBP_hf_32 numeric
@attribute LBP_hf_33 numeric
@attribute LBP_hf_34 numeric
@attribute LBP_hf_35 numeric
@attribute LBP_hf_36 numeric
@attribute LBP_hf_37 numeric
@attribute LBP_hf_38 numeric
@attribute class {'Grade 1','Grade 2','Grade 3','Grade 4',Normal}

@data
'Lateral Femur of G1_1.jpg',0.101,0.000264,0.0539,0.000552,0.0898,0.0615,0.00622,0.00623,0.00164,0.00316,0.114,0.00741,0.0159,0.00516,0.0399,0.138,0.00937,0.0422,0.00151,0.0048,0.126,0.00726,0.0267,0.00336,0.0146,0.0962,0.00493,0.00716,0.00179,0.00194,0.0965,0.00285,0.0457,0.00214,0.0696,0.0544,0.08,0.132,'Grade 1'
'Lateral Femur of G1_10.jpg',0.0904,0.00655,0.0345,0.00483,0.0847,0.0622,0.00131,0.00659,0.000993,0.000816,0.116,0.00475,0.00726,0.00448,0.0554,0.129,0.00674,0.0333,0.00581,0.00326,0.135,0.00338,0.024,0.00282,0.0163,0.102,0.00226,0.0123,0.00557,0.00133,0.0951,0.0084,0.0343,0.00758,0.0608,0.0497,0.0868,0.134,'Grade 1'
'Lateral Femur of G1_11.jpg',0.0715,0.00391,0.021,0.00374,0.065,0.0655,0.00307,0.00765,0.00579,0.00122,0.137,0.00254,0.0219,0.00177,0.056,0.183,0.0115,0.057,0.00386,0.024,0.161,0.00549,0.0271,0.00504,0.00755,0.102,0.00355,0.0108,0.00157,0.00122,0.0731,0.00194,0.0185,0.00203,0.0449,0.0386,0.0622,0.107,'Grade 1'
'Lateral Femur of G1_12.jpg',0.0759,0.000718,0.0179,0.000438,0.0684,0.0707,0.00227,0.005,0.00178,0.00173,0.131,0.00803,0.0143,0.00578,0.0514,0.167,0.00901,0.0407,0.00495,0.0133,0.148,0.00576,0.0232,0.00241,0.00296,0.102,0.00664,0.00385,0.000678,0.0049,0.0752,0.00335,0.0189,0.00302,0.0456,0.0465,0.0701,0.113,'Grade 1'
'Lateral Femur of G1_13.jpg',0.0822,0.00372,0.00255,0.00346,0.0771,0.0667,0.00168,0.00257,0.000947,0.00163,0.132,0.000747,0.00717,0.00525,0.0619,0.148,0.00231,0.0115,0.00312,0.00724,0.144,0.00302,0.0068,0.00426,0.0144,0.108,0.00295,0.0049,0.00272,0.00194,0.0823,0.0058,0.00404,0.00273,0.0456,0.0393,0.0772,0.12,'Grade 1'
'Lateral Femur of G1_14.jpg',0.073,0.00176,0.017,0.00104,0.0681,0.0622,0.00282,0.00524,0.00356,0.000816,0.132,0.00793,0.0133,0.00153,0.0642,0.175,0.0102,0.0462,0.00751,0.0113,0.166,0.00954,0.0252,0.00177,0.0239,0.103,0.00231,0.00833,0.00147,0.00286,0.0771,0.00268,0.02,0.00164,0.0439,0.0367,0.069,0.106,'Grade 1'
'Lateral Femur of G1_15.jpg',0.0849,0.00247,0.0177,0.00305,0.0757,0.0677,0.000922,0.0046,0.00288,0.00326,0.124,0.000877,0.0106,0.00216,0.0414,0.146,0.00535,0.0302,0.00375,0.00408,0.145,0.00486,0.0126,0.000836,0.00245,0.109,0.00224,0.00694,0.00361,0.00429,0.0803,0.00336,0.0127,0.00277,0.0466,0.049,0.0696,0.124,'Grade 1'
'Lateral Femur of G1_16.jpg',0.0781,0.00426,0.0291,0.00403,0.0707,0.0676,0.00221,0.00314,0.00171,0.00316,0.136,0.00465,0.0132,0.00369,0.0412,0.177,0.00526,0.0486,0.0028,0.00429,0.16,0.00466,0.0198,0.00667,0.00806,0.0986,0.00749,0.0117,0.00381,0.00796,0.072,0.00187,0.0231,0.00107,0.0475,0.0462,0.0613,0.103,'Grade 1'
'Lateral Femur of G1_17.jpg',0.0772,0.0025,0.0343,0.00233,0.0685,0.0616,0.00227,0.00693,0.00362,0.000816,0.132,0.00612,0.0189,0.00168,0.0366,0.192,0.00614,0.0704,0.00305,0.00326,0.167,0.00157,0.0401,0.00441,0.0122,0.0996,0.00255,0.0131,0.000173,0.00286,0.0706,0.00505,0.0302,0.00465,0.0461,0.0387,0.059,0.103,'Grade 1'
'Lateral Femur of G1_18.jpg',0.0718,0.000947,0.0191,0.00135,0.0635,0.0735,0.00212,0.00659,0.00212,0.00326,0.144,0.0051,0.0102,0.00168,0.0391,0.196,0.0148,0.0357,0.0093,0.0236,0.17,0.0018,0.0116,0.00269,0.00439,0.096,0.00694,0.00547,0.00421,0.00378,0.0654,0.00185,0.0113,0.000888,0.0432,0.0366,0.0526,0.0934,'Grade 1'
'Lateral Femur of G1_2.jpg',0.0755,0.00353,0.0272,0.00323,0.0706,0.0585,0.00336,0.00398,0.00209,0.00112,0.128,0.00795,0.0206,0.00185,0.0536,0.197,0.00961,0.0762,0.00614,0.0398,0.164,0.00471,0.0328,0.00218,0.0241,0.102,0.00303,0.012,0.0016,0.00173,0.0732,0.00301,0.023,0.00177,0.0385,0.0334,0.0658,0.103,'Grade 1'
'Lateral Femur of G1_3.jpg',0.0903,0.00295,0.026,0.00241,0.0813,0.0662,0.00168,0.0038,0.00173,0.00275,0.117,0.00924,0.0191,0.00406,0.033,0.152,0.00912,0.0426,0.00163,0.00173,0.144,0.00845,0.0234,0.00367,0.0149,0.0989,0.00367,0.00642,0.00323,0.00316,0.0846,0.00249,0.0202,0.00248,0.0552,0.0514,0.0726,0.123,'Grade 1'
'Lateral Femur of G1_4.jpg',0.0751,0.00175,0.0257,0.00148,0.0682,0.0699,0.00461,0.00286,0.00299,0.00337,0.131,0.00564,0.0201,0.00738,0.0439,0.198,0.0046,0.0668,0.000313,0.0261,0.167,0.0039,0.0333,0.00387,0.012,0.104,0.00409,0.00819,0.00247,0.00153,0.07,0.00196,0.0197,0.00145,0.0414,0.0369,0.0552,0.0933,'Grade 1'
'Lateral Femur of G1_5.jpg',0.0788,0.0026,0.0296,0.0026,0.0739,0.0659,0.00291,0.00101,0.00232,0.000408,0.129,0.0032,0.0179,0.00156,0.041,0.189,0.0138,0.062,0.00851,0.00245,0.163,0.00663,0.0322,0.0066,0.0162,0.102,0.00344,0.00541,0.000888,0.00143,0.0707,0.00119,0.0211,0.000483,0.0468,0.0395,0.0598,0.103,'Grade 1'
