File,LCP_1,LCP_2,LCP_3,LCP_4,LCP_5,LCP_6,LCP_7,LCP_8,LCP_9,LCP_10,LCP_11,LCP_12,LCP_13,LCP_14,LCP_15,LCP_16,LCP_17,LCP_18,LCP_19,LCP_20,LCP_21,LCP_22,LCP_23,LCP_24,LCP_25,LCP_26,LCP_27,LCP_28,LCP_29,LCP_30,LCP_31,LCP_32,LCP_33,LCP_34,LCP_35,LCP_36,LCP_37,LCP_38,LCP_39,LCP_40,LCP_41,LCP_42,LCP_43,LCP_44,LCP_45,LCP_46,LCP_47,LCP_48,LCP_49,LCP_50,LCP_51,LCP_52,LCP_53,LCP_54,LCP_55,LCP_56,LCP_57,LCP_58,LCP_59,LCP_60,LCP_61,LCP_62,LCP_63,LCP_64,LCP_65,LCP_66,LCP_67,LCP_68,LCP_69,LCP_70,LCP_71,LCP_72,LCP_73,LCP_74,LCP_75,LCP_76,LCP_77,LCP_78,LCP_79,LCP_80,LCP_81,class
Lateral Femur of G1_1.jpg,1.06E+00,6.35E-02,3.01E-01,9.66E-02,1.25E-01,9.66E-02,3.01E-01,6.35E-02,879,1.04E+00,2.57E-02,2.03E-01,3.35E-02,5.07E-04,3.35E-02,2.03E-01,2.57E-02,901,1.03E+00,3.66E-02,9.25E-02,4.13E-02,1.15E-01,4.13E-02,9.25E-02,3.66E-02,564,1.01E+00,1.41E-02,1.34E-01,6.22E-02,6.82E-02,6.22E-02,1.34E-01,1.41E-02,534,1.00E+00,1.07E-02,2.61E-01,1.20E-01,1.17E-01,1.20E-01,2.61E-01,1.07E-02,604,9.89E-01,2.99E-02,2.02E-01,6.47E-02,6.30E-02,6.47E-02,2.02E-01,2.99E-02,657,9.76E-01,1.87E-02,1.20E-01,1.56E-02,7.97E-03,1.56E-02,1.20E-01,1.87E-02,745,9.63E-01,7.87E-02,1.99E-01,3.48E-02,2.67E-01,3.48E-02,1.99E-01,7.87E-02,998,9.41E-01,2.91E-02,2.96E-01,6.70E-02,8.93E-02,6.70E-02,2.96E-01,2.91E-02,1002,Grade 1
Lateral Femur of G1_10.jpg,1.04E+00,6.97E-02,1.96E-01,9.17E-03,3.97E-02,9.17E-03,1.96E-01,6.97E-02,904,1.03E+00,4.66E-02,1.71E-01,3.39E-02,2.60E-01,3.39E-02,1.71E-01,4.66E-02,962,1.02E+00,7.68E-02,7.86E-02,4.96E-02,1.51E-01,4.96E-02,7.86E-02,7.68E-02,554,1.01E+00,1.83E-02,5.07E-02,7.36E-02,4.90E-02,7.36E-02,5.07E-02,1.83E-02,469,1.00E+00,4.49E-02,1.75E-01,6.95E-02,2.02E-01,6.95E-02,1.75E-01,4.49E-02,504,9.93E-01,4.28E-02,1.22E-01,1.31E-02,2.94E-02,1.31E-02,1.22E-01,4.28E-02,559,9.85E-01,6.18E-02,8.19E-02,4.45E-02,1.42E-01,4.45E-02,8.19E-02,6.18E-02,604,9.76E-01,4.56E-02,7.62E-02,2.90E-02,7.76E-02,2.90E-02,7.62E-02,4.56E-02,1027,9.62E-01,1.32E-02,2.22E-01,1.51E-01,7.21E-02,1.51E-01,2.22E-01,1.32E-02,1183,Grade 1
Lateral Femur of G1_11.jpg,1.05E+00,7.18E-02,5.57E-01,7.90E-02,5.96E-01,7.90E-02,5.57E-01,7.18E-02,856,1.03E+00,6.46E-02,3.64E-01,1.26E-01,2.32E-01,1.26E-01,3.64E-01,6.46E-02,954,1.02E+00,6.09E-02,9.79E-02,1.33E-01,3.78E-02,1.33E-01,9.79E-02,6.09E-02,647,1.01E+00,4.09E-02,1.01E-01,7.03E-02,1.03E-01,7.03E-02,1.01E-01,4.09E-02,598,1.00E+00,4.21E-03,2.91E-01,1.03E-02,1.17E-01,1.03E-02,2.91E-01,4.21E-03,689,9.91E-01,3.81E-02,1.43E-01,6.42E-02,5.43E-02,6.42E-02,1.43E-01,3.81E-02,671,9.79E-01,6.00E-02,1.07E-01,6.84E-02,8.46E-02,6.84E-02,1.07E-01,6.00E-02,752,9.69E-01,6.28E-02,3.10E-01,4.45E-02,2.75E-01,4.45E-02,3.10E-01,6.28E-02,925,9.53E-01,9.40E-02,6.06E-01,1.44E-01,4.22E-01,1.44E-01,6.06E-01,9.40E-02,1007,Grade 1
Lateral Femur of G1_12.jpg,1.07E+00,2.40E-02,3.84E-01,8.31E-02,6.89E-02,8.31E-02,3.84E-01,2.40E-02,975,1.05E+00,2.14E-02,2.12E-01,1.17E-01,1.83E-01,1.17E-01,2.12E-01,2.14E-02,976,1.03E+00,4.14E-02,8.95E-02,6.27E-02,1.80E-01,6.27E-02,8.95E-02,4.14E-02,584,1.02E+00,3.48E-02,2.14E-02,1.05E-01,1.35E-01,1.05E-01,2.14E-02,3.48E-02,488,1.00E+00,2.47E-02,1.60E-01,7.17E-02,2.47E-01,7.17E-02,1.60E-01,2.47E-02,503,9.89E-01,2.23E-02,1.23E-01,1.26E-01,1.18E-01,1.26E-01,1.23E-01,2.23E-02,541,9.72E-01,4.21E-02,8.44E-02,1.14E-01,6.45E-02,1.14E-01,8.44E-02,4.21E-02,712,9.59E-01,6.21E-02,2.71E-01,4.98E-02,8.68E-02,4.98E-02,2.71E-01,6.21E-02,1002,9.32E-01,3.01E-02,3.50E-01,1.78E-01,7.73E-02,1.78E-01,3.50E-01,3.01E-02,1125,Grade 1
Lateral Femur of G1_13.jpg,1.04E+00,4.66E-02,1.31E-01,7.57E-02,2.83E-02,7.57E-02,1.31E-01,4.66E-02,956,1.03E+00,7.13E-02,9.87E-02,5.23E-02,3.10E-02,5.23E-02,9.87E-02,7.13E-02,892,1.02E+00,2.76E-02,8.33E-02,8.85E-02,8.35E-02,8.85E-02,8.33E-02,2.76E-02,665,1.01E+00,3.48E-02,2.34E-02,5.03E-02,1.79E-01,5.03E-02,2.34E-02,3.48E-02,535,1.00E+00,1.11E-02,1.84E-01,2.41E-02,8.99E-02,2.41E-02,1.84E-01,1.11E-02,459,9.94E-01,2.78E-02,3.02E-02,6.28E-02,5.61E-02,6.28E-02,3.02E-02,2.78E-02,528,9.85E-01,3.43E-02,7.57E-02,1.40E-02,7.76E-03,1.40E-02,7.57E-02,3.43E-02,711,9.77E-01,3.80E-02,9.62E-02,3.65E-02,1.62E-02,3.65E-02,9.62E-02,3.80E-02,986,9.63E-01,5.00E-02,2.06E-01,2.35E-02,1.02E-01,2.35E-02,2.06E-01,5.00E-02,1151,Grade 1
Lateral Femur of G1_14.jpg,1.04E+00,7.65E-02,4.89E-01,7.32E-03,2.62E-02,7.32E-03,4.89E-01,7.65E-02,846,1.03E+00,8.67E-02,3.03E-01,7.42E-02,8.53E-02,7.42E-02,3.03E-01,8.67E-02,909,1.02E+00,8.38E-02,1.55E-01,1.67E-01,1.41E-01,1.67E-01,1.55E-01,8.38E-02,658,1.01E+00,4.96E-02,6.33E-02,6.27E-03,2.55E-01,6.27E-03,6.33E-02,4.96E-02,575,1.00E+00,1.74E-02,1.98E-01,5.29E-02,9.32E-03,5.29E-02,1.98E-01,1.74E-02,653,9.92E-01,5.17E-02,5.99E-02,1.32E-01,8.02E-02,1.32E-01,5.99E-02,5.17E-02,608,9.82E-01,5.92E-02,1.08E-01,8.36E-02,1.39E-01,8.36E-02,1.08E-01,5.92E-02,758,9.73E-01,7.33E-02,3.04E-01,2.75E-02,8.86E-03,2.75E-02,3.04E-01,7.33E-02,1028,9.56E-01,2.63E-02,5.10E-01,1.38E-01,6.45E-02,1.38E-01,5.10E-01,2.63E-02,1024,Grade 1
Lateral Femur of G1_15.jpg,1.05E+00,1.18E-01,6.48E-01,2.01E-02,1.52E-01,2.01E-02,6.48E-01,1.18E-01,995,1.03E+00,9.62E-02,3.75E-01,2.36E-02,6.31E-02,2.36E-02,3.75E-01,9.62E-02,968,1.02E+00,9.45E-02,1.17E-02,1.12E-01,1.25E-01,1.12E-01,1.17E-02,9.45E-02,613,1.01E+00,7.14E-02,3.59E-02,1.41E-01,2.11E-01,1.41E-01,3.59E-02,7.14E-02,440,1.00E+00,7.09E-02,2.69E-01,3.97E-02,2.09E-01,3.97E-02,2.69E-01,7.09E-02,484,9.91E-01,2.01E-02,3.38E-02,4.87E-02,5.52E-02,4.87E-02,3.38E-02,2.01E-02,511,9.81E-01,1.14E-01,1.99E-01,5.95E-02,1.77E-01,5.95E-02,1.99E-01,1.14E-01,706,9.69E-01,5.51E-02,3.80E-01,7.66E-02,7.71E-02,7.66E-02,3.80E-01,5.51E-02,955,9.51E-01,1.06E-01,6.74E-01,8.05E-02,4.08E-01,8.05E-02,6.74E-01,1.06E-01,1157,Grade 1
Lateral Femur of G1_16.jpg,1.08E+00,3.66E-02,5.95E-01,1.69E-01,6.30E-03,1.69E-01,5.95E-01,3.66E-02,887,1.05E+00,9.69E-02,4.47E-01,2.61E-02,1.06E-01,2.61E-02,4.47E-01,9.69E-02,995,1.04E+00,3.05E-02,1.07E-01,4.11E-02,1.24E-01,4.11E-02,1.07E-01,3.05E-02,653,1.02E+00,6.39E-02,6.18E-02,3.00E-02,4.87E-02,3.00E-02,6.18E-02,6.39E-02,556,1.00E+00,1.45E-02,2.16E-01,9.61E-02,5.69E-02,9.61E-02,2.16E-01,1.45E-02,599,9.85E-01,2.39E-02,4.83E-02,1.16E-01,6.48E-02,1.16E-01,4.83E-02,2.39E-02,641,9.64E-01,6.86E-02,1.28E-01,3.91E-02,2.68E-02,3.91E-02,1.28E-01,6.86E-02,742,9.45E-01,4.70E-02,3.90E-01,2.26E-02,1.47E-01,2.26E-02,3.90E-01,4.70E-02,982,9.14E-01,4.34E-02,5.87E-01,1.33E-01,8.79E-02,1.33E-01,5.87E-01,4.34E-02,985,Grade 1
Lateral Femur of G1_17.jpg,1.06E+00,8.37E-02,6.79E-01,1.16E-01,1.66E-01,1.16E-01,6.79E-01,8.37E-02,887,1.04E+00,1.96E-02,4.44E-01,2.83E-02,2.23E-01,2.83E-02,4.44E-01,1.96E-02,917,1.03E+00,2.85E-02,1.23E-01,1.64E-01,6.62E-02,1.64E-01,1.23E-01,2.85E-02,617,1.02E+00,2.10E-02,1.72E-01,5.11E-02,1.79E-01,5.11E-02,1.72E-01,2.10E-02,576,1.00E+00,2.96E-02,3.80E-01,5.49E-02,2.60E-01,5.49E-02,3.80E-01,2.96E-02,691,9.86E-01,2.82E-02,1.63E-01,1.50E-01,2.04E-01,1.50E-01,1.63E-01,2.82E-02,697,9.72E-01,1.49E-02,2.13E-01,3.39E-02,1.12E-02,3.39E-02,2.13E-01,1.49E-02,786,9.61E-01,3.85E-02,4.40E-01,9.21E-02,4.16E-02,9.21E-02,4.40E-01,3.85E-02,953,9.41E-01,1.07E-01,7.15E-01,1.61E-01,3.45E-01,1.61E-01,7.15E-01,1.07E-01,991,Grade 1
Lateral Femur of G1_18.jpg,1.08E+00,7.16E-02,5.00E-01,5.47E-02,4.01E-01,5.47E-02,5.00E-01,7.16E-02,818,1.06E+00,6.14E-02,2.66E-01,7.26E-02,1.88E-01,7.26E-02,2.66E-01,6.14E-02,882,1.04E+00,2.68E-02,8.57E-02,6.81E-02,4.35E-02,6.81E-02,8.57E-02,2.68E-02,701,1.02E+00,1.03E-02,5.64E-02,6.95E-02,7.11E-03,6.95E-02,5.64E-02,1.03E-02,684,1.00E+00,1.97E-02,1.04E-01,8.03E-02,2.02E-01,8.03E-02,1.04E-01,1.97E-02,768,9.81E-01,3.54E-02,2.01E-02,1.29E-01,3.05E-01,1.29E-01,2.01E-02,3.54E-02,814,9.60E-01,4.96E-02,8.72E-02,1.33E-01,2.23E-01,1.33E-01,8.72E-02,4.96E-02,816,9.42E-01,3.07E-02,2.57E-01,1.24E-01,1.48E-01,1.24E-01,2.57E-01,3.07E-02,840,9.13E-01,5.70E-02,4.57E-01,9.28E-02,3.93E-01,9.28E-02,4.57E-01,5.70E-02,926,Grade 1
