File,RLBP_1,RLBP_2,RLBP_3,RLBP_4,RLBP_5,RLBP_6,RLBP_7,RLBP_8,RLBP_9,RLBP_10,RLBP_11,RLBP_12,RLBP_13,RLBP_14,RLBP_15,RLBP_16,RLBP_17,RLBP_18,RLBP_19,RLBP_20,RLBP_21,RLBP_22,RLBP_23,RLBP_24,RLBP_25,RLBP_26,RLBP_27,RLBP_28,RLBP_29,RLBP_30,RLBP_31,RLBP_32,RLBP_33,RLBP_34,RLBP_35,RLBP_36,RLBP_37,RLBP_38,RLBP_39,RLBP_40,RLBP_41,RLBP_42,RLBP_43,RLBP_44,RLBP_45,RLBP_46,RLBP_47,RLBP_48,RLBP_49,RLBP_50,RLBP_51,RLBP_52,RLBP_53,RLBP_54,RLBP_55,RLBP_56,RLBP_57,RLBP_58,RLBP_59,RLBP_60,RLBP_61,RLBP_62,RLBP_63,RLBP_64,RLBP_65,RLBP_66,RLBP_67,RLBP_68,RLBP_69,RLBP_70,RLBP_71,RLBP_72,RLBP_73,RLBP_74,RLBP_75,RLBP_76,RLBP_77,RLBP_78,RLBP_79,RLBP_80,RLBP_81,RLBP_82,RLBP_83,RLBP_84,RLBP_85,RLBP_86,RLBP_87,RLBP_88,RLBP_89,RLBP_90,RLBP_91,RLBP_92,RLBP_93,RLBP_94,RLBP_95,RLBP_96,RLBP_97,RLBP_98,RLBP_99,RLBP_100,RLBP_101,RLBP_102,RLBP_103,RLBP_104,RLBP_105,RLBP_106,RLBP_107,RLBP_108,RLBP_109,RLBP_110,RLBP_111,RLBP_112,RLBP_113,RLBP_114,RLBP_115,RLBP_116,RLBP_117,RLBP_118,RLBP_119,RLBP_120,RLBP_121,RLBP_122,RLBP_123,RLBP_124,RLBP_125,RLBP_126,RLBP_127,RLBP_128,RLBP_129,RLBP_130,RLBP_131,RLBP_132,RLBP_133,RLBP_134,RLBP_135,RLBP_136,RLBP_137,RLBP_138,RLBP_139,RLBP_140,RLBP_141,RLBP_142,RLBP_143,RLBP_144,RLBP_145,RLBP_146,RLBP_147,RLBP_148,RLBP_149,RLBP_150,RLBP_151,RLBP_152,RLBP_153,RLBP_154,RLBP_155,RLBP_156,RLBP_157,RLBP_158,RLBP_159,RLBP_160,RLBP_161,RLBP_162,RLBP_163,RLBP_164,RLBP_165,RLBP_166,RLBP_167,RLBP_168,RLBP_169,RLBP_170,RLBP_171,RLBP_172,RLBP_173,RLBP_174,RLBP_175,RLBP_176,RLBP_177,RLBP_178,RLBP_179,RLBP_180,RLBP_181,RLBP_182,RLBP_183,RLBP_184,RLBP_185,RLBP_186,RLBP_187,RLBP_188,RLBP_189,RLBP_190,RLBP_191,RLBP_192,RLBP_193,RLBP_194,RLBP_195,RLBP_196,RLBP_197,RLBP_198,RLBP_199,RLBP_200,RLBP_201,RLBP_202,RLBP_203,RLBP_204,RLBP_205,RLBP_206,RLBP_207,RLBP_208,RLBP_209,RLBP_210,RLBP_211,RLBP_212,RLBP_213,RLBP_214,RLBP_215,RLBP_216,RLBP_217,RLBP_218,RLBP_219,RLBP_220,RLBP_221,RLBP_222,RLBP_223,RLBP_224,RLBP_225,RLBP_226,RLBP_227,RLBP_228,RLBP_229,RLBP_230,RLBP_231,RLBP_232,RLBP_233,RLBP_234,RLBP_235,RLBP_236,RLBP_237,RLBP_238,RLBP_239,RLBP_240,RLBP_241,RLBP_242,RLBP_243,RLBP_244,RLBP_245,RLBP_246,RLBP_247,RLBP_248,RLBP_249,RLBP_250,RLBP_251,RLBP_252,RLBP_253,RLBP_254,RLBP_255,RLBP_256,class
Lateral Femur of G1_1.jpg,533,20,231,16,152,3,145,27,134,3,16,2,98,5,254,30,170,2,19,4,24,1,15,2,134,6,27,3,274,1,322,19,260,2,117,9,15,1,63,6,20,0,2,0,21,0,44,5,139,3,53,10,24,0,42,9,247,8,35,10,302,5,435,50,15,1,3,2,6,0,4,0,1,0,4,0,1,0,3,1,0,0,0,0,0,0,1,0,2,1,0,0,3,0,6,0,14,0,6,3,3,0,10,3,4,0,4,0,5,1,7,2,18,1,7,3,5,0,10,0,30,1,3,1,22,2,44,16,10,33,0,23,0,4,1,18,0,4,1,0,1,3,1,14,0,3,0,4,0,0,0,2,1,5,0,1,2,8,1,16,2,2,0,3,0,0,2,5,1,0,0,0,1,0,0,3,2,6,1,2,0,1,0,3,0,2,0,1,2,2,0,17,24,249,3,295,3,19,6,216,8,46,1,18,4,30,2,229,1,12,1,20,0,1,1,13,7,38,1,26,5,77,4,268,27,333,0,310,2,19,3,173,1,21,0,7,3,25,0,166,23,199,2,200,4,10,2,102,24,213,3,123,18,248,6,784,Grade 1
Lateral Femur of G1_10.jpg,487,11,248,10,136,2,148,33,105,5,21,7,103,3,272,24,144,8,16,6,31,0,15,3,109,3,26,5,252,1,335,36,225,3,127,9,12,0,50,11,29,0,15,5,15,1,41,6,178,1,47,13,22,0,43,11,282,5,38,13,288,6,439,65,9,0,7,3,7,1,5,1,4,0,1,0,4,0,6,2,3,0,0,0,0,0,0,0,2,0,1,0,0,1,2,0,14,3,6,3,1,1,8,1,4,1,0,1,3,0,12,1,30,1,9,1,3,1,11,2,20,1,5,3,26,1,44,13,8,21,0,23,2,4,4,12,3,4,0,1,0,5,1,17,3,7,0,4,0,0,0,3,1,7,1,5,1,6,1,15,0,7,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,4,0,5,0,3,0,1,2,4,0,1,0,7,0,8,27,213,4,277,2,17,3,234,10,48,0,16,4,36,4,223,3,12,0,14,1,1,1,5,4,33,1,25,5,47,4,247,30,290,4,312,2,23,6,182,0,16,1,7,1,21,3,158,18,239,1,211,2,6,5,107,23,251,0,145,10,245,9,851,Grade 1
Lateral Femur of G1_11.jpg,378,8,132,16,153,2,167,26,94,1,15,6,122,0,295,33,157,6,13,1,36,0,30,8,127,2,11,1,380,5,426,33,144,1,73,7,8,1,45,10,20,1,3,0,20,1,49,6,163,6,41,14,17,0,46,10,322,3,32,11,503,5,497,54,12,0,2,0,5,0,6,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,2,12,0,10,0,5,0,16,1,3,0,0,0,2,0,9,4,15,1,6,1,4,0,7,2,26,0,5,2,31,1,43,5,1,15,0,19,1,2,0,12,0,5,0,0,0,6,1,21,1,1,0,4,0,1,0,1,2,7,0,3,1,3,0,12,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0,1,0,3,0,1,0,1,0,5,20,263,3,430,2,20,1,276,6,44,0,14,6,26,2,231,3,7,0,14,0,0,0,11,1,30,0,16,5,28,0,148,19,341,3,438,3,9,1,219,1,25,1,6,0,18,1,164,18,272,2,207,3,7,0,107,12,218,0,130,14,151,6,610,Grade 1
Lateral Femur of G1_12.jpg,456,8,149,8,144,1,179,27,95,0,23,2,154,1,285,16,187,4,12,8,38,0,15,5,128,2,18,1,311,1,387,35,146,3,51,8,12,0,57,9,29,1,4,1,19,0,46,6,169,2,43,9,24,0,40,11,313,6,38,4,428,6,514,69,10,0,0,1,2,0,3,0,2,0,0,0,4,0,2,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,3,0,12,0,9,2,1,0,9,0,4,0,1,0,1,1,13,0,27,0,3,0,1,1,7,2,24,0,1,1,25,0,44,4,5,14,1,24,0,4,0,14,0,7,0,3,0,2,0,10,2,5,0,2,0,1,0,0,0,5,0,3,2,7,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,4,0,0,0,0,1,2,0,1,0,2,0,7,29,274,2,382,4,15,3,262,7,38,0,26,10,43,2,227,2,16,0,22,0,0,0,9,4,39,0,16,5,40,4,159,21,373,0,336,2,17,1,226,5,21,0,15,1,22,1,170,14,254,1,208,5,6,0,115,17,208,0,137,12,138,7,687,Grade 1
Lateral Femur of G1_13.jpg,385,14,146,13,141,2,165,36,124,1,22,5,116,1,297,26,193,9,7,6,25,0,22,6,143,3,22,3,311,0,351,35,172,8,94,9,11,0,46,11,29,0,4,1,19,0,43,5,150,3,47,14,18,0,40,12,314,6,41,10,380,3,439,73,9,1,1,1,2,0,4,0,2,0,0,0,4,0,5,2,4,0,0,0,0,0,0,0,3,0,0,0,5,0,2,1,8,1,5,1,2,1,6,0,6,0,0,0,6,0,8,4,13,0,7,1,4,0,12,0,15,1,5,5,31,1,57,9,7,31,0,27,0,5,2,16,2,7,0,1,0,5,0,17,2,5,0,6,0,0,0,4,3,4,0,2,1,7,0,11,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,4,0,3,0,0,0,2,0,3,0,2,1,1,0,14,28,259,3,324,2,13,7,270,5,43,0,13,2,40,4,230,1,15,0,19,1,1,0,9,5,43,1,19,3,40,4,170,36,323,1,375,3,13,1,207,3,22,0,7,2,16,3,147,14,221,1,227,2,6,3,126,23,240,3,162,14,168,11,757,Grade 1
Lateral Femur of G1_14.jpg,360,11,138,9,154,0,154,23,89,0,18,1,131,1,300,15,153,6,9,5,34,1,15,6,126,3,9,4,365,2,463,22,159,5,89,4,16,0,49,3,18,0,4,0,17,1,43,1,139,5,52,14,17,0,34,11,305,4,48,5,450,1,594,62,9,0,0,0,2,1,3,1,2,0,0,0,2,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,8,1,6,1,5,0,7,1,4,0,1,0,5,0,10,1,24,0,5,1,4,0,15,0,25,1,5,1,23,1,52,9,2,24,0,18,0,1,2,11,1,2,0,2,1,6,1,20,0,4,0,2,0,0,0,2,2,7,0,3,1,2,0,14,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,0,0,1,1,2,0,0,0,4,0,8,19,242,3,374,3,17,1,240,11,44,3,13,5,20,1,219,2,15,0,9,0,0,0,5,5,35,0,15,7,32,2,177,20,361,2,464,2,14,3,202,3,19,0,9,2,13,1,153,12,244,0,199,0,6,3,99,19,249,0,152,11,148,10,676,Grade 1
Lateral Femur of G1_15.jpg,480,9,173,13,160,2,171,19,132,0,28,5,138,0,271,32,164,5,20,1,32,0,18,2,134,3,20,4,322,0,355,38,176,1,92,6,6,1,50,3,20,1,6,0,29,0,51,6,156,5,46,12,19,0,36,6,268,4,36,14,366,3,458,66,15,0,4,0,5,1,1,2,2,0,0,2,2,0,4,3,4,0,0,0,0,0,1,0,3,0,0,1,5,0,5,0,6,1,3,2,8,0,15,0,8,1,3,0,1,0,8,0,23,1,10,0,3,0,8,2,31,2,4,1,28,0,58,9,3,16,2,21,2,3,0,16,1,3,0,3,0,7,0,19,0,6,0,2,0,0,0,1,1,10,0,2,2,3,0,16,0,2,0,3,0,0,1,2,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,1,0,2,0,1,1,2,0,9,30,268,1,293,2,17,3,264,8,47,0,23,12,37,5,227,3,12,1,22,0,2,0,9,3,49,0,25,5,40,4,163,24,325,2,335,3,20,4,231,4,19,0,14,4,14,0,137,14,268,0,224,1,11,1,142,16,232,0,148,12,168,11,682,Grade 1
Lateral Femur of G1_16.jpg,453,7,170,12,147,1,152,27,89,1,26,1,131,0,283,16,167,0,20,2,30,0,19,1,144,1,16,5,366,0,437,36,170,2,61,4,15,1,55,7,21,0,2,1,23,0,25,6,155,5,44,5,23,0,32,5,295,2,31,4,431,3,521,49,10,2,3,0,7,0,6,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,2,1,10,0,3,0,5,0,14,1,1,0,2,0,2,0,3,2,22,0,12,1,1,0,5,2,18,1,8,1,26,0,54,7,5,26,0,23,2,2,1,18,1,9,0,1,1,1,0,21,0,2,0,3,0,0,0,3,0,10,0,2,2,9,0,14,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,4,0,2,0,2,0,6,33,292,1,409,2,12,2,278,6,38,0,14,8,29,3,196,3,16,1,17,0,0,0,8,8,37,0,28,4,46,0,148,22,389,0,399,3,14,2,201,1,15,1,5,2,14,1,141,16,277,0,199,1,9,2,110,13,244,0,131,9,157,6,601,Grade 1
Lateral Femur of G1_17.jpg,379,14,139,9,156,2,144,23,101,0,20,1,114,0,279,29,173,5,11,4,27,1,14,5,125,2,16,2,376,1,462,28,160,1,78,8,14,0,57,6,24,0,4,0,23,0,43,9,159,3,46,6,17,1,34,8,283,6,26,7,488,1,549,43,11,0,4,1,1,0,8,1,0,0,0,0,2,0,2,2,0,1,0,0,0,0,1,1,2,0,0,0,2,0,2,1,9,1,3,0,1,0,12,2,3,1,0,0,4,0,8,0,17,0,4,3,5,0,6,0,20,1,5,1,27,0,38,1,3,18,2,15,0,1,0,10,0,3,0,0,0,1,1,10,3,6,0,2,0,1,0,2,1,8,0,0,0,3,0,14,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,1,3,0,2,0,1,0,3,0,6,26,284,0,430,1,17,1,301,6,34,1,17,5,33,1,237,2,12,1,12,0,0,0,5,4,44,0,15,5,34,0,159,16,426,0,431,2,9,2,187,2,18,1,9,4,13,3,164,15,277,1,219,1,9,1,90,13,227,2,133,11,134,5,578,Grade 1
Lateral Femur of G1_18.jpg,359,13,150,7,190,0,175,16,91,0,16,1,177,0,294,25,132,3,10,2,34,0,10,6,149,1,18,4,436,1,496,20,118,3,70,1,8,0,46,6,6,0,2,0,11,0,24,1,163,2,50,12,15,0,33,7,302,3,32,6,451,0,522,41,8,1,2,1,5,0,4,0,1,0,1,0,1,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,8,0,5,0,3,0,13,1,2,0,0,0,1,0,8,1,19,0,10,0,0,0,8,1,19,0,2,0,24,1,45,2,2,19,0,18,0,0,0,24,1,5,0,0,1,0,1,15,0,7,0,0,0,0,0,1,1,8,0,5,0,5,1,13,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,3,0,1,0,2,0,3,22,307,0,430,2,13,3,299,0,43,0,14,8,35,2,211,3,14,0,20,0,0,0,11,4,36,0,12,7,29,0,106,17,473,2,460,2,9,1,201,4,19,0,13,1,20,1,135,7,311,1,210,0,8,1,103,20,209,0,161,11,123,8,516,Grade 1
