File,Mean1,Variance2,Skewness3,Kurtosis4,Energy5,Entropy6,class
Medial Femur of G1_1.jpg,5.79E+00,1.41E+00,-5.12E-01,3.11E+00,2.43E-01,1.56E+00,Grade 1
Medial Femur of G1_10.jpg,5.29E+00,2.44E+00,-3.08E-01,2.13E+00,1.83E-01,1.79E+00,Grade 1
Medial Femur of G1_11.jpg,6.39E+00,2.37E+00,-9.56E-01,3.14E+00,2.33E-01,1.67E+00,Grade 1
Medial Femur of G1_12.jpg,5.51E+00,1.43E+00,-4.85E-01,3.33E+00,2.49E-01,1.57E+00,Grade 1
Medial Femur of G1_13.jpg,4.98E+00,1.09E+00,-1.25E-01,2.94E+00,2.68E-01,1.46E+00,Grade 1
Medial Femur of G1_14.jpg,5.65E+00,2.11E+00,-4.28E-01,2.49E+00,1.98E-01,1.74E+00,Grade 1
Medial Femur of G1_15.jpg,5.92E+00,1.85E+00,-9.20E-01,3.44E+00,2.46E-01,1.61E+00,Grade 1
Medial Femur of G1_16.jpg,6.64E+00,1.83E+00,-1.18E+00,4.13E+00,2.68E-01,1.55E+00,Grade 1
Medial Femur of G1_17.jpg,5.80E+00,2.60E+00,-3.30E-01,2.16E+00,1.74E-01,1.83E+00,Grade 1
Medial Femur of G1_18.jpg,6.34E+00,2.33E+00,-1.04E+00,3.38E+00,2.44E-01,1.65E+00,Grade 1
Medial Femur of G1_2.jpg,5.39E+00,1.34E+00,-3.58E-01,3.13E+00,2.47E-01,1.56E+00,Grade 1
Medial Femur of G1_3.jpg,5.73E+00,1.64E+00,-3.52E-01,2.91E+00,2.20E-01,1.65E+00,Grade 1
Medial Femur of G1_4.jpg,5.54E+00,1.83E+00,-3.03E-01,2.50E+00,2.05E-01,1.69E+00,Grade 1
Medial Femur of G1_5.jpg,5.87E+00,2.34E+00,-7.20E-01,2.61E+00,2.20E-01,1.70E+00,Grade 1
Medial Femur of G1_6.jpg,6.23E+00,1.75E+00,-7.42E-01,3.17E+00,2.33E-01,1.63E+00,Grade 1
Medial Femur of G1_7.jpg,5.64E+00,1.63E+00,-4.55E-01,2.94E+00,2.24E-01,1.64E+00,Grade 1
Medial Femur of G1_8.jpg,5.17E+00,2.21E+00,1.23E-02,2.09E+00,1.83E-01,1.77E+00,Grade 1
Medial Femur of G1_9.jpg,4.96E+00,1.94E+00,-4.02E-01,2.61E+00,2.08E-01,1.71E+00,Grade 1
Medial Femur of G2_1.jpg,5.79E+00,1.64E+00,-3.82E-01,2.96E+00,2.26E-01,1.65E+00,Grade 2
Medial Femur of G2_10.jpg,5.75E+00,1.35E+00,-3.11E-01,2.97E+00,2.43E-01,1.56E+00,Grade 2
Medial Femur of G2_11.jpg,4.37E+00,1.33E+00,5.40E-01,3.52E+00,2.59E-01,1.53E+00,Grade 2
