File,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,LBP_10,LBP_11,LBP_12,LBP_13,LBP_14,LBP_15,LBP_16,LBP_17,LBP_18,LBP_19,LBP_20,LBP_21,LBP_22,LBP_23,LBP_24,LBP_25,LBP_26,LBP_27,LBP_28,LBP_29,LBP_30,LBP_31,LBP_32,LBP_33,LBP_34,LBP_35,LBP_36,LBP_37,LBP_38,LBP_39,LBP_40,LBP_41,LBP_42,LBP_43,LBP_44,LBP_45,LBP_46,LBP_47,LBP_48,LBP_49,LBP_50,LBP_51,LBP_52,LBP_53,LBP_54,LBP_55,LBP_56,LBP_57,LBP_58,LBP_59,LBP_60,LBP_61,LBP_62,LBP_63,LBP_64,LBP_65,LBP_66,LBP_67,LBP_68,LBP_69,LBP_70,LBP_71,LBP_72,LBP_73,LBP_74,LBP_75,LBP_76,LBP_77,LBP_78,LBP_79,LBP_80,LBP_81,LBP_82,LBP_83,LBP_84,LBP_85,LBP_86,LBP_87,LBP_88,LBP_89,LBP_90,LBP_91,LBP_92,LBP_93,LBP_94,LBP_95,LBP_96,LBP_97,LBP_98,LBP_99,LBP_100,LBP_101,LBP_102,LBP_103,LBP_104,LBP_105,LBP_106,LBP_107,LBP_108,LBP_109,LBP_110,LBP_111,LBP_112,LBP_113,LBP_114,LBP_115,LBP_116,LBP_117,LBP_118,LBP_119,LBP_120,LBP_121,LBP_122,LBP_123,LBP_124,LBP_125,LBP_126,LBP_127,LBP_128,LBP_129,LBP_130,LBP_131,LBP_132,LBP_133,LBP_134,LBP_135,LBP_136,LBP_137,LBP_138,LBP_139,LBP_140,LBP_141,LBP_142,LBP_143,LBP_144,LBP_145,LBP_146,LBP_147,LBP_148,LBP_149,LBP_150,LBP_151,LBP_152,LBP_153,LBP_154,LBP_155,LBP_156,LBP_157,LBP_158,LBP_159,LBP_160,LBP_161,LBP_162,LBP_163,LBP_164,LBP_165,LBP_166,LBP_167,LBP_168,LBP_169,LBP_170,LBP_171,LBP_172,LBP_173,LBP_174,LBP_175,LBP_176,LBP_177,LBP_178,LBP_179,LBP_180,LBP_181,LBP_182,LBP_183,LBP_184,LBP_185,LBP_186,LBP_187,LBP_188,LBP_189,LBP_190,LBP_191,LBP_192,LBP_193,LBP_194,LBP_195,LBP_196,LBP_197,LBP_198,LBP_199,LBP_200,LBP_201,LBP_202,LBP_203,LBP_204,LBP_205,LBP_206,LBP_207,LBP_208,LBP_209,LBP_210,LBP_211,LBP_212,LBP_213,LBP_214,LBP_215,LBP_216,LBP_217,LBP_218,LBP_219,LBP_220,LBP_221,LBP_222,LBP_223,LBP_224,LBP_225,LBP_226,LBP_227,LBP_228,LBP_229,LBP_230,LBP_231,LBP_232,LBP_233,LBP_234,LBP_235,LBP_236,LBP_237,LBP_238,LBP_239,LBP_240,LBP_241,LBP_242,LBP_243,LBP_244,LBP_245,LBP_246,LBP_247,LBP_248,LBP_249,LBP_250,LBP_251,LBP_252,LBP_253,LBP_254,LBP_255,LBP_256,class
Medial Femur of G1_1.jpg,586,132,13,55,419,21,92,196,8,4,1,2,78,2,50,71,125,22,6,13,20,3,8,11,70,7,3,6,158,17,76,74,11,5,1,5,4,0,3,11,0,0,0,0,3,0,0,6,60,8,2,8,10,0,5,7,87,12,5,14,227,5,116,113,368,23,8,25,135,1,26,17,16,0,1,0,26,2,10,5,17,2,1,1,3,0,2,0,21,2,2,4,14,0,2,1,92,7,5,5,20,0,12,5,3,0,0,0,8,0,9,6,158,7,14,8,13,1,4,5,207,7,8,16,187,2,75,33,13,63,0,106,12,17,4,265,0,5,0,6,4,6,6,144,4,14,0,14,0,2,0,6,2,7,0,19,2,5,5,149,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,3,2,5,0,13,1,1,0,20,3,16,0,59,8,14,6,376,102,189,2,243,18,18,15,243,6,11,0,12,12,5,7,120,3,8,0,3,1,0,0,5,6,9,1,20,6,3,4,33,50,65,4,133,5,5,5,92,1,3,1,8,4,2,11,93,66,96,3,142,9,3,3,47,119,129,2,370,93,25,98,861,Grade 1
Medial Femur of G1_10.jpg,468,106,10,71,347,20,97,273,7,2,0,2,84,10,56,125,123,26,3,7,13,2,4,8,75,15,1,8,152,9,107,133,11,4,0,3,7,0,3,5,0,0,0,0,4,0,5,2,60,10,0,10,14,1,11,5,94,16,2,10,179,4,126,121,334,22,10,10,117,2,26,27,9,0,1,1,25,0,9,2,26,1,0,0,3,0,0,0,15,1,1,1,20,0,7,2,80,9,2,7,19,1,9,3,2,0,0,0,7,0,7,7,175,15,5,4,17,0,7,4,211,9,5,16,209,0,83,38,8,77,1,118,6,16,1,332,0,2,0,4,2,4,3,197,4,16,0,14,1,0,1,6,1,11,0,13,5,8,3,150,0,1,0,2,0,1,1,6,0,0,0,0,0,0,1,5,2,5,0,12,2,2,0,9,0,14,0,48,6,14,2,306,64,190,2,251,24,19,12,303,3,6,2,16,13,5,9,107,10,12,0,11,2,1,0,3,2,12,0,14,3,5,3,41,63,92,2,136,16,3,5,103,1,4,2,7,5,5,6,107,92,131,4,120,3,3,3,42,124,109,8,286,95,43,86,813,Grade 1
Medial Femur of G1_11.jpg,348,118,10,71,221,21,86,202,4,3,0,1,66,6,84,105,115,26,1,3,28,0,10,17,75,9,1,8,245,11,157,171,8,3,0,2,2,0,1,5,1,0,0,0,1,1,2,3,87,13,3,4,11,0,3,6,165,13,3,11,387,10,209,139,207,22,2,13,58,0,18,19,4,1,0,0,29,0,11,7,11,0,0,0,2,0,0,0,7,1,0,0,14,0,7,1,80,4,4,8,29,0,11,3,2,0,0,0,10,0,8,7,224,9,6,5,12,1,8,2,310,10,2,7,314,0,100,25,6,88,0,134,1,4,0,282,0,1,0,5,6,6,2,170,1,5,0,18,0,1,1,10,2,11,0,10,6,7,0,136,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,9,0,14,0,0,0,12,3,5,0,20,10,5,4,153,67,236,1,315,22,15,8,303,1,3,0,7,9,8,5,117,3,10,0,2,0,0,0,1,0,7,0,7,10,6,6,31,84,154,0,207,8,4,10,119,1,6,0,1,1,3,9,95,133,175,4,134,5,2,5,21,173,136,3,181,120,37,75,592,Grade 1
Medial Femur of G1_12.jpg,389,109,9,74,258,10,95,173,7,3,0,1,96,6,65,95,129,21,0,8,24,0,7,8,81,13,0,5,246,7,104,129,8,2,0,4,8,0,5,3,1,0,0,0,1,1,3,4,77,7,2,6,11,0,5,7,195,18,1,14,451,4,196,129,248,15,3,13,88,3,23,14,3,0,0,1,14,0,11,2,10,2,0,0,2,0,2,0,7,1,0,0,10,1,3,1,100,13,1,9,25,1,8,9,0,0,0,0,11,0,4,4,225,7,2,6,14,0,4,2,362,3,5,5,372,4,97,30,6,60,0,146,4,5,1,274,0,0,0,5,6,5,2,146,6,14,0,11,0,1,0,4,6,6,0,9,5,12,4,120,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,4,1,6,0,6,0,0,0,8,3,16,0,26,10,5,2,228,85,202,1,339,9,17,12,262,2,8,0,2,8,6,4,115,8,10,0,6,0,0,0,4,6,7,0,11,10,3,3,21,56,89,1,168,11,5,6,92,2,2,0,4,9,2,10,61,122,124,4,119,4,0,2,35,173,144,3,236,111,32,74,627,Grade 1
Medial Femur of G1_13.jpg,390,147,9,82,210,15,89,193,8,4,0,0,89,3,79,123,153,36,3,15,20,0,2,14,82,9,0,6,224,17,155,184,13,3,0,2,6,0,2,3,0,0,0,0,2,0,2,2,84,7,4,9,6,0,4,6,181,18,0,15,316,6,198,125,186,21,4,13,53,0,21,19,5,0,0,0,17,0,16,4,16,1,0,0,3,0,0,0,5,0,0,0,11,0,4,1,71,13,0,8,17,1,7,6,3,1,1,0,12,0,10,2,219,12,4,6,16,0,7,4,264,5,3,5,320,0,137,27,7,68,0,150,0,8,1,240,0,3,0,1,4,9,0,169,0,10,0,12,0,0,1,6,3,6,0,18,6,2,3,123,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,11,2,12,0,0,0,4,4,8,1,26,5,4,4,172,85,230,2,290,15,12,17,264,3,1,0,2,8,4,8,122,2,11,0,8,0,0,1,0,7,8,0,3,9,3,5,39,90,154,2,179,10,8,8,111,2,2,0,5,13,6,10,113,159,174,3,126,4,2,7,31,197,126,7,155,119,36,113,606,Grade 1
Medial Femur of G1_14.jpg,340,112,10,74,215,15,88,209,9,3,1,2,77,4,72,120,110,22,2,7,24,1,7,12,84,12,0,5,273,11,161,140,9,1,0,5,4,1,3,5,1,0,0,1,0,0,2,4,91,15,1,5,15,0,4,3,173,15,2,12,534,10,209,140,222,19,2,15,66,2,19,14,1,0,0,0,20,0,17,3,15,0,0,0,1,0,0,1,5,0,0,1,12,1,2,1,90,5,1,5,26,1,6,5,2,0,0,0,7,1,6,4,193,11,5,4,25,0,3,3,231,11,4,4,372,0,111,32,4,77,1,136,1,3,1,219,1,3,0,4,3,3,0,135,1,10,0,16,0,0,0,5,2,6,0,11,6,8,5,120,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,1,6,0,9,0,0,1,3,4,20,0,17,9,16,6,206,63,244,4,378,12,10,9,310,2,5,0,9,6,4,7,122,1,7,0,7,0,0,0,3,3,11,0,9,8,3,4,40,69,124,1,165,7,10,4,105,1,4,0,6,3,3,5,88,102,138,1,115,1,3,4,33,139,134,2,174,117,33,103,645,Grade 1
Medial Femur of G1_15.jpg,442,138,15,87,207,19,89,185,12,4,1,0,88,2,74,97,130,23,4,10,18,1,8,7,72,21,2,7,254,13,150,128,9,6,0,6,10,0,4,6,0,0,0,0,1,0,1,4,85,11,2,3,14,0,12,7,155,13,0,13,481,7,258,120,216,29,8,10,46,3,16,9,2,0,0,0,15,1,10,3,15,2,0,1,1,0,0,0,10,0,0,1,7,0,9,0,84,11,0,14,20,0,14,8,1,1,0,0,14,0,7,2,176,11,3,5,17,0,10,4,225,7,6,7,284,1,109,21,12,82,1,135,1,6,1,180,0,5,0,3,1,6,1,168,1,13,0,14,0,0,0,7,3,13,0,13,7,11,7,142,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,9,2,9,0,4,0,0,0,5,4,12,1,24,12,7,7,182,79,238,1,436,15,15,4,270,2,1,0,15,13,6,6,107,10,15,1,9,1,0,0,2,3,6,0,9,6,5,2,39,65,127,3,204,9,1,15,96,0,4,0,5,4,6,6,124,99,124,3,118,5,1,5,20,157,119,9,168,114,36,102,608,Grade 1
Medial Femur of G1_16.jpg,382,160,10,101,182,24,99,251,9,2,0,0,93,6,93,172,142,23,2,11,13,0,4,13,76,6,1,13,209,8,131,160,7,4,0,4,3,1,0,5,0,0,0,0,1,0,3,4,62,14,2,7,6,0,4,7,158,11,2,18,242,6,157,117,193,17,3,10,57,1,12,13,4,0,0,0,30,1,9,6,16,1,0,0,3,0,0,0,6,0,0,0,16,0,7,2,61,4,3,4,16,1,6,4,0,1,0,0,10,1,9,5,251,7,5,11,9,0,5,3,283,6,6,9,243,3,111,38,14,94,0,149,4,8,4,371,0,2,0,2,1,6,3,223,3,14,0,17,0,0,0,10,0,5,0,9,6,5,2,143,0,5,0,2,0,0,0,2,0,0,0,0,0,0,0,6,0,5,0,14,0,0,1,10,1,13,0,17,3,3,3,167,78,222,2,254,21,12,8,311,1,6,0,1,8,7,13,123,7,11,0,4,1,0,0,1,5,2,0,9,2,6,3,28,84,134,2,164,15,7,5,118,5,1,0,4,8,5,6,119,159,149,4,149,5,2,3,32,188,117,5,163,132,27,124,609,Grade 1
Medial Femur of G1_17.jpg,339,88,5,80,228,27,84,238,6,0,0,0,103,5,62,129,119,20,3,6,13,1,5,11,63,13,1,4,197,10,122,136,4,4,0,0,3,0,0,10,0,0,0,0,1,1,0,5,60,13,5,10,5,0,0,12,161,15,3,14,270,5,163,140,230,9,2,5,73,0,17,18,2,0,0,0,17,0,7,4,24,0,0,0,3,0,0,1,13,1,0,1,13,0,1,0,73,4,3,7,17,0,8,4,0,0,0,0,9,1,3,4,230,10,4,8,12,0,10,5,398,6,5,8,284,0,127,36,13,95,0,189,8,12,3,529,4,0,0,5,4,6,1,192,3,11,0,12,0,0,0,9,1,8,0,10,1,11,0,149,0,2,0,6,0,0,1,6,0,0,0,0,0,0,0,3,1,6,0,8,0,1,0,11,4,7,0,14,1,6,1,214,101,199,3,288,20,14,5,358,1,4,0,4,11,5,7,117,4,10,0,3,1,0,0,1,6,8,0,8,2,2,1,21,77,80,2,150,4,3,4,121,4,3,0,4,8,0,9,77,173,138,1,130,5,0,4,46,171,133,1,181,110,17,78,556,Grade 1
Medial Femur of G1_18.jpg,330,102,14,70,209,11,91,220,7,1,0,0,100,5,68,124,126,22,2,20,19,1,6,8,70,9,1,2,284,5,142,161,7,3,2,1,5,0,2,4,0,0,0,0,1,0,2,1,85,10,1,4,11,0,5,9,200,10,2,15,452,7,250,139,183,13,1,18,75,1,24,8,7,0,0,0,16,0,10,3,11,0,0,0,2,0,0,0,10,0,0,0,15,0,4,3,79,6,2,6,21,0,3,2,3,1,0,1,16,1,8,3,188,9,3,5,10,0,4,4,343,6,1,7,349,3,126,30,9,62,0,169,5,7,1,331,0,1,0,1,0,3,1,172,1,9,0,17,0,0,0,7,4,5,0,7,6,6,2,149,0,1,0,2,0,0,0,5,0,0,0,1,0,0,0,2,1,4,0,12,0,0,0,8,3,10,1,26,3,4,3,173,68,219,0,360,21,12,12,325,2,1,0,5,4,7,12,118,4,5,0,7,1,0,0,3,5,5,0,6,5,5,3,28,75,127,3,178,10,6,7,96,0,4,0,2,3,3,3,71,111,120,0,122,2,0,1,14,150,127,5,162,120,42,108,550,Grade 1
