@relation 'LBP_ri Medial Femur ROI '

@attribute File {'Medial Femur of G1_1.jpg','Medial Femur of G1_10.jpg','Medial Femur of G1_11.jpg','Medial Femur of G1_12.jpg','Medial Femur of G1_13.jpg','Medial Femur of G1_14.jpg','Medial Femur of G1_15.jpg','Medial Femur of G1_16.jpg','Medial Femur of G1_17.jpg','Medial Femur of G1_18.jpg','Medial Femur of G1_2.jpg','Medial Femur of G1_3.jpg','Medial Femur of G1_4.jpg','Medial Femur of G1_5.jpg','Medial Femur of G1_6.jpg','Medial Femur of G1_7.jpg','Medial Femur of G1_8.jpg','Medial Femur of G1_9.jpg','Medial Femur of G2_1.jpg','Medial Femur of G2_10.jpg','Medial Femur of G2_11.jpg','Medial Femur of G2_12.jpg','Medial Femur of G2_13.jpg','Medial Femur of G2_14.jpg','Medial Femur of G2_15.jpg','Medial Femur of G2_16.jpg','Medial Femur of G2_17.jpg','Medial Femur of G2_18.jpg','Medial Femur of G2_19.jpg','Medial Femur of G2_2.jpg','Medial Femur of G2_20.jpg','Medial Femur of G2_21.jpg','Medial Femur of G2_3.jpg','Medial Femur of G2_4.jpg','Medial Femur of G2_5.jpg','Medial Femur of G2_6.jpg','Medial Femur of G2_7.jpg','Medial Femur of G2_8.jpg','Medial Femur of G2_9.jpg','Medial Femur of G3_1.jpg','Medial Femur of G3_10.jpg','Medial Femur of G3_11.jpg','Medial Femur of G3_12.jpg','Medial Femur of G3_13.jpg','Medial Femur of G3_14.jpg','Medial Femur of G3_15.jpg','Medial Femur of G3_16.jpg','Medial Femur of G3_17.jpg','Medial Femur of G3_18.jpg','Medial Femur of G3_19.jpg','Medial Femur of G3_2.jpg','Medial Femur of G3_20.jpg','Medial Femur of G3_21.jpg','Medial Femur of G3_22.jpg','Medial Femur of G3_23.jpg','Medial Femur of G3_24.jpg','Medial Femur of G3_25.jpg','Medial Femur of G3_26.jpg','Medial Femur of G3_27.jpg','Medial Femur of G3_28.jpg','Medial Femur of G3_29.jpg','Medial Femur of G3_3.jpg','Medial Femur of G3_30.jpg','Medial Femur of G3_31.jpg','Medial Femur of G3_32.jpg','Medial Femur of G3_33.jpg','Medial Femur of G3_34.jpg','Medial Femur of G3_35.jpg','Medial Femur of G3_36.jpg','Medial Femur of G3_37.jpg','Medial Femur of G3_38.jpg','Medial Femur of G3_39.jpg','Medial Femur of G3_4.jpg','Medial Femur of G3_40.jpg','Medial Femur of G3_41.jpg','Medial Femur of G3_42.jpg','Medial Femur of G3_43.jpg','Medial Femur of G3_44.jpg','Medial Femur of G3_5.jpg','Medial Femur of G3_6.jpg','Medial Femur of G3_7.jpg','Medial Femur of G3_8.jpg','Medial Femur of G3_9.jpg','Medial Femur of G4_1.jpg','Medial Femur of G4_2.jpg','Medial Femur of G4_3.jpg','Medial Femur of G4_4.jpg','Medial Femur of G4_5.jpg','Medial Femur of G4_6.jpg','Medial Femur of G4_7.jpg','Medial Femur of G4_8.jpg','Medial Femur of Nor_1.jpg','Medial Femur of Nor_10.jpg','Medial Femur of Nor_11.jpg','Medial Femur of Nor_12.jpg','Medial Femur of Nor_13.jpg','Medial Femur of Nor_14.jpg','Medial Femur of Nor_15.jpg','Medial Femur of Nor_16.jpg','Medial Femur of Nor_17.jpg','Medial Femur of Nor_18.jpg','Medial Femur of Nor_19.jpg','Medial Femur of Nor_2.jpg','Medial Femur of Nor_20.jpg','Medial Femur of Nor_21.jpg','Medial Femur of Nor_22.jpg','Medial Femur of Nor_23.jpg','Medial Femur of Nor_24.jpg','Medial Femur of Nor_25.jpg','Medial Femur of Nor_26.jpg','Medial Femur of Nor_27.jpg','Medial Femur of Nor_28.jpg','Medial Femur of Nor_29.jpg','Medial Femur of Nor_3.jpg','Medial Femur of Nor_30.jpg','Medial Femur of Nor_31.jpg','Medial Femur of Nor_32.jpg','Medial Femur of Nor_33.jpg','Medial Femur of Nor_34.jpg','Medial Femur of Nor_35.jpg','Medial Femur of Nor_36.jpg','Medial Femur of Nor_37.jpg','Medial Femur of Nor_38.jpg','Medial Femur of Nor_39.jpg','Medial Femur of Nor_4.jpg','Medial Femur of Nor_5.jpg','Medial Femur of Nor_6.jpg','Medial Femur of Nor_7.jpg','Medial Femur of Nor_8.jpg','Medial Femur of Nor_9.jpg'}
@attribute LBP_ri_1 numeric
@attribute LBP_ri_2 numeric
@attribute LBP_ri_3 numeric
@attribute LBP_ri_4 numeric
@attribute LBP_ri_5 numeric
@attribute LBP_ri_6 numeric
@attribute LBP_ri_7 numeric
@attribute LBP_ri_8 numeric
@attribute LBP_ri_9 numeric
@attribute LBP_ri_10 numeric
@attribute LBP_ri_11 numeric
@attribute LBP_ri_12 numeric
@attribute LBP_ri_13 numeric
@attribute LBP_ri_14 numeric
@attribute LBP_ri_15 numeric
@attribute LBP_ri_16 numeric
@attribute LBP_ri_17 numeric
@attribute LBP_ri_18 numeric
@attribute LBP_ri_19 numeric
@attribute LBP_ri_20 numeric
@attribute LBP_ri_21 numeric
@attribute LBP_ri_22 numeric
@attribute LBP_ri_23 numeric
@attribute LBP_ri_24 numeric
@attribute LBP_ri_25 numeric
@attribute LBP_ri_26 numeric
@attribute LBP_ri_27 numeric
@attribute LBP_ri_28 numeric
@attribute LBP_ri_29 numeric
@attribute LBP_ri_30 numeric
@attribute LBP_ri_31 numeric
@attribute LBP_ri_32 numeric
@attribute LBP_ri_33 numeric
@attribute LBP_ri_34 numeric
@attribute LBP_ri_35 numeric
@attribute LBP_ri_36 numeric
@attribute class {'Grade 1','Grade 2','Grade 3','Grade 4',Normal}

@data
'Medial Femur of G1_1.jpg',586,1089,612,82,994,59,62,53,1220,158,80,9,63,84,56,70,1112,2,79,6,3,49,39,4,75,61,44,913,0,2,6,30,85,78,1075,861,'Grade 1'
'Medial Femur of G1_10.jpg',468,946,608,82,1121,45,54,49,1389,143,74,8,73,84,56,73,1359,2,76,4,6,53,43,4,56,66,38,888,0,4,3,30,71,63,949,813,'Grade 1'
'Medial Femur of G1_11.jpg',348,689,620,83,1374,17,29,36,1843,84,75,2,65,73,52,59,1722,1,70,2,2,55,35,0,62,56,34,1001,0,1,0,12,52,37,618,592,'Grade 1'
'Medial Femur of G1_12.jpg',389,774,668,60,1308,29,36,39,1836,109,50,7,54,89,59,51,1570,0,69,5,2,35,28,0,64,65,29,927,0,1,1,22,40,41,717,627,'Grade 1'
'Medial Femur of G1_13.jpg',390,733,650,73,1366,25,32,28,1701,89,62,4,58,70,74,65,1685,0,70,3,2,35,30,1,69,71,31,989,0,1,1,22,36,43,686,606,'Grade 1'
'Medial Femur of G1_14.jpg',340,691,644,76,1369,15,27,38,1869,89,63,4,56,78,42,62,1608,1,76,2,0,51,23,0,60,58,38,964,0,2,3,23,47,28,709,645,'Grade 1'
'Medial Femur of G1_15.jpg',442,739,666,83,1282,36,39,40,1795,69,63,7,51,81,69,56,1593,0,63,0,2,58,43,3,71,62,44,925,0,2,1,34,43,39,692,608,'Grade 1'
'Medial Femur of G1_16.jpg',382,717,664,70,1417,25,25,39,1746,80,81,5,56,56,55,53,1595,1,74,1,1,42,26,2,63,69,32,1010,0,0,2,26,47,32,698,609,'Grade 1'
'Medial Femur of G1_17.jpg',339,693,659,73,1353,25,39,25,1989,97,60,4,59,68,43,64,1592,0,57,1,1,30,37,2,51,70,31,1027,0,1,3,10,42,30,670,556,'Grade 1'
'Medial Femur of G1_18.jpg',330,657,625,54,1423,25,31,44,1990,99,76,4,53,67,53,33,1705,0,61,0,1,32,16,1,58,59,31,997,0,2,2,21,35,38,628,550,'Grade 1'
'Medial Femur of G1_2.jpg',311,699,632,64,1314,25,34,43,2013,113,62,2,61,66,45,58,1709,0,49,0,0,32,23,2,63,57,35,1003,0,1,0,9,34,37,640,565,'Grade 1'
'Medial Femur of G1_3.jpg',458,775,684,80,1271,36,43,46,1671,101,54,2,52,103,72,55,1522,1,61,3,1,36,37,1,78,70,36,927,0,1,1,27,42,39,771,644,'Grade 1'
'Medial Femur of G1_4.jpg',354,767,648,52,1264,21,48,28,2241,80,57,1,44,50,39,52,1640,0,72,2,1,31,29,2,46,48,35,882,0,4,1,21,37,43,664,497,'Grade 1'
'Medial Femur of G1_5.jpg',359,637,671,66,1450,21,41,39,2001,72,79,4,54,50,59,53,1612,3,61,1,1,31,37,3,57,58,47,919,0,0,1,20,26,28,677,563,'Grade 1'
'Medial Femur of G1_6.jpg',412,749,640,56,1300,33,55,32,2061,72,83,0,59,63,38,48,1564,2,55,4,0,27,26,0,64,55,46,913,0,1,0,35,38,41,687,542,'Grade 1'
'Medial Femur of G1_7.jpg',325,639,691,70,1390,24,32,44,2211,65,51,3,40,61,53,44,1754,0,60,0,1,32,32,0,57,49,35,885,0,1,2,18,27,31,591,483,'Grade 1'
'Medial Femur of G1_8.jpg',371,645,649,61,1452,29,40,43,1984,77,51,3,37,79,49,48,1642,0,58,3,2,36,24,1,53,49,45,955,0,1,1,21,45,31,659,557,'Grade 1'
'Medial Femur of G1_9.jpg',533,1386,629,34,887,18,23,18,1093,364,106,7,54,88,56,39,942,0,83,1,0,16,11,2,57,79,14,782,0,0,0,19,17,225,1451,767,'Grade 1'
'Medial Femur of G2_1.jpg',328,647,592,81,1406,35,46,48,1859,87,47,3,57,70,44,67,1601,1,54,0,1,39,36,4,67,67,30,1056,0,1,1,26,37,30,709,624,'Grade 2'
'Medial Femur of G2_10.jpg',560,936,689,78,1094,45,69,55,1386,122,73,9,61,76,80,65,1194,7,80,4,5,55,38,3,75,85,58,935,0,1,4,36,69,54,914,786,'Grade 2'
'Medial Femur of G2_11.jpg',600,1147,636,74,972,59,47,55,1165,154,84,7,70,84,67,49,1078,7,105,5,3,51,35,3,82,84,48,902,1,5,2,43,84,77,1073,843,'Grade 2'
'Medial Femur of G2_12.jpg',337,662,614,57,1405,22,42,27,1951,78,76,3,56,62,49,52,1674,1,68,1,2,38,29,1,51,64,44,1041,0,0,0,18,30,40,624,582,'Grade 2'
'Medial Femur of G2_13.jpg',360,681,674,63,1399,25,44,41,1942,68,75,5,58,63,58,54,1669,0,63,0,0,39,35,2,66,63,28,986,0,0,0,24,32,29,607,548,'Grade 2'
'Medial Femur of G2_14.jpg',379,818,683,60,1289,31,41,39,1708,105,68,6,58,77,64,46,1550,1,65,3,2,48,30,2,52,55,34,952,0,1,1,20,32,51,783,647,'Grade 2'
'Medial Femur of G2_15.jpg',399,745,657,69,1239,28,49,36,1979,84,81,6,59,71,54,60,1536,0,57,4,1,28,31,0,42,58,46,973,0,1,0,18,35,56,744,555,'Grade 2'
'Medial Femur of G2_16.jpg',375,699,614,71,1370,31,48,30,1938,76,77,3,50,77,48,62,1694,1,74,0,0,49,28,2,58,51,38,946,0,1,0,24,24,26,691,525,'Grade 2'
'Medial Femur of G2_17.jpg',358,657,671,58,1396,19,33,26,2156,97,75,2,44,65,47,40,1704,0,60,2,0,26,29,0,53,51,30,903,0,1,1,15,24,40,646,472,'Grade 2'
