File,LCP_1,LCP_2,LCP_3,LCP_4,LCP_5,LCP_6,LCP_7,LCP_8,LCP_9,LCP_10,LCP_11,LCP_12,LCP_13,LCP_14,LCP_15,LCP_16,LCP_17,LCP_18,LCP_19,LCP_20,LCP_21,LCP_22,LCP_23,LCP_24,LCP_25,LCP_26,LCP_27,LCP_28,LCP_29,LCP_30,LCP_31,LCP_32,LCP_33,LCP_34,LCP_35,LCP_36,LCP_37,LCP_38,LCP_39,LCP_40,LCP_41,LCP_42,LCP_43,LCP_44,LCP_45,LCP_46,LCP_47,LCP_48,LCP_49,LCP_50,LCP_51,LCP_52,LCP_53,LCP_54,LCP_55,LCP_56,LCP_57,LCP_58,LCP_59,LCP_60,LCP_61,LCP_62,LCP_63,LCP_64,LCP_65,LCP_66,LCP_67,LCP_68,LCP_69,LCP_70,LCP_71,LCP_72,LCP_73,LCP_74,LCP_75,LCP_76,LCP_77,LCP_78,LCP_79,LCP_80,LCP_81,class
Medial Femur of G1_1.jpg,1.06E+00,4.66E-02,2.31E-01,8.10E-03,1.46E-01,8.10E-03,2.31E-01,4.66E-02,882,1.04E+00,6.07E-02,1.66E-01,4.48E-02,1.94E-01,4.48E-02,1.66E-01,6.07E-02,1007,1.03E+00,5.20E-02,5.45E-02,1.55E-02,2.26E-01,1.55E-02,5.45E-02,5.20E-02,520,1.01E+00,3.04E-02,1.67E-01,8.45E-02,7.24E-02,8.45E-02,1.67E-01,3.04E-02,536,1.00E+00,2.12E-02,3.37E-01,7.21E-02,1.23E-01,7.21E-02,3.37E-01,2.12E-02,559,9.89E-01,4.92E-02,1.36E-01,8.00E-02,1.22E-02,8.00E-02,1.36E-01,4.92E-02,591,9.76E-01,1.47E-02,9.26E-02,1.77E-02,3.59E-02,1.77E-02,9.26E-02,1.47E-02,573,9.66E-01,4.37E-02,1.30E-01,2.82E-02,4.69E-02,2.82E-02,1.30E-01,4.37E-02,1008,9.45E-01,4.28E-02,2.67E-01,5.44E-02,7.64E-02,5.44E-02,2.67E-01,4.28E-02,1076,Grade 1
Medial Femur of G1_10.jpg,1.05E+00,1.13E-01,2.97E-01,4.23E-02,4.25E-02,4.23E-02,2.97E-01,1.13E-01,841,1.03E+00,7.61E-02,1.89E-01,1.02E-01,2.05E-01,1.02E-01,1.89E-01,7.61E-02,882,1.02E+00,3.49E-02,9.41E-02,3.91E-02,3.32E-02,3.91E-02,9.41E-02,3.49E-02,584,1.01E+00,8.64E-02,1.21E-01,1.08E-01,9.07E-02,1.08E-01,1.21E-01,8.64E-02,631,1.00E+00,1.77E-02,2.57E-01,3.70E-02,1.55E-01,3.70E-02,2.57E-01,1.77E-02,609,9.91E-01,3.25E-02,9.29E-02,1.52E-01,1.10E-01,1.52E-01,9.29E-02,3.25E-02,607,9.80E-01,6.16E-02,9.24E-02,3.79E-02,1.76E-01,3.79E-02,9.24E-02,6.16E-02,693,9.70E-01,7.70E-02,1.73E-01,1.89E-02,6.40E-02,1.89E-02,1.73E-01,7.70E-02,1012,9.53E-01,4.01E-02,3.22E-01,5.70E-02,4.56E-03,5.70E-02,3.22E-01,4.01E-02,1015,Grade 1
Medial Femur of G1_11.jpg,1.05E+00,1.31E-01,5.23E-01,9.21E-02,4.25E-01,9.21E-02,5.23E-01,1.31E-01,821,1.03E+00,1.23E-01,4.19E-01,1.61E-01,2.74E-01,1.61E-01,4.19E-01,1.23E-01,836,1.03E+00,3.54E-02,1.61E-01,1.63E-01,1.55E-01,1.63E-01,1.61E-01,3.54E-02,671,1.02E+00,8.02E-02,1.36E-01,1.21E-01,9.50E-02,1.21E-01,1.36E-01,8.02E-02,676,1.00E+00,4.13E-02,5.14E-01,5.64E-02,2.49E-01,5.64E-02,5.14E-01,4.13E-02,763,9.89E-01,4.92E-02,1.75E-01,1.20E-01,2.08E-01,1.20E-01,1.75E-01,4.92E-02,829,9.76E-01,7.58E-02,1.84E-01,5.84E-02,1.48E-01,5.84E-02,1.84E-01,7.58E-02,855,9.70E-01,9.21E-02,4.84E-01,1.22E-01,4.00E-01,1.22E-01,4.84E-01,9.21E-02,846,9.51E-01,1.46E-01,6.58E-01,1.41E-01,7.58E-01,1.41E-01,6.58E-01,1.46E-01,944,Grade 1
Medial Femur of G1_12.jpg,1.06E+00,1.01E-01,5.84E-01,6.00E-02,1.96E-01,6.00E-02,5.84E-01,1.01E-01,828,1.04E+00,5.31E-02,3.40E-01,9.41E-02,1.10E-01,9.41E-02,3.40E-01,5.31E-02,928,1.03E+00,4.85E-02,1.41E-01,1.11E-01,2.43E-02,1.11E-01,1.41E-01,4.85E-02,643,1.02E+00,9.06E-03,1.81E-01,7.59E-02,7.37E-02,7.59E-02,1.81E-01,9.06E-03,596,1.00E+00,1.03E-02,4.80E-01,7.77E-02,8.15E-02,7.77E-02,4.80E-01,1.03E-02,662,9.84E-01,2.03E-02,2.21E-01,9.67E-02,1.47E-01,9.67E-02,2.21E-01,2.03E-02,666,9.72E-01,4.98E-02,1.87E-01,9.47E-02,7.26E-02,9.47E-02,1.87E-01,4.98E-02,748,9.58E-01,8.70E-02,3.52E-01,3.46E-02,2.02E-01,3.46E-02,3.52E-01,8.70E-02,996,9.38E-01,5.50E-03,5.40E-01,3.41E-02,4.32E-01,3.41E-02,5.40E-01,5.50E-03,1002,Grade 1
Medial Femur of G1_13.jpg,1.06E+00,3.90E-02,2.78E-01,8.95E-02,1.62E-01,8.95E-02,2.78E-01,3.90E-02,821,1.04E+00,1.60E-02,1.85E-01,3.45E-02,7.32E-02,3.45E-02,1.85E-01,1.60E-02,903,1.03E+00,3.05E-02,1.12E-01,1.03E-01,1.97E-01,1.03E-01,1.12E-01,3.05E-02,684,1.02E+00,1.58E-02,9.68E-02,6.30E-02,5.72E-02,6.30E-02,9.68E-02,1.58E-02,640,1.00E+00,3.35E-02,2.02E-01,1.58E-02,3.13E-02,1.58E-02,2.02E-01,3.35E-02,676,9.88E-01,6.96E-03,1.00E-01,8.26E-02,4.63E-02,8.26E-02,1.00E-01,6.96E-03,708,9.74E-01,1.02E-02,7.19E-02,1.18E-02,8.52E-02,1.18E-02,7.19E-02,1.02E-02,878,9.62E-01,2.38E-02,2.35E-01,2.31E-02,1.69E-01,2.31E-02,2.35E-01,2.38E-02,914,9.41E-01,8.03E-03,4.99E-01,3.92E-02,3.23E-02,3.92E-02,4.99E-01,8.03E-03,961,Grade 1
Medial Femur of G1_14.jpg,1.06E+00,6.45E-02,5.61E-01,3.08E-02,4.13E-02,3.08E-02,5.61E-01,6.45E-02,766,1.04E+00,1.84E-02,4.14E-01,3.91E-02,1.89E-02,3.91E-02,4.14E-01,1.84E-02,897,1.03E+00,6.22E-02,1.02E-01,1.39E-01,1.15E-01,1.39E-01,1.02E-01,6.22E-02,677,1.02E+00,2.26E-02,1.37E-01,6.11E-02,1.03E-01,6.11E-02,1.37E-01,2.26E-02,627,1.00E+00,7.82E-03,4.58E-01,1.07E-01,1.88E-01,1.07E-01,4.58E-01,7.82E-03,816,9.87E-01,4.20E-02,2.51E-01,4.42E-02,1.44E-01,4.42E-02,2.51E-01,4.20E-02,747,9.75E-01,4.35E-02,1.22E-01,6.43E-02,2.29E-02,6.43E-02,1.22E-01,4.35E-02,793,9.63E-01,6.86E-02,3.29E-01,3.48E-02,1.39E-01,3.48E-02,3.29E-01,6.86E-02,939,9.45E-01,3.52E-02,5.82E-01,1.38E-01,1.76E-02,1.38E-01,5.82E-01,3.52E-02,955,Grade 1
Medial Femur of G1_15.jpg,1.06E+00,9.74E-02,5.87E-01,6.33E-02,3.64E-01,6.33E-02,5.87E-01,9.74E-02,900,1.04E+00,5.82E-02,4.05E-01,1.26E-01,8.54E-02,1.26E-01,4.05E-01,5.82E-02,880,1.03E+00,3.54E-02,1.17E-01,1.14E-01,4.96E-02,1.14E-01,1.17E-01,3.54E-02,610,1.02E+00,6.50E-03,1.56E-01,9.33E-02,8.44E-03,9.33E-02,1.56E-01,6.50E-03,576,1.00E+00,2.13E-02,5.69E-01,7.95E-02,5.37E-02,7.95E-02,5.69E-01,2.13E-02,785,9.86E-01,5.10E-02,2.02E-01,1.02E-01,1.27E-01,1.02E-01,2.02E-01,5.10E-02,720,9.73E-01,7.45E-02,1.83E-01,9.08E-02,2.61E-02,9.08E-02,1.83E-01,7.45E-02,734,9.63E-01,1.03E-01,4.81E-01,1.10E-01,2.11E-01,1.10E-01,4.81E-01,1.03E-01,893,9.43E-01,1.04E-01,7.54E-01,1.08E-01,2.04E-01,1.08E-01,7.54E-01,1.04E-01,1007,Grade 1
Medial Femur of G1_16.jpg,1.06E+00,1.14E-01,4.22E-01,2.76E-01,3.82E-02,2.76E-01,4.22E-01,1.14E-01,865,1.04E+00,1.17E-01,2.11E-01,2.04E-02,2.10E-01,2.04E-02,2.11E-01,1.17E-01,841,1.03E+00,7.46E-02,1.08E-01,1.18E-01,2.12E-01,1.18E-01,1.08E-01,7.46E-02,687,1.02E+00,3.17E-02,1.01E-01,5.55E-02,1.42E-01,5.55E-02,1.01E-01,3.17E-02,600,1.00E+00,3.52E-03,3.23E-01,3.94E-02,1.82E-01,3.94E-02,3.23E-01,3.52E-03,670,9.88E-01,2.39E-02,1.38E-01,4.22E-02,1.80E-01,4.22E-02,1.38E-01,2.39E-02,735,9.76E-01,5.87E-02,1.02E-01,7.68E-02,2.19E-02,7.68E-02,1.02E-01,5.87E-02,850,9.63E-01,1.44E-01,1.91E-01,1.75E-01,1.57E-01,1.75E-01,1.91E-01,1.44E-01,871,9.45E-01,1.66E-01,5.92E-01,2.67E-01,5.13E-02,2.67E-01,5.92E-01,1.66E-01,995,Grade 1
Medial Femur of G1_17.jpg,1.05E+00,3.99E-02,5.35E-01,1.86E-01,3.14E-01,1.86E-01,5.35E-01,3.99E-02,773,1.04E+00,6.97E-02,4.20E-01,8.02E-02,4.83E-01,8.02E-02,4.20E-01,6.97E-02,865,1.03E+00,9.23E-02,1.46E-01,1.28E-01,5.27E-02,1.28E-01,1.46E-01,9.23E-02,677,1.02E+00,2.19E-02,2.24E-01,4.23E-02,9.60E-02,4.23E-02,2.24E-01,2.19E-02,736,1.00E+00,4.74E-02,5.04E-01,4.63E-02,2.67E-01,4.63E-02,5.04E-01,4.74E-02,861,9.87E-01,4.47E-02,2.43E-01,1.11E-01,1.22E-01,1.11E-01,2.43E-01,4.47E-02,748,9.75E-01,6.52E-02,2.02E-01,9.11E-02,1.21E-01,9.11E-02,2.02E-01,6.52E-02,806,9.64E-01,2.16E-02,4.34E-01,8.90E-02,1.03E-01,8.90E-02,4.34E-01,2.16E-02,885,9.46E-01,7.00E-02,6.46E-01,1.62E-01,6.22E-01,1.62E-01,6.46E-01,7.00E-02,931,Grade 1
Medial Femur of G1_18.jpg,1.05E+00,1.10E-01,5.54E-01,2.11E-01,4.74E-01,2.11E-01,5.54E-01,1.10E-01,706,1.04E+00,1.08E-01,4.85E-01,1.55E-01,9.40E-02,1.55E-01,4.85E-01,1.08E-01,801,1.03E+00,8.48E-02,2.23E-01,2.14E-01,2.18E-01,2.14E-01,2.23E-01,8.48E-02,726,1.02E+00,8.09E-02,2.46E-01,1.05E-01,2.43E-01,1.05E-01,2.46E-01,8.09E-02,782,1.00E+00,1.39E-02,4.72E-01,4.80E-02,5.16E-01,4.80E-02,4.72E-01,1.39E-02,969,9.88E-01,4.52E-02,2.39E-01,2.99E-02,1.35E-02,2.99E-02,2.39E-01,4.52E-02,880,9.75E-01,1.16E-01,2.61E-01,1.00E-01,2.23E-01,1.00E-01,2.61E-01,1.16E-01,867,9.66E-01,1.70E-01,4.56E-01,1.13E-01,3.95E-01,1.13E-01,4.56E-01,1.70E-01,866,9.50E-01,1.01E-01,8.22E-01,3.71E-01,3.26E-01,3.71E-01,8.22E-01,1.01E-01,825,Grade 1
