@relation 'LCP Medial Femur ROI '

@attribute File {'Medial Femur of G1_1.jpg','Medial Femur of G1_10.jpg','Medial Femur of G1_11.jpg','Medial Femur of G1_12.jpg','Medial Femur of G1_13.jpg','Medial Femur of G1_14.jpg','Medial Femur of G1_15.jpg','Medial Femur of G1_16.jpg','Medial Femur of G1_17.jpg','Medial Femur of G1_18.jpg','Medial Femur of G1_2.jpg','Medial Femur of G1_3.jpg','Medial Femur of G1_4.jpg','Medial Femur of G1_5.jpg','Medial Femur of G1_6.jpg','Medial Femur of G1_7.jpg','Medial Femur of G1_8.jpg','Medial Femur of G1_9.jpg','Medial Femur of G2_1.jpg','Medial Femur of G2_10.jpg','Medial Femur of G2_11.jpg','Medial Femur of G2_12.jpg','Medial Femur of G2_13.jpg','Medial Femur of G2_14.jpg','Medial Femur of G2_15.jpg','Medial Femur of G2_16.jpg','Medial Femur of G2_17.jpg','Medial Femur of G2_18.jpg','Medial Femur of G2_19.jpg','Medial Femur of G2_2.jpg','Medial Femur of G2_20.jpg','Medial Femur of G2_21.jpg','Medial Femur of G2_3.jpg','Medial Femur of G2_4.jpg','Medial Femur of G2_5.jpg','Medial Femur of G2_6.jpg','Medial Femur of G2_7.jpg','Medial Femur of G2_8.jpg','Medial Femur of G2_9.jpg','Medial Femur of G3_1.jpg','Medial Femur of G3_10.jpg','Medial Femur of G3_11.jpg','Medial Femur of G3_12.jpg','Medial Femur of G3_13.jpg','Medial Femur of G3_14.jpg','Medial Femur of G3_15.jpg','Medial Femur of G3_16.jpg','Medial Femur of G3_17.jpg','Medial Femur of G3_18.jpg','Medial Femur of G3_19.jpg','Medial Femur of G3_2.jpg','Medial Femur of G3_20.jpg','Medial Femur of G3_21.jpg','Medial Femur of G3_22.jpg','Medial Femur of G3_23.jpg','Medial Femur of G3_24.jpg','Medial Femur of G3_25.jpg','Medial Femur of G3_26.jpg','Medial Femur of G3_27.jpg','Medial Femur of G3_28.jpg','Medial Femur of G3_29.jpg','Medial Femur of G3_3.jpg','Medial Femur of G3_30.jpg','Medial Femur of G3_31.jpg','Medial Femur of G3_32.jpg','Medial Femur of G3_33.jpg','Medial Femur of G3_34.jpg','Medial Femur of G3_35.jpg','Medial Femur of G3_36.jpg','Medial Femur of G3_37.jpg','Medial Femur of G3_38.jpg','Medial Femur of G3_39.jpg','Medial Femur of G3_4.jpg','Medial Femur of G3_40.jpg','Medial Femur of G3_41.jpg','Medial Femur of G3_42.jpg','Medial Femur of G3_43.jpg','Medial Femur of G3_44.jpg','Medial Femur of G3_5.jpg','Medial Femur of G3_6.jpg','Medial Femur of G3_7.jpg','Medial Femur of G3_8.jpg','Medial Femur of G3_9.jpg','Medial Femur of G4_1.jpg','Medial Femur of G4_2.jpg','Medial Femur of G4_3.jpg','Medial Femur of G4_4.jpg','Medial Femur of G4_5.jpg','Medial Femur of G4_6.jpg','Medial Femur of G4_7.jpg','Medial Femur of G4_8.jpg','Medial Femur of Nor_1.jpg','Medial Femur of Nor_10.jpg','Medial Femur of Nor_11.jpg','Medial Femur of Nor_12.jpg','Medial Femur of Nor_13.jpg','Medial Femur of Nor_14.jpg','Medial Femur of Nor_15.jpg','Medial Femur of Nor_16.jpg','Medial Femur of Nor_17.jpg','Medial Femur of Nor_18.jpg','Medial Femur of Nor_19.jpg','Medial Femur of Nor_2.jpg','Medial Femur of Nor_20.jpg','Medial Femur of Nor_21.jpg','Medial Femur of Nor_22.jpg','Medial Femur of Nor_23.jpg','Medial Femur of Nor_24.jpg','Medial Femur of Nor_25.jpg','Medial Femur of Nor_26.jpg','Medial Femur of Nor_27.jpg','Medial Femur of Nor_28.jpg','Medial Femur of Nor_29.jpg','Medial Femur of Nor_3.jpg','Medial Femur of Nor_30.jpg','Medial Femur of Nor_31.jpg','Medial Femur of Nor_32.jpg','Medial Femur of Nor_33.jpg','Medial Femur of Nor_34.jpg','Medial Femur of Nor_35.jpg','Medial Femur of Nor_36.jpg','Medial Femur of Nor_37.jpg','Medial Femur of Nor_38.jpg','Medial Femur of Nor_39.jpg','Medial Femur of Nor_4.jpg','Medial Femur of Nor_5.jpg','Medial Femur of Nor_6.jpg','Medial Femur of Nor_7.jpg','Medial Femur of Nor_8.jpg','Medial Femur of Nor_9.jpg'}
@attribute LCP_1 numeric
@attribute LCP_2 numeric
@attribute LCP_3 numeric
@attribute LCP_4 numeric
@attribute LCP_5 numeric
@attribute LCP_6 numeric
@attribute LCP_7 numeric
@attribute LCP_8 numeric
@attribute LCP_9 numeric
@attribute LCP_10 numeric
@attribute LCP_11 numeric
@attribute LCP_12 numeric
@attribute LCP_13 numeric
@attribute LCP_14 numeric
@attribute LCP_15 numeric
@attribute LCP_16 numeric
@attribute LCP_17 numeric
@attribute LCP_18 numeric
@attribute LCP_19 numeric
@attribute LCP_20 numeric
@attribute LCP_21 numeric
@attribute LCP_22 numeric
@attribute LCP_23 numeric
@attribute LCP_24 numeric
@attribute LCP_25 numeric
@attribute LCP_26 numeric
@attribute LCP_27 numeric
@attribute LCP_28 numeric
@attribute LCP_29 numeric
@attribute LCP_30 numeric
@attribute LCP_31 numeric
@attribute LCP_32 numeric
@attribute LCP_33 numeric
@attribute LCP_34 numeric
@attribute LCP_35 numeric
@attribute LCP_36 numeric
@attribute LCP_37 numeric
@attribute LCP_38 numeric
@attribute LCP_39 numeric
@attribute LCP_40 numeric
@attribute LCP_41 numeric
@attribute LCP_42 numeric
@attribute LCP_43 numeric
@attribute LCP_44 numeric
@attribute LCP_45 numeric
@attribute LCP_46 numeric
@attribute LCP_47 numeric
@attribute LCP_48 numeric
@attribute LCP_49 numeric
@attribute LCP_50 numeric
@attribute LCP_51 numeric
@attribute LCP_52 numeric
@attribute LCP_53 numeric
@attribute LCP_54 numeric
@attribute LCP_55 numeric
@attribute LCP_56 numeric
@attribute LCP_57 numeric
@attribute LCP_58 numeric
@attribute LCP_59 numeric
@attribute LCP_60 numeric
@attribute LCP_61 numeric
@attribute LCP_62 numeric
@attribute LCP_63 numeric
@attribute LCP_64 numeric
@attribute LCP_65 numeric
@attribute LCP_66 numeric
@attribute LCP_67 numeric
@attribute LCP_68 numeric
@attribute LCP_69 numeric
@attribute LCP_70 numeric
@attribute LCP_71 numeric
@attribute LCP_72 numeric
@attribute LCP_73 numeric
@attribute LCP_74 numeric
@attribute LCP_75 numeric
@attribute LCP_76 numeric
@attribute LCP_77 numeric
@attribute LCP_78 numeric
@attribute LCP_79 numeric
@attribute LCP_80 numeric
@attribute LCP_81 numeric
@attribute class {'Grade 1','Grade 2','Grade 3','Grade 4',Normal}

@data
'Medial Femur of G1_1.jpg',1.06,0.0466,0.231,0.0081,0.146,0.0081,0.231,0.0466,882,1.04,0.0607,0.166,0.0448,0.194,0.0448,0.166,0.0607,1007,1.03,0.052,0.0545,0.0155,0.226,0.0155,0.0545,0.052,520,1.01,0.0304,0.167,0.0845,0.0724,0.0845,0.167,0.0304,536,1,0.0212,0.337,0.0721,0.123,0.0721,0.337,0.0212,559,0.989,0.0492,0.136,0.08,0.0122,0.08,0.136,0.0492,591,0.976,0.0147,0.0926,0.0177,0.0359,0.0177,0.0926,0.0147,573,0.966,0.0437,0.13,0.0282,0.0469,0.0282,0.13,0.0437,1008,0.945,0.0428,0.267,0.0544,0.0764,0.0544,0.267,0.0428,1076,'Grade 1'
'Medial Femur of G1_10.jpg',1.05,0.113,0.297,0.0423,0.0425,0.0423,0.297,0.113,841,1.03,0.0761,0.189,0.102,0.205,0.102,0.189,0.0761,882,1.02,0.0349,0.0941,0.0391,0.0332,0.0391,0.0941,0.0349,584,1.01,0.0864,0.121,0.108,0.0907,0.108,0.121,0.0864,631,1,0.0177,0.257,0.037,0.155,0.037,0.257,0.0177,609,0.991,0.0325,0.0929,0.152,0.11,0.152,0.0929,0.0325,607,0.98,0.0616,0.0924,0.0379,0.176,0.0379,0.0924,0.0616,693,0.97,0.077,0.173,0.0189,0.064,0.0189,0.173,0.077,1012,0.953,0.0401,0.322,0.057,0.00456,0.057,0.322,0.0401,1015,'Grade 1'
'Medial Femur of G1_11.jpg',1.05,0.131,0.523,0.0921,0.425,0.0921,0.523,0.131,821,1.03,0.123,0.419,0.161,0.274,0.161,0.419,0.123,836,1.03,0.0354,0.161,0.163,0.155,0.163,0.161,0.0354,671,1.02,0.0802,0.136,0.121,0.095,0.121,0.136,0.0802,676,1,0.0413,0.514,0.0564,0.249,0.0564,0.514,0.0413,763,0.989,0.0492,0.175,0.12,0.208,0.12,0.175,0.0492,829,0.976,0.0758,0.184,0.0584,0.148,0.0584,0.184,0.0758,855,0.97,0.0921,0.484,0.122,0.4,0.122,0.484,0.0921,846,0.951,0.146,0.658,0.141,0.758,0.141,0.658,0.146,944,'Grade 1'
'Medial Femur of G1_12.jpg',1.06,0.101,0.584,0.06,0.196,0.06,0.584,0.101,828,1.04,0.0531,0.34,0.0941,0.11,0.0941,0.34,0.0531,928,1.03,0.0485,0.141,0.111,0.0243,0.111,0.141,0.0485,643,1.02,0.00906,0.181,0.0759,0.0737,0.0759,0.181,0.00906,596,1,0.0103,0.48,0.0777,0.0815,0.0777,0.48,0.0103,662,0.984,0.0203,0.221,0.0967,0.147,0.0967,0.221,0.0203,666,0.972,0.0498,0.187,0.0947,0.0726,0.0947,0.187,0.0498,748,0.958,0.087,0.352,0.0346,0.202,0.0346,0.352,0.087,996,0.938,0.0055,0.54,0.0341,0.432,0.0341,0.54,0.0055,1002,'Grade 1'
'Medial Femur of G1_13.jpg',1.06,0.039,0.278,0.0895,0.162,0.0895,0.278,0.039,821,1.04,0.016,0.185,0.0345,0.0732,0.0345,0.185,0.016,903,1.03,0.0305,0.112,0.103,0.197,0.103,0.112,0.0305,684,1.02,0.0158,0.0968,0.063,0.0572,0.063,0.0968,0.0158,640,1,0.0335,0.202,0.0158,0.0313,0.0158,0.202,0.0335,676,0.988,0.00696,0.1,0.0826,0.0463,0.0826,0.1,0.00696,708,0.974,0.0102,0.0719,0.0118,0.0852,0.0118,0.0719,0.0102,878,0.962,0.0238,0.235,0.0231,0.169,0.0231,0.235,0.0238,914,0.941,0.00803,0.499,0.0392,0.0323,0.0392,0.499,0.00803,961,'Grade 1'
'Medial Femur of G1_14.jpg',1.06,0.0645,0.561,0.0308,0.0413,0.0308,0.561,0.0645,766,1.04,0.0184,0.414,0.0391,0.0189,0.0391,0.414,0.0184,897,1.03,0.0622,0.102,0.139,0.115,0.139,0.102,0.0622,677,1.02,0.0226,0.137,0.0611,0.103,0.0611,0.137,0.0226,627,1,0.00782,0.458,0.107,0.188,0.107,0.458,0.00782,816,0.987,0.042,0.251,0.0442,0.144,0.0442,0.251,0.042,747,0.975,0.0435,0.122,0.0643,0.0229,0.0643,0.122,0.0435,793,0.963,0.0686,0.329,0.0348,0.139,0.0348,0.329,0.0686,939,0.945,0.0352,0.582,0.138,0.0176,0.138,0.582,0.0352,955,'Grade 1'
'Medial Femur of G1_15.jpg',1.06,0.0974,0.587,0.0633,0.364,0.0633,0.587,0.0974,900,1.04,0.0582,0.405,0.126,0.0854,0.126,0.405,0.0582,880,1.03,0.0354,0.117,0.114,0.0496,0.114,0.117,0.0354,610,1.02,0.0065,0.156,0.0933,0.00844,0.0933,0.156,0.0065,576,1,0.0213,0.569,0.0795,0.0537,0.0795,0.569,0.0213,785,0.986,0.051,0.202,0.102,0.127,0.102,0.202,0.051,720,0.973,0.0745,0.183,0.0908,0.0261,0.0908,0.183,0.0745,734,0.963,0.103,0.481,0.11,0.211,0.11,0.481,0.103,893,0.943,0.104,0.754,0.108,0.204,0.108,0.754,0.104,1007,'Grade 1'
'Medial Femur of G1_16.jpg',1.06,0.114,0.422,0.276,0.0382,0.276,0.422,0.114,865,1.04,0.117,0.211,0.0204,0.21,0.0204,0.211,0.117,841,1.03,0.0746,0.108,0.118,0.212,0.118,0.108,0.0746,687,1.02,0.0317,0.101,0.0555,0.142,0.0555,0.101,0.0317,600,1,0.00352,0.323,0.0394,0.182,0.0394,0.323,0.00352,670,0.988,0.0239,0.138,0.0422,0.18,0.0422,0.138,0.0239,735,0.976,0.0587,0.102,0.0768,0.0219,0.0768,0.102,0.0587,850,0.963,0.144,0.191,0.175,0.157,0.175,0.191,0.144,871,0.945,0.166,0.592,0.267,0.0513,0.267,0.592,0.166,995,'Grade 1'
'Medial Femur of G1_17.jpg',1.05,0.0399,0.535,0.186,0.314,0.186,0.535,0.0399,773,1.04,0.0697,0.42,0.0802,0.483,0.0802,0.42,0.0697,865,1.03,0.0923,0.146,0.128,0.0527,0.128,0.146,0.0923,677,1.02,0.0219,0.224,0.0423,0.096,0.0423,0.224,0.0219,736,1,0.0474,0.504,0.0463,0.267,0.0463,0.504,0.0474,861,0.987,0.0447,0.243,0.111,0.122,0.111,0.243,0.0447,748,0.975,0.0652,0.202,0.0911,0.121,0.0911,0.202,0.0652,806,0.964,0.0216,0.434,0.089,0.103,0.089,0.434,0.0216,885,0.946,0.07,0.646,0.162,0.622,0.162,0.646,0.07,931,'Grade 1'
'Medial Femur of G1_18.jpg',1.05,0.11,0.554,0.211,0.474,0.211,0.554,0.11,706,1.04,0.108,0.485,0.155,0.094,0.155,0.485,0.108,801,1.03,0.0848,0.223,0.214,0.218,0.214,0.223,0.0848,726,1.02,0.0809,0.246,0.105,0.243,0.105,0.246,0.0809,782,1,0.0139,0.472,0.048,0.516,0.048,0.472,0.0139,969,0.988,0.0452,0.239,0.0299,0.0135,0.0299,0.239,0.0452,880,0.975,0.116,0.261,0.1,0.223,0.1,0.261,0.116,867,0.966,0.17,0.456,0.113,0.395,0.113,0.456,0.17,866,0.95,0.101,0.822,0.371,0.326,0.371,0.822,0.101,825,'Grade 1'
