@relation 'Haralick Medial Femur ROI '

@attribute File {'Medial Femur of G1_1.jpg','Medial Femur of G1_10.jpg','Medial Femur of G1_11.jpg','Medial Femur of G1_12.jpg','Medial Femur of G1_13.jpg','Medial Femur of G1_14.jpg','Medial Femur of G1_15.jpg','Medial Femur of G1_16.jpg','Medial Femur of G1_17.jpg','Medial Femur of G1_18.jpg','Medial Femur of G1_2.jpg','Medial Femur of G1_3.jpg','Medial Femur of G1_4.jpg','Medial Femur of G1_5.jpg','Medial Femur of G1_6.jpg','Medial Femur of G1_7.jpg','Medial Femur of G1_8.jpg','Medial Femur of G1_9.jpg','Medial Femur of G2_1.jpg','Medial Femur of G2_10.jpg','Medial Femur of G2_11.jpg','Medial Femur of G2_12.jpg','Medial Femur of G2_13.jpg','Medial Femur of G2_14.jpg','Medial Femur of G2_15.jpg','Medial Femur of G2_16.jpg','Medial Femur of G2_17.jpg','Medial Femur of G2_18.jpg','Medial Femur of G2_19.jpg','Medial Femur of G2_2.jpg','Medial Femur of G2_20.jpg','Medial Femur of G2_21.jpg','Medial Femur of G2_3.jpg','Medial Femur of G2_4.jpg','Medial Femur of G2_5.jpg','Medial Femur of G2_6.jpg','Medial Femur of G2_7.jpg','Medial Femur of G2_8.jpg','Medial Femur of G2_9.jpg','Medial Femur of G3_1.jpg','Medial Femur of G3_10.jpg','Medial Femur of G3_11.jpg','Medial Femur of G3_12.jpg','Medial Femur of G3_13.jpg','Medial Femur of G3_14.jpg','Medial Femur of G3_15.jpg','Medial Femur of G3_16.jpg','Medial Femur of G3_17.jpg','Medial Femur of G3_18.jpg','Medial Femur of G3_19.jpg','Medial Femur of G3_2.jpg','Medial Femur of G3_20.jpg','Medial Femur of G3_21.jpg','Medial Femur of G3_22.jpg','Medial Femur of G3_23.jpg','Medial Femur of G3_24.jpg','Medial Femur of G3_25.jpg','Medial Femur of G3_26.jpg','Medial Femur of G3_27.jpg','Medial Femur of G3_28.jpg','Medial Femur of G3_29.jpg','Medial Femur of G3_3.jpg','Medial Femur of G3_30.jpg','Medial Femur of G3_31.jpg','Medial Femur of G3_32.jpg','Medial Femur of G3_33.jpg','Medial Femur of G3_34.jpg','Medial Femur of G3_35.jpg','Medial Femur of G3_36.jpg','Medial Femur of G3_37.jpg','Medial Femur of G3_38.jpg','Medial Femur of G3_39.jpg','Medial Femur of G3_4.jpg','Medial Femur of G3_40.jpg','Medial Femur of G3_41.jpg','Medial Femur of G3_42.jpg','Medial Femur of G3_43.jpg','Medial Femur of G3_44.jpg','Medial Femur of G3_5.jpg','Medial Femur of G3_6.jpg','Medial Femur of G3_7.jpg','Medial Femur of G3_8.jpg','Medial Femur of G3_9.jpg','Medial Femur of G4_1.jpg','Medial Femur of G4_2.jpg','Medial Femur of G4_3.jpg','Medial Femur of G4_4.jpg','Medial Femur of G4_5.jpg','Medial Femur of G4_6.jpg','Medial Femur of G4_7.jpg','Medial Femur of G4_8.jpg','Medial Femur of Nor_1.jpg','Medial Femur of Nor_10.jpg','Medial Femur of Nor_11.jpg','Medial Femur of Nor_12.jpg','Medial Femur of Nor_13.jpg','Medial Femur of Nor_14.jpg','Medial Femur of Nor_15.jpg','Medial Femur of Nor_16.jpg','Medial Femur of Nor_17.jpg','Medial Femur of Nor_18.jpg','Medial Femur of Nor_19.jpg','Medial Femur of Nor_2.jpg','Medial Femur of Nor_20.jpg','Medial Femur of Nor_21.jpg','Medial Femur of Nor_22.jpg','Medial Femur of Nor_23.jpg','Medial Femur of Nor_24.jpg','Medial Femur of Nor_25.jpg','Medial Femur of Nor_26.jpg','Medial Femur of Nor_27.jpg','Medial Femur of Nor_28.jpg','Medial Femur of Nor_29.jpg','Medial Femur of Nor_3.jpg','Medial Femur of Nor_30.jpg','Medial Femur of Nor_31.jpg','Medial Femur of Nor_32.jpg','Medial Femur of Nor_33.jpg','Medial Femur of Nor_34.jpg','Medial Femur of Nor_35.jpg','Medial Femur of Nor_36.jpg','Medial Femur of Nor_37.jpg','Medial Femur of Nor_38.jpg','Medial Femur of Nor_39.jpg','Medial Femur of Nor_4.jpg','Medial Femur of Nor_5.jpg','Medial Femur of Nor_6.jpg','Medial Femur of Nor_7.jpg','Medial Femur of Nor_8.jpg','Medial Femur of Nor_9.jpg'}
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute Feature_4 numeric
@attribute Feature_5 numeric
@attribute Feature_6 numeric
@attribute Feature_7 numeric
@attribute Feature_8 numeric
@attribute Feature_9 numeric
@attribute Feature_10 numeric
@attribute Feature_11 numeric
@attribute Feature_12 numeric
@attribute Feature_13 numeric
@attribute Feature_14 numeric
@attribute class {'Grade 1','Grade 2','Grade 3','Grade 4',Normal}

@data
'Medial Femur of G1_1.jpg',0.376,0.163,0.688,31.2,0.918,11.2,125,1.07,1.7,0.138,0.445,-0.368,0.732,0.361,'Grade 1'
'Medial Femur of G1_10.jpg',0.392,0.121,0.78,30.5,0.94,11,123,1.05,1.63,0.106,0.368,-0.492,0.81,0.422,'Grade 1'
'Medial Femur of G1_11.jpg',0.488,0.104,0.834,32.3,0.948,11.3,130,1.02,1.57,0.0938,0.334,-0.547,0.833,0.245,'Grade 1'
'Medial Femur of G1_12.jpg',0.531,0.134,0.687,24,0.933,9.79,96.5,0.979,1.55,0.116,0.395,-0.384,0.722,0.191,'Grade 1'
'Medial Femur of G1_13.jpg',0.38,0.201,0.565,28.7,0.899,10.7,115,1.02,1.67,0.167,0.502,-0.248,0.614,0.316,'Grade 1'
'Medial Femur of G1_14.jpg',0.413,0.107,0.814,21.1,0.947,9.16,85,1.06,1.63,0.0958,0.34,-0.537,0.836,0.367,'Grade 1'
'Medial Femur of G1_15.jpg',0.243,0.242,0.757,39.4,0.879,12.5,158,1.49,2.39,0.198,0.556,-0.389,0.828,0.316,'Grade 1'
'Medial Femur of G1_16.jpg',0.514,0.113,0.835,32.9,0.943,11.4,132,1.05,1.62,0.101,0.353,-0.523,0.826,0.197,'Grade 1'
'Medial Femur of G1_17.jpg',0.341,0.149,0.81,30,0.925,10.9,121,1.27,1.98,0.128,0.421,-0.497,0.854,0.364,'Grade 1'
'Medial Femur of G1_18.jpg',0.436,0.145,0.82,33.4,0.928,11.5,134,1.23,1.92,0.125,0.415,-0.51,0.855,0.195,'Grade 1'
'Medial Femur of G1_2.jpg',0.464,0.175,0.57,22.6,0.912,9.49,90.7,0.946,1.54,0.147,0.464,-0.259,0.607,0.258,'Grade 1'
'Medial Femur of G1_3.jpg',0.338,0.237,0.656,23.4,0.881,9.64,94.1,1.34,2.17,0.194,0.549,-0.303,0.734,0.235,'Grade 1'
'Medial Femur of G1_4.jpg',0.222,0.284,0.714,26.7,0.859,10.3,107,1.55,2.52,0.229,0.6,-0.328,0.793,0.277,'Grade 1'
'Medial Femur of G1_5.jpg',0.241,0.212,0.82,25.3,0.894,9.97,102,1.56,2.47,0.174,0.517,-0.486,0.891,0.234,'Grade 1'
'Medial Femur of G1_6.jpg',0.31,0.252,0.733,33.1,0.875,11.5,133,1.48,2.39,0.205,0.567,-0.353,0.8,0.223,'Grade 1'
'Medial Femur of G1_7.jpg',0.262,0.241,0.722,28.6,0.88,10.7,115,1.44,2.32,0.196,0.553,-0.354,0.795,0.337,'Grade 1'
'Medial Femur of G1_8.jpg',0.319,0.145,0.834,29.1,0.928,10.7,117,1.36,2.11,0.124,0.413,-0.534,0.886,0.382,'Grade 1'
'Medial Femur of G1_9.jpg',0.16,0.369,0.784,19.3,0.822,8.63,77.5,1.88,3.11,0.295,0.677,-0.36,0.862,0.224,'Grade 1'
'Medial Femur of G2_1.jpg',0.374,0.154,0.697,29.7,0.923,10.9,119,1.04,1.65,0.131,0.429,-0.383,0.737,0.397,'Grade 2'
'Medial Femur of G2_10.jpg',0.364,0.227,0.517,31.9,0.886,11.3,128,1.04,1.73,0.186,0.536,-0.204,0.571,0.305,'Grade 2'
'Medial Femur of G2_11.jpg',0.482,0.182,0.539,18,0.909,8.47,72.3,0.933,1.53,0.152,0.475,-0.231,0.573,0.24,'Grade 2'
'Medial Femur of G2_12.jpg',0.574,0.128,0.619,26.6,0.936,10.3,107,0.83,1.32,0.111,0.382,-0.324,0.633,0.208,'Grade 2'
'Medial Femur of G2_13.jpg',0.348,0.192,0.74,21.5,0.904,9.23,86.4,1.3,2.07,0.16,0.49,-0.391,0.796,0.294,'Grade 2'
'Medial Femur of G2_14.jpg',0.373,0.195,0.596,31.7,0.902,11.2,127,1.05,1.7,0.162,0.494,-0.274,0.647,0.33,'Grade 2'
'Medial Femur of G2_15.jpg',0.316,0.222,0.617,30.2,0.889,11,121,1.2,1.96,0.182,0.53,-0.282,0.689,0.372,'Grade 2'
'Medial Femur of G2_16.jpg',0.283,0.207,0.747,28,0.896,10.5,113,1.38,2.19,0.171,0.511,-0.396,0.813,0.338,'Grade 2'
'Medial Femur of G2_17.jpg',0.218,0.265,0.751,27.2,0.868,10.4,109,1.57,2.54,0.215,0.58,-0.369,0.826,0.285,'Grade 2'
'Medial Femur of G2_18.jpg',0.301,0.219,0.678,29.4,0.89,10.8,118,1.29,2.08,0.18,0.526,-0.33,0.749,0.364,'Grade 2'
'Medial Femur of G2_19.jpg',0.341,0.174,0.788,25.2,0.913,9.99,101,1.37,2.16,0.146,0.463,-0.46,0.851,0.202,'Grade 2'
'Medial Femur of G2_2.jpg',0.31,0.238,0.599,29.3,0.882,10.8,118,1.23,2.01,0.194,0.55,-0.26,0.672,0.349,'Grade 2'
