File,Mean1,Variance2,Skewness3,Kurtosis4,Energy5,Entropy6,class
Medial Tibia of G1_1.jpg,5.23E+00,1.20E+00,-1.01E-01,2.96E+00,2.57E-01,1.51E+00,Grade 1
Medial Tibia of G1_10.jpg,4.99E+00,1.56E+00,-3.75E-02,2.84E+00,2.27E-01,1.64E+00,Grade 1
Medial Tibia of G1_11.jpg,4.77E+00,1.47E+00,1.05E-01,2.82E+00,2.31E-01,1.61E+00,Grade 1
Medial Tibia of G1_12.jpg,5.15E+00,1.33E+00,6.92E-02,3.11E+00,2.49E-01,1.56E+00,Grade 1
Medial Tibia of G1_13.jpg,4.78E+00,1.27E+00,2.88E-01,3.11E+00,2.55E-01,1.53E+00,Grade 1
Medial Tibia of G1_14.jpg,4.51E+00,1.72E+00,4.44E-01,2.95E+00,2.19E-01,1.66E+00,Grade 1
Medial Tibia of G1_15.jpg,5.54E+00,1.05E+00,-2.96E-02,3.03E+00,2.76E-01,1.44E+00,Grade 1
Medial Tibia of G1_16.jpg,5.12E+00,1.29E+00,1.89E-01,3.04E+00,2.50E-01,1.54E+00,Grade 1
Medial Tibia of G1_17.jpg,4.79E+00,1.18E+00,6.24E-03,2.91E+00,2.57E-01,1.50E+00,Grade 1
Medial Tibia of G1_18.jpg,5.40E+00,1.29E+00,-2.07E-01,3.06E+00,2.50E-01,1.54E+00,Grade 1
Medial Tibia of G1_2.jpg,5.47E+00,1.14E+00,-1.38E-01,3.20E+00,2.66E-01,1.48E+00,Grade 1
Medial Tibia of G1_3.jpg,4.78E+00,1.28E+00,4.62E-02,3.00E+00,2.52E-01,1.54E+00,Grade 1
Medial Tibia of G1_4.jpg,5.27E+00,1.32E+00,-6.50E-02,2.94E+00,2.45E-01,1.56E+00,Grade 1
Medial Tibia of G1_5.jpg,5.13E+00,1.38E+00,4.74E-02,2.85E+00,2.38E-01,1.58E+00,Grade 1
Medial Tibia of G1_6.jpg,5.36E+00,1.38E+00,2.51E-02,2.88E+00,2.39E-01,1.58E+00,Grade 1
Medial Tibia of G1_7.jpg,4.69E+00,1.39E+00,3.48E-01,3.24E+00,2.48E-01,1.57E+00,Grade 1
Medial Tibia of G1_8.jpg,3.65E+00,7.07E-01,3.26E-01,3.35E+00,3.38E-01,1.24E+00,Grade 1
Medial Tibia of G1_9.jpg,3.34E+00,9.65E-01,6.75E-01,4.46E+00,3.08E-01,1.37E+00,Grade 1
Medial Tibia of G2_1.jpg,5.13E+00,1.16E+00,-8.98E-02,3.31E+00,2.71E-01,1.49E+00,Grade 2
Medial Tibia of G2_10.jpg,5.26E+00,1.24E+00,-1.94E-01,3.02E+00,2.53E-01,1.52E+00,Grade 2
Medial Tibia of G2_11.jpg,4.39E+00,9.40E-01,4.88E-02,2.98E+00,2.90E-01,1.39E+00,Grade 2
Medial Tibia of G2_12.jpg,4.70E+00,9.48E-01,1.07E-01,3.37E+00,2.96E-01,1.39E+00,Grade 2
Medial Tibia of G2_13.jpg,5.42E+00,1.21E+00,-3.18E-01,3.51E+00,2.66E-01,1.50E+00,Grade 2
Medial Tibia of G2_14.jpg,5.15E+00,1.37E+00,4.80E-02,2.77E+00,2.37E-01,1.57E+00,Grade 2
Medial Tibia of G2_15.jpg,4.99E+00,1.33E+00,1.51E-01,2.94E+00,2.44E-01,1.56E+00,Grade 2
Medial Tibia of G2_16.jpg,5.12E+00,1.10E+00,1.05E-01,2.90E+00,2.66E-01,1.47E+00,Grade 2
Medial Tibia of G2_17.jpg,4.94E+00,1.21E+00,2.10E-01,3.03E+00,2.59E-01,1.51E+00,Grade 2
Medial Tibia of G2_18.jpg,5.13E+00,1.37E+00,5.99E-02,3.02E+00,2.42E-01,1.58E+00,Grade 2
Medial Tibia of G2_19.jpg,4.68E+00,1.26E+00,-1.21E-02,2.98E+00,2.54E-01,1.53E+00,Grade 2
Medial Tibia of G2_2.jpg,5.12E+00,1.61E+00,6.55E-02,2.63E+00,2.17E-01,1.65E+00,Grade 2
Medial Tibia of G2_20.jpg,4.09E+00,9.77E-01,3.04E-01,3.31E+00,2.88E-01,1.40E+00,Grade 2
Medial Tibia of G2_21.jpg,4.77E+00,1.36E+00,8.61E-02,2.93E+00,2.42E-01,1.57E+00,Grade 2
Medial Tibia of G2_3.jpg,4.74E+00,1.27E+00,2.26E-01,3.09E+00,2.54E-01,1.53E+00,Grade 2
Medial Tibia of G2_4.jpg,4.71E+00,1.68E+00,1.12E-01,2.91E+00,2.17E-01,1.68E+00,Grade 2
Medial Tibia of G2_5.jpg,4.94E+00,1.49E+00,-9.76E-02,2.79E+00,2.29E-01,1.61E+00,Grade 2
Medial Tibia of G2_6.jpg,5.53E+00,1.69E+00,-4.03E-01,2.96E+00,2.20E-01,1.66E+00,Grade 2
Medial Tibia of G2_7.jpg,4.78E+00,1.58E+00,2.00E-01,2.97E+00,2.26E-01,1.64E+00,Grade 2
Medial Tibia of G2_8.jpg,3.77E+00,6.86E-01,2.03E-01,3.12E+00,3.39E-01,1.23E+00,Grade 2
Medial Tibia of G2_9.jpg,5.12E+00,1.21E+00,-1.28E-01,3.17E+00,2.59E-01,1.51E+00,Grade 2
Medial Tibia of G3_1.jpg,5.57E+00,1.33E+00,1.23E-02,2.81E+00,2.42E-01,1.56E+00,Grade 3
Medial Tibia of G3_10.jpg,5.83E+00,1.30E+00,-1.55E-01,2.91E+00,2.46E-01,1.55E+00,Grade 3
Medial Tibia of G3_11.jpg,4.42E+00,1.36E+00,4.53E-02,2.96E+00,2.42E-01,1.57E+00,Grade 3
Medial Tibia of G3_12.jpg,4.42E+00,1.05E+00,1.02E-01,3.05E+00,2.77E-01,1.44E+00,Grade 3
Medial Tibia of G3_13.jpg,5.07E+00,1.69E+00,-7.22E-02,2.65E+00,2.12E-01,1.68E+00,Grade 3
Medial Tibia of G3_14.jpg,4.62E+00,1.32E+00,-2.16E-02,2.97E+00,2.47E-01,1.55E+00,Grade 3
Medial Tibia of G3_15.jpg,4.74E+00,1.48E+00,9.20E-02,2.97E+00,2.33E-01,1.61E+00,Grade 3
Medial Tibia of G3_16.jpg,4.57E+00,1.40E+00,2.38E-01,2.81E+00,2.35E-01,1.58E+00,Grade 3
Medial Tibia of G3_17.jpg,4.73E+00,1.28E+00,-6.25E-02,3.13E+00,2.52E-01,1.54E+00,Grade 3
Medial Tibia of G3_18.jpg,4.20E+00,1.31E+00,2.91E-01,2.92E+00,2.45E-01,1.54E+00,Grade 3
Medial Tibia of G3_19.jpg,5.11E+00,1.43E+00,-2.33E-01,3.28E+00,2.46E-01,1.59E+00,Grade 3
Medial Tibia of G3_2.jpg,4.61E+00,1.40E+00,3.29E-01,3.43E+00,2.50E-01,1.57E+00,Grade 3
Medial Tibia of G3_20.jpg,4.32E+00,1.64E+00,4.31E-01,3.46E+00,2.28E-01,1.65E+00,Grade 3
Medial Tibia of G3_21.jpg,4.77E+00,1.29E+00,3.01E-01,2.97E+00,2.49E-01,1.53E+00,Grade 3
Medial Tibia of G3_22.jpg,5.18E+00,1.22E+00,-1.88E-01,3.17E+00,2.59E-01,1.51E+00,Grade 3
Medial Tibia of G3_23.jpg,4.83E+00,1.38E+00,2.10E-01,2.96E+00,2.41E-01,1.57E+00,Grade 3
Medial Tibia of G3_24.jpg,4.52E+00,1.29E+00,2.07E-01,3.22E+00,2.52E-01,1.54E+00,Grade 3
Medial Tibia of G3_25.jpg,5.23E+00,1.24E+00,-9.78E-02,3.08E+00,2.57E-01,1.52E+00,Grade 3
Medial Tibia of G3_26.jpg,4.36E+00,1.27E+00,1.57E-01,3.03E+00,2.51E-01,1.54E+00,Grade 3
Medial Tibia of G3_27.jpg,4.55E+00,1.35E+00,1.81E-01,2.81E+00,2.39E-01,1.56E+00,Grade 3
Medial Tibia of G3_28.jpg,5.47E+00,1.19E+00,-9.13E-02,3.17E+00,2.62E-01,1.50E+00,Grade 3
Medial Tibia of G3_29.jpg,4.87E+00,1.69E+00,1.39E-01,2.82E+00,2.15E-01,1.68E+00,Grade 3
Medial Tibia of G3_3.jpg,4.81E+00,1.27E+00,-2.18E-02,2.86E+00,2.48E-01,1.54E+00,Grade 3
Medial Tibia of G3_30.jpg,5.24E+00,1.13E+00,-3.29E-02,3.03E+00,2.67E-01,1.48E+00,Grade 3
Medial Tibia of G3_31.jpg,5.28E+00,1.06E+00,-1.47E-02,3.17E+00,2.77E-01,1.45E+00,Grade 3
Medial Tibia of G3_32.jpg,5.28E+00,1.32E+00,-1.66E-01,2.86E+00,2.44E-01,1.55E+00,Grade 3
Medial Tibia of G3_33.jpg,4.64E+00,1.06E+00,-4.61E-02,3.13E+00,2.75E-01,1.45E+00,Grade 3
Medial Tibia of G3_34.jpg,5.22E+00,1.72E+00,-2.47E-01,2.74E+00,2.14E-01,1.68E+00,Grade 3
Medial Tibia of G3_35.jpg,4.90E+00,7.88E-01,-5.62E-02,3.04E+00,3.21E-01,1.30E+00,Grade 3
Medial Tibia of G3_36.jpg,4.34E+00,1.48E+00,9.64E-02,2.85E+00,2.30E-01,1.61E+00,Grade 3
Medial Tibia of G3_37.jpg,5.20E+00,1.03E+00,8.05E-02,3.19E+00,2.80E-01,1.43E+00,Grade 3
Medial Tibia of G3_38.jpg,4.24E+00,8.71E-01,3.37E-01,4.04E+00,3.19E-01,1.33E+00,Grade 3
Medial Tibia of G3_39.jpg,3.92E+00,1.21E+00,4.00E-01,3.43E+00,2.62E-01,1.50E+00,Grade 3
Medial Tibia of G3_4.jpg,5.06E+00,1.34E+00,-3.10E-03,2.90E+00,2.43E-01,1.57E+00,Grade 3
Medial Tibia of G3_40.jpg,4.93E+00,1.19E+00,2.41E-01,3.07E+00,2.61E-01,1.50E+00,Grade 3
Medial Tibia of G3_41.jpg,4.83E+00,1.07E+00,2.33E-01,3.02E+00,2.74E-01,1.45E+00,Grade 3
Medial Tibia of G3_42.jpg,4.99E+00,1.39E+00,-2.06E-02,3.23E+00,2.45E-01,1.58E+00,Grade 3
