File,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,LBP_10,LBP_11,LBP_12,LBP_13,LBP_14,LBP_15,LBP_16,LBP_17,LBP_18,LBP_19,LBP_20,LBP_21,LBP_22,LBP_23,LBP_24,LBP_25,LBP_26,LBP_27,LBP_28,LBP_29,LBP_30,LBP_31,LBP_32,LBP_33,LBP_34,LBP_35,LBP_36,LBP_37,LBP_38,LBP_39,LBP_40,LBP_41,LBP_42,LBP_43,LBP_44,LBP_45,LBP_46,LBP_47,LBP_48,LBP_49,LBP_50,LBP_51,LBP_52,LBP_53,LBP_54,LBP_55,LBP_56,LBP_57,LBP_58,LBP_59,LBP_60,LBP_61,LBP_62,LBP_63,LBP_64,LBP_65,LBP_66,LBP_67,LBP_68,LBP_69,LBP_70,LBP_71,LBP_72,LBP_73,LBP_74,LBP_75,LBP_76,LBP_77,LBP_78,LBP_79,LBP_80,LBP_81,LBP_82,LBP_83,LBP_84,LBP_85,LBP_86,LBP_87,LBP_88,LBP_89,LBP_90,LBP_91,LBP_92,LBP_93,LBP_94,LBP_95,LBP_96,LBP_97,LBP_98,LBP_99,LBP_100,LBP_101,LBP_102,LBP_103,LBP_104,LBP_105,LBP_106,LBP_107,LBP_108,LBP_109,LBP_110,LBP_111,LBP_112,LBP_113,LBP_114,LBP_115,LBP_116,LBP_117,LBP_118,LBP_119,LBP_120,LBP_121,LBP_122,LBP_123,LBP_124,LBP_125,LBP_126,LBP_127,LBP_128,LBP_129,LBP_130,LBP_131,LBP_132,LBP_133,LBP_134,LBP_135,LBP_136,LBP_137,LBP_138,LBP_139,LBP_140,LBP_141,LBP_142,LBP_143,LBP_144,LBP_145,LBP_146,LBP_147,LBP_148,LBP_149,LBP_150,LBP_151,LBP_152,LBP_153,LBP_154,LBP_155,LBP_156,LBP_157,LBP_158,LBP_159,LBP_160,LBP_161,LBP_162,LBP_163,LBP_164,LBP_165,LBP_166,LBP_167,LBP_168,LBP_169,LBP_170,LBP_171,LBP_172,LBP_173,LBP_174,LBP_175,LBP_176,LBP_177,LBP_178,LBP_179,LBP_180,LBP_181,LBP_182,LBP_183,LBP_184,LBP_185,LBP_186,LBP_187,LBP_188,LBP_189,LBP_190,LBP_191,LBP_192,LBP_193,LBP_194,LBP_195,LBP_196,LBP_197,LBP_198,LBP_199,LBP_200,LBP_201,LBP_202,LBP_203,LBP_204,LBP_205,LBP_206,LBP_207,LBP_208,LBP_209,LBP_210,LBP_211,LBP_212,LBP_213,LBP_214,LBP_215,LBP_216,LBP_217,LBP_218,LBP_219,LBP_220,LBP_221,LBP_222,LBP_223,LBP_224,LBP_225,LBP_226,LBP_227,LBP_228,LBP_229,LBP_230,LBP_231,LBP_232,LBP_233,LBP_234,LBP_235,LBP_236,LBP_237,LBP_238,LBP_239,LBP_240,LBP_241,LBP_242,LBP_243,LBP_244,LBP_245,LBP_246,LBP_247,LBP_248,LBP_249,LBP_250,LBP_251,LBP_252,LBP_253,LBP_254,LBP_255,LBP_256,class
Medial Tibia of G1_1.jpg,588,119,13,64,398,25,94,201,14,4,0,0,94,7,67,92,112,18,5,12,21,1,4,7,50,12,1,8,156,8,69,100,13,4,0,3,9,0,4,10,1,0,0,0,2,0,1,3,67,13,6,6,22,1,4,6,100,24,0,15,171,12,106,113,426,29,6,29,158,1,26,26,10,1,0,0,30,1,13,8,24,2,0,1,0,0,0,0,14,1,1,1,21,0,7,2,75,8,5,5,39,1,6,6,2,0,0,0,12,0,9,3,171,10,4,10,21,1,12,3,221,6,5,14,174,2,77,35,11,53,2,106,21,13,3,255,0,4,0,5,3,8,4,145,0,14,1,14,0,0,0,10,4,7,0,20,8,8,2,134,0,2,0,7,0,2,1,11,0,0,0,2,0,0,1,10,4,6,1,16,2,2,1,27,7,10,0,85,9,13,7,381,91,160,4,179,29,11,5,203,5,6,1,13,6,8,4,94,8,11,0,9,3,0,0,0,10,5,0,10,6,6,5,41,53,85,1,120,14,5,3,105,1,2,0,9,5,4,9,89,78,112,5,129,6,3,3,49,143,121,12,392,88,34,89,881,Grade 1
Medial Tibia of G1_10.jpg,458,114,11,60,338,14,105,240,9,7,1,1,75,10,58,108,120,20,3,15,21,4,3,15,44,11,1,9,194,7,96,131,13,2,1,3,5,0,4,6,0,0,0,0,1,0,3,1,79,8,4,8,11,1,7,8,127,12,5,13,246,4,148,113,332,18,4,15,111,2,22,18,8,0,0,1,22,0,13,2,20,2,0,2,3,0,1,1,13,1,1,0,27,0,4,3,97,12,3,7,23,0,7,4,4,0,0,1,6,1,5,8,222,7,3,8,12,0,5,5,276,10,8,12,247,4,104,40,6,66,1,107,12,22,3,277,0,2,0,5,3,8,2,174,2,13,0,15,0,0,1,9,4,6,0,11,7,8,2,134,0,2,0,4,1,0,0,9,0,0,0,0,0,0,0,4,3,6,0,17,1,0,0,10,5,5,1,42,10,16,5,291,78,190,4,213,17,22,17,237,0,6,0,4,12,12,6,101,9,14,1,12,0,1,2,3,4,6,0,12,9,6,4,43,53,88,3,130,10,6,5,104,5,1,0,7,8,2,9,100,137,111,1,126,2,3,4,37,166,142,5,307,120,44,107,757,Grade 1
Medial Tibia of G1_11.jpg,362,80,15,58,266,13,127,202,6,0,1,2,91,4,84,116,81,13,3,10,23,0,4,5,61,9,1,8,252,11,130,161,5,4,0,2,5,0,6,6,0,1,0,0,3,0,4,1,69,9,2,4,23,1,8,5,149,17,1,8,513,9,199,141,255,26,9,24,76,0,19,28,2,1,1,0,17,0,9,8,21,0,0,0,0,0,1,0,9,0,0,0,12,0,0,2,96,11,3,2,17,2,7,3,1,1,0,0,15,0,5,1,191,7,1,4,17,0,8,0,269,5,6,2,309,1,81,28,3,52,0,163,2,6,0,230,0,1,0,2,0,5,1,144,2,5,0,24,0,0,0,4,3,10,1,14,1,5,4,171,0,0,0,2,1,0,0,3,0,0,0,0,0,1,0,2,0,3,0,6,0,0,0,3,2,21,0,23,7,11,10,233,82,243,5,498,18,10,11,306,0,3,0,11,3,5,3,104,6,8,0,13,0,1,0,1,3,8,0,15,0,3,1,41,68,115,0,187,10,3,6,84,0,2,0,6,7,1,3,66,75,132,1,98,2,0,4,24,148,120,0,252,107,41,67,582,Grade 1
Medial Tibia of G1_12.jpg,380,79,9,65,327,14,102,191,7,1,0,0,89,5,73,73,69,14,0,6,21,0,3,8,52,12,1,10,246,5,87,101,9,1,2,0,5,0,1,6,0,0,0,0,2,0,0,2,74,12,1,4,15,0,4,5,164,8,5,9,535,17,194,125,318,18,6,14,93,2,26,25,2,0,0,0,20,0,6,5,15,1,0,0,1,0,0,0,2,0,0,0,11,0,6,0,96,4,2,0,35,0,9,5,1,0,0,0,11,1,4,8,169,6,2,1,31,0,5,4,263,4,5,4,319,2,99,32,3,63,0,159,1,5,1,279,0,2,0,4,0,6,1,133,1,13,0,12,0,0,0,8,1,10,0,17,1,12,0,153,0,1,0,1,0,0,0,4,0,0,0,0,1,0,0,1,1,12,0,16,0,1,0,3,5,14,0,38,10,10,5,289,78,213,2,526,22,7,1,311,1,5,0,19,3,0,2,85,8,8,0,10,1,0,0,0,2,10,0,14,5,4,2,35,64,96,0,168,7,3,7,95,1,4,0,6,1,2,6,55,73,107,1,117,4,0,4,25,119,141,4,274,103,27,64,609,Grade 1
Medial Tibia of G1_13.jpg,384,150,9,75,170,14,95,228,5,5,1,0,79,5,105,168,138,26,2,6,15,0,10,7,70,9,2,7,260,10,194,207,4,2,0,0,6,0,1,3,0,0,0,0,1,0,3,2,81,12,4,6,16,0,8,6,132,14,1,9,318,7,216,116,183,27,7,17,38,1,18,15,0,0,0,0,6,1,6,6,14,1,0,0,1,0,0,1,5,0,0,1,14,0,3,3,90,7,6,3,18,0,19,17,1,0,0,0,7,1,5,8,202,7,4,7,13,0,12,2,193,8,2,3,259,5,134,36,3,78,0,145,5,9,4,219,0,2,0,5,2,8,0,163,4,12,0,10,0,0,0,6,3,9,0,14,6,15,6,140,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,4,0,5,0,0,1,6,4,16,0,16,6,9,6,159,79,262,1,280,9,9,9,252,2,7,0,5,6,5,8,118,13,14,0,4,0,1,0,4,4,12,0,7,6,6,3,44,81,203,3,203,9,4,11,137,1,3,0,4,7,7,12,114,171,138,6,115,4,2,8,29,158,150,3,164,121,45,120,632,Grade 1
Medial Tibia of G1_14.jpg,320,118,11,64,223,11,100,233,3,2,0,1,77,2,72,126,118,25,6,11,24,1,11,7,52,10,0,2,296,12,147,175,10,0,0,0,8,0,3,4,0,0,0,0,4,0,0,2,71,5,1,3,13,1,4,5,125,10,1,5,507,8,202,137,184,25,6,23,65,3,32,20,2,0,0,0,10,0,3,2,12,0,0,0,1,0,0,1,9,0,0,0,14,0,2,2,81,4,7,3,23,0,9,8,1,0,0,0,7,0,9,6,193,9,2,8,18,0,7,3,238,2,3,9,305,2,113,23,12,60,2,157,1,6,0,266,1,3,0,6,2,10,2,138,4,5,0,13,0,1,1,7,1,10,0,7,6,11,1,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,7,3,9,0,13,6,10,7,179,81,264,1,457,15,11,12,319,1,3,0,4,5,7,3,124,5,12,0,19,0,0,0,0,8,8,1,13,7,2,3,43,66,139,5,195,5,6,3,113,3,3,0,2,6,3,5,81,117,154,4,120,1,0,4,36,143,132,1,185,103,44,82,593,Grade 1
Medial Tibia of G1_15.jpg,463,81,29,84,241,17,106,177,2,4,0,4,90,4,61,90,99,20,3,6,35,0,6,10,72,7,2,8,267,10,133,116,20,1,1,2,16,1,3,7,0,0,0,0,3,0,3,3,111,13,5,6,25,0,12,4,147,12,2,11,450,8,200,104,287,31,7,20,49,1,21,18,3,3,0,0,16,0,7,3,9,1,0,0,3,0,0,0,10,0,0,0,12,0,3,1,102,9,9,4,28,0,17,5,3,0,0,0,8,0,7,4,166,5,1,8,12,0,4,1,185,2,4,8,243,2,74,27,8,89,0,129,4,8,0,162,2,2,0,3,1,2,1,120,1,14,0,13,0,1,0,5,6,11,0,12,8,7,7,125,1,2,0,3,0,0,0,6,0,1,0,0,2,0,1,2,4,6,0,8,0,1,0,7,6,16,0,29,16,15,15,215,85,263,1,434,14,7,12,237,2,3,1,12,6,7,4,129,4,10,0,9,0,0,0,3,4,7,1,14,11,4,1,36,80,123,0,232,8,4,10,101,2,5,0,12,6,7,6,96,114,123,4,134,7,4,2,24,127,138,2,221,125,54,103,649,Grade 1
Medial Tibia of G1_16.jpg,374,101,4,69,289,23,65,225,11,0,1,2,138,4,92,141,94,16,2,15,13,0,7,5,91,12,1,4,164,4,122,152,8,5,2,3,3,0,1,1,0,0,0,0,3,0,0,5,63,9,0,13,8,0,7,9,167,18,4,16,243,5,148,163,261,10,7,9,59,2,13,12,8,0,0,0,31,0,9,3,23,0,0,0,0,0,0,0,14,0,0,0,21,0,3,1,97,8,0,2,16,0,3,2,2,0,0,0,10,0,6,2,249,8,3,6,10,0,1,1,429,9,12,14,272,2,113,28,15,68,0,152,5,19,4,454,2,3,0,0,3,4,3,219,2,5,0,16,0,0,0,6,2,11,0,12,1,1,3,125,0,1,0,2,0,1,0,8,0,0,0,0,0,0,0,7,1,10,0,13,1,0,0,9,2,8,0,24,2,6,5,229,97,182,0,211,24,18,10,258,2,2,0,4,9,5,6,94,6,7,2,5,0,0,0,1,3,5,0,4,10,1,3,21,100,144,2,145,6,5,9,95,1,1,0,1,5,7,8,79,139,139,2,145,2,2,2,39,228,115,8,209,86,26,90,571,Grade 1
Medial Tibia of G1_17.jpg,370,96,12,46,276,20,91,219,13,3,0,3,99,4,63,115,83,15,4,13,15,0,3,9,57,8,0,6,180,13,77,129,7,1,0,1,9,0,1,8,0,0,0,0,4,0,1,0,57,5,3,7,7,0,8,6,154,21,2,12,276,5,153,144,299,13,7,10,90,1,16,15,9,0,0,0,19,1,15,2,26,2,0,0,0,0,1,0,20,0,0,1,19,0,6,1,94,5,4,7,15,1,9,5,0,0,0,0,10,0,3,3,211,7,7,6,12,0,5,3,463,11,10,13,317,2,104,35,10,59,0,148,8,19,2,469,0,1,0,3,1,5,1,185,2,7,0,13,0,2,0,5,3,8,0,13,3,10,3,147,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,3,0,8,0,14,0,0,0,17,1,13,0,20,4,10,5,230,102,208,0,313,28,12,12,302,3,2,0,5,5,8,7,84,5,6,0,3,0,0,0,2,5,7,0,6,7,2,5,25,46,89,3,174,6,5,8,98,3,2,0,1,5,4,6,63,96,101,3,133,5,3,1,27,177,146,3,276,96,27,63,629,Grade 1
Medial Tibia of G1_18.jpg,377,105,16,75,245,10,101,193,5,1,0,1,92,4,63,67,96,9,2,5,23,0,10,4,74,11,1,5,235,7,133,111,13,1,0,7,9,0,1,3,1,0,0,0,4,0,2,2,78,4,1,5,15,0,5,4,167,13,3,9,530,5,219,108,262,21,5,21,65,0,21,14,1,1,0,0,16,0,12,1,13,0,0,1,1,0,1,0,9,0,0,1,9,0,7,1,100,4,6,6,26,0,11,6,1,0,0,0,13,0,4,8,181,5,4,3,14,0,8,2,234,11,4,1,280,2,103,32,15,68,0,171,0,8,1,272,0,2,0,8,2,4,2,130,4,12,0,14,0,0,0,6,4,8,0,13,2,7,1,126,1,0,0,5,0,0,0,9,0,1,0,0,0,0,0,3,1,6,0,14,0,0,0,3,0,11,0,35,6,11,7,238,84,231,2,495,20,14,9,307,1,8,0,15,7,7,3,97,7,5,1,6,0,0,0,2,3,7,0,8,7,1,5,47,58,127,3,218,9,2,5,98,3,3,0,8,4,4,3,65,107,116,1,115,2,2,3,29,170,143,3,235,125,34,72,562,Grade 1
Medial Tibia of G1_2.jpg,328,74,7,42,220,11,111,225,6,3,0,1,84,5,75,96,91,12,2,5,21,1,6,6,57,8,0,2,258,16,144,149,8,3,1,1,9,1,2,7,0,0,0,0,0,0,2,4,66,11,3,6,21,0,6,8,135,7,0,10,553,9,202,137,237,20,4,16,75,1,26,14,4,0,0,0,13,0,6,7,16,0,0,1,1,0,0,0,9,0,0,0,15,0,6,0,110,5,3,4,29,0,8,7,0,0,0,0,4,0,4,5,199,6,5,5,24,0,6,3,265,1,4,5,350,1,91,33,4,65,0,132,2,6,1,281,0,1,0,1,2,3,1,147,2,15,0,6,0,0,1,2,2,9,0,15,7,8,5,161,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,3,1,4,0,3,0,1,0,6,2,17,0,12,8,13,1,205,78,252,2,468,13,20,8,291,0,6,0,4,3,3,4,116,2,16,0,5,1,0,0,3,2,4,0,11,4,6,4,47,59,154,0,214,8,3,4,99,0,4,0,3,2,0,5,69,111,148,2,133,1,1,2,23,145,158,2,194,98,42,65,594,Grade 1
Medial Tibia of G1_3.jpg,408,111,12,83,248,13,102,212,8,4,0,1,100,7,87,120,131,17,1,11,22,1,5,7,86,15,2,4,257,13,135,135,11,2,0,5,8,0,5,7,0,0,0,0,3,0,2,10,76,5,2,8,15,1,7,8,138,16,3,14,356,9,202,143,225,24,3,17,58,2,15,19,6,0,0,0,13,0,11,1,15,0,0,0,0,0,1,0,4,3,0,0,5,0,2,1,90,11,3,8,22,0,13,7,3,0,0,0,9,0,14,3,239,12,3,10,17,0,9,2,226,4,2,4,263,6,109,36,10,78,0,137,3,10,1,228,1,2,0,5,1,6,3,180,1,13,0,8,0,0,0,6,4,11,0,15,10,7,3,125,1,3,0,2,0,0,1,5,0,0,0,0,0,0,0,4,1,9,1,12,0,2,0,7,2,10,0,24,9,14,7,229,87,208,2,361,13,12,12,234,3,4,0,14,9,7,9,121,6,11,1,13,0,0,1,3,9,11,0,8,8,5,3,31,73,127,2,189,12,2,8,119,3,4,0,4,6,4,5,103,107,134,1,113,5,2,4,28,165,128,6,181,121,44,62,658,Grade 1
Medial Tibia of G1_4.jpg,334,93,7,58,252,12,103,199,10,0,1,0,78,5,55,93,78,19,0,17,18,1,4,2,59,15,0,6,185,9,92,115,8,3,0,2,5,0,1,3,0,0,0,0,2,0,0,2,66,12,1,6,10,1,6,7,192,18,3,18,358,3,146,122,274,10,6,9,89,2,15,11,11,0,0,0,18,1,7,1,6,2,0,0,0,0,0,0,10,0,0,1,19,0,4,1,105,6,1,4,18,1,10,6,1,0,0,0,12,0,2,2,228,2,1,4,12,0,3,2,504,6,7,7,347,3,89,34,13,69,0,203,1,20,4,478,0,1,0,1,4,1,0,174,0,12,1,16,0,0,0,11,0,6,0,11,0,4,2,124,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,8,0,13,0,0,0,4,2,9,0,36,8,10,0,208,99,199,0,398,32,18,11,347,1,2,1,8,4,0,5,98,10,5,0,6,0,0,0,1,4,7,1,3,4,0,0,16,69,105,3,147,7,5,2,100,2,3,0,2,9,5,4,62,104,120,0,151,4,0,1,30,182,108,5,228,103,25,70,572,Grade 1
Medial Tibia of G1_5.jpg,354,115,13,69,217,18,76,246,9,1,1,1,91,3,81,162,127,38,3,15,12,1,12,13,80,7,1,3,199,15,100,170,3,3,0,3,4,1,5,8,1,0,0,0,1,0,1,3,69,16,1,10,7,0,6,9,137,14,2,11,212,7,156,140,227,13,3,8,45,1,15,12,11,0,0,0,20,0,12,5,17,2,0,1,0,0,0,0,21,0,0,0,18,0,5,3,75,15,4,5,12,0,9,6,2,0,0,0,12,0,8,2,265,10,9,11,18,0,8,2,357,8,7,15,265,5,116,43,9,77,1,141,7,13,2,385,0,2,0,2,1,8,1,196,2,9,0,12,0,0,0,8,2,8,0,8,2,5,4,114,0,3,0,2,1,0,0,4,0,0,0,0,0,0,0,8,2,4,0,10,0,1,0,10,2,7,0,10,5,3,2,170,108,190,3,252,33,22,7,294,4,5,0,4,7,8,4,107,7,11,0,3,1,0,0,2,7,1,0,4,5,4,5,35,69,133,0,135,9,4,6,110,0,3,0,4,9,4,4,97,185,158,5,160,6,2,4,36,243,122,2,176,127,31,120,630,Grade 1
Medial Tibia of G1_6.jpg,400,114,12,64,272,17,102,209,14,0,0,1,91,6,85,105,110,13,3,11,16,0,10,6,61,8,1,5,185,4,82,129,8,0,1,5,5,0,2,8,0,0,0,0,2,1,1,3,74,11,2,7,11,1,3,5,157,15,5,12,278,7,156,124,259,13,2,13,68,0,18,12,10,0,0,0,24,1,8,4,18,0,0,0,0,0,0,0,19,0,1,0,8,1,4,1,112,7,3,5,20,0,2,5,4,1,1,0,12,0,7,2,232,7,3,8,12,0,8,1,427,9,11,8,268,0,100,25,11,87,1,155,4,24,1,448,0,2,0,2,1,9,3,182,3,7,0,16,0,0,0,12,1,3,0,11,2,4,1,139,0,2,0,7,0,0,0,12,0,0,0,0,1,0,0,2,1,7,0,14,0,0,0,18,6,11,0,30,2,5,1,231,105,213,1,288,28,15,7,275,2,7,0,3,13,4,5,102,8,17,1,7,0,0,0,1,4,8,0,7,5,4,5,17,90,99,0,168,11,2,6,111,2,2,0,5,8,2,4,89,137,123,3,150,2,0,4,33,210,140,8,234,99,25,67,611,Grade 1
Medial Tibia of G1_7.jpg,367,101,6,72,281,22,83,262,6,3,1,2,90,7,60,118,75,11,1,7,18,1,5,10,59,4,0,2,165,9,80,110,2,1,2,1,5,0,1,3,0,0,0,0,2,0,1,4,52,13,3,9,5,0,3,5,151,14,4,15,304,6,125,130,273,16,7,11,73,1,17,10,6,0,2,0,27,0,9,0,18,1,0,0,2,0,0,0,20,1,1,1,14,0,2,1,96,4,0,6,20,0,13,5,2,0,0,0,10,1,2,3,230,6,2,10,8,0,5,6,424,7,11,6,294,0,85,27,9,68,1,161,6,18,0,505,0,4,0,3,3,6,3,212,2,7,0,16,0,0,0,9,1,2,0,7,5,4,4,124,1,1,0,3,1,0,0,5,0,0,0,0,0,0,0,3,0,6,0,24,0,0,0,12,5,9,0,30,4,6,4,242,101,221,1,318,29,25,10,354,1,2,0,5,4,6,8,113,3,7,0,6,0,0,0,1,6,9,0,8,6,4,4,30,64,75,2,174,5,5,5,102,3,2,0,3,5,3,6,65,111,117,1,142,8,1,3,42,171,128,5,277,92,30,60,581,Grade 1
Medial Tibia of G1_8.jpg,380,192,10,90,173,19,83,220,9,2,0,1,72,9,101,193,198,46,3,11,23,1,7,9,96,23,3,3,276,13,228,197,9,0,1,3,5,0,3,8,1,0,0,0,2,1,3,4,96,15,2,3,14,0,9,8,115,12,1,6,257,8,228,111,149,24,5,10,36,1,14,13,3,0,0,0,18,1,7,7,18,2,0,1,0,0,3,0,7,1,0,0,11,0,4,0,77,12,3,12,15,0,11,2,1,0,1,1,8,0,9,8,207,11,3,6,14,0,9,8,149,3,0,8,219,1,144,39,6,93,0,107,1,9,2,214,0,0,0,2,2,5,2,173,4,7,0,8,0,0,0,5,2,15,0,11,7,8,4,133,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,11,0,0,0,2,1,12,1,13,6,11,5,137,76,231,0,216,11,9,5,231,3,9,0,6,8,8,3,129,14,12,0,8,0,0,0,2,4,9,0,4,11,3,7,42,89,206,6,185,13,4,12,159,1,5,0,4,11,5,12,143,186,192,3,104,7,1,7,23,160,124,4,124,138,41,160,643,Grade 1
Medial Tibia of G1_9.jpg,498,33,2,24,892,5,123,111,2,1,0,0,120,0,60,55,34,7,1,6,12,1,1,2,22,2,2,5,126,1,56,69,3,2,0,0,1,0,0,1,0,0,0,0,2,0,0,1,24,2,1,2,3,0,1,3,68,18,1,24,191,6,92,133,939,11,2,7,514,0,18,13,0,0,1,0,34,0,9,0,4,1,0,0,2,0,0,0,6,0,0,0,14,0,3,1,92,0,1,1,33,0,2,1,0,0,0,0,5,0,5,1,60,5,1,0,7,0,0,0,99,3,3,2,124,0,36,14,4,28,0,70,3,7,1,107,0,1,0,6,0,3,1,71,0,2,0,20,1,0,0,3,0,2,0,20,1,2,2,132,1,0,0,5,0,0,0,2,0,0,0,1,0,0,0,3,0,8,0,22,0,0,0,3,5,22,0,257,1,4,2,911,112,111,0,159,35,11,14,146,1,2,0,2,2,3,4,32,0,2,0,4,0,0,0,1,0,2,0,6,2,1,3,13,35,52,0,68,6,0,3,41,0,1,0,2,0,1,3,25,46,49,0,146,0,0,1,13,47,97,2,903,35,9,28,860,Grade 1
Medial Tibia of G2_1.jpg,325,99,9,62,186,20,74,220,7,4,1,2,59,10,84,120,114,22,3,7,18,2,7,6,55,16,0,4,257,7,142,138,5,3,0,2,1,0,1,5,0,0,0,0,0,0,4,5,66,14,2,6,20,2,5,5,143,17,4,11,438,10,186,130,233,16,2,17,72,1,17,19,4,0,0,0,12,0,10,3,11,0,1,0,2,0,0,0,8,1,0,0,13,0,3,0,97,6,4,9,18,0,17,5,0,0,0,0,8,0,6,5,229,8,3,3,22,0,6,5,272,3,4,9,342,2,125,25,12,65,0,139,5,7,3,262,0,3,0,2,2,8,2,157,1,14,0,14,1,0,0,4,1,12,0,11,3,12,2,128,0,1,0,1,1,0,0,5,0,0,0,0,0,0,1,6,3,4,0,10,0,0,0,2,2,13,0,15,6,7,3,160,76,271,3,465,14,11,8,335,2,6,0,7,6,3,4,127,1,14,0,11,0,0,0,3,5,5,0,6,1,2,4,33,74,129,2,216,11,2,3,99,2,3,0,1,5,3,5,76,127,165,1,135,6,0,4,35,156,144,2,174,105,31,106,603,Grade 2
