@relation 'LBP_hf Medial Tibia ROI '

@attribute File {'Medial Tibia of G1_1.jpg','Medial Tibia of G1_10.jpg','Medial Tibia of G1_11.jpg','Medial Tibia of G1_12.jpg','Medial Tibia of G1_13.jpg','Medial Tibia of G1_14.jpg','Medial Tibia of G1_15.jpg','Medial Tibia of G1_16.jpg','Medial Tibia of G1_17.jpg','Medial Tibia of G1_18.jpg','Medial Tibia of G1_2.jpg','Medial Tibia of G1_3.jpg','Medial Tibia of G1_4.jpg','Medial Tibia of G1_5.jpg','Medial Tibia of G1_6.jpg','Medial Tibia of G1_7.jpg','Medial Tibia of G1_8.jpg','Medial Tibia of G1_9.jpg','Medial Tibia of G2_1.jpg','Medial Tibia of G2_10.jpg','Medial Tibia of G2_11.jpg','Medial Tibia of G2_12.jpg','Medial Tibia of G2_13.jpg','Medial Tibia of G2_14.jpg','Medial Tibia of G2_15.jpg','Medial Tibia of G2_16.jpg','Medial Tibia of G2_17.jpg','Medial Tibia of G2_18.jpg','Medial Tibia of G2_19.jpg','Medial Tibia of G2_2.jpg','Medial Tibia of G2_20.jpg','Medial Tibia of G2_21.jpg','Medial Tibia of G2_3.jpg','Medial Tibia of G2_4.jpg','Medial Tibia of G2_5.jpg','Medial Tibia of G2_6.jpg','Medial Tibia of G2_7.jpg','Medial Tibia of G2_8.jpg','Medial Tibia of G2_9.jpg','Medial Tibia of G3_1.jpg','Medial Tibia of G3_10.jpg','Medial Tibia of G3_11.jpg','Medial Tibia of G3_12.jpg','Medial Tibia of G3_13.jpg','Medial Tibia of G3_14.jpg','Medial Tibia of G3_15.jpg','Medial Tibia of G3_16.jpg','Medial Tibia of G3_17.jpg','Medial Tibia of G3_18.jpg','Medial Tibia of G3_19.jpg','Medial Tibia of G3_2.jpg','Medial Tibia of G3_20.jpg','Medial Tibia of G3_21.jpg','Medial Tibia of G3_22.jpg','Medial Tibia of G3_23.jpg','Medial Tibia of G3_24.jpg','Medial Tibia of G3_25.jpg','Medial Tibia of G3_26.jpg','Medial Tibia of G3_27.jpg','Medial Tibia of G3_28.jpg','Medial Tibia of G3_29.jpg','Medial Tibia of G3_3.jpg','Medial Tibia of G3_30.jpg','Medial Tibia of G3_31.jpg','Medial Tibia of G3_32.jpg','Medial Tibia of G3_33.jpg','Medial Tibia of G3_34.jpg','Medial Tibia of G3_35.jpg','Medial Tibia of G3_36.jpg','Medial Tibia of G3_37.jpg','Medial Tibia of G3_38.jpg','Medial Tibia of G3_39.jpg','Medial Tibia of G3_4.jpg','Medial Tibia of G3_40.jpg','Medial Tibia of G3_41.jpg','Medial Tibia of G3_42.jpg','Medial Tibia of G3_43.jpg','Medial Tibia of G3_44.jpg','Medial Tibia of G3_5.jpg','Medial Tibia of G3_6.jpg','Medial Tibia of G3_7.jpg','Medial Tibia of G3_8.jpg','Medial Tibia of G3_9.jpg','Medial Tibia of G4_1.jpg','Medial Tibia of G4_2.jpg','Medial Tibia of G4_3.jpg','Medial Tibia of G4_4.jpg','Medial Tibia of G4_5.jpg','Medial Tibia of G4_6.jpg','Medial Tibia of G4_7.jpg','Medial Tibia of G4_8.jpg','Medial Tibia of Nor_1.jpg','Medial Tibia of Nor_10.jpg','Medial Tibia of Nor_11.jpg','Medial Tibia of Nor_12.jpg','Medial Tibia of Nor_13.jpg','Medial Tibia of Nor_14.jpg','Medial Tibia of Nor_15.jpg','Medial Tibia of Nor_16.jpg','Medial Tibia of Nor_17.jpg','Medial Tibia of Nor_18.jpg','Medial Tibia of Nor_19.jpg','Medial Tibia of Nor_2.jpg','Medial Tibia of Nor_20.jpg','Medial Tibia of Nor_21.jpg','Medial Tibia of Nor_22.jpg','Medial Tibia of Nor_23.jpg','Medial Tibia of Nor_24.jpg','Medial Tibia of Nor_25.jpg','Medial Tibia of Nor_26.jpg','Medial Tibia of Nor_27.jpg','Medial Tibia of Nor_28.jpg','Medial Tibia of Nor_29.jpg','Medial Tibia of Nor_3.jpg','Medial Tibia of Nor_30.jpg','Medial Tibia of Nor_31.jpg','Medial Tibia of Nor_32.jpg','Medial Tibia of Nor_33.jpg','Medial Tibia of Nor_34.jpg','Medial Tibia of Nor_35.jpg','Medial Tibia of Nor_36.jpg','Medial Tibia of Nor_37.jpg','Medial Tibia of Nor_38.jpg','Medial Tibia of Nor_39.jpg','Medial Tibia of Nor_4.jpg','Medial Tibia of Nor_5.jpg','Medial Tibia of Nor_6.jpg','Medial Tibia of Nor_7.jpg','Medial Tibia of Nor_8.jpg','Medial Tibia of Nor_9.jpg'}
@attribute LBP_hf_1 numeric
@attribute LBP_hf_2 numeric
@attribute LBP_hf_3 numeric
@attribute LBP_hf_4 numeric
@attribute LBP_hf_5 numeric
@attribute LBP_hf_6 numeric
@attribute LBP_hf_7 numeric
@attribute LBP_hf_8 numeric
@attribute LBP_hf_9 numeric
@attribute LBP_hf_10 numeric
@attribute LBP_hf_11 numeric
@attribute LBP_hf_12 numeric
@attribute LBP_hf_13 numeric
@attribute LBP_hf_14 numeric
@attribute LBP_hf_15 numeric
@attribute LBP_hf_16 numeric
@attribute LBP_hf_17 numeric
@attribute LBP_hf_18 numeric
@attribute LBP_hf_19 numeric
@attribute LBP_hf_20 numeric
@attribute LBP_hf_21 numeric
@attribute LBP_hf_22 numeric
@attribute LBP_hf_23 numeric
@attribute LBP_hf_24 numeric
@attribute LBP_hf_25 numeric
@attribute LBP_hf_26 numeric
@attribute LBP_hf_27 numeric
@attribute LBP_hf_28 numeric
@attribute LBP_hf_29 numeric
@attribute LBP_hf_30 numeric
@attribute LBP_hf_31 numeric
@attribute LBP_hf_32 numeric
@attribute LBP_hf_33 numeric
@attribute LBP_hf_34 numeric
@attribute LBP_hf_35 numeric
@attribute LBP_hf_36 numeric
@attribute LBP_hf_37 numeric
@attribute LBP_hf_38 numeric
@attribute class {'Grade 1','Grade 2','Grade 3','Grade 4',Normal}

@data
'Medial Tibia of G1_1.jpg',0.112,0.00266,0.0599,0.00318,0.101,0.0594,0.00192,0.00861,0.00205,0.00444,0.102,0.00446,0.0104,0.00188,0.0366,0.116,0.00514,0.0373,0.00277,0.0111,0.111,0.00457,0.0178,0.00182,0.00758,0.087,0.00444,0.00954,0.00239,0.00131,0.112,0.0022,0.0601,0.00162,0.08,0.0594,0.089,0.151,'Grade 1'
'Medial Tibia of G1_10.jpg',0.0953,0.00118,0.044,0.00059,0.0874,0.061,0.00132,0.0094,0.00412,0.00202,0.12,0.00231,0.0147,0.0032,0.0506,0.146,0.00446,0.0431,0.00456,0.00333,0.136,0.00424,0.0252,0.000338,0.0109,0.0954,0.00312,0.00711,0.00154,0.00242,0.0979,0.00178,0.0395,0.00181,0.0647,0.0463,0.0765,0.126,'Grade 1'
'Medial Tibia of G1_11.jpg',0.0725,0.0021,0.0367,0.000634,0.0666,0.0649,0.00383,0.0122,0.00335,0.00367,0.138,0.00345,0.0194,0.0013,0.0433,0.199,0.00595,0.0876,0.00637,0.0467,0.162,0.00383,0.0342,0.00253,0.0235,0.0924,0.00863,0.0132,0.0043,0.000612,0.0767,0.0017,0.036,0.00223,0.0494,0.0369,0.0594,0.0988,'Grade 1'
'Medial Tibia of G1_12.jpg',0.0838,0.00141,0.0507,0.00145,0.0781,0.0632,0.000822,0.00894,0.00261,0.000714,0.13,0.00506,0.0215,0.00306,0.0366,0.197,0.00102,0.1,0.00277,0.0492,0.148,0.00283,0.0445,0.0035,0.0229,0.0937,0.00234,0.0116,0.00244,0.00592,0.0817,0.00275,0.0453,0.00109,0.0574,0.0388,0.0621,0.101,'Grade 1'
'Medial Tibia of G1_13.jpg',0.0675,0.00166,0.00665,0.00209,0.0633,0.066,0.000391,0.00378,0.00157,0.00194,0.144,0.00535,0.0132,0.000998,0.0499,0.178,0.00164,0.0265,0.00658,0.0131,0.163,0.00844,0.0197,0.00574,0.0118,0.105,0.00116,0.0021,0.00106,0.00928,0.0725,0.00119,0.00941,0.000944,0.0411,0.0392,0.0645,0.0997,'Grade 1'
'Medial Tibia of G1_14.jpg',0.0693,0.00348,0.0175,0.00461,0.0619,0.0598,0.00129,0.00742,0.00292,0,0.143,0.00696,0.0201,0.00531,0.0577,0.204,0.00507,0.0769,0.00676,0.0425,0.166,0.00236,0.0323,0.00304,0.0281,0.1,0.00387,0.00586,0.00164,0.00173,0.0687,0.00179,0.0207,0.00105,0.0389,0.0326,0.0605,0.095,'Grade 1'
'Medial Tibia of G1_15.jpg',0.0783,0.00454,0.0357,0.00571,0.0662,0.0754,0.00131,0.00521,0.00451,0.000102,0.132,0.00158,0.0235,0.00382,0.0465,0.173,0.00525,0.07,0.00169,0.0495,0.143,0.00372,0.031,0.0032,0.00408,0.0949,0.00611,0.00913,0.000627,0.00551,0.0792,0.0028,0.0245,0.000929,0.0504,0.0472,0.0662,0.112,'Grade 1'
'Medial Tibia of G1_16.jpg',0.0799,0.00239,0.0362,0.00351,0.0721,0.0702,0.00487,0.0105,0.00666,0.00469,0.136,0.00432,0.0184,0.00247,0.0315,0.192,0.000439,0.0654,0.00666,0.0423,0.159,0.00246,0.029,0.00185,0.00826,0.0955,0.00386,0.0135,0.00141,0.00408,0.0736,0.00112,0.0275,0.00355,0.0503,0.0382,0.0583,0.0972,'Grade 1'
'Medial Tibia of G1_17.jpg',0.0812,0.0023,0.0404,0.00315,0.0726,0.0617,0.00137,0.0122,0.00105,0.000306,0.125,0.00201,0.0202,0.00452,0.0415,0.194,0.00529,0.0872,0.00343,0.0304,0.157,0.002,0.0399,0.00525,0.0163,0.0971,0.00227,0.0136,0.00106,0.00388,0.0761,0.00432,0.0388,0.00518,0.0529,0.0378,0.0642,0.106,'Grade 1'
'Medial Tibia of G1_18.jpg',0.0772,0.00291,0.0312,0.00123,0.0672,0.0686,0.00148,0.00646,0.000316,0.00143,0.133,0.00193,0.024,0.000666,0.0389,0.2,0.00155,0.0904,0.00934,0.0442,0.158,0.00333,0.0393,0.00616,0.00786,0.0934,0.00472,0.00694,0.00128,0.00255,0.0767,0.00146,0.0343,0.00167,0.0478,0.0385,0.0573,0.097,'Grade 1'
'Medial Tibia of G1_2.jpg',0.066,0.00256,0.0298,0.00236,0.0609,0.0625,0.0018,0.0115,0.00329,0.00745,0.136,0.0041,0.0162,0.00188,0.0544,0.211,0.00688,0.0868,0.0107,0.0392,0.168,0.00505,0.0373,0.00708,0.0235,0.101,0.00263,0.0143,0.0013,0.00255,0.0692,0.00221,0.0272,0.00077,0.0396,0.0335,0.0606,0.0913,'Grade 1'
'Medial Tibia of G1_3.jpg',0.0771,0.00292,0.0236,0.00331,0.0688,0.0716,0.00295,0.00404,0.000441,0.00102,0.138,0.00635,0.0118,0.00538,0.0491,0.169,0.00205,0.0537,0.00112,0.0233,0.153,0.00352,0.0237,0.00365,0.00306,0.0999,0.00218,0.00292,0.00403,0.00173,0.0728,0.00526,0.025,0.00775,0.0445,0.0416,0.0671,0.109,'Grade 1'
'Medial Tibia of G1_4.jpg',0.075,0.00304,0.0362,0.0024,0.0672,0.065,0.00302,0.00979,0.00189,0.00357,0.136,0.00453,0.028,0.00277,0.0298,0.218,0.00504,0.0983,0.0053,0.0231,0.161,0.00126,0.0473,0.000524,0.0286,0.0913,0.00297,0.00856,0.00413,0.00541,0.0687,0.00297,0.0311,0.00168,0.0472,0.0341,0.0584,0.0934,'Grade 1'
'Medial Tibia of G1_5.jpg',0.0735,0.000585,0.0206,0.00261,0.0665,0.0658,0.00145,0.00625,0.00203,0.00296,0.135,0.00169,0.018,0.00311,0.0482,0.182,0.0089,0.0533,0.00201,0.0167,0.165,0.00205,0.028,0.00845,0.016,0.102,0.00375,0.00681,0.00216,0.00735,0.0722,0.00257,0.0132,0.00255,0.0426,0.0361,0.0643,0.104,'Grade 1'
