@relation 'LBP_ri Medial Tibia ROI '

@attribute File {'Medial Tibia of G1_1.jpg','Medial Tibia of G1_10.jpg','Medial Tibia of G1_11.jpg','Medial Tibia of G1_12.jpg','Medial Tibia of G1_13.jpg','Medial Tibia of G1_14.jpg','Medial Tibia of G1_15.jpg','Medial Tibia of G1_16.jpg','Medial Tibia of G1_17.jpg','Medial Tibia of G1_18.jpg','Medial Tibia of G1_2.jpg','Medial Tibia of G1_3.jpg','Medial Tibia of G1_4.jpg','Medial Tibia of G1_5.jpg','Medial Tibia of G1_6.jpg','Medial Tibia of G1_7.jpg','Medial Tibia of G1_8.jpg','Medial Tibia of G1_9.jpg','Medial Tibia of G2_1.jpg','Medial Tibia of G2_10.jpg','Medial Tibia of G2_11.jpg','Medial Tibia of G2_12.jpg','Medial Tibia of G2_13.jpg','Medial Tibia of G2_14.jpg','Medial Tibia of G2_15.jpg','Medial Tibia of G2_16.jpg','Medial Tibia of G2_17.jpg','Medial Tibia of G2_18.jpg','Medial Tibia of G2_19.jpg','Medial Tibia of G2_2.jpg','Medial Tibia of G2_20.jpg','Medial Tibia of G2_21.jpg','Medial Tibia of G2_3.jpg','Medial Tibia of G2_4.jpg','Medial Tibia of G2_5.jpg','Medial Tibia of G2_6.jpg','Medial Tibia of G2_7.jpg','Medial Tibia of G2_8.jpg','Medial Tibia of G2_9.jpg','Medial Tibia of G3_1.jpg','Medial Tibia of G3_10.jpg','Medial Tibia of G3_11.jpg','Medial Tibia of G3_12.jpg','Medial Tibia of G3_13.jpg','Medial Tibia of G3_14.jpg','Medial Tibia of G3_15.jpg','Medial Tibia of G3_16.jpg','Medial Tibia of G3_17.jpg','Medial Tibia of G3_18.jpg','Medial Tibia of G3_19.jpg','Medial Tibia of G3_2.jpg','Medial Tibia of G3_20.jpg','Medial Tibia of G3_21.jpg','Medial Tibia of G3_22.jpg','Medial Tibia of G3_23.jpg','Medial Tibia of G3_24.jpg','Medial Tibia of G3_25.jpg','Medial Tibia of G3_26.jpg','Medial Tibia of G3_27.jpg','Medial Tibia of G3_28.jpg','Medial Tibia of G3_29.jpg','Medial Tibia of G3_3.jpg','Medial Tibia of G3_30.jpg','Medial Tibia of G3_31.jpg','Medial Tibia of G3_32.jpg','Medial Tibia of G3_33.jpg','Medial Tibia of G3_34.jpg','Medial Tibia of G3_35.jpg','Medial Tibia of G3_36.jpg','Medial Tibia of G3_37.jpg','Medial Tibia of G3_38.jpg','Medial Tibia of G3_39.jpg','Medial Tibia of G3_4.jpg','Medial Tibia of G3_40.jpg','Medial Tibia of G3_41.jpg','Medial Tibia of G3_42.jpg','Medial Tibia of G3_43.jpg','Medial Tibia of G3_44.jpg','Medial Tibia of G3_5.jpg','Medial Tibia of G3_6.jpg','Medial Tibia of G3_7.jpg','Medial Tibia of G3_8.jpg','Medial Tibia of G3_9.jpg','Medial Tibia of G4_1.jpg','Medial Tibia of G4_2.jpg','Medial Tibia of G4_3.jpg','Medial Tibia of G4_4.jpg','Medial Tibia of G4_5.jpg','Medial Tibia of G4_6.jpg','Medial Tibia of G4_7.jpg','Medial Tibia of G4_8.jpg','Medial Tibia of Nor_1.jpg','Medial Tibia of Nor_10.jpg','Medial Tibia of Nor_11.jpg','Medial Tibia of Nor_12.jpg','Medial Tibia of Nor_13.jpg','Medial Tibia of Nor_14.jpg','Medial Tibia of Nor_15.jpg','Medial Tibia of Nor_16.jpg','Medial Tibia of Nor_17.jpg','Medial Tibia of Nor_18.jpg','Medial Tibia of Nor_19.jpg','Medial Tibia of Nor_2.jpg','Medial Tibia of Nor_20.jpg','Medial Tibia of Nor_21.jpg','Medial Tibia of Nor_22.jpg','Medial Tibia of Nor_23.jpg','Medial Tibia of Nor_24.jpg','Medial Tibia of Nor_25.jpg','Medial Tibia of Nor_26.jpg','Medial Tibia of Nor_27.jpg','Medial Tibia of Nor_28.jpg','Medial Tibia of Nor_29.jpg','Medial Tibia of Nor_3.jpg','Medial Tibia of Nor_30.jpg','Medial Tibia of Nor_31.jpg','Medial Tibia of Nor_32.jpg','Medial Tibia of Nor_33.jpg','Medial Tibia of Nor_34.jpg','Medial Tibia of Nor_35.jpg','Medial Tibia of Nor_36.jpg','Medial Tibia of Nor_37.jpg','Medial Tibia of Nor_38.jpg','Medial Tibia of Nor_39.jpg','Medial Tibia of Nor_4.jpg','Medial Tibia of Nor_5.jpg','Medial Tibia of Nor_6.jpg','Medial Tibia of Nor_7.jpg','Medial Tibia of Nor_8.jpg','Medial Tibia of Nor_9.jpg'}
@attribute LBP_ri_1 numeric
@attribute LBP_ri_2 numeric
@attribute LBP_ri_3 numeric
@attribute LBP_ri_4 numeric
@attribute LBP_ri_5 numeric
@attribute LBP_ri_6 numeric
@attribute LBP_ri_7 numeric
@attribute LBP_ri_8 numeric
@attribute LBP_ri_9 numeric
@attribute LBP_ri_10 numeric
@attribute LBP_ri_11 numeric
@attribute LBP_ri_12 numeric
@attribute LBP_ri_13 numeric
@attribute LBP_ri_14 numeric
@attribute LBP_ri_15 numeric
@attribute LBP_ri_16 numeric
@attribute LBP_ri_17 numeric
@attribute LBP_ri_18 numeric
@attribute LBP_ri_19 numeric
@attribute LBP_ri_20 numeric
@attribute LBP_ri_21 numeric
@attribute LBP_ri_22 numeric
@attribute LBP_ri_23 numeric
@attribute LBP_ri_24 numeric
@attribute LBP_ri_25 numeric
@attribute LBP_ri_26 numeric
@attribute LBP_ri_27 numeric
@attribute LBP_ri_28 numeric
@attribute LBP_ri_29 numeric
@attribute LBP_ri_30 numeric
@attribute LBP_ri_31 numeric
@attribute LBP_ri_32 numeric
@attribute LBP_ri_33 numeric
@attribute LBP_ri_34 numeric
@attribute LBP_ri_35 numeric
@attribute LBP_ri_36 numeric
@attribute class {'Grade 1','Grade 2','Grade 3','Grade 4',Normal}

@data
'Medial Tibia of G1_1.jpg',588,1106,588,102,1014,59,49,74,1150,176,101,4,63,108,58,78,1103,2,93,4,5,58,25,7,72,71,55,861,0,4,4,45,79,103,1110,881,'Grade 1'
'Medial Tibia of G1_10.jpg',458,943,604,75,1191,43,59,55,1441,132,75,11,87,79,64,67,1344,1,72,2,5,45,33,3,63,67,40,944,0,3,4,34,68,62,969,757,'Grade 1'
'Medial Tibia of G1_11.jpg',362,711,636,84,1352,27,40,59,1946,89,67,0,42,54,55,68,1586,4,71,3,1,32,24,2,60,48,47,906,0,1,1,22,38,29,752,582,'Grade 1'
'Medial Tibia of G1_12.jpg',380,821,619,68,1279,17,19,46,1932,109,66,4,41,88,46,77,1452,0,47,1,0,53,26,1,53,60,49,918,0,0,2,18,47,52,801,609,'Grade 1'
'Medial Tibia of G1_13.jpg',384,662,647,71,1415,31,34,59,1746,64,45,3,52,65,50,55,1596,0,59,0,0,40,40,1,70,85,33,1031,0,2,3,28,51,36,711,632,'Grade 1'
'Medial Tibia of G1_14.jpg',320,679,586,75,1406,29,36,44,1997,91,55,5,55,74,50,68,1631,0,46,1,1,33,27,1,55,54,37,985,0,1,1,14,55,23,673,593,'Grade 1'
'Medial Tibia of G1_15.jpg',463,767,739,93,1290,39,45,60,1691,72,69,5,46,80,56,58,1398,4,59,4,0,49,40,1,75,52,49,930,0,1,2,41,58,40,776,649,'Grade 1'
'Medial Tibia of G1_16.jpg',374,783,688,70,1331,32,54,35,1883,79,85,2,56,54,50,43,1561,0,56,0,4,36,36,0,65,49,39,936,0,0,0,27,47,34,721,571,'Grade 1'
'Medial Tibia of G1_17.jpg',370,796,605,74,1229,43,54,28,1898,105,74,3,55,54,61,57,1538,0,75,4,0,39,29,1,64,65,42,952,0,0,1,20,59,31,746,629,'Grade 1'
'Medial Tibia of G1_18.jpg',377,757,672,69,1299,23,39,50,1965,74,58,1,45,81,51,53,1551,1,65,1,1,50,31,2,54,58,31,915,0,0,1,28,43,41,752,562,'Grade 1'
'Medial Tibia of G1_2.jpg',328,647,613,68,1335,29,30,45,2072,88,50,3,52,84,33,72,1646,1,52,0,1,30,26,2,60,44,37,993,0,1,1,14,46,26,678,594,'Grade 1'
'Medial Tibia of G1_3.jpg',408,756,702,75,1351,28,37,54,1660,76,56,3,47,76,64,71,1502,0,71,5,1,48,41,2,80,75,42,979,0,0,3,33,47,36,714,658,'Grade 1'
'Medial Tibia of G1_4.jpg',334,735,637,47,1330,26,42,39,2132,108,82,5,47,68,52,45,1578,1,54,2,0,44,26,2,39,65,30,895,0,0,2,15,32,42,673,572,'Grade 1'
'Medial Tibia of G1_5.jpg',354,720,645,63,1328,34,68,33,1786,83,97,4,68,52,52,61,1617,2,71,0,0,42,34,2,62,54,39,996,0,0,1,28,47,20,708,630,'Grade 1'
'Medial Tibia of G1_6.jpg',400,800,696,65,1326,27,65,46,1864,82,82,0,45,63,52,62,1511,0,70,1,4,38,25,3,57,64,46,965,0,1,0,18,51,39,721,611,'Grade 1'
'Medial Tibia of G1_7.jpg',367,753,621,77,1314,31,52,29,1935,86,82,5,66,56,49,47,1557,3,56,1,1,37,28,0,50,75,42,916,0,0,2,18,45,46,773,581,'Grade 1'
'Medial Tibia of G1_8.jpg',380,746,683,85,1346,23,38,56,1649,83,63,4,52,69,56,57,1585,0,67,4,1,35,37,3,77,59,39,1042,0,1,1,20,52,36,709,643,'Grade 1'
'Medial Tibia of G1_9.jpg',498,1909,545,33,641,10,16,13,765,521,79,4,43,57,37,30,666,2,58,0,0,13,8,0,58,55,18,652,0,1,0,11,21,261,1916,860,'Grade 1'
'Medial Tibia of G2_1.jpg',325,665,554,66,1417,23,36,52,1955,94,56,5,48,73,51,71,1695,3,69,1,0,31,41,2,45,58,44,993,0,1,0,17,40,27,640,603,'Grade 2'
'Medial Tibia of G2_10.jpg',680,1047,677,98,946,64,63,57,1157,128,99,10,66,97,69,65,1062,5,90,6,5,71,37,3,71,90,54,849,0,3,11,64,80,77,1020,880,'Grade 2'
'Medial Tibia of G2_11.jpg',637,1176,629,76,945,74,54,54,1041,171,91,8,65,81,74,73,1001,11,83,6,8,54,32,4,91,97,69,837,0,2,10,52,81,88,1114,912,'Grade 2'
'Medial Tibia of G2_12.jpg',337,753,617,69,1322,31,55,42,1823,93,80,5,66,64,52,57,1631,2,59,1,0,42,18,0,67,48,38,998,0,2,0,22,64,44,693,705,'Grade 2'
'Medial Tibia of G2_13.jpg',342,727,650,75,1402,24,31,41,1978,72,58,3,45,59,49,58,1605,3,59,1,2,44,34,2,53,52,27,953,0,1,3,23,46,39,668,572,'Grade 2'
'Medial Tibia of G2_14.jpg',377,812,669,62,1261,21,40,36,1849,105,89,6,45,57,53,42,1528,2,59,3,1,28,32,0,52,73,44,947,0,1,0,23,51,43,769,621,'Grade 2'
'Medial Tibia of G2_15.jpg',365,695,610,80,1295,19,51,44,1935,91,66,4,58,59,44,49,1661,0,62,1,2,25,35,0,45,62,34,982,1,0,1,29,54,44,686,612,'Grade 2'
'Medial Tibia of G2_16.jpg',395,744,673,72,1298,25,48,42,1784,90,80,2,69,66,59,47,1538,1,67,2,0,36,41,0,70,62,44,968,0,1,1,23,40,35,727,651,'Grade 2'
'Medial Tibia of G2_17.jpg',349,740,630,61,1283,28,54,34,2050,99,76,7,61,54,41,49,1606,0,53,0,0,25,35,0,55,55,29,945,0,0,1,25,47,47,674,588,'Grade 2'
'Medial Tibia of G2_18.jpg',363,745,587,56,1322,27,35,21,2020,123,64,1,53,71,46,57,1608,0,58,0,0,36,19,2,54,45,40,906,0,0,0,22,41,45,737,597,'Grade 2'
