@relation 'LCP Medial Tibia ROI '

@attribute File {'Medial Tibia of G1_1.jpg','Medial Tibia of G1_10.jpg','Medial Tibia of G1_11.jpg','Medial Tibia of G1_12.jpg','Medial Tibia of G1_13.jpg','Medial Tibia of G1_14.jpg','Medial Tibia of G1_15.jpg','Medial Tibia of G1_16.jpg','Medial Tibia of G1_17.jpg','Medial Tibia of G1_18.jpg','Medial Tibia of G1_2.jpg','Medial Tibia of G1_3.jpg','Medial Tibia of G1_4.jpg','Medial Tibia of G1_5.jpg','Medial Tibia of G1_6.jpg','Medial Tibia of G1_7.jpg','Medial Tibia of G1_8.jpg','Medial Tibia of G1_9.jpg','Medial Tibia of G2_1.jpg','Medial Tibia of G2_10.jpg','Medial Tibia of G2_11.jpg','Medial Tibia of G2_12.jpg','Medial Tibia of G2_13.jpg','Medial Tibia of G2_14.jpg','Medial Tibia of G2_15.jpg','Medial Tibia of G2_16.jpg','Medial Tibia of G2_17.jpg','Medial Tibia of G2_18.jpg','Medial Tibia of G2_19.jpg','Medial Tibia of G2_2.jpg','Medial Tibia of G2_20.jpg','Medial Tibia of G2_21.jpg','Medial Tibia of G2_3.jpg','Medial Tibia of G2_4.jpg','Medial Tibia of G2_5.jpg','Medial Tibia of G2_6.jpg','Medial Tibia of G2_7.jpg','Medial Tibia of G2_8.jpg','Medial Tibia of G2_9.jpg','Medial Tibia of G3_1.jpg','Medial Tibia of G3_10.jpg','Medial Tibia of G3_11.jpg','Medial Tibia of G3_12.jpg','Medial Tibia of G3_13.jpg','Medial Tibia of G3_14.jpg','Medial Tibia of G3_15.jpg','Medial Tibia of G3_16.jpg','Medial Tibia of G3_17.jpg','Medial Tibia of G3_18.jpg','Medial Tibia of G3_19.jpg','Medial Tibia of G3_2.jpg','Medial Tibia of G3_20.jpg','Medial Tibia of G3_21.jpg','Medial Tibia of G3_22.jpg','Medial Tibia of G3_23.jpg','Medial Tibia of G3_24.jpg','Medial Tibia of G3_25.jpg','Medial Tibia of G3_26.jpg','Medial Tibia of G3_27.jpg','Medial Tibia of G3_28.jpg','Medial Tibia of G3_29.jpg','Medial Tibia of G3_3.jpg','Medial Tibia of G3_30.jpg','Medial Tibia of G3_31.jpg','Medial Tibia of G3_32.jpg','Medial Tibia of G3_33.jpg','Medial Tibia of G3_34.jpg','Medial Tibia of G3_35.jpg','Medial Tibia of G3_36.jpg','Medial Tibia of G3_37.jpg','Medial Tibia of G3_38.jpg','Medial Tibia of G3_39.jpg','Medial Tibia of G3_4.jpg','Medial Tibia of G3_40.jpg','Medial Tibia of G3_41.jpg','Medial Tibia of G3_42.jpg','Medial Tibia of G3_43.jpg','Medial Tibia of G3_44.jpg','Medial Tibia of G3_5.jpg','Medial Tibia of G3_6.jpg','Medial Tibia of G3_7.jpg','Medial Tibia of G3_8.jpg','Medial Tibia of G3_9.jpg','Medial Tibia of G4_1.jpg','Medial Tibia of G4_2.jpg','Medial Tibia of G4_3.jpg','Medial Tibia of G4_4.jpg','Medial Tibia of G4_5.jpg','Medial Tibia of G4_6.jpg','Medial Tibia of G4_7.jpg','Medial Tibia of G4_8.jpg','Medial Tibia of Nor_1.jpg','Medial Tibia of Nor_10.jpg','Medial Tibia of Nor_11.jpg','Medial Tibia of Nor_12.jpg','Medial Tibia of Nor_13.jpg','Medial Tibia of Nor_14.jpg','Medial Tibia of Nor_15.jpg','Medial Tibia of Nor_16.jpg','Medial Tibia of Nor_17.jpg','Medial Tibia of Nor_18.jpg','Medial Tibia of Nor_19.jpg','Medial Tibia of Nor_2.jpg','Medial Tibia of Nor_20.jpg','Medial Tibia of Nor_21.jpg','Medial Tibia of Nor_22.jpg','Medial Tibia of Nor_23.jpg','Medial Tibia of Nor_24.jpg','Medial Tibia of Nor_25.jpg','Medial Tibia of Nor_26.jpg','Medial Tibia of Nor_27.jpg','Medial Tibia of Nor_28.jpg','Medial Tibia of Nor_29.jpg','Medial Tibia of Nor_3.jpg','Medial Tibia of Nor_30.jpg','Medial Tibia of Nor_31.jpg','Medial Tibia of Nor_32.jpg','Medial Tibia of Nor_33.jpg','Medial Tibia of Nor_34.jpg','Medial Tibia of Nor_35.jpg','Medial Tibia of Nor_36.jpg','Medial Tibia of Nor_37.jpg','Medial Tibia of Nor_38.jpg','Medial Tibia of Nor_39.jpg','Medial Tibia of Nor_4.jpg','Medial Tibia of Nor_5.jpg','Medial Tibia of Nor_6.jpg','Medial Tibia of Nor_7.jpg','Medial Tibia of Nor_8.jpg','Medial Tibia of Nor_9.jpg'}
@attribute LCP_1 numeric
@attribute LCP_2 numeric
@attribute LCP_3 numeric
@attribute LCP_4 numeric
@attribute LCP_5 numeric
@attribute LCP_6 numeric
@attribute LCP_7 numeric
@attribute LCP_8 numeric
@attribute LCP_9 numeric
@attribute LCP_10 numeric
@attribute LCP_11 numeric
@attribute LCP_12 numeric
@attribute LCP_13 numeric
@attribute LCP_14 numeric
@attribute LCP_15 numeric
@attribute LCP_16 numeric
@attribute LCP_17 numeric
@attribute LCP_18 numeric
@attribute LCP_19 numeric
@attribute LCP_20 numeric
@attribute LCP_21 numeric
@attribute LCP_22 numeric
@attribute LCP_23 numeric
@attribute LCP_24 numeric
@attribute LCP_25 numeric
@attribute LCP_26 numeric
@attribute LCP_27 numeric
@attribute LCP_28 numeric
@attribute LCP_29 numeric
@attribute LCP_30 numeric
@attribute LCP_31 numeric
@attribute LCP_32 numeric
@attribute LCP_33 numeric
@attribute LCP_34 numeric
@attribute LCP_35 numeric
@attribute LCP_36 numeric
@attribute LCP_37 numeric
@attribute LCP_38 numeric
@attribute LCP_39 numeric
@attribute LCP_40 numeric
@attribute LCP_41 numeric
@attribute LCP_42 numeric
@attribute LCP_43 numeric
@attribute LCP_44 numeric
@attribute LCP_45 numeric
@attribute LCP_46 numeric
@attribute LCP_47 numeric
@attribute LCP_48 numeric
@attribute LCP_49 numeric
@attribute LCP_50 numeric
@attribute LCP_51 numeric
@attribute LCP_52 numeric
@attribute LCP_53 numeric
@attribute LCP_54 numeric
@attribute LCP_55 numeric
@attribute LCP_56 numeric
@attribute LCP_57 numeric
@attribute LCP_58 numeric
@attribute LCP_59 numeric
@attribute LCP_60 numeric
@attribute LCP_61 numeric
@attribute LCP_62 numeric
@attribute LCP_63 numeric
@attribute LCP_64 numeric
@attribute LCP_65 numeric
@attribute LCP_66 numeric
@attribute LCP_67 numeric
@attribute LCP_68 numeric
@attribute LCP_69 numeric
@attribute LCP_70 numeric
@attribute LCP_71 numeric
@attribute LCP_72 numeric
@attribute LCP_73 numeric
@attribute LCP_74 numeric
@attribute LCP_75 numeric
@attribute LCP_76 numeric
@attribute LCP_77 numeric
@attribute LCP_78 numeric
@attribute LCP_79 numeric
@attribute LCP_80 numeric
@attribute LCP_81 numeric
@attribute class {'Grade 1','Grade 2','Grade 3','Grade 4',Normal}

@data
'Medial Tibia of G1_1.jpg',1.06,0.0851,0.298,0.111,0.0213,0.111,0.298,0.0851,966,1.04,0.0497,0.126,0.0525,0.14,0.0525,0.126,0.0497,997,1.03,0.0409,0.0649,0.0692,0.265,0.0692,0.0649,0.0409,569,1.01,0.008,0.0807,0.0652,0.203,0.0652,0.0807,0.008,432,1,0.0125,0.265,0.0256,0.155,0.0256,0.265,0.0125,486,0.99,0.0153,0.0798,0.106,0.211,0.106,0.0798,0.0153,494,0.977,0.0248,0.0946,0.0793,0.089,0.0793,0.0946,0.0248,628,0.963,0.0191,0.105,0.0783,0.175,0.0783,0.105,0.0191,1067,0.939,0.0537,0.208,0.0337,0.206,0.0337,0.208,0.0537,1083,'Grade 1'
'Medial Tibia of G1_10.jpg',1.06,0.0116,0.221,0.0857,0.0139,0.0857,0.221,0.0116,837,1.04,0.0262,0.149,0.0426,0.186,0.0426,0.149,0.0262,930,1.03,0.0313,0.0805,0.0716,0.218,0.0716,0.0805,0.0313,596,1.01,0.00874,0.146,0.0618,0.0541,0.0618,0.146,0.00874,604,1,0.0256,0.317,0.0361,0.0405,0.0361,0.317,0.0256,698,0.989,0.0109,0.148,0.08,0.032,0.08,0.148,0.0109,686,0.978,0.0275,0.0817,0.092,0.165,0.092,0.0817,0.0275,709,0.965,0.0179,0.142,0.0669,0.0705,0.0669,0.142,0.0179,979,0.947,0.0907,0.264,0.127,0.0438,0.127,0.264,0.0907,997,'Grade 1'
'Medial Tibia of G1_11.jpg',1.07,0.144,0.51,0.0158,0.0581,0.0158,0.51,0.144,785,1.05,0.0248,0.346,0.0343,0.192,0.0343,0.346,0.0248,932,1.03,0.0396,0.149,0.0669,0.12,0.0669,0.149,0.0396,683,1.02,0.0105,0.165,0.159,0.19,0.159,0.165,0.0105,650,1,0.013,0.284,0.0409,0.0138,0.0409,0.284,0.013,849,0.984,0.0107,0.142,0.0824,0.0737,0.0824,0.142,0.0107,725,0.969,0.0113,0.125,0.0893,0.00729,0.0893,0.125,0.0113,698,0.956,0.0529,0.358,0.0561,0.00236,0.0561,0.358,0.0529,986,0.936,0.0203,0.568,0.18,0.162,0.18,0.568,0.0203,931,'Grade 1'
'Medial Tibia of G1_12.jpg',1.08,0.039,0.601,0.062,0.184,0.062,0.601,0.039,829,1.05,0.0243,0.447,0.0358,0.176,0.0358,0.447,0.0243,1014,1.04,0.0188,0.125,0.0716,0.0217,0.0716,0.125,0.0188,624,1.02,0.0396,0.186,0.135,0.132,0.135,0.186,0.0396,518,1,0.0101,0.405,0.0379,0.277,0.0379,0.405,0.0101,734,0.982,0.0204,0.203,0.106,0.0366,0.106,0.203,0.0204,578,0.967,0.0482,0.181,0.0679,0.0127,0.0679,0.181,0.0482,646,0.953,0.0396,0.477,0.0654,0.0666,0.0654,0.477,0.0396,1025,0.927,0.0323,0.629,0.0684,0.329,0.0684,0.629,0.0323,1024,'Grade 1'
'Medial Tibia of G1_13.jpg',1.06,0.0643,0.196,0.197,0.0516,0.197,0.196,0.0643,836,1.04,0.00488,0.115,0.061,0.0421,0.061,0.115,0.00488,878,1.03,0.0207,0.0593,0.0911,0.178,0.0911,0.0593,0.0207,702,1.01,0.0202,0.0154,0.0425,0.0314,0.0425,0.0154,0.0202,640,1,0.00732,0.147,0.102,0.142,0.102,0.147,0.00732,675,0.989,0.0282,0.00567,0.0609,0.0706,0.0609,0.00567,0.0282,652,0.977,0.0215,0.0428,0.0487,0.225,0.0487,0.0428,0.0215,843,0.965,0.0333,0.132,0.0571,0.0407,0.0571,0.132,0.0333,927,0.947,0.0257,0.318,0.0225,0.36,0.0225,0.318,0.0257,996,'Grade 1'
'Medial Tibia of G1_14.jpg',1.06,0.0665,0.436,0.0603,0.0385,0.0603,0.436,0.0665,748,1.04,0.0102,0.33,0.0605,0.0515,0.0605,0.33,0.0102,865,1.03,0.0439,0.157,0.0739,0.0446,0.0739,0.157,0.0439,668,1.02,0.0458,0.136,0.0883,0.111,0.0883,0.136,0.0458,679,1,0.0228,0.331,0.0101,0.122,0.0101,0.331,0.0228,879,0.986,0.0274,0.122,0.0955,0.0918,0.0955,0.122,0.0274,824,0.972,0.0277,0.139,0.0639,0.0482,0.0639,0.139,0.0277,829,0.962,0.0248,0.379,0.0964,0.034,0.0964,0.379,0.0248,903,0.941,0.0642,0.49,0.124,0.205,0.124,0.49,0.0642,922,'Grade 1'
'Medial Tibia of G1_15.jpg',1.08,0.0232,0.407,0.0738,0.374,0.0738,0.407,0.0232,922,1.05,0.0494,0.291,0.104,0.303,0.104,0.291,0.0494,929,1.04,0.0411,0.149,0.0338,0.131,0.0338,0.149,0.0411,629,1.02,0.0477,0.0954,0.064,0.00103,0.064,0.0954,0.0477,541,1,0.0205,0.277,0.0189,0.127,0.0189,0.277,0.0205,690,0.981,0.0255,0.0543,0.0759,0.113,0.0759,0.0543,0.0255,576,0.965,0.0462,0.163,0.0714,0.109,0.0714,0.163,0.0462,663,0.95,0.0234,0.347,0.0391,0.103,0.0391,0.347,0.0234,984,0.924,0.0159,0.543,0.143,0.252,0.143,0.543,0.0159,1053,'Grade 1'
'Medial Tibia of G1_16.jpg',1.08,0.15,0.463,0.13,0.174,0.13,0.463,0.15,813,1.05,0.0305,0.257,0.0148,0.0986,0.0148,0.257,0.0305,923,1.04,0.0155,0.124,0.0509,0.104,0.0509,0.124,0.0155,663,1.02,0.0332,0.0675,0.061,0.0594,0.061,0.0675,0.0332,665,1,0.00896,0.225,0.0532,0.159,0.0532,0.225,0.00896,725,0.983,0.0145,0.136,0.0803,0.045,0.0803,0.136,0.0145,690,0.964,0.0299,0.128,0.122,0.169,0.122,0.128,0.0299,800,0.951,0.0534,0.307,0.115,0.0594,0.115,0.307,0.0534,906,0.924,0.115,0.461,0.0559,0.0511,0.0559,0.461,0.115,956,'Grade 1'
'Medial Tibia of G1_17.jpg',1.06,0.0218,0.567,0.0988,0.0843,0.0988,0.567,0.0218,771,1.04,0.0248,0.411,0.0388,0.0121,0.0388,0.411,0.0248,954,1.03,0.0116,0.178,0.155,0.0382,0.155,0.178,0.0116,682,1.02,0.0265,0.132,0.11,0.0181,0.11,0.132,0.0265,616,1,0.0293,0.351,0.0995,0.0775,0.0995,0.351,0.0293,748,0.987,0.0213,0.22,0.0957,0.0903,0.0957,0.22,0.0213,701,0.971,0.0388,0.185,0.108,0.145,0.108,0.185,0.0388,713,0.96,0.0193,0.368,0.0537,0.0575,0.0537,0.368,0.0193,991,0.94,0.0435,0.526,0.209,0.0484,0.209,0.526,0.0435,965,'Grade 1'
'Medial Tibia of G1_18.jpg',1.08,0.0469,0.469,0.0772,0.239,0.0772,0.469,0.0469,839,1.05,0.0724,0.345,0.0618,0.138,0.0618,0.345,0.0724,932,1.04,0.0203,0.152,0.0744,0.0688,0.0744,0.152,0.0203,676,1.02,0.0115,0.203,0.112,0.0524,0.112,0.203,0.0115,593,1,0.0154,0.415,0.0348,0.0589,0.0348,0.415,0.0154,798,0.983,0.0131,0.176,0.0336,0.118,0.0336,0.176,0.0131,713,0.965,0.0428,0.133,0.0578,0.0451,0.0578,0.133,0.0428,790,0.951,0.021,0.374,0.0646,0.0671,0.0646,0.374,0.021,951,0.927,0.0592,0.632,0.0965,0.0732,0.0965,0.632,0.0592,921,'Grade 1'
