@relation 'LTP Medial Tibia ROI '

@attribute File {'Medial Tibia of G1_1.jpg','Medial Tibia of G1_10.jpg','Medial Tibia of G1_11.jpg','Medial Tibia of G1_12.jpg','Medial Tibia of G1_13.jpg','Medial Tibia of G1_14.jpg','Medial Tibia of G1_15.jpg','Medial Tibia of G1_16.jpg','Medial Tibia of G1_17.jpg','Medial Tibia of G1_18.jpg','Medial Tibia of G1_2.jpg','Medial Tibia of G1_3.jpg','Medial Tibia of G1_4.jpg','Medial Tibia of G1_5.jpg','Medial Tibia of G1_6.jpg','Medial Tibia of G1_7.jpg','Medial Tibia of G1_8.jpg','Medial Tibia of G1_9.jpg','Medial Tibia of G2_1.jpg','Medial Tibia of G2_10.jpg','Medial Tibia of G2_11.jpg','Medial Tibia of G2_12.jpg','Medial Tibia of G2_13.jpg','Medial Tibia of G2_14.jpg','Medial Tibia of G2_15.jpg','Medial Tibia of G2_16.jpg','Medial Tibia of G2_17.jpg','Medial Tibia of G2_18.jpg','Medial Tibia of G2_19.jpg','Medial Tibia of G2_2.jpg','Medial Tibia of G2_20.jpg','Medial Tibia of G2_21.jpg','Medial Tibia of G2_3.jpg','Medial Tibia of G2_4.jpg','Medial Tibia of G2_5.jpg','Medial Tibia of G2_6.jpg','Medial Tibia of G2_7.jpg','Medial Tibia of G2_8.jpg','Medial Tibia of G2_9.jpg','Medial Tibia of G3_1.jpg','Medial Tibia of G3_10.jpg','Medial Tibia of G3_11.jpg','Medial Tibia of G3_12.jpg','Medial Tibia of G3_13.jpg','Medial Tibia of G3_14.jpg','Medial Tibia of G3_15.jpg','Medial Tibia of G3_16.jpg','Medial Tibia of G3_17.jpg','Medial Tibia of G3_18.jpg','Medial Tibia of G3_19.jpg','Medial Tibia of G3_2.jpg','Medial Tibia of G3_20.jpg','Medial Tibia of G3_21.jpg','Medial Tibia of G3_22.jpg','Medial Tibia of G3_23.jpg','Medial Tibia of G3_24.jpg','Medial Tibia of G3_25.jpg','Medial Tibia of G3_26.jpg','Medial Tibia of G3_27.jpg','Medial Tibia of G3_28.jpg','Medial Tibia of G3_29.jpg','Medial Tibia of G3_3.jpg','Medial Tibia of G3_30.jpg','Medial Tibia of G3_31.jpg','Medial Tibia of G3_32.jpg','Medial Tibia of G3_33.jpg','Medial Tibia of G3_34.jpg','Medial Tibia of G3_35.jpg','Medial Tibia of G3_36.jpg','Medial Tibia of G3_37.jpg','Medial Tibia of G3_38.jpg','Medial Tibia of G3_39.jpg','Medial Tibia of G3_4.jpg','Medial Tibia of G3_40.jpg','Medial Tibia of G3_41.jpg','Medial Tibia of G3_42.jpg','Medial Tibia of G3_43.jpg','Medial Tibia of G3_44.jpg','Medial Tibia of G3_5.jpg','Medial Tibia of G3_6.jpg','Medial Tibia of G3_7.jpg','Medial Tibia of G3_8.jpg','Medial Tibia of G3_9.jpg','Medial Tibia of G4_1.jpg','Medial Tibia of G4_2.jpg','Medial Tibia of G4_3.jpg','Medial Tibia of G4_4.jpg','Medial Tibia of G4_5.jpg','Medial Tibia of G4_6.jpg','Medial Tibia of G4_7.jpg','Medial Tibia of G4_8.jpg','Medial Tibia of Nor_1.jpg','Medial Tibia of Nor_10.jpg','Medial Tibia of Nor_11.jpg','Medial Tibia of Nor_12.jpg','Medial Tibia of Nor_13.jpg','Medial Tibia of Nor_14.jpg','Medial Tibia of Nor_15.jpg','Medial Tibia of Nor_16.jpg','Medial Tibia of Nor_17.jpg','Medial Tibia of Nor_18.jpg','Medial Tibia of Nor_19.jpg','Medial Tibia of Nor_2.jpg','Medial Tibia of Nor_20.jpg','Medial Tibia of Nor_21.jpg','Medial Tibia of Nor_22.jpg','Medial Tibia of Nor_23.jpg','Medial Tibia of Nor_24.jpg','Medial Tibia of Nor_25.jpg','Medial Tibia of Nor_26.jpg','Medial Tibia of Nor_27.jpg','Medial Tibia of Nor_28.jpg','Medial Tibia of Nor_29.jpg','Medial Tibia of Nor_3.jpg','Medial Tibia of Nor_30.jpg','Medial Tibia of Nor_31.jpg','Medial Tibia of Nor_32.jpg','Medial Tibia of Nor_33.jpg','Medial Tibia of Nor_34.jpg','Medial Tibia of Nor_35.jpg','Medial Tibia of Nor_36.jpg','Medial Tibia of Nor_37.jpg','Medial Tibia of Nor_38.jpg','Medial Tibia of Nor_39.jpg','Medial Tibia of Nor_4.jpg','Medial Tibia of Nor_5.jpg','Medial Tibia of Nor_6.jpg','Medial Tibia of Nor_7.jpg','Medial Tibia of Nor_8.jpg','Medial Tibia of Nor_9.jpg'}
@attribute LTP_1 numeric
@attribute LTP_2 numeric
@attribute LTP_3 numeric
@attribute LTP_4 numeric
@attribute LTP_5 numeric
@attribute LTP_6 numeric
@attribute LTP_7 numeric
@attribute LTP_8 numeric
@attribute LTP_9 numeric
@attribute LTP_10 numeric
@attribute LTP_11 numeric
@attribute LTP_12 numeric
@attribute LTP_13 numeric
@attribute LTP_14 numeric
@attribute LTP_15 numeric
@attribute LTP_16 numeric
@attribute LTP_17 numeric
@attribute LTP_18 numeric
@attribute LTP_19 numeric
@attribute LTP_20 numeric
@attribute LTP_21 numeric
@attribute LTP_22 numeric
@attribute LTP_23 numeric
@attribute LTP_24 numeric
@attribute LTP_25 numeric
@attribute LTP_26 numeric
@attribute LTP_27 numeric
@attribute LTP_28 numeric
@attribute LTP_29 numeric
@attribute LTP_30 numeric
@attribute LTP_31 numeric
@attribute LTP_32 numeric
@attribute LTP_33 numeric
@attribute LTP_34 numeric
@attribute LTP_35 numeric
@attribute LTP_36 numeric
@attribute LTP_37 numeric
@attribute LTP_38 numeric
@attribute LTP_39 numeric
@attribute LTP_40 numeric
@attribute LTP_41 numeric
@attribute LTP_42 numeric
@attribute LTP_43 numeric
@attribute LTP_44 numeric
@attribute LTP_45 numeric
@attribute LTP_46 numeric
@attribute LTP_47 numeric
@attribute LTP_48 numeric
@attribute LTP_49 numeric
@attribute LTP_50 numeric
@attribute LTP_51 numeric
@attribute LTP_52 numeric
@attribute LTP_53 numeric
@attribute LTP_54 numeric
@attribute LTP_55 numeric
@attribute LTP_56 numeric
@attribute LTP_57 numeric
@attribute LTP_58 numeric
@attribute LTP_59 numeric
@attribute LTP_60 numeric
@attribute LTP_61 numeric
@attribute LTP_62 numeric
@attribute LTP_63 numeric
@attribute LTP_64 numeric
@attribute LTP_65 numeric
@attribute LTP_66 numeric
@attribute LTP_67 numeric
@attribute LTP_68 numeric
@attribute LTP_69 numeric
@attribute LTP_70 numeric
@attribute LTP_71 numeric
@attribute LTP_72 numeric
@attribute LTP_73 numeric
@attribute LTP_74 numeric
@attribute LTP_75 numeric
@attribute LTP_76 numeric
@attribute LTP_77 numeric
@attribute LTP_78 numeric
@attribute LTP_79 numeric
@attribute LTP_80 numeric
@attribute LTP_81 numeric
@attribute LTP_82 numeric
@attribute LTP_83 numeric
@attribute LTP_84 numeric
@attribute LTP_85 numeric
@attribute LTP_86 numeric
@attribute LTP_87 numeric
@attribute LTP_88 numeric
@attribute LTP_89 numeric
@attribute LTP_90 numeric
@attribute LTP_91 numeric
@attribute LTP_92 numeric
@attribute LTP_93 numeric
@attribute LTP_94 numeric
@attribute LTP_95 numeric
@attribute LTP_96 numeric
@attribute LTP_97 numeric
@attribute LTP_98 numeric
@attribute LTP_99 numeric
@attribute LTP_100 numeric
@attribute LTP_101 numeric
@attribute LTP_102 numeric
@attribute LTP_103 numeric
@attribute LTP_104 numeric
@attribute LTP_105 numeric
@attribute LTP_106 numeric
@attribute LTP_107 numeric
@attribute LTP_108 numeric
@attribute LTP_109 numeric
@attribute LTP_110 numeric
@attribute LTP_111 numeric
@attribute LTP_112 numeric
@attribute LTP_113 numeric
@attribute LTP_114 numeric
@attribute LTP_115 numeric
@attribute LTP_116 numeric
@attribute LTP_117 numeric
@attribute LTP_118 numeric
@attribute class {'Grade 1','Grade 2','Grade 3','Grade 4',Normal}

@data
'Medial Tibia of G1_1.jpg',3042,261,47,199,524,137,140,60,123,48,45,308,177,118,36,48,52,222,237,87,54,48,500,124,159,125,36,12,7,48,180,233,105,56,36,112,122,109,94,25,17,6,41,37,51,12,16,42,46,46,3,37,45,119,13,9,16,86,1162,3176,313,55,204,468,134,161,35,105,48,36,287,170,110,31,38,46,187,195,93,47,41,470,130,162,100,39,10,4,45,170,246,116,52,52,128,114,117,85,37,14,11,51,48,44,13,11,49,40,54,2,53,47,130,13,5,13,121,1124,'Grade 1'
'Medial Tibia of G1_10.jpg',3570,370,66,232,424,156,169,53,104,41,39,347,196,100,40,29,68,263,281,65,42,29,413,127,152,102,24,8,4,54,197,261,88,36,37,71,117,121,88,25,8,3,48,43,32,8,14,45,39,26,3,33,25,69,11,3,16,70,795,3546,339,57,239,437,130,158,65,115,42,37,380,199,127,40,37,63,235,253,89,25,35,439,159,154,83,36,11,2,52,193,307,99,37,29,55,102,97,84,21,6,5,49,30,34,10,11,40,31,27,6,41,31,70,6,3,8,66,818,'Grade 1'
'Medial Tibia of G1_11.jpg',2489,274,42,254,362,146,152,43,155,64,50,293,251,276,75,32,61,212,438,257,51,26,419,136,158,110,29,7,0,60,279,468,110,48,35,52,148,273,224,34,10,5,100,74,51,5,10,68,44,28,0,36,42,47,9,2,12,38,627,2532,310,72,220,421,144,144,52,151,92,52,285,259,273,72,58,53,230,461,234,48,28,369,134,131,117,36,4,4,46,267,403,112,47,40,52,132,279,254,34,12,3,64,76,47,9,6,50,48,24,0,59,39,55,12,1,4,56,584,'Grade 1'
'Medial Tibia of G1_12.jpg',2764,298,62,214,396,99,106,34,134,53,37,279,253,230,45,28,53,222,450,226,49,28,403,102,125,119,31,9,3,48,276,528,113,38,38,58,141,240,238,28,11,5,48,59,45,6,9,42,43,31,1,41,41,52,10,2,8,28,721,2743,258,55,242,414,114,115,53,134,53,31,300,293,243,42,33,54,240,509,262,44,26,385,125,101,94,32,2,1,49,279,456,110,47,49,54,124,206,237,30,9,2,61,40,51,10,6,33,41,18,1,45,40,53,12,1,8,51,680,'Grade 1'
'Medial Tibia of G1_13.jpg',3355,369,54,206,363,151,142,76,204,117,69,399,232,222,68,18,69,240,204,105,39,15,377,184,141,74,31,10,2,48,278,178,71,40,14,22,183,259,113,45,15,1,132,60,39,14,14,67,39,15,1,36,16,24,14,5,18,44,460,3227,383,77,235,404,183,161,64,196,126,71,381,255,248,68,35,66,193,208,121,38,7,375,178,162,62,27,7,0,69,226,205,74,31,19,11,199,246,111,32,14,2,114,59,37,6,16,60,32,11,3,29,21,17,15,2,22,38,522,'Grade 1'
'Medial Tibia of G1_14.jpg',3582,368,46,210,336,117,112,62,153,61,33,387,324,213,30,22,64,238,340,144,28,15,388,149,110,70,20,7,0,73,306,296,60,27,13,15,171,245,152,19,9,0,59,46,28,5,4,44,22,11,1,40,16,18,6,3,8,22,453,3608,400,66,226,375,130,127,68,175,76,32,370,325,239,38,21,38,218,307,146,29,15,325,132,105,54,20,4,1,55,332,323,65,35,21,22,150,197,160,23,4,2,58,44,24,4,4,42,26,6,0,17,11,17,4,4,6,20,455,'Grade 1'
'Medial Tibia of G1_15.jpg',1962,281,50,208,392,126,148,45,174,90,73,259,231,313,105,65,53,176,296,305,111,32,364,134,148,114,46,25,1,41,218,306,106,76,67,63,136,305,326,62,31,7,88,108,89,21,21,60,47,25,2,83,51,70,27,5,31,105,897,2034,252,57,166,348,146,135,41,160,101,53,270,223,325,89,55,44,190,287,300,87,29,346,143,152,95,60,18,3,47,238,273,142,52,56,88,162,328,289,53,39,9,91,115,101,13,23,77,63,39,10,89,70,66,28,6,21,121,883,'Grade 1'
'Medial Tibia of G1_16.jpg',2000,261,39,226,401,153,338,48,173,105,85,260,206,171,70,70,39,260,336,118,63,54,398,161,316,276,39,14,3,54,218,398,257,55,47,64,182,173,116,52,14,4,90,62,71,24,18,87,60,53,3,58,38,62,16,3,21,67,751,2076,256,30,254,383,149,303,45,173,98,97,279,205,184,75,61,41,220,367,124,90,52,401,129,329,283,56,17,5,45,207,344,257,71,27,61,157,169,118,59,10,5,98,81,67,16,17,101,67,69,7,69,30,46,15,4,14,76,712,'Grade 1'
'Medial Tibia of G1_17.jpg',2935,322,49,297,385,118,220,57,138,32,44,343,234,161,45,35,53,291,447,102,40,40,406,143,228,171,19,10,4,50,232,426,174,50,24,41,118,129,80,26,6,5,47,42,33,10,5,43,36,35,2,44,23,39,5,1,8,41,657,2976,361,52,276,370,137,238,52,110,52,50,332,249,129,44,32,55,279,409,101,42,39,374,110,233,185,26,8,1,59,255,403,186,55,20,39,127,168,98,27,11,1,30,41,56,9,5,50,51,41,2,50,27,39,4,0,8,31,586,'Grade 1'
'Medial Tibia of G1_18.jpg',2133,291,44,221,373,145,177,52,165,64,48,264,275,309,87,36,48,227,398,281,64,33,356,122,172,161,47,16,3,44,283,394,135,66,33,71,157,302,290,70,17,1,63,53,53,21,18,67,46,36,3,35,38,60,11,5,18,70,729,2129,294,40,210,390,120,168,47,147,60,55,311,237,302,65,49,55,202,381,304,72,31,398,130,167,181,39,16,0,56,263,359,170,68,48,75,152,279,310,47,14,4,59,109,77,11,15,69,50,24,3,64,48,73,16,4,11,50,673,'Grade 1'
'Medial Tibia of G1_2.jpg',3350,359,68,246,390,137,104,62,136,52,36,357,285,261,45,24,61,250,356,146,28,12,379,122,150,66,14,4,2,54,342,380,72,28,23,30,145,259,179,18,8,5,59,43,23,5,2,50,19,14,0,23,11,19,3,1,9,13,462,3424,361,64,242,366,130,146,60,162,55,31,376,319,258,36,33,52,234,379,180,31,17,373,111,90,88,19,6,0,54,299,334,66,32,15,27,132,253,142,18,5,2,65,48,28,6,7,40,29,13,1,30,20,29,7,2,7,23,424,'Grade 1'
'Medial Tibia of G1_3.jpg',2534,361,60,203,383,172,179,47,147,84,68,315,235,265,59,37,64,226,299,167,67,18,377,162,187,114,57,16,4,64,278,279,127,43,29,44,152,308,189,34,22,7,95,61,67,14,22,68,45,25,5,56,32,46,21,3,18,51,689,2620,323,64,228,388,151,179,61,165,87,57,333,241,254,86,56,61,218,296,192,75,31,363,167,176,113,43,16,3,39,234,284,127,62,39,42,151,238,185,45,22,11,63,59,64,17,11,69,45,30,4,70,38,37,16,7,21,63,661,'Grade 1'
'Medial Tibia of G1_4.jpg',2144,273,48,244,396,160,273,44,149,73,54,272,265,188,58,48,46,273,522,204,47,40,337,145,204,242,47,14,3,50,230,500,246,66,45,47,134,188,187,36,9,1,73,50,39,6,8,51,41,46,1,57,41,54,9,2,7,57,707,2220,304,64,249,372,119,216,45,106,80,71,288,252,193,59,35,45,270,485,161,56,36,365,140,227,262,52,13,3,42,239,489,258,60,31,53,147,191,192,48,12,2,74,70,77,20,13,65,64,39,5,65,36,59,9,0,16,41,596,'Grade 1'
'Medial Tibia of G1_5.jpg',3211,363,55,259,382,203,261,58,147,76,57,376,225,144,51,24,64,281,285,76,33,32,373,169,225,140,31,11,1,53,219,244,160,36,20,25,129,134,96,36,5,3,77,62,46,9,6,66,28,20,3,42,23,27,11,1,12,30,565,3181,393,56,260,361,194,247,59,159,79,63,369,229,152,47,34,63,262,254,89,47,20,386,208,270,156,38,13,1,55,230,272,140,32,15,20,145,135,92,34,12,4,75,51,33,9,8,52,37,16,0,36,15,20,8,2,10,39,514,'Grade 1'
'Medial Tibia of G1_6.jpg',2057,264,42,242,424,153,301,60,151,66,98,285,237,211,67,57,50,247,360,172,52,56,369,158,276,282,57,27,7,41,227,385,256,68,35,66,145,173,132,61,18,0,80,49,65,13,17,77,53,48,3,84,30,62,22,6,16,67,773,2070,285,53,240,377,147,269,64,142,70,74,263,195,160,70,54,46,227,370,167,75,49,429,150,289,280,54,17,3,53,241,354,297,85,37,75,153,217,167,54,13,2,74,61,69,24,8,95,52,54,6,79,38,72,14,2,10,71,734,'Grade 1'
