@relation 'RLBP Medial Tibia ROI '

@attribute File {'Medial Tibia of G1_1.jpg','Medial Tibia of G1_10.jpg','Medial Tibia of G1_11.jpg','Medial Tibia of G1_12.jpg','Medial Tibia of G1_13.jpg','Medial Tibia of G1_14.jpg','Medial Tibia of G1_15.jpg','Medial Tibia of G1_16.jpg','Medial Tibia of G1_17.jpg','Medial Tibia of G1_18.jpg','Medial Tibia of G1_2.jpg','Medial Tibia of G1_3.jpg','Medial Tibia of G1_4.jpg','Medial Tibia of G1_5.jpg','Medial Tibia of G1_6.jpg','Medial Tibia of G1_7.jpg','Medial Tibia of G1_8.jpg','Medial Tibia of G1_9.jpg','Medial Tibia of G2_1.jpg','Medial Tibia of G2_10.jpg','Medial Tibia of G2_11.jpg','Medial Tibia of G2_12.jpg','Medial Tibia of G2_13.jpg','Medial Tibia of G2_14.jpg','Medial Tibia of G2_15.jpg','Medial Tibia of G2_16.jpg','Medial Tibia of G2_17.jpg','Medial Tibia of G2_18.jpg','Medial Tibia of G2_19.jpg','Medial Tibia of G2_2.jpg','Medial Tibia of G2_20.jpg','Medial Tibia of G2_21.jpg','Medial Tibia of G2_3.jpg','Medial Tibia of G2_4.jpg','Medial Tibia of G2_5.jpg','Medial Tibia of G2_6.jpg','Medial Tibia of G2_7.jpg','Medial Tibia of G2_8.jpg','Medial Tibia of G2_9.jpg','Medial Tibia of G3_1.jpg','Medial Tibia of G3_10.jpg','Medial Tibia of G3_11.jpg','Medial Tibia of G3_12.jpg','Medial Tibia of G3_13.jpg','Medial Tibia of G3_14.jpg','Medial Tibia of G3_15.jpg','Medial Tibia of G3_16.jpg','Medial Tibia of G3_17.jpg','Medial Tibia of G3_18.jpg','Medial Tibia of G3_19.jpg','Medial Tibia of G3_2.jpg','Medial Tibia of G3_20.jpg','Medial Tibia of G3_21.jpg','Medial Tibia of G3_22.jpg','Medial Tibia of G3_23.jpg','Medial Tibia of G3_24.jpg','Medial Tibia of G3_25.jpg','Medial Tibia of G3_26.jpg','Medial Tibia of G3_27.jpg','Medial Tibia of G3_28.jpg','Medial Tibia of G3_29.jpg','Medial Tibia of G3_3.jpg','Medial Tibia of G3_30.jpg','Medial Tibia of G3_31.jpg','Medial Tibia of G3_32.jpg','Medial Tibia of G3_33.jpg','Medial Tibia of G3_34.jpg','Medial Tibia of G3_35.jpg','Medial Tibia of G3_36.jpg','Medial Tibia of G3_37.jpg','Medial Tibia of G3_38.jpg','Medial Tibia of G3_39.jpg','Medial Tibia of G3_4.jpg','Medial Tibia of G3_40.jpg','Medial Tibia of G3_41.jpg','Medial Tibia of G3_42.jpg','Medial Tibia of G3_43.jpg','Medial Tibia of G3_44.jpg','Medial Tibia of G3_5.jpg','Medial Tibia of G3_6.jpg','Medial Tibia of G3_7.jpg','Medial Tibia of G3_8.jpg','Medial Tibia of G3_9.jpg','Medial Tibia of G4_1.jpg','Medial Tibia of G4_2.jpg','Medial Tibia of G4_3.jpg','Medial Tibia of G4_4.jpg','Medial Tibia of G4_5.jpg','Medial Tibia of G4_6.jpg','Medial Tibia of G4_7.jpg','Medial Tibia of G4_8.jpg','Medial Tibia of Nor_1.jpg','Medial Tibia of Nor_10.jpg','Medial Tibia of Nor_11.jpg','Medial Tibia of Nor_12.jpg','Medial Tibia of Nor_13.jpg','Medial Tibia of Nor_14.jpg','Medial Tibia of Nor_15.jpg','Medial Tibia of Nor_16.jpg','Medial Tibia of Nor_17.jpg','Medial Tibia of Nor_18.jpg','Medial Tibia of Nor_19.jpg','Medial Tibia of Nor_2.jpg','Medial Tibia of Nor_20.jpg','Medial Tibia of Nor_21.jpg','Medial Tibia of Nor_22.jpg','Medial Tibia of Nor_23.jpg','Medial Tibia of Nor_24.jpg','Medial Tibia of Nor_25.jpg','Medial Tibia of Nor_26.jpg','Medial Tibia of Nor_27.jpg','Medial Tibia of Nor_28.jpg','Medial Tibia of Nor_29.jpg','Medial Tibia of Nor_3.jpg','Medial Tibia of Nor_30.jpg','Medial Tibia of Nor_31.jpg','Medial Tibia of Nor_32.jpg','Medial Tibia of Nor_33.jpg','Medial Tibia of Nor_34.jpg','Medial Tibia of Nor_35.jpg','Medial Tibia of Nor_36.jpg','Medial Tibia of Nor_37.jpg','Medial Tibia of Nor_38.jpg','Medial Tibia of Nor_39.jpg','Medial Tibia of Nor_4.jpg','Medial Tibia of Nor_5.jpg','Medial Tibia of Nor_6.jpg','Medial Tibia of Nor_7.jpg','Medial Tibia of Nor_8.jpg','Medial Tibia of Nor_9.jpg'}
@attribute RLBP_1 numeric
@attribute RLBP_2 numeric
@attribute RLBP_3 numeric
@attribute RLBP_4 numeric
@attribute RLBP_5 numeric
@attribute RLBP_6 numeric
@attribute RLBP_7 numeric
@attribute RLBP_8 numeric
@attribute RLBP_9 numeric
@attribute RLBP_10 numeric
@attribute RLBP_11 numeric
@attribute RLBP_12 numeric
@attribute RLBP_13 numeric
@attribute RLBP_14 numeric
@attribute RLBP_15 numeric
@attribute RLBP_16 numeric
@attribute RLBP_17 numeric
@attribute RLBP_18 numeric
@attribute RLBP_19 numeric
@attribute RLBP_20 numeric
@attribute RLBP_21 numeric
@attribute RLBP_22 numeric
@attribute RLBP_23 numeric
@attribute RLBP_24 numeric
@attribute RLBP_25 numeric
@attribute RLBP_26 numeric
@attribute RLBP_27 numeric
@attribute RLBP_28 numeric
@attribute RLBP_29 numeric
@attribute RLBP_30 numeric
@attribute RLBP_31 numeric
@attribute RLBP_32 numeric
@attribute RLBP_33 numeric
@attribute RLBP_34 numeric
@attribute RLBP_35 numeric
@attribute RLBP_36 numeric
@attribute RLBP_37 numeric
@attribute RLBP_38 numeric
@attribute RLBP_39 numeric
@attribute RLBP_40 numeric
@attribute RLBP_41 numeric
@attribute RLBP_42 numeric
@attribute RLBP_43 numeric
@attribute RLBP_44 numeric
@attribute RLBP_45 numeric
@attribute RLBP_46 numeric
@attribute RLBP_47 numeric
@attribute RLBP_48 numeric
@attribute RLBP_49 numeric
@attribute RLBP_50 numeric
@attribute RLBP_51 numeric
@attribute RLBP_52 numeric
@attribute RLBP_53 numeric
@attribute RLBP_54 numeric
@attribute RLBP_55 numeric
@attribute RLBP_56 numeric
@attribute RLBP_57 numeric
@attribute RLBP_58 numeric
@attribute RLBP_59 numeric
@attribute RLBP_60 numeric
@attribute RLBP_61 numeric
@attribute RLBP_62 numeric
@attribute RLBP_63 numeric
@attribute RLBP_64 numeric
@attribute RLBP_65 numeric
@attribute RLBP_66 numeric
@attribute RLBP_67 numeric
@attribute RLBP_68 numeric
@attribute RLBP_69 numeric
@attribute RLBP_70 numeric
@attribute RLBP_71 numeric
@attribute RLBP_72 numeric
@attribute RLBP_73 numeric
@attribute RLBP_74 numeric
@attribute RLBP_75 numeric
@attribute RLBP_76 numeric
@attribute RLBP_77 numeric
@attribute RLBP_78 numeric
@attribute RLBP_79 numeric
@attribute RLBP_80 numeric
@attribute RLBP_81 numeric
@attribute RLBP_82 numeric
@attribute RLBP_83 numeric
@attribute RLBP_84 numeric
@attribute RLBP_85 numeric
@attribute RLBP_86 numeric
@attribute RLBP_87 numeric
@attribute RLBP_88 numeric
@attribute RLBP_89 numeric
@attribute RLBP_90 numeric
@attribute RLBP_91 numeric
@attribute RLBP_92 numeric
@attribute RLBP_93 numeric
@attribute RLBP_94 numeric
@attribute RLBP_95 numeric
@attribute RLBP_96 numeric
@attribute RLBP_97 numeric
@attribute RLBP_98 numeric
@attribute RLBP_99 numeric
@attribute RLBP_100 numeric
@attribute RLBP_101 numeric
@attribute RLBP_102 numeric
@attribute RLBP_103 numeric
@attribute RLBP_104 numeric
@attribute RLBP_105 numeric
@attribute RLBP_106 numeric
@attribute RLBP_107 numeric
@attribute RLBP_108 numeric
@attribute RLBP_109 numeric
@attribute RLBP_110 numeric
@attribute RLBP_111 numeric
@attribute RLBP_112 numeric
@attribute RLBP_113 numeric
@attribute RLBP_114 numeric
@attribute RLBP_115 numeric
@attribute RLBP_116 numeric
@attribute RLBP_117 numeric
@attribute RLBP_118 numeric
@attribute RLBP_119 numeric
@attribute RLBP_120 numeric
@attribute RLBP_121 numeric
@attribute RLBP_122 numeric
@attribute RLBP_123 numeric
@attribute RLBP_124 numeric
@attribute RLBP_125 numeric
@attribute RLBP_126 numeric
@attribute RLBP_127 numeric
@attribute RLBP_128 numeric
@attribute RLBP_129 numeric
@attribute RLBP_130 numeric
@attribute RLBP_131 numeric
@attribute RLBP_132 numeric
@attribute RLBP_133 numeric
@attribute RLBP_134 numeric
@attribute RLBP_135 numeric
@attribute RLBP_136 numeric
@attribute RLBP_137 numeric
@attribute RLBP_138 numeric
@attribute RLBP_139 numeric
@attribute RLBP_140 numeric
@attribute RLBP_141 numeric
@attribute RLBP_142 numeric
@attribute RLBP_143 numeric
@attribute RLBP_144 numeric
@attribute RLBP_145 numeric
@attribute RLBP_146 numeric
@attribute RLBP_147 numeric
@attribute RLBP_148 numeric
@attribute RLBP_149 numeric
@attribute RLBP_150 numeric
@attribute RLBP_151 numeric
@attribute RLBP_152 numeric
@attribute RLBP_153 numeric
@attribute RLBP_154 numeric
@attribute RLBP_155 numeric
@attribute RLBP_156 numeric
@attribute RLBP_157 numeric
@attribute RLBP_158 numeric
@attribute RLBP_159 numeric
@attribute RLBP_160 numeric
@attribute RLBP_161 numeric
@attribute RLBP_162 numeric
@attribute RLBP_163 numeric
@attribute RLBP_164 numeric
@attribute RLBP_165 numeric
@attribute RLBP_166 numeric
@attribute RLBP_167 numeric
@attribute RLBP_168 numeric
@attribute RLBP_169 numeric
@attribute RLBP_170 numeric
@attribute RLBP_171 numeric
@attribute RLBP_172 numeric
@attribute RLBP_173 numeric
@attribute RLBP_174 numeric
@attribute RLBP_175 numeric
@attribute RLBP_176 numeric
@attribute RLBP_177 numeric
@attribute RLBP_178 numeric
@attribute RLBP_179 numeric
@attribute RLBP_180 numeric
@attribute RLBP_181 numeric
@attribute RLBP_182 numeric
@attribute RLBP_183 numeric
@attribute RLBP_184 numeric
@attribute RLBP_185 numeric
@attribute RLBP_186 numeric
@attribute RLBP_187 numeric
@attribute RLBP_188 numeric
@attribute RLBP_189 numeric
@attribute RLBP_190 numeric
@attribute RLBP_191 numeric
@attribute RLBP_192 numeric
@attribute RLBP_193 numeric
@attribute RLBP_194 numeric
@attribute RLBP_195 numeric
@attribute RLBP_196 numeric
@attribute RLBP_197 numeric
@attribute RLBP_198 numeric
@attribute RLBP_199 numeric
@attribute RLBP_200 numeric
@attribute RLBP_201 numeric
@attribute RLBP_202 numeric
@attribute RLBP_203 numeric
@attribute RLBP_204 numeric
@attribute RLBP_205 numeric
@attribute RLBP_206 numeric
@attribute RLBP_207 numeric
@attribute RLBP_208 numeric
@attribute RLBP_209 numeric
@attribute RLBP_210 numeric
@attribute RLBP_211 numeric
@attribute RLBP_212 numeric
@attribute RLBP_213 numeric
@attribute RLBP_214 numeric
@attribute RLBP_215 numeric
@attribute RLBP_216 numeric
@attribute RLBP_217 numeric
@attribute RLBP_218 numeric
@attribute RLBP_219 numeric
@attribute RLBP_220 numeric
@attribute RLBP_221 numeric
@attribute RLBP_222 numeric
@attribute RLBP_223 numeric
@attribute RLBP_224 numeric
@attribute RLBP_225 numeric
@attribute RLBP_226 numeric
@attribute RLBP_227 numeric
@attribute RLBP_228 numeric
@attribute RLBP_229 numeric
@attribute RLBP_230 numeric
@attribute RLBP_231 numeric
@attribute RLBP_232 numeric
@attribute RLBP_233 numeric
@attribute RLBP_234 numeric
@attribute RLBP_235 numeric
@attribute RLBP_236 numeric
@attribute RLBP_237 numeric
@attribute RLBP_238 numeric
@attribute RLBP_239 numeric
@attribute RLBP_240 numeric
@attribute RLBP_241 numeric
@attribute RLBP_242 numeric
@attribute RLBP_243 numeric
@attribute RLBP_244 numeric
@attribute RLBP_245 numeric
@attribute RLBP_246 numeric
@attribute RLBP_247 numeric
@attribute RLBP_248 numeric
@attribute RLBP_249 numeric
@attribute RLBP_250 numeric
@attribute RLBP_251 numeric
@attribute RLBP_252 numeric
@attribute RLBP_253 numeric
@attribute RLBP_254 numeric
@attribute RLBP_255 numeric
@attribute RLBP_256 numeric
@attribute class {'Grade 1','Grade 2','Grade 3','Grade 4',Normal}

@data
'Medial Tibia of G1_1.jpg',588,11,289,16,172,2,163,25,127,2,22,2,105,3,216,34,170,6,17,4,37,1,13,4,106,3,35,2,239,2,260,31,311,6,165,12,21,0,62,11,35,0,1,2,27,0,39,6,145,5,68,7,24,2,34,10,255,6,51,7,300,3,368,44,17,2,7,0,5,0,6,4,2,0,2,0,2,0,4,2,3,0,0,0,0,0,2,0,1,0,2,0,1,0,7,2,9,0,11,2,7,0,6,2,6,1,2,1,2,0,10,5,11,1,10,1,0,0,9,5,33,1,7,4,21,2,45,6,9,22,0,30,1,2,1,17,0,12,0,2,2,3,1,11,3,2,0,4,0,0,1,2,2,5,0,1,2,6,0,22,1,4,1,2,0,1,0,1,1,3,0,1,0,1,0,2,1,6,0,2,0,0,0,3,2,2,0,2,3,4,3,12,22,215,3,252,3,11,6,205,8,47,0,12,7,32,4,203,1,14,0,13,0,3,1,13,3,39,1,33,14,93,4,323,23,236,3,237,9,21,2,162,4,25,0,9,2,23,3,151,18,216,6,175,4,12,3,142,14,187,2,135,23,323,18,881,'Grade 1'
'Medial Tibia of G1_10.jpg',458,12,210,9,163,2,139,22,114,0,20,2,127,0,293,20,158,7,15,3,28,1,22,5,128,4,20,2,297,0,340,26,268,5,120,9,14,0,44,11,22,0,10,1,24,0,55,4,136,8,50,13,24,0,37,10,302,4,41,7,358,2,424,55,12,0,4,0,4,0,4,1,2,0,0,0,1,1,2,0,1,0,1,0,0,0,0,1,3,0,3,0,4,0,1,0,14,2,9,2,3,0,13,3,7,0,0,0,7,0,9,4,19,2,9,1,1,0,8,0,20,1,3,2,26,0,39,11,6,25,1,21,1,1,0,14,1,6,0,2,2,4,1,28,2,3,0,4,0,1,1,1,0,3,0,4,2,5,0,32,1,1,0,2,0,1,1,3,0,1,0,0,0,2,0,2,3,2,0,1,0,0,1,2,0,3,0,0,0,4,2,14,26,211,2,341,4,18,3,256,4,37,0,19,4,29,2,240,3,21,0,12,0,2,1,7,7,38,0,21,6,61,5,266,26,332,1,323,3,17,1,178,0,16,0,11,3,29,1,149,16,248,2,168,4,12,1,112,13,214,0,153,18,248,16,757,'Grade 1'
'Medial Tibia of G1_11.jpg',362,3,172,13,183,3,147,22,83,0,25,1,127,2,304,16,120,4,13,3,40,0,17,3,146,2,28,5,348,3,553,31,141,0,80,9,10,0,47,9,14,1,0,1,17,0,28,0,152,2,36,6,24,0,36,10,338,4,46,9,443,1,523,39,8,0,3,1,4,0,5,0,1,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,4,1,0,0,6,2,1,0,1,0,1,0,1,1,19,0,3,0,2,0,4,1,13,1,3,1,24,1,33,9,1,16,1,17,0,3,0,15,1,8,0,2,0,2,0,9,0,0,0,3,0,0,0,2,1,6,0,2,0,0,0,13,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,1,3,0,0,0,0,0,5,26,284,1,400,2,8,3,250,2,47,2,13,6,37,1,213,2,15,1,18,0,1,0,4,3,30,0,14,6,28,2,173,20,491,0,471,1,15,1,210,1,22,0,9,1,20,0,143,15,265,1,191,1,8,0,79,13,196,0,162,11,178,3,582,'Grade 1'
'Medial Tibia of G1_12.jpg',380,7,223,10,189,0,144,16,77,0,22,2,124,0,302,9,127,2,12,0,28,0,9,1,126,3,19,1,357,1,524,23,184,0,99,5,5,0,47,5,14,0,4,0,6,0,24,1,158,2,53,5,21,0,31,5,273,4,56,7,394,0,456,47,9,2,0,2,6,0,7,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,0,4,1,6,0,8,2,3,0,0,0,4,0,3,1,21,1,7,1,2,0,5,0,22,0,3,1,31,0,32,5,5,22,0,28,0,0,0,15,2,6,0,3,0,3,1,16,0,3,0,1,0,1,0,2,0,5,0,3,0,3,0,9,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,3,0,1,1,0,0,0,0,2,0,3,1,4,26,264,0,402,5,11,1,235,11,26,0,27,8,34,4,246,0,12,0,22,0,0,0,2,4,33,0,19,5,49,1,189,18,554,1,417,2,21,2,192,3,21,0,8,3,21,1,113,12,258,1,183,1,7,1,85,16,194,0,180,15,219,6,609,'Grade 1'
'Medial Tibia of G1_13.jpg',384,10,140,12,162,2,154,24,89,0,20,0,147,2,290,18,141,5,7,2,30,0,20,2,138,1,17,3,388,1,445,29,108,2,53,4,16,0,27,6,16,0,3,0,10,0,29,3,139,2,39,15,31,0,27,7,327,1,33,9,423,1,508,71,9,1,4,1,5,0,2,0,1,0,0,0,2,0,4,0,1,0,0,1,0,0,0,0,1,0,0,1,2,1,4,0,12,1,4,1,7,0,7,3,1,0,0,0,5,0,4,2,15,0,3,2,5,0,15,1,23,1,1,3,26,1,39,12,3,20,0,17,1,0,1,11,1,1,0,2,2,4,0,16,0,2,0,3,0,0,0,2,1,6,0,1,0,6,0,12,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,4,0,0,0,3,0,2,0,0,0,4,0,10,25,329,1,369,6,17,2,268,8,37,0,14,12,45,0,242,3,12,0,13,0,1,1,7,4,46,0,10,7,34,0,139,25,435,0,450,5,15,2,209,4,15,0,10,2,27,1,156,22,281,1,216,3,7,2,104,18,226,3,156,16,127,7,632,'Grade 1'
'Medial Tibia of G1_14.jpg',320,10,152,9,171,1,163,20,98,2,17,2,125,1,303,24,113,4,9,4,35,0,15,5,107,0,11,4,450,0,529,19,129,0,76,8,15,0,35,7,20,0,5,0,13,0,26,4,125,1,45,9,27,1,31,8,294,3,44,8,452,1,548,44,5,0,2,1,10,0,4,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8,2,5,1,8,0,9,0,1,0,0,0,3,0,4,1,18,2,2,0,6,0,7,1,21,1,2,1,19,0,42,4,1,22,0,14,0,1,0,16,1,4,0,2,1,3,0,15,0,3,0,1,0,0,0,2,0,5,0,3,1,1,0,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,1,0,2,0,0,0,0,1,2,0,5,27,285,2,435,6,16,4,285,5,29,1,13,4,32,3,207,2,13,1,11,0,1,0,5,3,30,0,21,4,22,3,135,22,512,1,455,1,11,4,230,3,22,0,5,1,22,0,109,8,274,0,236,1,3,3,84,16,198,1,155,10,173,8,593,'Grade 1'
'Medial Tibia of G1_15.jpg',463,6,171,15,170,4,155,23,126,1,24,4,161,2,296,22,124,3,20,2,37,0,14,9,174,1,32,2,329,1,475,32,157,3,65,6,12,1,45,3,23,2,4,1,24,0,24,3,178,3,52,8,22,0,39,7,319,2,39,7,365,4,440,36,8,0,1,1,2,0,5,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,7,0,7,1,3,0,12,1,0,0,0,0,0,0,8,1,16,2,3,3,4,0,2,0,26,0,5,2,23,1,45,9,5,20,2,19,2,0,0,13,2,4,0,5,1,5,0,17,0,4,0,2,0,0,0,1,1,8,0,4,1,3,2,10,0,1,1,1,0,0,0,2,0,0,0,0,0,1,0,2,2,0,0,3,0,0,0,1,0,6,0,2,0,3,0,11,29,269,0,337,7,6,8,259,8,43,1,21,12,41,2,190,2,12,0,19,1,1,0,9,1,29,1,12,5,37,2,150,19,440,0,371,4,23,1,198,0,16,0,20,5,35,1,118,13,237,1,212,1,9,2,120,19,222,0,179,17,187,2,649,'Grade 1'
'Medial Tibia of G1_16.jpg',374,8,162,11,130,2,171,17,82,0,13,3,149,1,296,24,200,2,8,5,40,0,22,3,140,1,14,5,345,1,468,22,189,3,73,3,14,0,58,4,15,0,2,0,21,0,34,1,165,5,38,7,17,0,32,9,278,3,28,3,508,1,487,41,11,0,2,1,3,0,4,0,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,4,0,3,0,1,0,2,0,13,0,5,1,1,0,18,0,1,0,0,0,2,0,5,2,22,0,6,1,0,0,5,0,15,2,3,3,33,1,33,3,1,25,0,21,0,1,0,11,1,7,0,3,1,6,0,8,2,1,0,2,0,0,0,0,1,10,0,3,0,3,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,0,1,1,1,0,4,14,331,1,442,3,14,0,274,5,38,0,13,1,37,1,211,1,10,1,18,0,0,0,13,4,34,0,23,4,33,1,161,21,398,0,439,0,14,4,218,4,13,0,6,3,15,0,180,17,284,3,198,0,7,1,93,14,222,0,133,7,143,4,571,'Grade 1'
'Medial Tibia of G1_17.jpg',370,22,161,11,153,0,150,22,89,0,11,1,123,0,259,24,183,9,16,2,30,0,28,2,121,1,7,4,328,1,446,25,185,1,92,2,15,0,48,7,33,0,3,1,21,0,36,7,152,4,36,5,17,0,39,5,291,6,37,7,514,0,506,39,2,0,7,0,4,0,2,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,7,0,9,2,4,0,6,1,1,0,0,0,6,0,9,1,18,0,5,1,5,0,4,1,21,0,3,1,25,1,44,9,1,17,0,25,2,4,1,7,0,6,0,1,0,2,0,12,1,3,0,2,0,1,0,3,0,4,0,4,1,5,0,11,0,2,0,2,0,0,0,2,0,1,0,0,1,0,0,1,0,3,1,1,0,1,0,0,1,4,0,0,0,3,0,3,24,263,0,505,1,12,1,277,6,53,0,12,14,34,3,221,0,11,0,19,0,0,0,4,4,43,0,30,4,29,1,177,23,370,2,430,1,13,3,202,0,17,0,6,1,23,1,178,11,245,1,214,1,5,0,92,18,208,1,127,13,151,9,629,'Grade 1'
'Medial Tibia of G1_18.jpg',377,8,172,10,191,2,158,26,87,0,24,2,141,1,259,20,128,1,9,6,22,0,20,0,137,0,24,5,364,0,529,28,161,1,69,9,13,0,36,6,17,0,1,0,14,0,20,5,167,2,61,10,18,0,34,9,334,0,27,8,499,2,479,38,6,0,0,1,4,0,4,1,0,0,0,0,3,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,12,1,5,0,4,0,7,2,5,0,1,1,1,0,4,0,26,2,6,1,3,0,7,0,26,0,3,0,23,1,37,4,4,24,0,21,0,1,0,21,0,2,0,4,0,4,0,9,0,0,0,1,0,0,0,1,1,9,0,1,1,5,0,11,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,3,1,0,0,1,0,1,0,0,0,3,0,8,23,249,0,399,3,16,1,278,3,48,0,22,5,33,1,205,1,18,0,11,1,0,0,6,4,29,0,13,4,39,2,152,20,455,1,430,1,20,1,191,2,12,0,11,3,22,2,163,16,290,1,227,0,9,2,87,14,193,1,171,13,165,2,562,'Grade 1'
'Medial Tibia of G1_2.jpg',328,7,149,7,181,2,140,20,74,1,25,3,124,0,305,20,120,4,13,5,29,0,8,4,122,2,18,2,382,1,591,23,107,2,78,5,10,0,32,8,12,0,3,0,14,1,35,5,174,2,60,11,20,0,19,10,296,4,45,3,476,1,544,53,9,0,3,1,6,0,4,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,10,2,3,1,6,0,8,0,2,0,0,0,1,0,8,1,25,0,7,0,6,0,0,1,13,1,0,1,26,0,47,7,0,10,0,14,0,0,0,10,0,2,0,1,0,1,0,10,0,1,0,0,0,0,0,1,0,3,0,0,0,5,0,10,0,2,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,1,1,3,0,1,0,2,0,7,26,274,0,446,4,9,2,283,6,28,0,6,4,29,2,231,2,13,0,14,1,1,1,4,5,29,0,25,7,21,3,141,19,506,0,500,3,16,3,186,3,19,0,4,2,12,3,117,10,255,0,224,1,6,1,81,5,230,0,149,12,172,4,594,'Grade 1'
